filename,sample,target_formula,polymorph_rank,oqmd_composition_id,oqmd_entry_id,oqmd_structure_id,spacegroup_number,n_sites,stability_eV_per_atom,stability_meV_per_atom,phonon_status
0465_Cu5GePd6_01_sg12_oqmd1992694_-20meV.cif,465,Cu5GePd6,1,Cu5 Ge1 Pd6,1992694,9440489,12,12,-0.019595,-20,unStable
0466_Hf2MoIr_01_sg71_oqmd1013867_-19meV.cif,466,Hf2MoIr,1,Hf2 Ir1 Mo1,1013867,2993765,71,24,-0.018634,-19,Stable
0466_Hf2MoIr_02_sg71_oqmd1018128_+0meV.cif,466,Hf2MoIr,2,Hf2 Ir1 Mo1,1018128,3026618,71,16,4e-06,0,Stable
0466_Hf2MoIr_03_sg71_oqmd1014363_+0meV.cif,466,Hf2MoIr,3,Hf2 Ir1 Mo1,1014363,2994707,71,24,1.7e-05,0,Stable
0466_Hf2MoIr_04_sg225_oqmd415579_+1meV.cif,466,Hf2MoIr,4,Hf2 Ir1 Mo1,415579,1032872,225,4,0.001281,1,Stable
0466_Hf2MoIr_05_sg123_oqmd1017050_+7meV.cif,466,Hf2MoIr,5,Hf2 Ir1 Mo1,1017050,3008326,123,4,0.007236,7,Stable
0466_Hf2MoIr_06_sg123_oqmd1012791_+37meV.cif,466,Hf2MoIr,6,Hf2 Ir1 Mo1,1012791,2990852,123,4,0.037476,37,Stable
0466_Hf2MoIr_07_sg216_oqmd1147048_+407meV.cif,466,Hf2MoIr,7,Hf2 Ir1 Mo1,1147048,7277199,216,4,0.407226,407,Stable
0466_Hf2MoIr_08_sg216_oqmd1127778_+407meV.cif,466,Hf2MoIr,8,Hf2 Ir1 Mo1,1127778,7219512,216,4,0.407226,407,Stable
0466_Hf2MoIr_09_sg62_oqmd1018621_+487meV.cif,466,Hf2MoIr,9,Hf2 Ir1 Mo1,1018621,3054535,62,16,0.487101,487,Stable
0469_ScCuPd2_01_sg139_oqmd1370365_+18meV.cif,469,ScCuPd2,1,Cu1 Pd2 Sc1,1370365,7755914,139,4,0.0177,18,Stable
0469_ScCuPd2_02_sg225_oqmd468056_+66meV.cif,469,ScCuPd2,2,Cu1 Pd2 Sc1,468056,1233627,225,4,0.065992,66,unStable
0469_ScCuPd2_03_sg216_oqmd1109069_+183meV.cif,469,ScCuPd2,3,Cu1 Pd2 Sc1,1109069,3799720,216,4,0.183107,183,unStable
0469_ScCuPd2_04_sg216_oqmd1116844_+183meV.cif,469,ScCuPd2,4,Cu1 Pd2 Sc1,1116844,4730919,216,4,0.183108,183,unStable
0472_ScCu4Pd_01_sg216_oqmd1991578_-24meV.cif,472,ScCu4Pd,1,Cu4 Pd1 Sc1,1991578,9414452,216,6,-0.024167,-24,Stable
0472_ScCu4Pd_02_sg216_oqmd1888746_+0meV.cif,472,ScCu4Pd,2,Cu4 Pd1 Sc1,1888746,9214917,216,6,0.000252,0,Stable
0473_Sc3CuPd2_01_sg123_oqmd1374854_-3meV.cif,473,Sc3CuPd2,1,Cu1 Pd2 Sc3,1374854,7775188,123,6,-0.003025,-3,unStable
0474_Sc2CuPd_01_sg225_oqmd363099_+5meV.cif,474,Sc2CuPd,1,Cu1 Pd1 Sc2,363099,753946,225,4,0.004777,5,unStable
0474_Sc2CuPd_02_sg216_oqmd1110556_+208meV.cif,474,Sc2CuPd,2,Cu1 Pd1 Sc2,1110556,3803124,216,4,0.208238,208,unStable
0475_La2PdAu2_01_sg12_oqmd1980865_-1meV.cif,475,La2PdAu2,1,Au2 La2 Pd1,1980865,9427708,12,10,-0.00084,-1,Stable
0476_ScPd2Au_01_sg123_oqmd1988846_+6meV.cif,476,ScPd2Au,1,Au1 Pd2 Sc1,1988846,9403231,123,4,0.006369,6,Stable
0476_ScPd2Au_02_sg225_oqmd468884_+134meV.cif,476,ScPd2Au,2,Au1 Pd2 Sc1,468884,1238434,225,4,0.133762,134,unStable
0476_ScPd2Au_03_sg216_oqmd1141474_+183meV.cif,476,ScPd2Au,3,Au1 Pd2 Sc1,1141474,5277138,216,4,0.182789,183,unStable
0476_ScPd2Au_04_sg216_oqmd1116841_+183meV.cif,476,ScPd2Au,4,Au1 Pd2 Sc1,1116841,4730853,216,4,0.182789,183,unStable
0477_ScPd5Au2_01_sg55_oqmd1990792_+3meV.cif,477,ScPd5Au2,1,Au2 Pd5 Sc1,1990792,9471203,55,16,0.002758,3,Stable
0478_Sc2Pd5Au_01_sg55_oqmd1992186_-10meV.cif,478,Sc2Pd5Au,1,Au1 Pd5 Sc2,1992186,9598021,55,16,-0.009589,-10,Stable
0479_MnAl2Au6_01_sg12_oqmd1992237_-1meV.cif,479,MnAl2Au6,1,Al2 Au6 Mn1,1992237,9425249,12,9,-0.000592,-1,unStable
0480_GdGePt2_01_sg63_oqmd1365099_-32meV.cif,480,GdGePt2,1,Gd1 Ge1 Pt2,1365099,9585145,63,8,-0.032498,-32,Stable
0480_GdGePt2_02_sg31_oqmd1646853_+123meV.cif,480,GdGePt2,2,Gd1 Ge1 Pt2,1646853,6868594,31,8,0.122921,123,unStable
0480_GdGePt2_03_sg11_oqmd1646854_+194meV.cif,480,GdGePt2,3,Gd1 Ge1 Pt2,1646854,6873264,11,8,0.19366,194,Stable
0480_GdGePt2_04_sg26_oqmd1646842_+221meV.cif,480,GdGePt2,4,Gd1 Ge1 Pt2,1646842,6869762,26,8,0.220625,221,unStable
0480_GdGePt2_05_sg225_oqmd363511_+288meV.cif,480,GdGePt2,5,Gd1 Ge1 Pt2,363511,756074,225,4,0.288297,288,unStable
0481_NiGe2Pt_01_sg11_oqmd1646030_-6meV.cif,481,NiGe2Pt,1,Ge2 Ni1 Pt1,1646030,6863941,11,8,-0.005805,-6,Stable
0481_NiGe2Pt_02_sg26_oqmd1646021_+7meV.cif,481,NiGe2Pt,2,Ge2 Ni1 Pt1,1646021,6863564,26,8,0.006952,7,unStable
0481_NiGe2Pt_03_sg31_oqmd1646029_+20meV.cif,481,NiGe2Pt,3,Ge2 Ni1 Pt1,1646029,6863904,31,8,0.020171,20,unStable
0481_NiGe2Pt_04_sg225_oqmd421066_+307meV.cif,481,NiGe2Pt,4,Ge2 Ni1 Pt1,421066,1061316,225,4,0.306965,307,Stable
