Symb,$/gram
H,0
He,0
Li,1.43
Be,6.93
B,10
C,1.5
N,0
O,0
F,0
Ne,0
Na,0.19
Mg,0.2
Al,1.39
Si,1.16
P,33
S,2.4
Cl,0
Ar,0
K,95
Ca,35
Sc,206
Ti,1.54
V,4
Cr,4.4
Mn,2.7
Fe,0.1
Co,0.7
Ni,3
Cu,1
Zn,0.25
Ga,5
Ge,12
As,5
Se,1.3
Br,0
Kr,0
Rb,58
Sr,7
Y,10
Zr,2
Nb,4.3
Mo,5
Tc,400
Ru,75
Rh,400
Pd,100
Ag,7
Cd,10
In,6
Sn,1.5
Sb,5
Te,6
I,1
Xe,0
Cs,70
Ba,60
La,3
Ce,2
Pr,7.3
Nd,3.5
Pm,0
Sm,5
Eu,100
Gd,7
Tb,50
Dy,10
Ho,20
Er,10
Tm,60
Yb,50
Lu,200
Hf,9
Ta,0.8
W,6
Re,66
Os,120
Ir,100
Pt,240
Au,150
Hg,0.5
Tl,7
Pb,2
Bi,0.25
Th,0
U,0
