formula,disorder_probability
MoTiTa2,0.9750087850500829
MoTi2Ta,0.998084731299046
HfTa4Zr,0.9977531777019143
HfMoTa2,0.9980697749231472
MoTaZr2,0.9918408244778097
Hf2MoTi,0.9529492540176611
HfMoTi,0.9934137020110025
Nb2TaZr,0.9986315323200452
NbTa2Zr,0.999148294547845
Hf2MoNb,0.966515958143317
MoNbZr2,0.9957061107998002
Mo3NbTi2,0.9987988778964578
HfMo2Zr,0.9991802661970843
Hf2MoRe3,0.9909950272970234
Hf2Nb3Ru,0.9987037908013946
Mo3NbRu2,0.995257141924539
MoNbRu2,0.9972705078032091
Cu5GePd6,0.9321048466021544
Hf2MoIr,0.8958336669588204
CuNb3Zr2,0.9987214243010663
ScCuPd2,0.7492188261354962
MoNbTa2,0.9941428103960515
MoNb2Ta,0.9987637951591112
ScCu4Pd,0.2456952246412207
Sc3CuPd2,0.8782790584780488
Sc2CuPd,0.8883140609413683
La2PdAu2,0.8795210485337486
ScPd2Au,0.5617381740533015
ScPd5Au2,0.8114401851849632
Sc2Pd5Au,0.6010096616791946
MnAl2Au6,0.6172845685800178
GdGePt2,0.1797084885479581
NiGe2Pt,0.5055846148226988
ZrSiPt5,0.1956939351693044
La5Al3Co2,0.746606170312123
Al4FeCo3,0.8934442938025816
Al8FeCo7,0.9188280629590053
Gd3CoSn6,0.2372838034200822
GdCo4Sn6,0.04159152130839099
TiGePt5,0.1955182883772991
Ti2GePt8,0.2559548879072525
TiSiPt5,0.17885435500478705
Ti2SiPt8,0.19104243157491663
GdFeGe3,0.009730129328401909
Gd2Fe3Ge5,0.009938309291032345
GdFeGe2,0.012682683080402882
GaHf2Nb,0.059678422962843584
GaNbZr2,0.12407028493708827
Nb5Si2V,0.34344773868551215
CoSiY,0.13494150981687572
CoSi3Y,0.011652159373584492
Al3Cu2Y,0.18094688211727034
CuSnY,0.15015831459418652
B2NbNi2,0.030738397661091054
C2CrSc,0.04901920567904056
C2LaRu,0.0028901589761889533
LaNiSi3,0.07236034440323955
Re4TaZr,0.9805157596009547
Mo3Os0.5Ge0.5,0.9874054246036691
