formula,oqmd_formula,oqmd_delta_e,oqmd_stability,oqmd_entry_id,oqmd_n_polymorphs
MoTiTa2,Mo1 Ta2 Ti1,-0.0673808584465654,0.044851200826310084,530936.0,3
MoTi2Ta,Mo1 Ta1 Ti2,-0.0670976368931306,0.043407106553435645,1127433.0,2
HfTa4Zr,Hf1 Ta4 Zr1,,,,0
HfMoTa2,Hf1 Mo1 Ta2,0.0324561187499981,0.14263464534090692,1143364.0,2
MoTaZr2,Mo1 Ta1 Zr2,0.0944847674999991,0.19177748999999975,1128660.0,2
Hf2MoTi,Hf2 Mo1 Ti1,0.0129185115534352,0.11613601875000103,414920.0,3
HfMoTi,Hf1 Mo1 Ti1,-0.011102202928755153,0.12652114037960355,2121129.0,5
Nb2TaZr,Nb2 Ta1 Zr1,0.0749323099999994,0.07788006328125037,488151.0,1
NbTa2Zr,Nb1 Ta2 Zr1,0.114426199999999,0.11792544874999841,531175.0,1
Hf2MoNb,Hf2 Mo1 Nb1,0.0785959250000001,0.14419987699999975,415768.0,2
MoNbZr2,Mo1 Nb1 Zr2,0.0883570324999994,0.14917852124999922,1128652.0,2
Mo3NbTi2,Mo3 Nb1 Ti2,,,,0
HfMo2Zr,Hf1 Mo2 Zr1,0.0441412837499993,0.1718806149999988,448595.0,3
Hf2MoRe3,Hf2 Mo1 Re3,,,,0
Hf2Nb3Ru,Hf2 Nb3 Ru1,,,,0
Mo3NbRu2,Mo3 Nb1 Ru2,,,,0
MoNbRu2,Mo1 Nb1 Ru2,0.117845265000001,0.27425831041148285,503656.0,3
Cu5GePd6,Cu5 Ge1 Pd6,-0.2560454312500002,-0.019595089297361395,1992694.0,1
Hf2MoIr,Hf2 Ir1 Mo1,-0.607478495,-0.01863355390625,1013867.0,9
CuNb3Zr2,Cu1 Nb3 Zr2,,,,0
ScCuPd2,Cu1 Pd2 Sc1,-0.69256408125,0.01769970744013949,1370365.0,4
MoNbTa2,Mo1 Nb1 Ta2,-0.0806497200000003,0.02962384906249979,531780.0,3
MoNb2Ta,Mo1 Nb2 Ta1,-0.06411291749999926,0.03326891215357686,2036517.0,3
ScCu4Pd,Cu4 Pd1 Sc1,-0.3440491658333329,-0.024167375923807688,1991578.0,2
Sc3CuPd2,Cu1 Pd2 Sc3,-0.701408230833332,-0.003025217902261401,1374854.0,1
Sc2CuPd,Cu1 Pd1 Sc2,-0.590988357500001,0.004776704999998049,363099.0,2
La2PdAu2,Au2 La2 Pd1,-0.8470344419999997,-0.000840078249999876,1980865.0,1
ScPd2Au,Au1 Pd2 Sc1,-0.8403498337499995,0.0063688247470666814,1988846.0,4
ScPd5Au2,Au2 Pd5 Sc1,-0.4893856212500003,0.002757516958332873,1990792.0,1
Sc2Pd5Au,Au1 Pd5 Sc2,-0.875397868124999,-0.00958895181792263,1992186.0,1
MnAl2Au6,Al2 Au6 Mn1,-0.2546508193103452,-0.0005924037341548671,1992237.0,1
GdGePt2,Gd1 Ge1 Pt2,-1.0173994081249997,-0.03249753420666557,1365099.0,5
NiGe2Pt,Ge2 Ni1 Pt1,-0.4008251837500003,-0.005805233750000971,1646030.0,5
ZrSiPt5,Pt5 Si1 Zr1,-0.9390899464285708,-0.041757312579582706,2146113.0,1
La5Al3Co2,Al3 Co2 La5,-0.32981223799999954,-0.0006663217499991436,1782939.0,1
Al4FeCo3,Al4 Co3 Fe1,-0.5611381475000004,-0.006495085885815377,2146849.0,1
Al8FeCo7,Al8 Co7 Fe1,-0.5910615731249997,-0.003414566874999636,2154926.0,1
Gd3CoSn6,Co1 Gd3 Sn6,-0.6357564033607211,-0.025145088999999676,1790943.0,1
GdCo4Sn6,Co4 Gd1 Sn6,-0.311000837146111,-0.004144805100802562,1368900.0,1
TiGePt5,Ge1 Pt5 Ti1,-0.7070166969694662,-0.018826571313175666,2146080.0,1
Ti2GePt8,Ge1 Pt8 Ti2,-0.7653884511429577,-0.0038644458697491,2149411.0,1
TiSiPt5,Pt5 Si1 Ti1,-0.8397923869694657,-0.01647793802230635,2146105.0,1
Ti2SiPt8,Pt8 Si1 Ti2,-0.8507705338702297,-0.004752907205109902,2149228.0,1
GdFeGe3,Fe1 Gd1 Ge3,-0.471438580500001,-0.01899298076966216,1364532.0,2
Gd2Fe3Ge5,Fe3 Gd2 Ge5,-0.47627321699999997,-0.008568361999998941,1800260.0,2
GdFeGe2,Fe1 Gd1 Ge2,-0.545162863125,0.00015889190064444225,1377698.0,3
GaHf2Nb,Ga1 Hf2 Nb1,-0.148837076250002,0.15752132944845668,416385.0,2
GaNbZr2,Ga1 Nb1 Zr2,-0.18577390625,0.16372774125000022,557959.0,2
Nb5Si2V,Nb5 Si2 V1,,,,0
CoSiY,Co1 Si1 Y1,-0.756695126666666,-0.04292804120682003,1368530.0,13
CoSi3Y,Co1 Si3 Y1,-0.6658908840000002,-0.01730087905780331,1475971.0,3
Al3Cu2Y,Al3 Cu2 Y1,-0.437501432500001,-0.010838281453935228,1370163.0,1
CuSnY,Cu1 Sn1 Y1,-0.6476161772837342,-0.06909182810517511,1468383.0,10
B2NbNi2,B2 Nb1 Ni2,-0.504930602,0.01211416587500036,1378348.0,1
C2CrSc,C2 Cr1 Sc1,-0.3452691275,-0.009950280937500777,14516.0,2
C2LaRu,C2 La1 Ru1,-0.17688979874999866,0.0009225186652701001,1751220.0,2
LaNiSi3,La1 Ni1 Si3,-0.678177613,-0.024675506999999985,1364676.0,2
Re4TaZr,Re4 Ta1 Zr1,,,,0
Mo3Os0.5Ge0.5,Ge0.5 Mo3 Os0.5,,,,0
