0449_HM_HfTa4Zr
Wavelength = 1.54059Å, !10.188°/129.982°/0.01671°/1(s), I(p)=17852/490, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:01 AM
Angle	I(o)	I(c)	I(d)	I(b)
10.18836	531	-1	532	0
10.20507	618	-1	619	0
10.22178	604	-1	605	0
10.23849	541	-1	542	0
10.2552	572	-1	573	0
10.27191	573	-1	574	0
10.28862	541	-1	542	0
10.30533	603	-1	604	0
10.32204	562	-1	563	0
10.33875	618	-1	619	0
10.35546	605	-1	606	0
10.37217	568	-1	569	0
10.38888	594	-1	595	0
10.40559	614	-1	615	0
10.4223	576	-1	577	0
10.43901	593	-1	594	0
10.45572	571	-1	572	0
10.47243	571	-1	572	0
10.48914	554	-1	555	0
10.50585	585	-1	586	0
10.52256	584	-1	585	0
10.53927	575	-1	576	0
10.55598	606	-1	607	0
10.57269	588	-1	589	0
10.5894	633	-1	634	0
10.60611	570	-1	571	0
10.62282	563	-1	564	0
10.63953	568	-1	569	0
10.65624	582	-1	583	0
10.67295	530	-1	531	0
10.68966	578	-1	579	0
10.70637	555	-1	556	0
10.72308	519	-1	520	0
10.73979	594	-1	595	0
10.7565	556	-1	557	0
10.77321	541	-1	542	0
10.78992	601	-1	602	0
10.80663	559	-1	560	0
10.82334	547	-1	548	0
10.84004	584	-1	585	0
10.85676	541	-1	542	0
10.87347	603	-1	604	0
10.89018	578	-1	579	0
10.90689	602	-1	603	0
10.9236	557	-1	558	0
10.94031	522	-1	523	0
10.95702	609	-1	610	0
10.97373	550	-1	551	0
10.99044	553	-1	554	0
11.00715	551	-1	552	0
11.02386	548	-1	549	0
11.04057	543	-1	544	0
11.05728	597	-1	598	0
11.07399	563	-1	564	0
11.0907	528	-1	529	0
11.10741	572	-1	573	0
11.12411	569	-1	570	0
11.14083	593	-1	594	0
11.15754	574	-1	575	0
11.17425	525	-1	526	0
11.19096	566	-1	567	0
11.20767	574	-1	575	0
11.22438	578	-1	579	0
11.24109	559	-1	560	0
11.2578	555	-1	556	0
11.27451	584	-1	585	0
11.29122	520	-1	521	0
