HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=27052/1294, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:10 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3622	-1	3623	0
5.02	3710	-1	3711	0
5.04	3590	-1	3591	0
5.06	3479	-1	3480	0
5.08	3506	-1	3507	0
5.1	3601	-1	3602	0
5.12	3555	-1	3556	0
5.14	3510	-1	3511	0
5.16	3538	-1	3539	0
5.18	3538	-1	3539	0
5.2	3495	-1	3496	0
5.22	3490	-1	3491	0
5.24	3554	-1	3555	0
5.26	3558	-1	3559	0
5.28	3522	-1	3523	0
5.3	3415	-1	3416	0
5.32	3513	-1	3514	0
5.34	3454	-1	3455	0
5.36	3524	-1	3525	0
5.38	3558	-1	3559	0
5.4	3589	-1	3590	0
5.42	3557	-1	3558	0
5.44	3605	-1	3606	0
5.46	3486	-1	3487	0
5.48	3514	-1	3515	0
5.5	3599	-1	3600	0
5.52	3506	-1	3507	0
5.54	3556	-1	3557	0
5.56	3490	-1	3491	0
5.58	3556	-1	3557	0
5.6	3512	-1	3513	0
5.62	3563	-1	3564	0
5.64	3544	-1	3545	0
5.66	3543	-1	3544	0
5.68	3650	-1	3651	0
5.7	3576	-1	3577	0
5.72	3524	-1	3525	0
5.74	3602	-1	3603	0
5.76	3522	-1	3523	0
5.78	3547	-1	3548	0
5.8	3462	-1	3463	0
5.82	3472	-1	3473	0
5.84	3495	-1	3496	0
5.86	3612	-1	3613	0
5.88	3545	-1	3546	0
5.9	3489	-1	3490	0
5.92	3403	-1	3404	0
5.94	3558	-1	3559	0
5.96	3477	-1	3478	0
5.98	3429	-1	3430	0
6.0	3563	-1	3564	0
6.02	3487	-1	3488	0
6.04	3483	-1	3484	0
6.06	3410	-1	3411	0
6.08	3533	-1	3534	0
6.1	3465	-1	3466	0
6.12	3373	-1	3374	0
6.14	3569	-1	3570	0
6.16	3469	-1	3470	0
6.18	3453	-1	3454	0
6.2	3553	-1	3554	0
6.22	3448	-1	3449	0
6.24	3452	-1	3453	0
6.26	3495	-1	3496	0
6.28	3431	-1	3432	0
6.3	3490	-1	3491	0
6.32	3413	-1	3414	0
6.34	3394	-1	3395	0
6.36	3425	-1	3426	0
6.38	3509	-1	3510	0
6.4	3467	-1	3468	0
6.42	3553	-1	3554	0
6.44	3427	-1	3428	0
6.46	3491	-1	3492	0
6.48	3599	-1	3600	0
6.5	3464	-1	3465	0
6.52	3420	-1	3421	0
6.54	3548	-1	3549	0
6.56	3448	-1	3449	0
6.58	3554	-1	3555	0
6.6	3465	-1	3466	0
6.62	3476	-1	3477	0
6.64	3518	-1	3519	0
6.66	3528	-1	3529	0
6.68	3495	-1	3496	0
6.7	3576	-1	3577	0
6.72	3462	-1	3463	0
6.74	3503	-1	3504	0
6.76	3477	-1	3478	0
6.78	3565	-1	3566	0
6.8	3552	-1	3553	0
6.82	3427	-1	3428	0
6.84	3559	-1	3560	0
6.86	3500	-1	3501	0
6.88	3607	-1	3608	0
6.9	3540	-1	3541	0
6.92	3366	-1	3367	0
6.94	3412	-1	3413	0
6.96	3519	-1	3520	0
6.98	3455	-1	3456	0
7.0	3605	-1	3606	0
7.02	3485	-1	3486	0
7.04	3529	-1	3530	0
7.06	3558	-1	3559	0
7.08	3439	-1	3440	0
7.1	3523	-1	3524	0
7.12	3410	-1	3411	0
7.14	3453	-1	3454	0
7.16	3531	-1	3532	0
7.18	3404	-1	3405	0
7.2	3597	-1	3598	0
7.22	3330	-1	3331	0
7.24	3483	-1	3484	0
7.26	3398	-1	3399	0
7.28	3436	-1	3437	0
7.3	3530	-1	3531	0
7.32	3429	-1	3430	0
7.34	3527	-1	3528	0
7.36	3512	-1	3513	0
7.38	3647	-1	3648	0
7.4	3411	-1	3412	0
7.42	3580	-1	3581	0
7.44	3434	-1	3435	0
7.46	3420	-1	3421	0
7.48	3428	-1	3429	0
7.5	3443	-1	3444	0
7.52	3482	-1	3483	0
7.54	3497	-1	3498	0
7.56	3414	-1	3415	0
7.58	3417	-1	3418	0
7.6	3400	-1	3401	0
7.62	3405	-1	3406	0
7.64	3498	-1	3499	0
7.66	3430	-1	3431	0
7.68	3474	-1	3475	0
7.7	3541	-1	3542	0
7.72	3454	-1	3455	0
7.74	3370	-1	3371	0
7.76	3447	-1	3448	0
7.78	3533	-1	3534	0
7.8	3424	-1	3425	0
7.82	3544	-1	3545	0
7.84	3511	-1	3512	0
7.86	3481	-1	3482	0
7.88	3395	-1	3396	0
7.9	3488	-1	3489	0
7.92	3465	-1	3466	0
7.94	3480	-1	3481	0
7.96	3425	-1	3426	0
7.98	3435	-1	3436	0
8.0	3499	-1	3500	0
8.02	3523	-1	3524	0
8.04	3504	-1	3505	0
8.06	3493	-1	3494	0
8.08	3465	-1	3466	0
8.1	3465	-1	3466	0
8.12	3503	-1	3504	0
8.14	3495	-1	3496	0
8.16	3417	-1	3418	0
8.18	3493	-1	3494	0
8.2	3441	-1	3442	0
8.22	3477	-1	3478	0
8.24	3386	-1	3387	0
8.26	3376	-1	3377	0
8.28	3344	-1	3345	0
8.3	3594	-1	3595	0
8.32	3437	-1	3438	0
8.34	3436	-1	3437	0
8.36	3470	-1	3471	0
8.38	3419	-1	3420	0
8.4	3467	-1	3468	0
8.42	3468	-1	3469	0
8.44	3472	-1	3473	0
8.46	3427	-1	3428	0
8.48	3442	-1	3443	0
8.5	3349	-1	3350	0
8.52	3463	-1	3464	0
8.54	3475	-1	3476	0
8.56	3482	-1	3483	0
8.58	3439	-1	3440	0
8.6	3422	-1	3423	0
8.62	3456	-1	3457	0
8.64	3510	-1	3511	0
8.66	3381	-1	3382	0
8.68	3318	-1	3319	0
8.7	3506	-1	3507	0
8.72	3492	-1	3493	0
8.74	3494	-1	3495	0
8.76	3434	-1	3435	0
8.78	3485	-1	3486	0
8.8	3498	-1	3499	0
8.82	3382	-1	3383	0
8.84	3509	-1	3510	0
8.86	3439	-1	3440	0
8.88	3472	-1	3473	0
8.9	3415	-1	3416	0
8.92	3318	-1	3319	0
8.94	3362	-1	3363	0
8.96	3391	-1	3392	0
8.98	3433	-1	3434	0
9.0	3425	-1	3426	0
9.02	3486	-1	3487	0
9.04	3428	-1	3429	0
9.06	3492	-1	3493	0
9.08	3528	-1	3529	0
9.1	3499	-1	3500	0
9.12	3594	-1	3595	0
9.14	3444	-1	3445	0
9.16	3530	-1	3531	0
9.18	3564	-1	3565	0
9.2	3406	-1	3407	0
9.22	3441	-1	3442	0
9.24	3465	-1	3466	0
9.26	3389	-1	3390	0
9.28	3347	-1	3348	0
9.3	3368	-1	3369	0
9.32	3369	-1	3370	0
9.34	3542	-1	3543	0
9.36	3440	-1	3441	0
9.38	3529	-1	3530	0
9.4	3386	-1	3387	0
9.42	3411	-1	3412	0
9.44	3400	-1	3401	0
9.46	3505	-1	3506	0
9.48	3328	-1	3329	0
9.5	3510	-1	3511	0
9.52	3427	-1	3428	0
9.54	3499	-1	3500	0
9.56	3497	-1	3498	0
9.58	3564	-1	3565	0
9.6	3407	-1	3408	0
9.62	3505	-1	3506	0
9.64	3452	-1	3453	0
9.66	3541	-1	3542	0
9.68	3520	-1	3521	0
9.7	3423	-1	3424	0
9.72	3484	-1	3485	0
9.74	3578	-1	3579	0
9.76	3441	-1	3442	0
9.78	3544	-1	3545	0
9.8	3426	-1	3427	0
9.82	3476	-1	3477	0
9.84	3510	-1	3511	0
9.86	3489	-1	3490	0
9.88	3488	-1	3489	0
9.9	3482	-1	3483	0
9.92	3403	-1	3404	0
9.94	3536	-1	3537	0
9.96	3472	-1	3473	0
9.98	3464	-1	3465	0
10.0	3481	-1	3482	0
10.02	3509	-1	3510	0
10.04	3582	-1	3583	0
10.06	3433	-1	3434	0
10.08	3663	-1	3664	0
10.1	3524	-1	3525	0
10.12	3504	-1	3505	0
10.14	3637	-1	3638	0
10.16	3461	-1	3462	0
10.18	3485	-1	3486	0
10.2	3539	-1	3540	0
10.22	3610	-1	3611	0
10.24	3507	-1	3508	0
10.26	3482	-1	3483	0
10.28	3394	-1	3395	0
10.3	3529	-1	3530	0
10.32	3570	-1	3571	0
10.34	3540	-1	3541	0
10.36	3583	-1	3584	0
10.38	3614	-1	3615	0
10.4	3649	-1	3650	0
10.42	3584	-1	3585	0
10.44	3562	-1	3563	0
10.46	3676	-1	3677	0
10.48	3664	-1	3665	0
10.5	3539	-1	3540	0
10.52	3608	-1	3609	0
10.54	3716	-1	3717	0
10.56	3580	-1	3581	0
10.58	3589	-1	3590	0
10.6	3554	-1	3555	0
10.62	3573	-1	3574	0
10.64	3631	-1	3632	0
10.66	3513	-1	3514	0
10.68	3570	-1	3571	0
10.7	3732	-1	3733	0
10.72	3604	-1	3605	0
10.74	3750	-1	3751	0
10.76	3627	-1	3628	0
10.78	3677	-1	3678	0
10.8	3702	-1	3703	0
10.82	3612	-1	3613	0
10.84	3627	-1	3628	0
10.86	3623	-1	3624	0
10.88	3672	-1	3673	0
10.9	3670	-1	3671	0
10.92	3733	-1	3734	0
10.94	3700	-1	3701	0
10.96	3621	-1	3622	0
10.98	3637	-1	3638	0
11.0	3715	-1	3716	0
11.02	3631	-1	3632	0
11.04	3667	-1	3668	0
11.06	3611	-1	3612	0
11.08	3754	-1	3755	0
11.1	3670	-1	3671	0
11.12	3755	-1	3756	0
11.14	3735	-1	3736	0
11.16	3741	-1	3742	0
11.18	3830	-1	3831	0
11.2	3812	-1	3813	0
11.22	3603	-1	3604	0
11.24	3660	-1	3661	0
11.26	3775	-1	3776	0
11.28	3731	-1	3732	0
11.3	3707	-1	3708	0
11.32	3844	-1	3845	0
11.34	3756	-1	3757	0
11.36	3804	-1	3805	0
11.38	3719	-1	3720	0
11.4	3844	-1	3845	0
11.42	3729	-1	3730	0
11.44	3782	-1	3783	0
11.46	3567	-1	3568	0
11.48	3893	-1	3894	0
11.5	3920	-1	3921	0
11.52	3831	-1	3832	0
11.54	3868	-1	3869	0
11.56	3759	-1	3760	0
11.58	3853	-1	3854	0
11.6	3836	-1	3837	0
11.62	3915	-1	3916	0
11.64	3865	-1	3866	0
11.66	3859	-1	3860	0
11.68	3813	-1	3814	0
11.7	3873	-1	3874	0
11.72	3849	-1	3850	0
11.74	3938	-1	3939	0
11.76	3984	-1	3985	0
11.78	3925	-1	3926	0
11.8	3893	-1	3894	0
11.82	3969	-1	3970	0
11.84	3995	-1	3996	0
11.86	3879	-1	3880	0
11.88	3969	-1	3970	0
11.9	4104	-1	4105	0
11.92	3858	-1	3859	0
11.94	4030	-1	4031	0
11.96	3913	-1	3914	0
11.98	3915	-1	3916	0
12.0	3950	4063	-113	4060
12.02	3966	4071	-105	4068
12.04	4044	4078	-34	4075
12.06	4056	4085	-29	4082
12.08	4070	4093	-23	4090
12.1	4052	4101	-49	4098
12.12	4078	4108	-30	4105
12.14	3988	4116	-128	4113
12.16	3931	4124	-193	4121
12.18	4133	4132	1	4129
12.2	3959	4140	-181	4137
12.22	4059	4148	-89	4145
12.24	4086	4156	-70	4153
12.26	4043	4164	-121	4161
12.28	4073	4173	-100	4170
12.3	4175	4181	-6	4178
12.32	4299	4189	110	4186
12.34	4086	4198	-112	4195
12.36	4194	4206	-12	4203
12.38	4247	4215	32	4212
12.4	4270	4224	46	4221
12.42	4156	4232	-76	4229
12.44	4110	4241	-131	4238
12.46	4246	4250	-4	4247
12.48	4109	4259	-150	4256
12.5	4240	4268	-28	4265
12.52	4202	4278	-76	4274
12.54	4332	4287	45	4284
12.56	4199	4296	-97	4293
12.58	4309	4306	3	4302
12.6	4321	4315	6	4312
12.62	4245	4325	-80	4321
12.64	4247	4334	-87	4331
12.66	4247	4344	-97	4341
12.68	4240	4354	-114	4351
12.7	4385	4364	21	4361
12.72	4404	4374	30	4370
12.74	4279	4384	-105	4381
12.76	4328	4394	-66	4391
12.78	4393	4404	-11	4401
12.8	4366	4414	-48	4411
12.82	4374	4425	-51	4422
12.84	4479	4435	44	4432
12.86	4384	4446	-62	4443
12.88	4335	4456	-121	4453
12.9	4391	4467	-76	4464
12.92	4408	4478	-70	4475
12.94	4327	4489	-162	4486
12.96	4479	4500	-21	4497
12.98	4418	4511	-93	4508
13.0	4468	4522	-54	4519
13.02	4403	4533	-130	4530
13.04	4458	4545	-87	4542
13.06	4422	4556	-134	4553
13.08	4521	4568	-47	4565
13.1	4520	4580	-60	4576
13.12	4581	4591	-10	4588
13.14	4514	4603	-89	4600
13.16	4600	4615	-15	4612
13.18	4545	4627	-82	4624
13.2	4542	4639	-97	4636
13.22	4668	4651	17	4648
13.24	4590	4664	-74	4660
13.26	4510	4676	-166	4673
13.28	4665	4689	-24	4685
13.3	4600	4701	-101	4698
13.32	4659	4714	-55	4711
13.34	4615	4727	-112	4723
13.36	4568	4740	-172	4736
13.38	4650	4753	-103	4749
13.4	4502	4766	-264	4762
13.42	4843	4779	64	4776
13.44	4795	4792	3	4789
13.46	4708	4805	-97	4802
13.48	4609	4819	-210	4816
13.5	4593	4833	-240	4829
13.52	4713	4846	-133	4843
13.54	4695	4860	-165	4857
13.56	4741	4874	-133	4871
13.58	4853	4888	-35	4885
13.6	4763	4902	-139	4899
13.62	4774	4916	-142	4913
13.64	4876	4931	-55	4927
13.66	4910	4945	-35	4942
13.68	4915	4960	-45	4956
13.7	4903	4974	-71	4971
13.72	4937	4989	-52	4986
13.74	4934	5004	-70	5001
13.76	4909	5019	-110	5016
13.78	4868	5034	-166	5031
13.8	5022	5049	-27	5046
13.82	4832	5065	-233	5061
13.84	4974	5080	-106	5077
13.86	4903	5096	-193	5092
13.88	5043	5111	-68	5108
13.9	4944	5127	-183	5124
13.92	4983	5143	-160	5139
13.94	5155	5159	-4	5155
13.96	5037	5175	-138	5172
13.98	5126	5191	-65	5188
14.0	5154	5208	-54	5204
14.02	5148	5224	-76	5221
14.04	5306	5241	65	5237
14.06	5194	5257	-63	5254
14.08	5151	5274	-123	5271
14.1	5297	5291	6	5287
14.12	5203	5308	-105	5304
14.14	5218	5325	-107	5322
14.16	5268	5342	-74	5339
14.18	5169	5360	-191	5356
14.2	5356	5377	-21	5374
14.22	5353	5395	-42	5391
14.24	5372	5413	-41	5409
14.26	5423	5431	-8	5427
14.28	5408	5449	-41	5445
14.3	5482	5467	15	5463
14.32	5336	5485	-149	5481
14.34	5488	5503	-15	5500
14.36	5515	5522	-7	5518
14.38	5417	5541	-124	5537
14.4	5533	5559	-26	5556
14.42	5595	5578	17	5575
14.44	5690	5597	93	5594
14.46	5506	5616	-110	5613
14.48	5666	5636	30	5632
14.5	5551	5655	-104	5651
14.52	5602	5674	-72	5671
14.54	5707	5694	13	5691
14.56	5590	5714	-124	5710
14.58	5717	5734	-17	5730
14.6	5682	5754	-72	5750
14.62	5801	5774	27	5770
14.64	5761	5794	-33	5791
14.66	5727	5815	-88	5811
14.68	5924	5835	89	5832
14.7	5881	5856	25	5852
14.72	5912	5877	35	5873
14.74	5997	5898	99	5894
14.76	6013	5919	94	5915
14.78	5995	5940	55	5937
14.8	5867	5962	-95	5958
14.82	5945	5983	-38	5979
14.84	5986	6005	-19	6001
14.86	5950	6027	-77	6023
14.88	6008	6048	-40	6045
14.9	6010	6071	-61	6067
14.92	6065	6093	-28	6089
14.94	6088	6115	-27	6111
14.96	6015	6138	-123	6134
14.98	6114	6160	-46	6156
15.0	6289	6183	106	6179
15.02	6298	6206	92	6202
15.04	6048	6229	-181	6225
15.06	6308	6252	56	6248
15.08	6183	6275	-92	6272
15.1	6121	6299	-178	6295
15.12	6272	6323	-51	6319
15.14	6461	6346	115	6343
15.16	6429	6370	59	6366
15.18	6348	6394	-46	6390
15.2	6474	6419	55	6415
15.22	6428	6443	-15	6439
15.24	6311	6467	-156	6464
15.26	6481	6492	-11	6488
15.28	6547	6517	30	6513
15.3	6373	6542	-169	6538
15.32	6627	6567	60	6563
15.34	6552	6592	-40	6588
15.36	6457	6617	-160	6614
15.38	6635	6643	-8	6639
15.4	6845	6669	176	6665
15.42	6646	6694	-48	6691
15.44	6847	6720	127	6717
15.46	6689	6746	-57	6743
15.48	6734	6773	-39	6769
15.5	6726	6799	-73	6795
15.52	6904	6825	79	6821
15.54	6958	6852	106	6848
15.56	6968	6878	90	6874
15.58	6865	6905	-40	6901
15.6	6948	6932	16	6928
15.62	6748	6959	-211	6955
