0451_HM_MoTaZr2
Wavelength = 1.54059Å, !30.008°/129.667°/0.01671°/1(s), I(p)=18857/651, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:16 AM
Angle	I(o)	I(c)	I(d)	I(b)
30.00836	703	737	-34	684
30.02507	660	740	-80	684
30.04178	689	740	-51	684
30.05849	699	741	-42	685
30.0752	717	741	-24	685
30.09191	710	741	-31	685
30.10862	656	739	-83	686
30.12533	716	737	-21	686
30.14204	684	733	-49	686
30.15875	659	730	-71	687
30.17546	694	726	-32	687
30.19217	679	722	-43	688
30.20888	669	717	-48	688
30.22559	693	713	-20	688
30.2423	693	708	-15	689
30.25901	658	704	-46	689
30.27572	718	700	18	689
30.29243	708	696	12	690
30.30914	714	692	22	690
30.32585	698	689	9	691
30.34256	681	686	-5	691
30.35927	712	683	29	691
30.37598	718	681	37	692
30.39269	677	679	-2	692
30.4094	716	677	39	692
30.42611	691	675	16	693
30.44282	693	674	19	693
30.45953	726	673	53	694
30.47624	651	671	-20	694
30.49295	651	670	-19	694
30.50966	696	669	27	695
30.52637	695	668	27	695
30.54308	696	668	28	695
30.55979	698	668	30	696
30.5765	733	667	66	696
30.59321	712	667	45	697
30.60992	709	667	42	697
30.62663	694	667	27	697
30.64334	696	666	30	698
30.66005	717	666	51	698
30.67676	712	666	46	698
30.69347	671	666	5	699
30.71018	715	666	49	699
30.72689	679	666	13	700
30.7436	682	667	15	700
30.76031	723	667	56	700
30.77702	714	667	47	701
30.79373	687	667	20	701
30.81044	683	667	16	701
30.82715	692	667	25	702
30.84386	707	667	40	702
30.86057	708	667	41	703
30.87728	703	667	36	703
30.89399	659	667	-8	703
30.9107	691	667	24	704
30.92741	714	667	47	704
30.94412	755	667	88	704
30.96083	715	667	48	705
30.97754	702	667	35	705
30.99425	690	667	23	706
31.01096	651	667	-16	706
31.02767	733	667	66	706
31.04438	709	668	41	707
31.06109	695	668	27	707
31.0778	700	669	31	707
31.09451	684	669	15	708
31.11122	672	671	1	708
31.12793	701	672	29	709
31.14464	709	672	37	709
31.16135	773	673	100	709
31.17806	736	673	63	710
31.19477	733	674	59	710
31.21148	684	674	10	711
31.22819	737	675	62	711
31.2449	707	676	31	711
31.26161	718	677	41	712
31.27832	729	678	51	712
31.29503	698	679	19	712
31.31174	703	681	22	713
31.32845	757	683	74	713
31.34516	771	686	85	714
31.36187	762	688	74	714
31.37858	744	692	52	714
31.39529	718	696	22	715
31.412	722	701	21	715
31.42871	739	707	32	716
31.44542	769	713	56	716
31.46213	715	720	-5	716
31.47884	693	729	-36	717
31.49555	753	740	13	717
31.51226	744	751	-7	717
31.52897	745	762	-17	718
31.54568	691	774	-83	718
31.56239	679	787	-108	719
31.5791	730	800	-70	719
31.59581	756	814	-58	719
31.61252	732	826	-94	720
31.62923	698	838	-140	720
31.64594	728	848	-120	721
31.66265	728	858	-130	721
31.67936	768	864	-96	721
31.69607	758	872	-114	722
31.71278	747	873	-126	722
31.72949	796	871	-75	723
31.7462	665	867	-202	723
31.76291	665	861	-196	723
31.77962	726	853	-127	724
31.79633	724	843	-119	724
31.81304	757	832	-75	725
31.82975	764	820	-56	725
31.84646	756	808	-52	725
31.86317	705	795	-90	726
31.87988	728	783	-55	726
31.89659	726	772	-46	727
31.9133	776	760	16	727
31.93001	712	750	-38	727
31.94672	730	741	-11	728
31.96343	746	733	13	728
31.98014	726	726	0	729
31.99685	723	720	3	729
32.01356	701	714	-13	729
32.03027	809	710	99	730
32.04698	744	706	38	730
32.06369	737	703	34	731
32.08039	748	700	48	731
32.09711	755	698	57	731
32.11382	731	696	35	732
32.13053	792	694	98	732
32.14724	722	693	29	733
32.16394	747	692	55	733
32.18066	796	692	104	734
32.19736	755	691	64	734
32.21408	763	691	72	734
32.23079	766	691	75	735
32.2475	772	691	81	735
32.26421	757	690	67	736
32.28091	748	690	58	736
32.29763	705	690	15	736
32.31433	781	690	91	737
32.33105	780	690	90	737
32.34776	771	690	81	738
32.36447	713	690	23	738
32.38118	801	690	111	739
32.39788	745	690	55	739
32.4146	775	691	84	739
32.4313	855	691	164	740
32.44802	734	689	45	740
32.46473	799	690	109	741
32.48144	744	690	54	741
32.49815	737	690	47	741
32.51485	774	690	84	742
32.53157	698	691	7	742
32.54827	750	694	56	743
32.56499	803	695	108	743
32.5817	750	696	54	744
32.59841	771	697	74	744
32.61512	774	698	76	744
32.63182	807	699	108	745
32.64854	748	699	49	745
32.66525	834	700	134	746
32.68196	806	702	104	746
32.69867	755	703	52	747
32.71538	797	705	92	747
32.73209	765	710	55	747
32.74879	759	713	46	748
32.76551	760	716	44	748
32.78222	807	720	87	749
32.79893	764	724	40	749
32.81564	772	728	44	750
32.83235	770	733	37	750
32.84906	795	738	57	751
32.86576	824	743	81	751
32.88248	803	749	54	751
32.89919	764	755	9	752
32.9159	804	761	43	752
32.93261	816	767	49	753
32.94932	769	773	-4	753
32.96603	785	779	6	754
32.98273	781	785	-4	754
32.99945	794	791	3	755
33.01616	766	797	-31	755
33.03287	827	801	26	755
33.04958	818	805	13	756
33.06629	796	809	-13	756
33.083	744	813	-69	757
33.0997	801	815	-14	757
33.11642	769	816	-47	758
33.13313	804	817	-13	758
33.14984	803	816	-13	759
33.16655	749	815	-66	759
33.18325	756	812	-56	759
33.19997	776	809	-33	760
33.21667	786	806	-20	760
33.23339	747	802	-55	761
33.2501	817	797	20	761
33.26681	796	793	3	762
33.28352	783	789	-6	762
33.30022	822	784	38	763
33.31694	801	780	21	763
33.33364	819	776	43	763
33.35036	792	772	20	764
33.36707	825	769	56	764
33.38378	787	766	21	765
33.40049	785	764	21	765
33.41719	863	762	101	766
33.43391	822	761	61	766
33.45061	772	760	12	767
33.46733	762	757	5	767
33.48404	805	754	51	768
33.50075	786	755	31	768
33.51746	818	756	62	768
33.53416	769	756	13	769
33.55088	797	757	40	769
33.56758	765	757	8	770
33.5843	805	757	48	770
33.60101	823	757	66	771
33.61772	830	757	73	771
33.63443	817	756	61	772
33.65113	797	755	42	772
33.66785	768	755	13	773
33.68456	851	754	97	773
33.70127	848	753	95	774
33.71798	836	752	84	774
33.73469	789	751	38	774
33.7514	789	750	39	775
33.7681	821	749	72	775
33.78482	875	748	127	776
33.80153	793	747	46	776
33.81824	864	747	117	777
33.83495	818	746	72	777
33.85166	864	746	118	778
33.86837	867	746	121	778
33.88507	810	746	64	779
33.90179	789	746	43	779
33.9185	823	747	76	780
33.93521	868	747	121	780
33.95192	819	748	71	780
33.96863	806	748	58	781
33.98534	791	749	42	781
34.00204	770	750	20	782
34.01876	811	752	59	782
34.03547	874	752	122	783
34.05218	808	754	54	783
34.06889	854	754	100	784
34.0856	877	756	121	784
34.10231	823	759	64	785
34.11901	831	762	69	785
34.13573	885	764	121	786
34.15244	799	767	32	786
34.16915	853	770	83	786
34.18586	833	774	59	787
34.20256	868	777	91	787
34.21928	820	781	39	788
34.23598	808	786	22	788
34.2527	859	790	69	789
34.26941	815	795	20	789
34.28612	889	800	89	790
34.30283	896	806	90	790
34.31953	898	811	87	791
34.33625	898	817	81	791
34.35295	875	823	52	792
34.36967	852	829	23	792
34.38638	873	834	39	792
34.40309	856	839	17	793
34.4198	920	844	76	793
34.4365	878	848	30	794
34.45322	879	851	28	794
34.46992	836	854	-18	795
34.48664	815	857	-42	795
34.50335	839	859	-20	796
34.52006	836	860	-24	796
34.53677	931	861	70	797
34.55347	873	861	12	797
34.57019	869	861	8	798
34.58689	905	861	44	798
34.60361	920	861	59	798
34.62032	849	860	-11	799
34.63703	952	860	92	799
34.65374	920	860	60	800
34.67044	937	860	77	800
34.68716	861	861	0	801
34.70387	951	862	89	801
34.72058	915	863	52	802
34.73729	932	865	67	802
34.754	911	868	43	803
34.77071	930	871	59	803
34.78741	899	874	25	804
34.80413	948	879	69	804
34.82084	981	884	97	804
34.83755	955	889	66	805
34.85426	958	895	63	805
34.87097	961	902	59	806
34.88768	1006	909	97	806
34.90438	1014	917	97	807
34.9211	948	925	23	807
34.93781	1003	934	69	808
34.95452	1028	944	84	808
34.97123	1020	954	66	809
34.98794	1013	964	49	809
35.00465	973	975	-2	809
35.02135	1063	985	78	810
35.03807	1097	996	101	810
35.05478	1047	1007	40	811
35.07149	999	1017	-18	811
35.0882	1072	1028	44	812
35.10491	1085	1039	46	812
35.12162	1104	1050	54	813
35.13832	1132	1061	71	813
35.15504	1103	1073	30	814
35.17175	1137	1086	51	814
35.18846	1084	1100	-16	814
35.20517	1065	1114	-49	815
35.22187	1136	1131	5	815
35.23859	1125	1150	-25	816
35.25529	1153	1171	-18	816
35.27201	1225	1196	29	817
35.28872	1157	1223	-66	817
35.30543	1295	1254	41	818
35.32214	1286	1288	-2	818
35.33884	1182	1327	-145	818
35.35556	1335	1371	-36	819
35.37226	1274	1419	-145	819
35.38898	1268	1473	-205	820
35.40569	1350	1531	-181	820
35.4224	1279	1597	-318	821
35.43911	1348	1668	-320	821
35.45581	1365	1746	-381	822
35.47253	1370	1830	-460	822
35.48923	1364	1921	-557	822
35.50595	1433	2019	-586	823
35.52266	1492	2123	-631	823
35.53937	1525	2234	-709	824
35.55608	1599	2351	-752	824
35.57278	1568	2474	-906	825
35.5895	1638	2603	-965	825
35.6062	1742	2735	-993	826
35.62292	1749	2872	-1123	826
35.63963	1832	3012	-1180	826
35.65634	1895	3152	-1257	827
35.67305	1869	3293	-1424	827
35.68975	1886	3433	-1547	828
35.70647	2015	3570	-1555	828
35.72318	2030	3703	-1673	829
35.73989	2125	3828	-1703	829
35.7566	2216	3948	-1732	829
35.77331	2420	4060	-1640	830
35.79002	2262	4163	-1901	830
35.80672	2570	4258	-1688	831
35.82344	2610	4342	-1732	831
35.84015	2651	4417	-1766	832
35.85686	2752	4482	-1730	832
35.87357	2914	4537	-1623	832
35.89028	3104	4584	-1480	833
35.90699	3113	4621	-1508	833
35.92369	3362	4649	-1287	834
35.94041	3383	4669	-1286	834
35.95712	3593	4680	-1087	835
35.97383	3687	4684	-997	835
35.99054	3745	4681	-936	835
36.00725	3975	4673	-698	836
36.02396	4110	4662	-552	836
36.04066	4177	4647	-470	837
36.05738	4266	4631	-365	837
36.07409	4629	4615	14	838
36.0908	4585	4603	-18	838
36.10751	4807	4598	209	838
36.12422	5023	4600	423	839
36.14093	5105	4611	494	839
36.15763	5252	4633	619	840
36.17435	5430	4669	761	840
36.19106	5642	4721	921	840
36.20777	5834	4789	1045	841
36.22448	5951	4874	1077	841
36.24118	6252	4977	1275	842
36.2579	6195	5099	1096	842
36.2746	6719	5239	1480	842
36.29132	6867	5397	1470	843
36.30803	7008	5572	1436	843
36.32474	7035	5762	1273	844
36.34145	7383	5966	1417	844
36.35815	7672	6182	1490	844
36.37487	7886	6407	1479	845
36.39157	8223	6638	1585	845
36.40829	8448	6870	1578	846
36.425	8717	7102	1615	846
36.44171	8977	7326	1651	846
36.45842	9254	7539	1715	847
36.47512	9344	7736	1608	847
36.49184	9509	7911	1598	848
36.50854	9845	8060	1785	848
36.52526	9780	8178	1602	848
36.54197	9817	8261	1556	849
36.55868	9724	8308	1416	849
36.57539	9745	8316	1429	850
36.59209	9669	8286	1383	850
36.60881	9548	8218	1330	850
36.62551	9290	8113	1177	851
36.64223	9195	7972	1223	851
36.65894	9050	7800	1250	852
36.67565	8698	7598	1100	852
36.69236	8250	7372	878	852
36.70906	7956	7126	830	853
36.72578	7519	6862	657	853
36.74249	6798	6587	211	853
36.7592	6593	6302	291	854
36.77591	6257	6013	244	854
36.79262	5785	5722	63	855
36.80933	5553	5432	121	855
36.82603	5116	5147	-31	855
36.84275	4799	4867	-68	856
36.85946	4444	4596	-152	856
36.87617	4193	4335	-142	856
36.89288	3839	4085	-246	857
36.90959	3754	3847	-93	857
36.9263	3562	3621	-59	858
36.943	3187	3409	-222	858
36.95972	3132	3210	-78	858
36.97643	2924	3026	-102	859
36.99314	2754	2855	-101	859
37.00985	2765	2697	68	859
37.02656	2556	2552	4	860
37.04327	2438	2419	19	860
37.05997	2317	2298	19	860
37.07669	2279	2188	91	861
37.0934	2164	2089	75	861
37.11011	2093	2000	93	862
37.12682	1982	1919	63	862
37.14353	1916	1847	69	862
37.16024	1905	1784	121	863
37.17694	1792	1727	65	863
37.19366	1813	1676	137	863
37.21037	1718	1631	87	864
37.22708	1655	1591	64	864
37.24379	1693	1556	137	864
37.2605	1613	1525	88	865
37.27721	1527	1498	29	865
37.29391	1546	1474	72	865
37.31063	1538	1453	85	866
37.32734	1522	1434	88	866
37.34405	1500	1419	81	866
37.36076	1508	1405	103	867
37.37746	1535	1394	141	867
37.39418	1476	1384	92	867
37.41088	1427	1376	51	868
37.4276	1422	1370	52	868
37.44431	1395	1364	31	868
37.46102	1329	1360	-31	869
37.47773	1413	1357	56	869
37.49443	1370	1355	15	869
37.51115	1356	1354	2	870
37.52785	1300	1353	-53	870
37.54457	1342	1353	-11	870
37.56128	1319	1354	-35	871
37.57799	1324	1354	-30	871
37.5947	1329	1355	-26	871
37.6114	1305	1356	-51	871
37.62812	1320	1357	-37	872
37.64482	1339	1358	-19	872
37.66154	1279	1359	-80	872
37.67825	1253	1360	-107	873
37.69496	1354	1361	-7	873
37.71167	1269	1361	-92	873
37.72837	1248	1362	-114	874
37.74509	1350	1363	-13	874
37.7618	1319	1364	-45	874
37.77851	1295	1365	-70	874
37.79522	1328	1366	-38	875
37.81193	1366	1366	0	875
37.82864	1295	1367	-72	875
37.84534	1331	1367	-36	876
37.86206	1386	1368	18	876
37.87877	1347	1368	-21	876
37.89548	1310	1368	-58	877
37.91219	1333	1368	-35	877
37.9289	1390	1368	22	877
37.94561	1345	1369	-24	877
37.96231	1297	1369	-72	878
37.97903	1338	1371	-33	878
37.99574	1309	1373	-64	878
38.01245	1306	1376	-70	878
38.02916	1420	1378	42	879
38.04587	1409	1384	25	879
38.06258	1397	1389	8	879
38.07928	1427	1397	30	880
38.096	1461	1407	54	880
38.11271	1383	1418	-35	880
38.12942	1452	1431	21	880
38.14613	1477	1447	30	881
38.16284	1503	1464	39	881
38.17955	1508	1484	24	881
38.19625	1537	1507	30	881
38.21297	1559	1532	27	882
38.22968	1569	1561	8	882
38.24639	1606	1593	13	882
38.2631	1611	1626	-15	882
