HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=22272/1361, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:20 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	4123	4054	69	4044
5.02	4018	4059	-41	4048
5.04	4056	4063	-7	4052
5.06	4033	4067	-34	4057
5.08	4042	4072	-30	4061
5.1	3927	4076	-149	4065
5.12	4063	4080	-17	4070
5.14	4207	4084	123	4074
5.16	4103	4089	14	4078
5.18	4073	4093	-20	4082
5.2	4050	4097	-47	4086
5.22	4177	4101	76	4091
5.24	4111	4106	5	4095
5.26	4153	4110	43	4099
5.28	4074	4114	-40	4103
5.3	4207	4118	89	4107
5.32	4110	4122	-12	4111
5.34	4081	4126	-45	4115
5.36	4116	4130	-14	4119
5.38	4264	4134	130	4123
5.4	4159	4138	21	4127
5.42	4272	4142	130	4131
5.44	4318	4145	173	4135
5.46	4164	4149	15	4139
5.48	4251	4153	98	4142
5.5	4187	4157	30	4146
5.52	4276	4160	116	4150
5.54	4371	4164	207	4153
5.56	4245	4167	78	4157
5.58	4332	4171	161	4160
5.6	4264	4174	90	4163
5.62	4288	4177	111	4167
5.64	4194	4181	13	4170
5.66	4144	4184	-40	4173
5.68	4187	4187	0	4176
5.7	4264	4190	74	4179
5.72	4219	4193	26	4182
5.74	4349	4196	153	4185
5.76	4227	4199	28	4188
5.78	4134	4202	-68	4191
5.8	4186	4204	-18	4193
5.82	4300	4207	93	4196
5.84	4184	4209	-25	4199
5.86	4230	4212	18	4201
5.88	4186	4214	-28	4203
5.9	4246	4216	30	4205
5.92	4254	4218	36	4208
5.94	4283	4220	63	4210
5.96	4100	4222	-122	4212
5.98	4262	4224	38	4213
6.0	4212	4226	-14	4215
6.02	4182	4227	-45	4217
6.04	4293	4229	64	4218
6.06	4218	4230	-12	4220
6.08	4284	4232	52	4221
6.1	4233	4233	0	4222
6.12	4267	4234	33	4223
6.14	4135	4235	-100	4224
6.16	4192	4236	-44	4225
6.18	4225	4237	-12	4226
6.2	4282	4238	44	4227
6.22	4198	4238	-40	4228
6.24	4172	4239	-67	4228
6.26	4222	4240	-18	4229
6.28	4252	4240	12	4229
6.3	4139	4240	-101	4230
6.32	4221	4241	-20	4230
6.34	4297	4241	56	4230
6.36	4298	4241	57	4230
6.38	4377	4241	136	4230
6.4	4260	4241	19	4230
6.42	4128	4241	-113	4230
6.44	4156	4241	-85	4230
6.46	4303	4241	62	4230
6.48	4253	4240	13	4230
6.5	4139	4240	-101	4229
6.52	4364	4239	125	4229
6.54	4250	4239	11	4228
6.56	4212	4238	-26	4228
6.58	4251	4238	13	4227
6.6	4280	4237	43	4226
6.62	4142	4236	-94	4226
6.64	4227	4235	-8	4225
6.66	4253	4235	18	4224
6.68	4288	4234	54	4223
6.7	4279	4233	46	4222
6.72	4253	4232	21	4221
6.74	4252	4231	21	4220
6.76	4159	4229	-70	4219
6.78	4181	4228	-47	4218
6.8	4144	4227	-83	4216
6.82	4157	4226	-69	4215
6.84	4173	4224	-51	4214
6.86	4186	4223	-37	4212
6.88	4243	4222	21	4211
6.9	4284	4220	64	4209
6.92	4239	4219	20	4208
6.94	4168	4217	-49	4206
6.96	4213	4216	-3	4205
6.98	4228	4214	14	4203
7.0	4193	4212	-19	4202
7.02	4305	4211	94	4200
7.04	4382	4209	173	4198
7.06	4196	4207	-11	4196
7.08	4175	4205	-30	4195
7.1	4172	4204	-32	4193
7.12	4259	4202	57	4191
7.14	4090	4200	-110	4189
7.16	4205	4198	7	4187
7.18	4161	4196	-35	4185
7.2	4082	4194	-112	4183
7.22	4214	4192	22	4181
7.24	4228	4190	38	4179
7.26	4264	4188	76	4177
7.28	4012	4186	-174	4175
7.3	4252	4184	68	4173
7.32	4127	4182	-55	4171
7.34	4090	4180	-90	4169
7.36	4141	4178	-37	4167
7.38	4169	4176	-7	4165
7.4	4256	4174	82	4163
7.42	4252	4172	80	4161
7.44	4081	4170	-89	4159
7.46	4220	4167	53	4157
7.48	4149	4165	-16	4155
7.5	4231	4163	68	4153
7.52	4220	4161	59	4150
7.54	4202	4159	43	4148
7.56	4210	4157	53	4146
7.58	4206	4155	51	4144
7.6	4199	4153	46	4142
7.62	4089	4151	-62	4140
7.64	4208	4148	60	4138
7.66	4134	4146	-12	4136
7.68	4212	4144	68	4134
7.7	4084	4142	-58	4132
7.72	4132	4140	-8	4129
7.74	4194	4138	56	4127
7.76	4232	4136	96	4125
7.78	4268	4134	134	4123
7.8	4147	4132	15	4121
7.82	4204	4130	74	4119
7.84	4267	4128	139	4117
7.86	4154	4126	28	4115
7.88	4113	4124	-11	4114
7.9	4142	4122	20	4112
7.92	4009	4120	-111	4110
7.94	4150	4119	31	4108
7.96	4188	4117	71	4106
7.98	4376	4115	261	4104
8.0	4225	4113	112	4102
8.02	4159	4111	48	4101
8.04	4191	4110	81	4099
8.06	4244	4108	136	4097
8.08	4138	4106	32	4096
8.1	4241	4105	136	4094
8.12	4213	4103	110	4092
8.14	4175	4101	74	4091
8.16	4169	4100	69	4089
8.18	4127	4098	29	4088
8.2	4216	4097	119	4086
8.22	4093	4095	-2	4085
8.24	4109	4094	15	4083
8.26	4164	4093	71	4082
8.28	4113	4091	22	4080
8.3	4167	4090	77	4079
8.32	4113	4089	24	4078
8.34	4109	4087	22	4077
8.36	4089	4086	3	4075
8.38	4081	4085	-4	4074
8.4	4203	4084	119	4073
8.42	4036	4082	-46	4072
8.44	4199	4081	118	4071
8.46	4205	4080	125	4070
8.48	4050	4079	-29	4068
8.5	4014	4078	-64	4067
8.52	4201	4077	124	4066
8.54	4224	4076	148	4066
8.56	4014	4075	-61	4065
8.58	4141	4074	67	4064
8.6	4016	4074	-58	4063
8.62	4131	4073	58	4062
8.64	4181	4072	109	4061
8.66	4198	4071	127	4061
8.68	4127	4071	56	4060
8.7	4010	4070	-60	4059
8.72	4150	4069	81	4059
8.74	4082	4069	13	4058
8.76	4273	4068	205	4057
8.78	4253	4068	185	4057
8.8	4145	4067	78	4056
8.82	4217	4067	150	4056
8.84	4082	4066	16	4056
8.86	4093	4066	27	4055
8.88	4102	4066	36	4055
8.9	4208	4065	143	4055
8.92	4099	4065	34	4055
8.94	4094	4065	29	4054
8.96	4025	4065	-40	4054
8.98	4245	4065	180	4054
9.0	4143	4065	78	4054
9.02	4203	4065	138	4054
9.04	4108	4065	43	4054
9.06	4221	4065	156	4054
9.08	4190	4065	125	4054
9.1	4151	4065	86	4054
9.12	4202	4065	137	4055
9.14	4107	4065	42	4055
9.16	4004	4066	-62	4055
9.18	4075	4066	9	4055
9.2	4144	4066	78	4056
9.22	4029	4067	-38	4056
9.24	4081	4067	14	4057
9.26	4138	4068	70	4057
9.28	4147	4068	79	4058
9.3	4111	4069	42	4058
9.32	4125	4070	55	4059
9.34	4087	4070	17	4060
9.36	4196	4071	125	4060
9.38	4089	4072	17	4061
9.4	4223	4073	150	4062
9.42	4115	4074	41	4063
9.44	4046	4075	-29	4064
9.46	4152	4076	76	4065
9.48	4255	4077	178	4066
9.5	4049	4078	-29	4067
9.52	4068	4079	-11	4068
9.54	4139	4080	59	4069
9.56	4067	4081	-14	4071
9.58	4136	4083	53	4072
9.6	4129	4084	45	4073
9.62	4092	4085	7	4075
9.64	4141	4087	54	4076
9.66	4118	4088	30	4078
9.68	4132	4090	42	4079
9.7	4025	4091	-66	4081
9.72	4121	4093	28	4082
9.74	4130	4095	35	4084
9.76	3947	4097	-150	4086
9.78	4026	4098	-72	4088
9.8	4082	4100	-18	4090
9.82	4073	4102	-29	4092
9.84	4094	4104	-10	4094
9.86	4023	4106	-83	4096
9.88	4136	4108	28	4098
9.9	3933	4111	-178	4100
9.92	4154	4113	41	4102
9.94	4071	4115	-44	4104
9.96	4071	4117	-46	4107
9.98	4037	4120	-83	4109
10.0	4184	4122	62	4111
10.02	4145	4125	20	4114
10.04	4074	4127	-53	4117
10.06	4013	4130	-117	4119
10.08	4091	4132	-41	4122
10.1	4100	4135	-35	4125
10.12	4097	4138	-41	4127
10.14	4029	4141	-112	4130
10.16	4047	4144	-97	4133
10.18	4229	4147	82	4136
10.2	4050	4150	-100	4139
10.22	4094	4153	-59	4142
10.24	4099	4156	-57	4145
10.26	4171	4159	12	4149
10.28	4176	4163	13	4152
10.3	4123	4166	-43	4155
10.32	4250	4169	81	4159
10.34	4000	4173	-173	4162
10.36	4058	4176	-118	4166
10.38	4023	4180	-157	4169
10.4	4148	4184	-36	4173
10.42	4147	4187	-40	4177
10.44	4002	4191	-189	4180
10.46	4108	4195	-87	4184
10.48	4139	4199	-60	4188
10.5	4037	4203	-166	4192
10.52	4099	4207	-108	4196
10.54	4216	4211	5	4200
10.56	4159	4215	-56	4205
10.58	4088	4219	-131	4209
10.6	4146	4224	-78	4213
10.62	4057	4228	-171	4217
10.64	4116	4233	-117	4222
10.66	4222	4237	-15	4226
10.68	4069	4242	-173	4231
10.7	4275	4246	29	4236
10.72	4290	4251	39	4240
10.74	4187	4256	-69	4245
10.76	4132	4261	-129	4250
10.78	4220	4266	-46	4255
10.8	4287	4271	16	4260
10.82	4087	4276	-189	4265
10.84	4233	4281	-48	4270
10.86	4240	4286	-46	4275
10.88	4179	4291	-112	4281
10.9	4142	4297	-155	4286
10.92	4124	4302	-178	4292
10.94	4084	4308	-224	4297
10.96	4199	4313	-114	4303
10.98	4184	4319	-135	4308
11.0	4229	4325	-96	4314
11.02	4114	4330	-216	4320
11.04	4254	4336	-82	4326
11.06	4143	4342	-199	4332
11.08	4240	4348	-108	4338
11.1	4210	4354	-144	4344
11.12	4133	4361	-228	4350
11.14	4283	4367	-84	4356
11.16	4242	4373	-131	4363
11.18	4338	4380	-42	4369
11.2	4406	4386	20	4375
11.22	4264	4393	-129	4382
11.24	4349	4399	-50	4389
11.26	4271	4406	-135	4395
11.28	4273	4413	-140	4402
11.3	4249	4420	-171	4409
11.32	4455	4427	28	4416
11.34	4440	4434	6	4423
11.36	4335	4441	-106	4430
11.38	4418	4448	-30	4437
11.4	4364	4455	-91	4444
11.42	4364	4462	-98	4452
11.44	4448	4470	-22	4459
11.46	4519	4477	42	4467
11.48	4415	4485	-70	4474
11.5	4475	4493	-18	4482
11.52	4381	4500	-119	4490
11.54	4454	4508	-54	4498
11.56	4526	4516	10	4505
11.58	4520	4524	-4	4513
11.6	4521	4532	-11	4522
11.62	4456	4540	-84	4530
11.64	4448	4549	-101	4538
11.66	4354	4557	-203	4546
11.68	4420	4565	-145	4555
11.7	4450	4574	-124	4563
11.72	4540	4582	-42	4572
11.74	4656	4591	65	4580
11.76	4527	4600	-73	4589
