HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=31871/1044, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3240	-1	3241	3141
5.02	3245	-1	3246	3138
5.04	2950	-1	2951	3135
5.06	3181	-1	3182	3132
5.08	3137	-1	3138	3129
5.1	3033	-1	3034	3126
5.12	3120	-1	3121	3123
5.14	3183	-1	3184	3120
5.16	3125	-1	3126	3117
5.18	3232	-1	3233	3114
5.2	3015	-1	3016	3111
5.22	3088	-1	3089	3108
5.24	3150	-1	3151	3105
5.26	3070	-1	3071	3102
5.28	3123	-1	3124	3099
5.3	3093	-1	3094	3096
5.32	3041	-1	3042	3093
5.34	3157	-1	3158	3089
5.36	3024	-1	3025	3086
5.38	3103	-1	3104	3083
5.4	3010	-1	3011	3080
5.42	3099	-1	3100	3077
5.44	3077	-1	3078	3074
5.46	3009	-1	3010	3071
5.48	3075	-1	3076	3068
5.5	3079	-1	3080	3065
5.52	3084	-1	3085	3062
5.54	3141	-1	3142	3059
5.56	2980	-1	2981	3056
5.58	2966	-1	2967	3053
5.6	3019	-1	3020	3050
5.62	3066	-1	3067	3047
5.64	3074	-1	3075	3044
5.66	3049	-1	3050	3041
5.68	2937	-1	2938	3038
5.7	2976	-1	2977	3035
5.72	3037	-1	3038	3032
5.74	2979	-1	2980	3029
5.76	3070	-1	3071	3027
5.78	2921	-1	2922	3024
5.8	2964	-1	2965	3021
5.82	3042	-1	3043	3018
5.84	3011	-1	3012	3015
5.86	2954	-1	2955	3012
5.88	2952	-1	2953	3009
5.9	2975	-1	2976	3006
5.92	3058	-1	3059	3003
5.94	3028	-1	3029	3000
5.96	3000	-1	3001	2997
5.98	2888	-1	2889	2994
6.0	2957	-1	2958	2991
6.02	3022	-1	3023	2989
6.04	2973	-1	2974	2986
6.06	2998	-1	2999	2983
6.08	2965	-1	2966	2980
6.1	2982	-1	2983	2977
6.12	2924	-1	2925	2974
6.14	2864	-1	2865	2971
6.16	3045	-1	3046	2968
6.18	3017	-1	3018	2966
6.2	3092	-1	3093	2963
6.22	2908	-1	2909	2960
6.24	2964	-1	2965	2957
6.26	2956	-1	2957	2954
6.28	2930	-1	2931	2952
6.3	2901	-1	2902	2949
6.32	2982	-1	2983	2946
6.34	2994	-1	2995	2943
6.36	2962	-1	2963	2941
6.38	2924	-1	2925	2938
6.4	2953	-1	2954	2935
6.42	2881	-1	2882	2932
6.44	3029	-1	3030	2930
6.46	3007	-1	3008	2927
6.48	2923	-1	2924	2924
6.5	2836	-1	2837	2921
6.52	2913	-1	2914	2919
6.54	2975	-1	2976	2916
6.56	2929	-1	2930	2913
6.58	3035	-1	3036	2911
6.6	2864	-1	2865	2908
6.62	2943	-1	2944	2905
6.64	2895	-1	2896	2903
6.66	2949	-1	2950	2900
6.68	2862	-1	2863	2898
6.7	2964	-1	2965	2895
6.72	2886	-1	2887	2892
6.74	2896	-1	2897	2890
6.76	2849	-1	2850	2887
6.78	2914	-1	2915	2885
6.8	2922	-1	2923	2882
6.82	2783	-1	2784	2880
6.84	2933	-1	2934	2877
6.86	2814	-1	2815	2875
6.88	2940	-1	2941	2872
6.9	2986	-1	2987	2870
6.92	2953	-1	2954	2867
6.94	2930	-1	2931	2865
6.96	2910	-1	2911	2862
6.98	2942	-1	2943	2860
7.0	2895	-1	2896	2857
7.02	2950	-1	2951	2855
7.04	2933	-1	2934	2852
7.06	2789	-1	2790	2850
7.08	2922	-1	2923	2847
7.1	2885	-1	2886	2845
7.12	2939	-1	2940	2843
7.14	2930	-1	2931	2840
7.16	2869	-1	2870	2838
7.18	2830	-1	2831	2836
7.2	2905	-1	2906	2833
7.22	2852	-1	2853	2831
7.24	2792	-1	2793	2829
7.26	2866	-1	2867	2826
7.28	2831	-1	2832	2824
7.3	2886	-1	2887	2822
7.32	2931	-1	2932	2819
7.34	2911	-1	2912	2817
7.36	2759	-1	2760	2815
7.38	2869	-1	2870	2813
7.4	2898	-1	2899	2810
7.42	2850	-1	2851	2808
7.44	2824	-1	2825	2806
7.46	2823	-1	2824	2804
7.48	2851	-1	2852	2802
7.5	2933	-1	2934	2799
7.52	2864	-1	2865	2797
7.54	2841	-1	2842	2795
7.56	2888	-1	2889	2793
7.58	2885	-1	2886	2791
7.6	2863	-1	2864	2789
7.62	2931	-1	2932	2787
7.64	2873	-1	2874	2785
7.66	2784	-1	2785	2782
7.68	2873	-1	2874	2780
7.7	2825	-1	2826	2778
7.72	2865	-1	2866	2776
7.74	2860	-1	2861	2774
7.76	2882	-1	2883	2772
7.78	2776	-1	2777	2770
7.8	2788	-1	2789	2768
7.82	2834	-1	2835	2766
7.84	2825	-1	2826	2764
7.86	2788	-1	2789	2762
7.88	2849	-1	2850	2760
7.9	2860	-1	2861	2758
7.92	2764	-1	2765	2757
7.94	2899	-1	2900	2755
7.96	2801	-1	2802	2753
7.98	2899	-1	2900	2751
8.0	2819	-1	2820	2749
8.02	2914	-1	2915	2747
8.04	2865	-1	2866	2745
8.06	2783	-1	2784	2743
8.08	2753	-1	2754	2742
8.1	2740	-1	2741	2740
8.12	2720	-1	2721	2738
8.14	2802	-1	2803	2736
8.16	2888	-1	2889	2734
8.18	2835	-1	2836	2733
8.2	2763	-1	2764	2731
8.22	2760	-1	2761	2729
8.24	2749	-1	2750	2727
8.26	2803	-1	2804	2726
8.28	2770	-1	2771	2724
8.3	2824	-1	2825	2722
8.32	2790	-1	2791	2721
8.34	2830	-1	2831	2719
8.36	2765	-1	2766	2717
8.38	2778	-1	2779	2716
8.4	2827	-1	2828	2714
8.42	2735	-1	2736	2713
8.44	2780	-1	2781	2711
8.46	2659	-1	2660	2709
8.48	2697	-1	2698	2708
8.5	2723	-1	2724	2706
8.52	2761	-1	2762	2705
8.54	2807	-1	2808	2703
8.56	2819	-1	2820	2702
8.58	2673	-1	2674	2700
8.6	2747	-1	2748	2699
8.62	2804	-1	2805	2697
8.64	2736	-1	2737	2696
8.66	2781	-1	2782	2694
8.68	2755	-1	2756	2693
8.7	2735	-1	2736	2692
8.72	2754	-1	2755	2690
8.74	2847	-1	2848	2689
8.76	2755	-1	2756	2688
8.78	2781	-1	2782	2686
8.8	2803	-1	2804	2685
8.82	2879	-1	2880	2684
8.84	2757	-1	2758	2682
8.86	2682	-1	2683	2681
8.88	2724	-1	2725	2680
8.9	2841	-1	2842	2679
8.92	2746	-1	2747	2677
8.94	2748	-1	2749	2676
8.96	2768	-1	2769	2675
8.98	2762	-1	2763	2674
9.0	2696	-1	2697	2673
9.02	2746	-1	2747	2672
9.04	2754	-1	2755	2671
9.06	2728	-1	2729	2669
9.08	2680	-1	2681	2668
9.1	2769	-1	2770	2667
9.12	2640	-1	2641	2666
9.14	2736	-1	2737	2665
9.16	2722	-1	2723	2664
9.18	2634	-1	2635	2664
9.2	2786	-1	2787	2663
9.22	2702	-1	2703	2662
9.24	2787	-1	2788	2661
9.26	2753	-1	2754	2660
9.28	2800	-1	2801	2659
9.3	2804	-1	2805	2658
9.32	2633	-1	2634	2658
9.34	2763	-1	2764	2657
9.36	2707	-1	2708	2656
9.38	2793	-1	2794	2655
9.4	2745	-1	2746	2655
9.42	2696	-1	2697	2654
9.44	2659	-1	2660	2653
9.46	2617	-1	2618	2653
9.48	2689	-1	2690	2652
9.5	2788	-1	2789	2652
9.52	2726	-1	2727	2651
9.54	2731	-1	2732	2650
9.56	2764	-1	2765	2650
9.58	2702	-1	2703	2649
9.6	2689	-1	2690	2649
9.62	2637	-1	2638	2649
9.64	2653	-1	2654	2648
9.66	2705	-1	2706	2648
9.68	2726	-1	2727	2648
9.7	2649	-1	2650	2647
9.72	2682	-1	2683	2647
9.74	2691	-1	2692	2647
9.76	2653	-1	2654	2646
9.78	2761	-1	2762	2646
9.8	2667	-1	2668	2646
9.82	2762	-1	2763	2646
9.84	2722	-1	2723	2646
9.86	2733	-1	2734	2646
9.88	2662	-1	2663	2646
9.9	2675	-1	2676	2646
9.92	2643	-1	2644	2646
9.94	2776	-1	2777	2646
