HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=6689.0/310.0, Cu(45kV,40mA), Tuesday, March 31, 2026, 9:42 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	5266.0	5132.6	133.4	5126.0
5.02	4935.0	5145.7	-210.7	5139.1
5.04	5216.0	5158.8	57.2	5152.2
5.06	5082.0	5171.9	-89.9	5165.3
5.08	5164.0	5184.9	-20.9	5178.3
5.1	5212.0	5198.0	14.0	5191.4
5.12	5249.0	5211.1	37.9	5204.5
5.14	5200.0	5224.1	-24.1	5217.5
5.16	5337.0	5237.2	99.8	5230.6
5.18	5391.0	5250.2	140.8	5243.6
5.2	5254.0	5263.3	-9.3	5256.7
5.22	5234.0	5276.3	-42.3	5269.7
5.24	5143.0	5289.3	-146.3	5282.7
5.26	5239.0	5302.3	-63.3	5295.7
5.28	5280.0	5315.3	-35.3	5308.7
5.3	5154.0	5328.3	-174.3	5321.7
5.32	5352.0	5341.3	10.7	5334.7
5.34	5330.0	5354.2	-24.2	5347.6
5.36	5479.0	5367.2	111.8	5360.6
5.38	5348.0	5380.1	-32.1	5373.5
5.4	5505.0	5393.0	112.0	5386.4
5.42	5282.0	5405.8	-123.8	5399.2
5.44	5434.0	5418.7	15.3	5412.1
5.46	5460.0	5431.5	28.5	5424.9
5.48	5383.0	5444.3	-61.3	5437.7
5.5	5500.0	5457.1	42.9	5450.5
5.52	5402.0	5469.9	-67.9	5463.3
5.54	5554.0	5482.6	71.4	5476.0
5.56	5361.0	5495.3	-134.3	5488.7
5.58	5588.0	5508.0	80.0	5501.4
5.6	5439.0	5520.6	-81.6	5514.0
5.62	5568.0	5533.2	34.8	5526.6
5.64	5592.0	5545.8	46.2	5539.2
5.66	5556.0	5558.3	-2.3	5551.7
5.68	5582.0	5570.9	11.1	5564.3
5.7	5670.0	5583.3	86.7	5576.7
5.72	5550.0	5595.8	-45.8	5589.2
5.74	5603.0	5608.2	-5.2	5601.6
5.76	5786.0	5620.6	165.4	5614.0
5.78	5646.0	5632.9	13.1	5626.3
5.8	5624.0	5645.2	-21.2	5638.6
5.82	5687.0	5657.4	29.6	5650.8
5.84	5777.0	5669.7	107.3	5663.1
5.86	5674.0	5681.8	-7.8	5675.2
5.88	5733.0	5694.0	39.0	5687.4
5.9	5709.0	5706.0	3.0	5699.4
5.92	5640.0	5718.1	-78.1	5711.5
5.94	5777.0	5730.1	46.9	5723.5
5.96	5707.0	5742.0	-35.0	5735.4
5.98	5793.0	5753.9	39.1	5747.3
6.0	5714.0	5765.7	-51.7	5759.1
6.02	5735.0	5777.5	-42.5	5770.9
6.04	5770.0	5789.3	-19.3	5782.7
6.06	5798.0	5800.9	-2.9	5794.3
6.08	5720.0	5812.6	-92.6	5806.0
6.1	5927.0	5824.2	102.8	5817.6
6.12	5897.0	5835.7	61.3	5829.1
6.14	5980.0	5847.1	132.9	5840.5
6.16	5971.0	5858.5	112.5	5851.9
6.18	5898.0	5869.9	28.1	5863.3
6.2	5817.0	5881.2	-64.2	5874.6
6.22	6031.0	5892.4	138.6	5885.8
6.24	5984.0	5903.6	80.4	5897.0
6.26	5933.0	5914.7	18.3	5908.1
6.28	5981.0	5925.7	55.3	5919.1
6.3	5949.0	5936.7	12.3	5930.1
6.32	6109.0	5947.6	161.4	5941.0
6.34	6067.0	5958.4	108.6	5951.8
6.36	5997.0	5969.2	27.8	5962.6
6.38	5938.0	5979.9	-41.9	5973.3
6.4	6088.0	5990.5	97.5	5983.9
6.42	6206.0	6001.1	204.9	5994.5
6.44	6017.0	6011.6	5.4	6005.0
6.46	5971.0	6022.0	-51.0	6015.4
6.48	6100.0	6032.4	67.6	6025.8
6.5	6150.0	6042.6	107.4	6036.0
6.52	6164.0	6052.8	111.2	6046.2
6.54	6124.0	6062.9	61.1	6056.3
6.56	5994.0	6073.0	-79.0	6066.4
6.58	6195.0	6082.9	112.1	6076.3
6.6	6165.0	6092.8	72.2	6086.2
6.62	6162.0	6102.6	59.4	6096.0
6.64	6032.0	6112.3	-80.3	6105.7
6.66	6137.0	6121.9	15.1	6115.3
6.68	6367.0	6131.5	235.5	6124.9
6.7	6273.0	6140.9	132.1	6134.3
6.72	6123.0	6150.3	-27.3	6143.7
6.74	6161.0	6159.6	1.4	6153.0
6.76	6253.0	6168.8	84.2	6162.2
6.78	6185.0	6177.9	7.1	6171.3
6.8	6295.0	6186.9	108.1	6180.3
6.82	6302.0	6195.8	106.2	6189.2
6.84	6367.0	6204.7	162.3	6198.1
6.86	6153.0	6213.4	-60.4	6206.8
6.88	6320.0	6222.1	97.9	6215.5
6.9	6153.0	6230.6	-77.6	6224.0
6.92	6396.0	6239.1	156.9	6232.5
6.94	6225.0	6247.4	-22.4	6240.8
6.96	6200.0	6255.7	-55.7	6249.1
