(Scan or Sample ID - Optional)
Wavelength = 1.54059Å, !19.914°/129.983°/0.01671°/1(s), I(p)=16882/567, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:27 AM
Angle	I(o)	I(c)	I(d)	I(b)
19.91436	640	-1	641	666
19.93107	703	-1	704	666
19.94778	639	-1	640	666
19.96449	717	-1	718	666
19.9812	679	-1	680	666
19.99791	679	-1	680	666
20.01462	682	-1	683	666
20.03133	591	-1	592	666
20.04804	719	-1	720	665
20.06475	674	-1	675	665
20.08146	655	-1	656	665
20.09817	670	-1	671	665
20.11488	688	-1	689	665
20.13159	702	-1	703	665
20.1483	678	-1	679	665
20.16501	639	-1	640	665
20.18172	632	-1	633	665
20.19843	646	-1	647	665
20.21514	653	-1	654	665
20.23185	720	-1	721	665
20.24856	748	-1	749	665
20.26527	660	-1	661	665
20.28198	712	-1	713	665
20.29869	685	-1	686	665
20.3154	726	-1	727	665
20.33211	693	-1	694	665
20.34882	668	-1	669	665
20.36553	664	-1	665	665
20.38224	672	-1	673	664
20.39895	703	-1	704	664
20.41566	682	-1	683	664
20.43237	663	-1	664	664
20.44908	647	-1	648	664
20.46579	670	-1	671	664
20.4825	638	-1	639	664
20.49921	666	-1	667	664
20.51592	641	-1	642	664
20.53263	711	-1	712	664
20.54934	665	-1	666	664
20.56605	700	-1	701	664
20.58276	697	-1	698	664
20.59947	665	-1	666	664
20.61618	689	-1	690	664
20.63289	651	-1	652	664
20.6496	694	-1	695	664
20.66631	669	-1	670	664
20.68302	631	-1	632	664
20.69973	665	-1	666	664
20.71644	654	-1	655	663
20.73315	749	-1	750	663
20.74986	676	-1	677	663
20.76657	664	-1	665	663
20.78328	664	-1	665	663
20.79999	667	-1	668	663
20.8167	705	-1	706	663
20.83341	653	-1	654	663
20.85012	650	-1	651	663
20.86683	665	-1	666	663
20.88354	679	-1	680	663
20.90025	640	-1	641	663
20.91696	689	-1	690	663
20.93367	676	-1	677	663
20.95038	627	-1	628	663
20.96709	690	-1	691	663
20.9838	660	-1	661	663
21.00051	655	-1	656	663
21.01722	698	-1	699	662
21.03393	637	-1	638	662
21.05064	668	-1	669	662
21.06735	614	-1	615	662
21.08406	678	-1	679	662
21.10077	686	-1	687	662
21.11748	695	-1	696	662
21.13419	686	-1	687	662
21.1509	695	-1	696	662
21.16761	624	-1	625	662
21.18432	688	-1	689	662
21.20103	676	-1	677	662
21.21774	614	-1	615	662
21.23445	641	-1	642	662
21.25116	669	-1	670	662
21.26787	708	-1	709	662
21.28458	647	-1	648	661
21.30129	671	-1	672	661
21.318	647	-1	648	661
21.33471	653	-1	654	661
21.35142	686	-1	687	661
21.36813	657	-1	658	661
21.38484	657	-1	658	661
21.40155	694	-1	695	661
21.41826	651	-1	652	661
21.43497	676	-1	677	661
21.45168	681	-1	682	661
21.46839	637	-1	638	661
21.4851	666	-1	667	661
21.50181	680	-1	681	661
21.51852	707	-1	708	661
21.53523	646	-1	647	661
21.55194	672	-1	673	660
21.56865	701	-1	702	660
21.58536	687	-1	688	660
21.60207	648	-1	649	660
21.61878	657	-1	658	660
21.63549	678	-1	679	660
21.6522	689	-1	690	660
21.66891	695	-1	696	660
21.68562	673	-1	674	660
21.70233	676	-1	677	660
21.71904	699	-1	700	660
21.73575	694	-1	695	660
21.75246	704	-1	705	660
21.76917	617	-1	618	660
21.78588	673	-1	674	659
21.80259	633	-1	634	659
21.8193	649	-1	650	659
21.83601	676	-1	677	659
21.85272	653	-1	654	659
21.86943	652	-1	653	659
21.88614	649	-1	650	659
21.90285	624	-1	625	659
21.91956	673	-1	674	659
21.93627	657	-1	658	659
21.95298	665	-1	666	659
21.96969	636	-1	637	659
21.9864	680	-1	681	659
22.00311	652	-1	653	658
22.01982	656	-1	657	658
22.03653	654	-1	655	658
22.05324	681	-1	682	658
22.06995	627	-1	628	658
22.08666	684	-1	685	658
22.10337	666	-1	667	658
22.12008	720	-1	721	658
22.13679	678	-1	679	658
22.1535	669	-1	670	658
22.17021	657	-1	658	658
22.18692	653	-1	654	658
22.20363	630	-1	631	657
22.22034	613	-1	614	657
22.23705	687	-1	688	657
22.25376	643	-1	644	657
22.27047	671	-1	672	657
22.28718	681	-1	682	657
22.30389	646	-1	647	657
22.3206	634	-1	635	657
22.33731	669	-1	670	657
22.35402	682	-1	683	657
22.37073	683	-1	684	657
22.38744	634	-1	635	656
22.40415	638	-1	639	656
22.42086	614	-1	615	656
22.43757	663	-1	664	656
22.45428	683	-1	684	656
22.47099	657	-1	658	656
22.4877	666	-1	667	656
22.50441	708	-1	709	656
22.52112	615	-1	616	656
22.53783	633	-1	634	656
22.55454	666	-1	667	655
22.57125	606	-1	607	655
22.58796	702	-1	703	655
22.60467	649	-1	650	655
22.62138	653	-1	654	655
22.63809	676	-1	677	655
22.6548	698	-1	699	655
22.67151	676	-1	677	655
22.68822	666	-1	667	655
22.70493	678	-1	679	655
22.72164	643	-1	644	654
22.73835	672	-1	673	654
22.75506	677	-1	678	654
22.77177	634	-1	635	654
22.78848	604	-1	605	654
22.80519	650	-1	651	654
22.8219	638	-1	639	654
22.83861	703	-1	704	654
22.85532	665	-1	666	654
22.87203	656	-1	657	653
22.88874	669	-1	670	653
22.90545	670	-1	671	653
22.92216	636	-1	637	653
22.93887	641	-1	642	653
22.95558	618	-1	619	653
22.97229	732	-1	733	653
22.989	682	-1	683	653
23.00571	649	-1	650	652
23.02242	630	-1	631	652
23.03913	651	-1	652	652
23.05584	638	-1	639	652
23.07255	636	-1	637	652
23.08926	677	-1	678	652
23.10597	615	-1	616	652
23.12268	611	-1	612	652
23.13939	672	-1	673	652
23.1561	653	-1	654	651
23.17281	665	-1	666	651
23.18952	646	-1	647	651
23.20623	653	-1	654	651
23.22294	643	-1	644	651
23.23965	603	-1	604	651
23.25636	648	-1	649	651
23.27307	615	-1	616	650
23.28978	605	-1	606	650
23.30649	647	-1	648	650
23.3232	673	-1	674	650
23.33991	639	-1	640	650
23.35662	668	-1	669	650
23.37333	599	-1	600	650
23.39004	621	-1	622	650
23.40675	610	-1	611	649
23.42346	626	-1	627	649
23.44017	678	-1	679	649
23.45688	682	-1	683	649
23.47359	658	-1	659	649
23.4903	693	-1	694	649
23.50701	641	-1	642	649
23.52372	665	-1	666	648
23.54043	678	-1	679	648
23.55714	617	-1	618	648
23.57385	645	-1	646	648
23.59056	621	-1	622	648
23.60727	660	-1	661	648
23.62398	694	-1	695	648
23.64069	624	-1	625	647
23.6574	673	-1	674	647
23.67411	608	-1	609	647
23.69082	622	-1	623	647
23.70753	710	-1	711	647
23.72424	623	-1	624	647
23.74095	669	-1	670	646
23.75766	645	-1	646	646
23.77437	648	-1	649	646
23.79108	652	-1	653	646
23.80779	654	-1	655	646
23.8245	643	-1	644	646
23.84121	683	-1	684	645
23.85792	647	-1	648	645
23.87463	640	-1	641	645
23.89134	647	-1	648	645
23.90805	648	-1	649	645
23.92476	661	-1	662	645
23.94147	702	-1	703	644
23.95818	674	-1	675	644
23.97489	664	-1	665	644
23.9916	642	-1	643	644
24.00831	665	-1	666	644
24.02502	653	-1	654	644
24.04173	666	-1	667	643
24.05844	664	-1	665	643
24.07515	695	-1	696	643
24.09186	638	-1	639	643
24.10857	647	-1	648	643
24.12528	626	-1	627	643
24.14199	637	-1	638	642
24.1587	636	-1	637	642
