HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=38953/1275, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:29 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3672	3540	132	3530
5.02	3388	3545	-157	3535
5.04	3635	3550	85	3540
5.06	3480	3555	-75	3545
5.08	3523	3560	-37	3551
5.1	3620	3566	54	3556
5.12	3554	3571	-17	3561
5.14	3498	3576	-78	3566
5.16	3529	3581	-52	3571
5.18	3523	3586	-63	3577
5.2	3472	3592	-120	3582
5.22	3480	3597	-117	3587
5.24	3591	3602	-11	3592
5.26	3516	3607	-91	3597
5.28	3669	3612	57	3603
5.3	3578	3617	-39	3608
5.32	3524	3623	-99	3613
5.34	3563	3628	-65	3618
5.36	3539	3633	-94	3623
5.38	3457	3638	-181	3628
5.4	3467	3643	-176	3633
5.42	3636	3648	-12	3639
5.44	3667	3653	14	3644
5.46	3535	3659	-124	3649
5.48	3537	3664	-127	3654
5.5	3529	3669	-140	3659
5.52	3643	3674	-31	3664
5.54	3594	3679	-85	3669
5.56	3501	3684	-183	3674
5.58	3568	3689	-121	3679
5.6	3570	3694	-124	3684
5.62	3618	3699	-81	3690
5.64	3591	3704	-113	3695
5.66	3610	3709	-99	3700
5.68	3567	3714	-147	3705
5.7	3552	3719	-167	3710
5.72	3633	3724	-91	3715
5.74	3621	3729	-108	3720
5.76	3552	3734	-182	3725
5.78	3628	3739	-111	3730
5.8	3538	3744	-206	3735
5.82	3529	3749	-220	3739
5.84	3599	3754	-155	3744
5.86	3588	3759	-171	3749
5.88	3616	3764	-148	3754
5.9	3647	3769	-122	3759
5.92	3617	3774	-157	3764
5.94	3618	3779	-161	3769
5.96	3742	3783	-41	3774
5.98	3772	3788	-16	3778
6.0	3539	3793	-254	3783
6.02	3641	3798	-157	3788
6.04	3781	3803	-22	3793
6.06	3777	3807	-30	3798
6.08	3844	3812	32	3802
6.1	3724	3817	-93	3807
6.12	3754	3822	-68	3812
6.14	3693	3826	-133	3817
6.16	3704	3831	-127	3821
6.18	3802	3836	-34	3826
6.2	3782	3840	-58	3831
6.22	3779	3845	-66	3835
6.24	3711	3849	-138	3840
6.26	3838	3854	-16	3844
6.28	3954	3859	95	3849
6.3	3863	3863	0	3853
6.32	3831	3868	-37	3858
6.34	3772	3872	-100	3862
6.36	3768	3877	-109	3867
6.38	3841	3881	-40	3871
6.4	3847	3886	-39	3876
6.42	3908	3890	18	3880
6.44	3826	3894	-68	3885
6.46	3910	3899	11	3889
6.48	3868	3903	-35	3893
6.5	3927	3907	20	3898
6.52	3974	3912	62	3902
6.54	3858	3916	-58	3906
6.56	4049	3920	129	3910
6.58	3881	3924	-43	3915
6.6	3873	3929	-56	3919
6.62	3959	3933	26	3923
6.64	3924	3937	-13	3927
