HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=11241/621, Cu(45kV,40mA), Tuesday, March 31, 2026, 9:42 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3310	3291	19	3283
5.02	3383	3296	87	3288
5.04	3229	3301	-72	3293
5.06	3280	3307	-27	3298
5.08	3253	3312	-59	3304
5.1	3332	3317	15	3309
5.12	3307	3322	-15	3314
5.14	3424	3327	97	3319
5.16	3379	3333	46	3325
5.18	3364	3338	26	3330
5.2	3396	3343	53	3335
5.22	3386	3348	38	3340
5.24	3344	3353	-9	3345
5.26	3216	3359	-143	3350
5.28	3492	3364	128	3356
5.3	3281	3369	-88	3361
5.32	3310	3374	-64	3366
5.34	3327	3379	-52	3371
5.36	3419	3384	35	3376
5.38	3429	3390	39	3381
5.4	3414	3395	19	3387
5.42	3399	3400	-1	3392
5.44	3350	3405	-55	3397
5.46	3517	3410	107	3402
5.48	3461	3415	46	3407
5.5	3451	3420	31	3412
5.52	3373	3425	-52	3417
5.54	3378	3430	-52	3422
5.56	3410	3435	-25	3427
5.58	3449	3440	9	3432
5.6	3525	3445	80	3437
5.62	3461	3450	11	3442
5.64	3518	3455	63	3447
5.66	3452	3460	-8	3452
5.68	3455	3465	-10	3457
5.7	3355	3470	-115	3462
5.72	3534	3475	59	3467
5.74	3508	3480	28	3472
5.76	3452	3485	-33	3477
5.78	3417	3490	-73	3481
5.8	3484	3494	-10	3486
5.82	3538	3499	39	3491
5.84	3428	3504	-76	3496
5.86	3648	3509	139	3501
5.88	3460	3514	-54	3505
5.9	3493	3518	-25	3510
5.92	3531	3523	8	3515
5.94	3597	3528	69	3520
5.96	3573	3532	41	3524
5.98	3572	3537	35	3529
6.0	3481	3542	-61	3533
6.02	3501	3546	-45	3538
6.04	3568	3551	17	3543
6.06	3616	3555	61	3547
6.08	3525	3560	-35	3552
6.1	3601	3564	37	3556
6.12	3592	3569	23	3561
6.14	3629	3573	56	3565
6.16	3537	3578	-41	3569
6.18	3519	3582	-63	3574
6.2	3537	3586	-49	3578
6.22	3731	3591	140	3582
6.24	3653	3595	58	3587
6.26	3586	3599	-13	3591
6.28	3676	3603	73	3595
6.3	3740	3608	132	3599
6.32	3668	3612	56	3604
6.34	3732	3616	116	3608
6.36	3706	3620	86	3612
6.38	3603	3624	-21	3616
6.4	3793	3628	165	3620
6.42	3698	3632	66	3624
6.44	3590	3636	-46	3628
6.46	3613	3640	-27	3632
6.48	3744	3644	100	3636
6.5	3639	3648	-9	3639
6.52	3628	3651	-23	3643
6.54	3674	3655	19	3647
6.56	3667	3659	8	3651
6.58	3655	3663	-8	3655
6.6	3747	3666	81	3658
6.62	3770	3670	100	3662
6.64	3772	3674	98	3665
6.66	3688	3677	11	3669
6.68	3638	3681	-43	3672
6.7	3754	3684	70	3676
6.72	3704	3687	17	3679
6.74	3713	3691	22	3683
6.76	3783	3694	89	3686
6.78	3687	3697	-10	3689
6.8	3623	3701	-78	3693
6.82	3793	3704	89	3696
6.84	3665	3707	-42	3699
6.86	3712	3710	2	3702
6.88	3802	3713	89	3705
6.9	3747	3716	31	3708
6.92	3731	3719	12	3711
6.94	3742	3722	20	3714
6.96	3791	3725	66	3717
6.98	3789	3728	61	3720
7.0	3807	3731	76	3722
7.02	3702	3733	-31	3725
7.04	3733	3736	-3	3728
7.06	3695	3739	-44	3730
7.08	3782	3741	41	3733
7.1	3748	3744	4	3736
7.12	3800	3746	54	3738
7.14	3730	3749	-19	3741
7.16	3733	3751	-18	3743
7.18	3759	3754	5	3745
7.2	3763	3756	7	3748
7.22	3665	3758	-93	3750
7.24	3720	3761	-41	3752
7.26	3679	3763	-84	3755
7.28	3632	3765	-133	3757
7.3	3775	3767	8	3759
7.32	3628	3769	-141	3761
7.34	3799	3771	28	3763
7.36	3766	3774	-8	3765
7.38	3664	3776	-112	3768
7.4	3723	3778	-55	3770
7.42	3834	3780	54	3772
7.44	3707	3782	-75	3774
7.46	3661	3784	-123	3776
7.48	3618	3786	-168	3778
7.5	3722	3788	-66	3780
7.52	3721	3790	-69	3781
7.54	3694	3792	-98	3783
7.56	3770	3793	-23	3785
7.58	3709	3795	-86	3787
7.6	3790	3797	-7	3789
7.62	3710	3799	-89	3791
7.64	3651	3801	-150	3793
7.66	3687	3803	-116	3795
7.68	3754	3805	-51	3797
7.7	3724	3807	-83	3798
7.72	3760	3808	-48	3800
7.74	3651	3810	-159	3802
7.76	3783	3812	-29	3804
7.78	3791	3814	-23	3806
7.8	3778	3816	-38	3808
7.82	3682	3818	-136	3809
7.84	3823	3819	4	3811
7.86	3804	3821	-17	3813
7.88	3801	3823	-22	3815
7.9	3773	3825	-52	3817
7.92	3683	3827	-144	3819
7.94	3788	3829	-41	3821
7.96	3823	3831	-8	3822
7.98	3790	3832	-42	3824
8.0	3710	3834	-124	3826
8.02	3771	3836	-65	3828
8.04	3736	3838	-102	3830
8.06	3806	3840	-34	3832
8.08	3837	3842	-5	3834
8.1	3765	3844	-79	3836
8.12	3855	3846	9	3838
8.14	3915	3848	67	3840
8.16	3780	3850	-70	3842
8.18	3943	3852	91	3844
8.2	3824	3854	-30	3846
8.22	3719	3857	-138	3848
8.24	3834	3859	-25	3851
8.26	3818	3861	-43	3853
8.28	3853	3863	-10	3855
8.3	3783	3866	-83	3857
8.32	3812	3868	-56	3860
8.34	3936	3870	66	3862
8.36	3867	3873	-6	3864
8.38	3788	3875	-87	3867
8.4	3885	3877	8	3869
8.42	3906	3880	26	3872
8.44	3730	3882	-152	3874
8.46	3752	3885	-133	3877
8.48	3911	3888	23	3879
