HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=35928/323, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3348	3356	-8	3349
5.02	3293	3360	-67	3353
5.04	3442	3364	78	3357
5.06	3414	3367	47	3360
5.08	3285	3371	-86	3364
5.1	3269	3374	-105	3367
5.12	3307	3378	-71	3371
5.14	3270	3382	-112	3375
5.16	3218	3385	-167	3378
5.18	3389	3389	0	3382
5.2	3427	3392	35	3385
5.22	3255	3396	-141	3389
5.24	3272	3400	-128	3393
5.26	3343	3403	-60	3396
5.28	3318	3407	-89	3400
5.3	3295	3410	-115	3403
5.32	3259	3414	-155	3407
5.34	3371	3417	-46	3410
5.36	3329	3421	-92	3414
5.38	3344	3424	-80	3417
5.4	3300	3428	-128	3421
5.42	3337	3431	-94	3424
5.44	3382	3435	-53	3428
5.46	3359	3438	-79	3431
5.48	3417	3442	-25	3434
5.5	3415	3445	-30	3438
5.52	3400	3448	-48	3441
5.54	3462	3452	10	3445
5.56	3378	3455	-77	3448
5.58	3393	3458	-65	3451
5.6	3327	3462	-135	3455
5.62	3354	3465	-111	3458
5.64	3383	3468	-85	3461
5.66	3407	3472	-65	3464
5.68	3274	3475	-201	3468
5.7	3412	3478	-66	3471
5.72	3412	3481	-69	3474
5.74	3340	3484	-144	3477
5.76	3429	3487	-58	3480
5.78	3373	3490	-117	3483
5.8	3313	3493	-180	3486
5.82	3451	3496	-45	3489
5.84	3445	3499	-54	3492
5.86	3424	3502	-78	3495
5.88	3488	3505	-17	3498
5.9	3417	3508	-91	3501
5.92	3402	3511	-109	3504
5.94	3430	3514	-84	3507
5.96	3291	3517	-226	3510
5.98	3439	3520	-81	3512
6.0	3439	3522	-83	3515
6.02	3485	3525	-40	3518
6.04	3451	3528	-77	3521
6.06	3501	3530	-29	3523
6.08	3418	3533	-115	3526
6.1	3406	3535	-129	3528
6.12	3409	3538	-129	3531
6.14	3603	3540	63	3533
6.16	3410	3543	-133	3536
6.18	3423	3545	-122	3538
6.2	3387	3548	-161	3540
6.22	3544	3550	-6	3543
6.24	3493	3552	-59	3545
6.26	3400	3554	-154	3547
6.28	3605	3556	49	3549
6.3	3470	3559	-89	3551
6.32	3457	3561	-104	3554
6.34	3444	3563	-119	3556
6.36	3560	3565	-5	3558
6.38	3553	3567	-14	3559
6.4	3506	3568	-62	3561
6.42	3531	3570	-39	3563
6.44	3529	3572	-43	3565
6.46	3498	3574	-76	3567
6.48	3498	3575	-77	3568
6.5	3589	3577	12	3570
6.52	3485	3579	-94	3571
6.54	3479	3580	-101	3573
6.56	3590	3582	8	3574
6.58	3535	3583	-48	3576
