HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=33136/965, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3809	-1	3810	3809
5.02	3894	-1	3895	3894
5.04	3624	-1	3625	3624
5.06	3640	-1	3641	3640
5.08	3769	-1	3770	3749
5.1	3762	-1	3763	3756
5.12	3782	-1	3783	3745
5.14	3822	-1	3823	3752
5.16	3726	-1	3727	3770
5.18	3870	-1	3871	3776
5.2	3795	-1	3796	3767
5.22	3684	-1	3685	3757
5.24	3806	-1	3807	3747
5.26	3821	-1	3822	3751
5.28	3676	-1	3677	3737
5.3	3700	-1	3701	3727
5.32	3729	-1	3730	3750
5.34	3763	-1	3764	3747
5.36	3738	-1	3739	3743
5.38	3707	-1	3708	3743
5.4	3893	-1	3894	3742
5.42	3779	-1	3780	3751
5.44	3789	-1	3790	3756
5.46	3668	-1	3669	3770
5.48	3692	-1	3693	3781
5.5	3813	-1	3814	3762
5.52	3806	-1	3807	3762
5.54	3869	-1	3870	3760
5.56	3800	-1	3801	3766
5.58	3724	-1	3725	3761
5.6	3779	-1	3780	3771
5.62	3768	-1	3769	3769
5.64	3724	-1	3725	3762
5.66	3651	-1	3652	3773
5.68	3902	-1	3903	3770
5.7	3785	-1	3786	3764
5.72	3808	-1	3809	3776
5.74	3896	-1	3897	3786
5.76	3700	-1	3701	3797
5.78	3725	-1	3726	3778
5.8	3878	-1	3879	3782
5.82	3812	-1	3813	3793
5.84	3747	-1	3748	3784
5.86	3738	-1	3739	3799
5.88	3819	-1	3820	3810
5.9	3901	-1	3902	3803
5.92	3817	-1	3818	3813
5.94	3834	-1	3835	3831
5.96	3829	-1	3830	3842
5.98	3817	-1	3818	3847
6.0	3894	-1	3895	3849
6.02	3909	-1	3910	3861
6.04	3837	-1	3838	3865
6.06	3867	-1	3868	3873
6.08	3922	-1	3923	3867
6.1	3926	-1	3927	3867
6.12	3866	-1	3867	3870
6.14	3902	-1	3903	3859
6.16	3761	-1	3762	3857
6.18	3893	-1	3894	3858
6.2	3941	-1	3942	3860
6.22	3737	-1	3738	3859
6.24	3851	-1	3852	3860
6.26	3932	-1	3933	3872
6.28	3941	-1	3942	3876
6.3	3858	-1	3859	3880
6.32	3909	-1	3910	3898
6.34	3872	-1	3873	3910
6.36	3930	-1	3931	3909
6.38	3977	-1	3978	3908
6.4	3895	-1	3896	3915
6.42	3963	-1	3964	3907
6.44	3923	-1	3924	3915
6.46	3927	-1	3928	3917
6.48	3924	-1	3925	3913
6.5	3835	-1	3836	3916
6.52	3944	-1	3945	3897
6.54	3952	-1	3953	3901
6.56	3938	-1	3939	3918
6.58	3920	-1	3921	3911
6.6	3796	-1	3797	3915
6.62	3955	-1	3956	3908
6.64	4082	-1	4083	3900
6.66	3857	-1	3858	3904
6.68	3870	-1	3871	3906
6.7	3887	-1	3888	3920
6.72	3882	-1	3883	3915
6.74	3967	-1	3968	3892
6.76	3937	-1	3938	3902
6.78	3922	-1	3923	3919
6.8	3910	-1	3911	3919
6.82	3880	-1	3881	3926
6.84	3948	-1	3949	3914
6.86	4022	-1	4023	3912
6.88	3885	-1	3886	3913
6.9	3948	-1	3949	3916
6.92	3857	-1	3858	3907
6.94	3922	-1	3923	3895
6.96	3925	-1	3926	3877
6.98	3943	-1	3944	3873
7.0	3794	-1	3795	3850
7.02	3838	-1	3839	3854
7.04	3867	-1	3868	3848
7.06	3847	-1	3848	3840
7.08	3736	-1	3737	3822
7.1	3894	-1	3895	3840
7.12	3867	-1	3868	3845
7.14	3858	-1	3859	3839
7.16	3783	-1	3784	3836
7.18	3954	-1	3955	3842
7.2	3884	-1	3885	3835
7.22	3812	-1	3813	3833
7.24	3823	-1	3824	3834
7.26	3784	-1	3785	3834
7.28	3834	-1	3835	3828
7.3	3846	-1	3847	3813
7.32	3869	-1	3870	3818
7.34	3779	-1	3780	3820
7.36	3901	-1	3902	3823
7.38	3752	-1	3753	3810
7.4	3856	-1	3857	3817
7.42	3846	-1	3847	3798
7.44	3805	-1	3806	3802
7.46	3717	-1	3718	3793
7.48	3912	-1	3913	3794
7.5	3697	-1	3698	3785
7.52	3817	-1	3818	3775
7.54	3819	-1	3820	3770
7.56	3762	-1	3763	3779
7.58	3769	-1	3770	3768
7.6	3763	-1	3764	3777
7.62	3755	-1	3756	3766
7.64	3797	-1	3798	3751
7.66	3817	-1	3818	3763
7.68	3774	-1	3775	3757
7.7	3719	-1	3720	3750
7.72	3687	-1	3688	3752
7.74	3872	-1	3873	3750
7.76	3711	-1	3712	3742
7.78	3704	-1	3705	3733
7.8	3773	-1	3774	3728
7.82	3777	-1	3778	3730
7.84	3744	-1	3745	3704
7.86	3694	-1	3695	3697
7.88	3672	-1	3673	3697
7.9	3702	-1	3703	3692
7.92	3639	-1	3640	3679
7.94	3647	-1	3648	3679
7.96	3710	-1	3711	3682
7.98	3724	-1	3725	3669
8.0	3658	-1	3659	3662
8.02	3746	-1	3747	3681
8.04	3719	-1	3720	3686
8.06	3555	-1	3556	3687
8.08	3642	-1	3643	3687
8.1	3812	-1	3813	3698
8.12	3691	-1	3692	3690
8.14	3722	-1	3723	3694
8.16	3723	-1	3724	3712
8.18	3759	-1	3760	3716
8.2	3670	-1	3671	3703
8.22	3754	-1	3755	3714
8.24	3714	-1	3715	3706
8.26	3685	-1	3686	3699
8.28	3689	-1	3690	3694
8.3	3797	-1	3798	3687
8.32	3646	-1	3647	3685
8.34	3658	-1	3659	3668
8.36	3712	-1	3713	3666
8.38	3613	-1	3614	3674
8.4	3731	-1	3732	3662
8.42	3566	-1	3567	3678
8.44	3669	-1	3670	3695
8.46	3753	-1	3754	3695
8.48	3696	-1	3697	3704
8.5	3783	-1	3784	3704
8.52	3815	-1	3816	3720
8.54	3709	-1	3710	3722
8.56	3693	-1	3694	3710
8.58	3731	-1	3732	3699
8.6	3712	-1	3713	3683
8.62	3690	-1	3691	3660
8.64	3642	-1	3643	3644
8.66	3600	-1	3601	3637
8.68	3635	-1	3636	3628
8.7	3611	-1	3612	3613
8.72	3563	-1	3564	3597
8.74	3631	-1	3632	3594
8.76	3654	-1	3655	3587
8.78	3578	-1	3579	3593
8.8	3544	-1	3545	3593
8.82	3613	-1	3614	3612
8.84	3536	-1	3537	3608
8.86	3692	-1	3693	3599
8.88	3611	-1	3612	3598
8.9	3731	-1	3732	3607
8.92	3599	-1	3600	3599
8.94	3574	-1	3575	3594
8.96	3561	-1	3562	3574
8.98	3631	-1	3632	3565
9.0	3537	-1	3538	3547
9.02	3495	-1	3496	3534
9.04	3511	-1	3512	3531
9.06	3528	-1	3529	3521
9.08	3568	-1	3569	3524
9.1	3486	-1	3487	3527
9.12	3545	-1	3546	3528
9.14	3475	-1	3476	3526
9.16	3652	-1	3653	3522
9.18	3570	-1	3571	3515
9.2	3500	-1	3501	3518
9.22	3493	-1	3494	3505
9.24	3494	-1	3495	3509
9.26	3503	-1	3504	3486
9.28	3517	-1	3518	3477
9.3	3422	-1	3423	3477
9.32	3509	-1	3510	3480
9.34	3449	-1	3450	3473
9.36	3485	-1	3486	3475
9.38	3505	-1	3506	3465
9.4	3518	-1	3519	3464
9.42	3428	-1	3429	3441
9.44	3528	-1	3529	3447
9.46	3425	-1	3426	3446
9.48	3416	-1	3417	3430
9.5	3302	-1	3303	3410
9.52	3498	-1	3499	3404
9.54	3480	-1	3481	3409
9.56	3359	-1	3360	3400
9.58	3337	-1	3338	3392
9.6	3370	-1	3371	3408
9.62	3581	-1	3582	3392
9.64	3338	-1	3339	3382
9.66	3342	-1	3343	3387
9.68	3450	-1	3451	3395
9.7	3357	-1	3358	3396
9.72	3390	-1	3391	3389
9.74	3402	-1	3403	3391
9.76	3408	-1	3409	3400
9.78	3379	-1	3380	3386
9.8	3514	-1	3515	3387
9.82	3364	-1	3365	3388
9.84	3421	-1	3422	3373
9.86	3326	-1	3327	3369
9.88	3366	-1	3367	3358
9.9	3392	-1	3393	3332
9.92	3268	-1	3269	3339
9.94	3375	-1	3376	3318
9.96	3279	-1	3280	3318
9.98	3281	-1	3282	3307
10.0	3429	-1	3430	3308
10.02	3228	-1	3229	3302
10.04	3325	-1	3326	3298
10.06	3272	-1	3273	3299
10.08	3396	-1	3397	3307
10.1	3220	-1	3221	3304
10.12	3332	-1	3333	3314
10.14	3291	-1	3292	3304
10.16	3350	-1	3351	3309
10.18	3409	-1	3410	3287
10.2	3313	-1	3314	3292
10.22	3232	-1	3233	3293
10.24	3318	-1	3319	3302
10.26	3198	-1	3199	3293
10.28	3272	-1	3273	3283
10.3	3337	-1	3338	3281
10.32	3371	-1	3372	3280
10.34	3270	-1	3271	3274
10.36	3320	-1	3321	3284
10.38	3291	-1	3292	3285
10.4	3228	-1	3229	3278
10.42	3265	-1	3266	3263
10.44	3288	-1	3289	3262
10.46	3278	-1	3279	3252
10.48	3278	-1	3279	3249
10.5	3234	-1	3235	3250
10.52	3257	-1	3258	3249
10.54	3229	-1	3230	3247
10.56	3266	-1	3267	3244
10.58	3241	-1	3242	3245
10.6	3257	-1	3258	3247
10.62	3262	-1	3263	3249
10.64	3255	-1	3256	3255
10.66	3291	-1	3292	3247
10.68	3249	-1	3250	3238
10.7	3276	-1	3277	3236
10.72	3278	-1	3279	3230
10.74	3197	-1	3198	3232
10.76	3157	-1	3158	3216
10.78	3238	-1	3239	3209
10.8	3214	-1	3215	3205
10.82	3274	-1	3275	3200
10.84	3146	-1	3147	3197
10.86	3187	-1	3188	3212
10.88	3234	-1	3235	3211
10.9	3239	-1	3240	3209
10.92	3163	-1	3164	3205
10.94	3297	-1	3298	3212
10.96	3230	-1	3231	3214
10.98	3191	-1	3192	3224
11.0	3238	-1	3239	3217
11.02	3215	-1	3216	3220
11.04	3203	-1	3204	3216
11.06	3321	-1	3322	3222
11.08	3178	-1	3179	3219
11.1	3187	-1	3188	3218
11.12	3266	-1	3267	3219
11.14	3285	-1	3286	3221
11.16	3162	-1	3163	3210
11.18	3232	-1	3233	3215
11.2	3217	-1	3218	3216
11.22	3225	-1	3226	3212
11.24	3219	-1	3220	3209
11.26	3223	-1	3224	3214
11.28	3200	-1	3201	3211
11.3	3230	-1	3231	3207
11.32	3252	-1	3253	3219
11.34	3208	-1	3209	3218
11.36	3206	-1	3207	3228
11.38	3181	-1	3182	3232
11.4	3337	-1	3338	3227
11.42	3211	-1	3212	3222
11.44	3312	-1	3313	3217
11.46	3232	-1	3233	3210
11.48	3190	-1	3191	3210
11.5	3203	-1	3204	3190
11.52	3167	-1	3168	3170
11.54	3139	-1	3140	3154
11.56	3185	-1	3186	3162
11.58	3153	-1	3154	3176
11.6	3034	-1	3035	3172
