HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=53910/739, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3700	3586	114	3577
5.02	3659	3592	67	3583
5.04	3554	3598	-44	3588
5.06	3518	3603	-85	3594
5.08	3501	3609	-108	3600
5.1	3484	3615	-131	3605
5.12	3647	3620	27	3611
5.14	3628	3626	2	3617
5.16	3631	3632	-1	3622
5.18	3562	3637	-75	3628
5.2	3575	3643	-68	3634
5.22	3737	3649	88	3639
5.24	3657	3654	3	3645
5.26	3601	3660	-59	3651
5.28	3635	3666	-31	3656
5.3	3677	3671	6	3662
5.32	3562	3677	-115	3668
5.34	3574	3683	-109	3673
5.36	3584	3688	-104	3679
5.38	3694	3694	0	3685
5.4	3657	3700	-43	3690
5.42	3669	3705	-36	3696
5.44	3735	3711	24	3702
5.46	3633	3717	-84	3707
5.48	3618	3722	-104	3713
5.5	3709	3728	-19	3719
5.52	3764	3734	30	3724
5.54	3693	3739	-46	3730
5.56	3655	3745	-90	3735
5.58	3607	3750	-143	3741
5.6	3816	3756	60	3747
5.62	3776	3762	14	3752
5.64	3736	3767	-31	3758
5.66	3717	3773	-56	3764
5.68	3686	3779	-93	3769
5.7	3727	3784	-57	3775
5.72	3711	3790	-79	3780
5.74	3608	3795	-187	3786
5.76	3748	3801	-53	3792
5.78	3680	3807	-127	3797
5.8	3624	3812	-188	3803
5.82	3879	3818	61	3808
5.84	3842	3823	19	3814
5.86	3712	3829	-117	3819
5.88	3812	3835	-23	3825
5.9	3644	3840	-196	3831
5.92	3770	3846	-76	3836
5.94	3869	3851	18	3842
5.96	3761	3857	-96	3847
5.98	3878	3862	16	3853
6.0	3839	3868	-29	3858
6.02	3860	3873	-13	3864
6.04	3794	3879	-85	3869
6.06	3946	3884	62	3875
6.08	3815	3890	-75	3880
6.1	3782	3895	-113	3886
6.12	3926	3901	25	3891
6.14	3869	3906	-37	3897
6.16	3821	3912	-91	3902
6.18	3950	3917	33	3908
6.2	3910	3923	-13	3913
6.22	3925	3928	-3	3919
6.24	3909	3934	-25	3924
6.26	3966	3939	27	3930
6.28	3870	3945	-75	3935
6.3	3974	3950	24	3941
6.32	3912	3956	-44	3946
6.34	3939	3961	-22	3952
6.36	3856	3967	-111	3957
6.38	3940	3972	-32	3962
6.4	3968	3977	-9	3968
6.42	3986	3983	3	3973
6.44	3930	3988	-58	3979
6.46	3938	3994	-56	3984
6.48	3888	3999	-111	3989
6.5	3991	4004	-13	3995
6.52	3995	4010	-15	4000
6.54	3986	4015	-29	4006
6.56	4017	4020	-3	4011
6.58	4038	4026	12	4016
6.6	3890	4031	-141	4022
6.62	3965	4036	-71	4027
6.64	4084	4042	42	4032
6.66	3949	4047	-98	4038
6.68	4099	4052	47	4043
6.7	4115	4058	57	4048
6.72	4051	4063	-12	4053
6.74	4020	4068	-48	4059
6.76	4002	4073	-71	4064
6.78	4056	4079	-23	4069
6.8	4118	4084	34	4074
6.82	3983	4089	-106	4080
6.84	3955	4094	-139	4085
6.86	3955	4099	-144	4090
6.88	4060	4105	-45	4095
6.9	4037	4110	-73	4100
6.92	3991	4115	-124	4106
6.94	3959	4120	-161	4111
6.96	4125	4125	0	4116
6.98	4038	4131	-93	4121
7.0	4124	4136	-12	4126
7.02	4003	4141	-138	4131
7.04	4090	4146	-56	4136
7.06	4011	4151	-140	4142
7.08	4086	4156	-70	4147
7.1	4085	4161	-76	4152
