(Scan or Sample ID - Optional)
Wavelength = 1.54059Å, !30.055°/124.895°/0.08356°/1(s), I(p)=5583.0/525.0, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:39 AM
Angle	I(o)	I(c)	I(d)	I(b)
30.05478	614.0	519.2	94.8	596.5
30.13834	578.0	520.1	57.9	596.8
30.2219	616.0	521.1	94.9	597.2
30.30546	614.0	522.0	92.0	597.5
30.38902	607.0	522.9	84.1	597.9
30.47258	654.0	523.9	130.1	598.2
30.55614	590.0	524.9	65.1	598.6
30.6397	569.0	525.9	43.1	599.0
30.72326	599.0	526.9	72.1	599.3
30.80682	648.0	527.9	120.1	599.7
30.89038	647.0	528.9	118.1	600.0
30.97394	639.0	530.0	109.0	600.4
31.0575	564.0	531.1	32.9	600.8
31.14106	672.0	532.2	139.8	601.2
31.22462	703.0	533.3	169.7	601.5
31.30818	669.0	534.4	134.6	601.9
31.39174	670.0	535.5	134.5	602.3
31.4753	665.0	536.7	128.3	602.7
31.55886	827.0	537.9	289.1	603.1
31.64242	861.0	539.1	321.9	603.5
31.72598	858.0	540.3	317.7	604.0
31.80954	813.0	541.5	271.5	604.4
31.8931	722.0	542.8	179.2	604.8
31.97666	629.0	544.1	84.9	605.3
32.06022	632.0	545.4	86.6	605.7
32.14378	604.0	546.7	57.3	606.2
32.22734	645.0	548.1	96.9	606.7
32.3109	623.0	549.5	73.5	607.2
32.39446	634.0	550.9	83.1	607.7
32.47802	592.0	552.4	39.6	608.2
32.56158	609.0	553.9	55.1	608.7
32.64514	642.0	555.4	86.6	609.2
32.7287	728.0	557.0	171.0	609.8
32.81226	618.0	558.6	59.4	610.3
32.89582	677.0	560.3	116.7	610.9
32.97938	615.0	562.0	53.0	611.5
33.06294	655.0	563.7	91.3	612.0
33.1465	632.0	565.5	66.5	612.6
33.23006	623.0	567.3	55.7	613.2
33.31362	667.0	569.2	97.8	613.8
33.39718	598.0	571.2	26.8	614.4
33.48074	657.0	573.2	83.8	615.0
33.5643	675.0	575.3	99.7	615.7
33.64786	646.0	577.5	68.5	616.3
33.73142	677.0	579.7	97.3	616.9
33.81498	717.0	582.0	135.0	617.5
33.89854	633.0	584.4	48.6	618.2
33.9821	799.0	586.9	212.1	618.8
34.06566	797.0	589.5	207.5	619.4
34.14922	798.0	592.2	205.8	620.1
34.23278	835.0	595.0	240.0	620.7
34.31634	896.0	598.0	298.0	621.4
34.3999	834.0	601.0	233.0	622.0
34.48346	811.0	604.3	206.7	622.6
34.56702	713.0	607.7	105.3	623.3
34.65058	794.0	611.2	182.8	623.9
34.73414	784.0	615.0	169.0	624.5
34.8177	745.0	619.0	126.0	625.2
34.90126	708.0	623.2	84.8	625.8
34.98482	670.0	627.6	42.4	626.4
35.06838	686.0	632.3	53.7	627.0
35.15194	710.0	637.4	72.6	627.6
35.2355	694.0	642.8	51.2	628.2
35.31906	723.0	648.6	74.4	628.8
35.40262	763.0	654.8	108.2	629.4
35.48618	860.0	661.4	198.6	630.0
35.56974	913.0	668.6	244.4	630.6
35.6533	860.0	676.4	183.6	631.2
35.73686	807.0	684.9	122.1	631.7
35.82042	721.0	694.2	26.8	632.3
35.90398	717.0	704.4	12.6	632.8
35.98754	704.0	715.5	-11.5	633.3
36.0711	708.0	727.9	-19.9	633.9
36.15466	722.0	741.6	-19.6	634.4
36.23822	737.0	756.8	-19.8	634.9
36.32178	717.0	774.1	-57.1	635.3
36.40534	793.0	793.6	-0.6	635.8
36.4889	860.0	816.1	43.9	636.3
36.57246	834.0	842.5	-8.5	636.7
36.65602	924.0	874.0	50.0	637.1
36.73958	930.0	912.9	17.1	637.5
36.82314	931.0	962.1	-31.1	637.9
36.9067	1033.0	1026.2	6.8	638.3
36.99026	1074.0	1111.4	-37.4	638.7
37.07382	1221.0	1225.8	-4.8	639.0
37.15738	1275.0	1379.5	-104.5	639.3
37.24094	1420.0	1583.9	-163.9	639.6
37.3245	1688.0	1850.6	-162.6	639.9
37.40806	2037.0	2189.7	-152.7	640.2
37.49162	2434.0	2607.2	-173.2	640.4
37.57518	2889.0	3102.4	-213.4	640.7
37.65874	3348.0	3664.7	-316.7	640.9
37.7423	4166.0	4270.3	-104.3	641.1
37.82586	4754.0	4877.5	-123.5	641.2
37.90942	5272.0	5424.6	-152.6	641.3
37.99298	5399.0	5833.8	-434.8	641.5
38.07654	5363.0	6029.5	-666.5	641.5
38.1601	5212.0	5897.6	-685.6	641.6
38.24366	4894.0	5425.9	-531.9	641.7
38.32722	4154.0	4733.3	-579.3	641.7
38.41078	3676.0	3982.8	-306.8	641.7
38.49434	3074.0	3293.5	-219.5	641.6
38.5779	2712.0	2734.1	-22.1	641.5
38.66146	2351.0	2336.6	14.4	641.4
38.74502	2177.0	2109.3	67.7	641.3
38.82858	2102.0	2047.1	54.9	641.2
38.91214	2054.0	2138.1	-84.1	641.0
38.9957	2085.0	2365.8	-280.8	640.8
39.07926	2363.0	2707.5	-344.5	640.5
39.16282	2849.0	3130.1	-281.1	640.3
39.24638	3429.0	3583.2	-154.2	640.0
39.32994	3906.0	3995.2	-89.2	639.6
39.4135	4173.0	4276.5	-103.5	639.2
39.49706	4256.0	4332.8	-76.8	638.8
39.58062	3792.0	4067.4	-275.4	638.4
39.66418	3243.0	3539.5	-296.5	637.9
39.74774	2772.0	2904.8	-132.8	637.4
39.8313	2143.0	2302.1	-159.1	636.9
39.91486	1806.0	1807.0	-1.0	636.3
39.99842	1487.0	1441.7	45.3	635.7
40.08198	1314.0	1194.5	119.5	635.0
