0463_HM_Mo3NbRu2
Wavelength = 1.54059Å, !30.008°/134.763°/0.01671°/1(s), I(p)=6491.0/574.0, Cu(45kV,40mA), Thursday, February 05, 2026, 10:23 AM
Angle	I(o)	I(c)	I(d)	I(b)
30.00836	609.0	709.7	-100.7	625.9
30.02507	655.0	709.0	-54.0	625.8
30.04178	605.0	708.3	-103.3	625.7
30.05849	655.0	707.9	-52.9	625.6
30.0752	655.0	707.2	-52.2	625.6
30.09191	654.0	706.5	-52.5	625.5
30.10862	663.0	705.8	-42.8	625.4
30.12533	669.0	705.2	-36.2	625.4
30.14204	655.0	704.5	-49.5	625.3
30.15875	642.0	704.0	-62.0	625.2
30.17546	648.0	703.3	-55.3	625.1
30.19217	624.0	702.6	-78.6	625.1
30.20888	673.0	702.0	-29.0	625.0
30.22559	648.0	701.3	-53.3	624.9
30.2423	599.0	700.7	-101.7	624.9
30.25901	648.0	700.0	-52.0	624.8
30.27572	641.0	699.4	-58.4	624.7
30.29243	630.0	698.8	-68.8	624.6
30.30914	626.0	698.2	-72.2	624.6
30.32585	609.0	697.5	-88.5	624.5
30.34256	625.0	696.9	-71.9	624.4
30.35927	653.0	696.3	-43.3	624.4
30.37598	646.0	695.6	-49.6	624.3
30.39269	619.0	695.0	-76.0	624.2
30.4094	638.0	694.4	-56.4	624.1
30.42611	633.0	693.7	-60.7	624.1
30.44282	681.0	693.1	-12.1	624.0
30.45953	679.0	692.5	-13.5	623.9
30.47624	664.0	691.9	-27.9	623.9
30.49295	653.0	691.2	-38.2	623.8
30.50966	673.0	690.6	-17.6	623.7
30.52637	607.0	690.0	-83.0	623.7
30.54308	608.0	689.3	-81.3	623.6
30.55979	618.0	688.7	-70.7	623.5
30.5765	674.0	689.9	-15.9	623.5
30.59321	582.0	689.3	-107.3	623.4
30.60992	619.0	688.7	-69.7	623.3
30.62663	626.0	688.2	-62.2	623.3
30.64334	718.0	687.6	30.4	623.2
30.66005	651.0	687.1	-36.1	623.2
30.67676	576.0	686.5	-110.5	623.1
30.69347	660.0	686.8	-26.8	623.0
30.71018	590.0	686.2	-96.2	623.0
30.72689	576.0	685.6	-109.6	622.9
30.7436	640.0	685.1	-45.1	622.9
30.76031	715.0	684.5	30.5	622.8
30.77702	603.0	683.9	-80.9	622.7
30.79373	616.0	683.4	-67.4	622.7
30.81044	662.0	682.9	-20.9	622.6
30.82715	625.0	682.4	-57.4	622.6
30.84386	619.0	681.8	-62.8	622.5
30.86057	652.0	681.3	-29.3	622.5
30.87728	645.0	680.7	-35.7	622.4
30.89399	634.0	680.2	-46.2	622.4
30.9107	595.0	679.6	-84.6	622.3
30.92741	648.0	679.1	-31.1	622.3
30.94412	642.0	678.5	-36.5	622.2
30.96083	607.0	678.0	-71.0	622.2
30.97754	635.0	677.5	-42.5	622.1
30.99425	664.0	676.9	-12.9	622.1
31.01096	673.0	676.3	-3.3	622.0
31.02767	700.0	675.8	24.2	622.0
31.04438	639.0	675.2	-36.2	621.9
31.06109	627.0	674.7	-47.7	621.9
31.0778	664.0	674.2	-10.2	621.8
31.09451	673.0	673.7	-0.7	621.8
31.11122	663.0	673.2	-10.2	621.7
31.12793	623.0	672.7	-49.7	621.7
31.14464	638.0	672.5	-34.5	621.7
31.16135	681.0	672.0	9.0	621.6
31.17806	712.0	671.5	40.5	621.6
31.19477	693.0	671.0	22.0	621.6
31.21148	666.0	670.5	-4.5	621.5
31.22819	642.0	670.1	-28.1	621.5
31.2449	679.0	669.6	9.4	621.5
31.26161	661.0	669.2	-8.2	621.4
31.27832	648.0	668.7	-20.7	621.4
31.29503	624.0	668.3	-44.3	621.4
31.31174	626.0	667.9	-41.9	621.3
31.32845	618.0	667.5	-49.5	621.3
31.34516	623.0	667.1	-44.1	621.3
31.36187	610.0	666.7	-56.7	621.3
31.37858	687.0	666.3	20.7	621.2
31.39529	666.0	665.9	0.1	621.2
31.412	606.0	665.6	-59.6	621.2
31.42871	649.0	665.3	-16.3	621.2
31.44542	665.0	664.9	0.1	621.1
31.46213	649.0	664.7	-15.7	621.1
31.47884	633.0	664.4	-31.4	621.1
31.49555	646.0	664.3	-18.3	621.1
31.51226	646.0	664.1	-18.1	621.1
31.52897	677.0	663.9	13.1	621.1
31.54568	639.0	663.8	-24.8	621.1
31.56239	656.0	663.7	-7.7	621.1
31.5791	646.0	663.6	-17.6	621.0
31.59581	645.0	663.6	-18.6	621.0
31.61252	613.0	663.6	-50.6	621.0
31.62923	666.0	663.6	2.4	621.0
31.64594	609.0	663.6	-54.6	621.0
31.66265	667.0	663.7	3.3	621.0
31.67936	626.0	663.8	-37.8	621.0
31.69607	651.0	663.8	-12.8	621.0
31.71278	621.0	663.8	-42.8	621.0
31.72949	645.0	663.7	-18.7	621.0
31.7462	622.0	663.5	-41.5	621.0
31.76291	615.0	663.2	-48.2	621.0
31.77962	649.0	662.8	-13.8	621.1
31.79633	629.0	662.4	-33.4	621.1
31.81304	666.0	661.9	4.1	621.1
31.82975	654.0	661.4	-7.4	621.1
31.84646	627.0	660.7	-33.7	621.1
31.86317	642.0	660.0	-18.0	621.1
31.87988	677.0	659.3	17.7	621.1
31.89659	656.0	658.6	-2.6	621.2
31.9133	667.0	657.8	9.2	621.2
31.93001	592.0	657.0	-65.0	621.2
31.94672	661.0	656.3	4.7	621.2
31.96343	591.0	655.5	-64.5	621.3
31.98014	645.0	654.7	-9.7	621.3
31.99685	632.0	653.9	-21.9	621.3
32.01356	704.0	653.2	50.8	621.4
32.03027	671.0	652.4	18.6	621.4
32.04698	673.0	651.6	21.4	621.4
32.06369	664.0	650.9	13.1	621.5
32.08039	623.0	650.2	-27.2	621.5
32.09711	618.0	649.9	-31.9	621.6
32.11382	606.0	649.2	-43.2	621.6
32.13053	639.0	648.6	-9.6	621.6
32.14724	632.0	647.9	-15.9	621.7
32.16394	622.0	647.3	-25.3	621.7
32.18066	615.0	646.6	-31.6	621.8
32.19736	670.0	646.0	24.0	621.8
32.21408	655.0	645.7	9.3	621.9
32.23079	597.0	645.1	-48.1	622.0
32.2475	590.0	644.5	-54.5	622.0
32.26421	661.0	644.0	17.0	622.1
32.28091	654.0	643.4	10.6	622.1
32.29763	676.0	642.9	33.1	622.2
32.31433	631.0	642.4	-11.4	622.3
32.33105	604.0	641.9	-37.9	622.3
32.34776	593.0	641.4	-48.4	622.4
32.36447	646.0	640.9	5.1	622.5
32.38118	655.0	640.6	14.4	622.6
32.39788	653.0	640.1	12.9	622.6
32.4146	590.0	639.6	-49.6	622.7
32.4313	597.0	639.2	-42.2	622.8
32.44802	603.0	638.8	-35.8	622.9
32.46473	614.0	638.3	-24.3	623.0
32.48144	651.0	637.9	13.1	623.1
32.49815	637.0	637.5	-0.5	623.1
32.51485	656.0	637.1	18.9	623.2
32.53157	627.0	636.7	-9.7	623.3
32.54827	630.0	636.5	-6.5	623.4
32.56499	655.0	636.1	18.9	623.5
32.5817	630.0	635.7	-5.7	623.6
32.59841	647.0	635.4	11.6	623.7
32.61512	661.0	635.0	26.0	623.8
32.63182	679.0	634.7	44.3	624.0
32.64854	617.0	634.3	-17.3	624.1
32.66525	641.0	634.0	7.0	624.2
32.68196	624.0	633.7	-9.7	624.3
32.69867	634.0	633.4	0.6	624.4
32.71538	616.0	633.1	-17.1	624.5
32.73209	640.0	632.9	7.1	624.7
32.74879	575.0	632.6	-57.6	624.8
32.76551	641.0	633.1	7.9	624.9
32.78222	637.0	632.9	4.1	625.0
32.79893	646.0	632.6	13.4	625.2
32.81564	683.0	632.4	50.6	625.3
32.83235	616.0	632.3	-16.3	625.4
32.84906	590.0	632.1	-42.1	625.6
32.86576	621.0	632.3	-11.3	625.7
32.88248	595.0	632.2	-37.2	625.9
32.89919	683.0	632.3	50.7	626.0
32.9159	658.0	632.2	25.8	626.2
32.93261	626.0	632.2	-6.2	626.3
32.94932	661.0	632.2	28.8	626.5
32.96603	651.0	632.2	18.8	626.6
32.98273	638.0	632.3	5.7	626.8
32.99945	687.0	632.4	54.6	627.0
33.01616	639.0	632.5	6.5	627.1
33.03287	669.0	632.6	36.4	627.3
33.04958	574.0	632.7	-58.7	627.5
33.06629	665.0	632.8	32.2	627.6
