0464_HM_MoNbRu2
Wavelength = 1.54059Å, !20.001°/132.877°/0.01671°/1(s), I(p)=6323.0/483.0, Cu(45kV,40mA), Thursday, February 05, 2026, 10:23 AM
Angle	I(o)	I(c)	I(d)	I(b)
20.00136	614.0	584.3	29.7	631.7
20.01807	617.0	585.5	31.5	631.4
20.03478	655.0	586.7	68.3	631.1
20.05149	666.0	588.0	78.0	630.9
20.0682	651.0	589.2	61.8	630.6
20.08491	687.0	590.5	96.5	630.3
20.10162	680.0	591.7	88.3	630.1
20.11833	665.0	592.9	72.1	629.8
20.13504	673.0	594.0	79.0	629.6
20.15175	635.0	595.1	39.9	629.3
20.16846	677.0	596.1	80.9	629.0
20.18517	601.0	596.9	4.1	628.8
20.20188	660.0	597.7	62.3	628.5
20.21859	648.0	598.3	49.7	628.2
20.2353	661.0	598.7	62.3	628.0
20.25201	683.0	598.9	84.1	627.7
20.26872	634.0	598.9	35.1	627.4
20.28543	658.0	598.5	59.5	627.2
20.30214	638.0	598.0	40.0	626.9
20.31885	642.0	597.2	44.8	626.6
20.33556	650.0	596.2	53.8	626.4
20.35227	662.0	595.1	66.9	626.1
20.36898	626.0	594.0	32.0	625.8
20.38569	584.0	592.8	-8.8	625.6
20.4024	617.0	591.7	25.3	625.3
20.41911	607.0	590.5	16.5	625.1
20.43582	640.0	589.5	50.5	624.8
20.45253	593.0	588.5	4.5	624.5
20.46924	623.0	587.5	35.5	624.3
20.48595	616.0	586.7	29.3	624.0
20.50266	635.0	585.9	49.1	623.7
20.51937	597.0	585.3	11.7	623.5
20.53608	615.0	584.7	30.3	623.2
20.55279	634.0	584.1	49.9	622.9
20.5695	641.0	583.7	57.3	622.7
20.58621	647.0	583.3	63.7	622.4
20.60292	633.0	583.1	49.9	622.1
20.61963	617.0	582.8	34.2	621.9
20.63634	594.0	582.5	11.5	621.6
20.65305	564.0	582.4	-18.4	621.4
20.66976	588.0	582.2	5.8	621.1
20.68647	595.0	582.1	12.9	620.8
20.70318	708.0	582.0	126.0	620.6
20.71989	613.0	581.9	31.1	620.3
20.7366	615.0	581.9	33.1	620.0
20.75331	639.0	581.9	57.1	619.8
20.77002	631.0	581.9	49.1	619.5
20.78673	638.0	581.9	56.1	619.3
20.80344	620.0	582.0	38.0	619.0
20.82015	560.0	582.0	-22.0	618.7
20.83686	614.0	582.1	31.9	618.5
20.85357	637.0	582.1	54.9	618.2
20.87028	637.0	582.2	54.8	618.0
20.88699	618.0	582.3	35.7	617.7
20.9037	637.0	582.4	54.6	617.4
20.92041	616.0	582.5	33.5	617.2
20.93712	599.0	582.6	16.4	616.9
20.95383	598.0	582.7	15.3	616.6
20.97054	595.0	582.8	12.2	616.4
20.98725	609.0	582.9	26.1	616.1
21.00396	575.0	583.0	-8.0	615.9
21.02067	636.0	583.2	52.8	615.6
21.03738	576.0	583.3	-7.3	615.3
21.05409	575.0	583.4	-8.4	615.1
21.0708	599.0	583.5	15.5	614.8
21.08751	586.0	583.7	2.3	614.6
21.10422	630.0	583.8	46.2	614.3
21.12093	616.0	583.9	32.1	614.0
21.13764	624.0	584.1	39.9	613.8
21.15435	604.0	584.3	19.7	613.5
21.17106	607.0	584.5	22.5	613.3
21.18777	605.0	584.6	20.4	613.0
21.20448	598.0	584.8	13.2	612.8
21.22119	639.0	584.9	54.1	612.5
