0465_HM_Cu5GePd6
Wavelength = 1.54059Å, !20.05°/119.719°/0.10027°/1(s), I(p)=51801/758, Cu(45kV,40mA), Friday, February 27, 2026, 1:30 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.05013	758	727	31	789
20.1504	788	728	60	791
20.25068	822	728	94	794
20.35094	813	729	84	796
20.45121	816	730	86	798
20.55149	823	731	92	801
20.65175	845	732	113	803
20.75203	806	732	74	805
20.85229	873	733	140	807
20.95256	794	734	60	809
21.05284	787	735	52	811
21.1531	791	736	55	813
21.25337	781	736	45	815
21.35365	800	737	63	817
21.45391	809	738	71	819
21.55418	800	739	61	821
21.65446	822	740	82	823
21.75472	807	741	66	824
21.85499	800	742	58	826
21.95527	826	742	84	827
22.05553	886	743	143	829
22.15581	848	744	104	830
22.25607	783	745	38	831
22.35634	839	746	93	832
22.45662	852	747	105	833
22.55688	832	748	84	834
22.65715	821	749	72	835
22.75743	832	750	82	836
22.85769	797	750	47	837
22.95796	807	751	56	837
23.05824	802	753	49	838
23.1585	820	754	66	838
23.25877	817	755	62	838
23.35905	820	756	64	838
23.45931	825	757	68	839
23.55959	828	758	70	839
23.65985	824	759	65	839
23.76012	808	760	48	839
23.8604	847	761	86	838
23.96066	822	762	60	838
24.06093	820	763	57	838
24.16121	829	764	65	838
24.26147	850	765	85	837
24.36174	785	766	19	837
24.46202	863	767	96	836
24.56228	870	768	102	836
24.66256	783	769	14	835
24.76283	804	770	34	835
24.86309	842	771	71	834
24.96337	815	772	43	834
25.06363	824	773	51	833
25.1639	812	775	37	832
25.26418	838	776	62	832
25.36444	850	777	73	831
25.46471	812	779	33	830
25.56499	789	780	9	829
25.66525	824	781	43	828
25.76552	801	782	19	828
25.8658	809	783	26	827
25.96606	846	785	61	826
26.06634	858	786	72	825
26.1666	888	787	101	824
26.26687	832	788	44	823
26.36715	834	790	44	823
26.46741	808	791	17	822
26.56768	802	792	10	821
26.66796	812	794	18	820
26.76822	848	795	53	819
26.86849	819	796	23	819
26.96877	803	798	5	818
27.06903	885	799	86	817
27.16931	865	801	64	816
27.26958	816	802	14	816
27.36984	783	804	-21	815
27.47012	845	806	39	815
27.57038	844	807	37	814
27.67065	840	809	31	813
27.77093	840	811	29	813
27.87119	873	821	52	812
27.97146	923	827	96	812
28.07174	927	829	98	812
28.172	847	832	15	811
28.27227	874	835	39	811
28.37255	904	838	66	811
28.47281	865	841	24	810
28.57309	927	845	82	810
28.67336	868	850	18	810
28.77362	921	855	66	810
28.8739	946	862	84	810
28.97416	942	870	72	810
29.07443	995	881	114	810
29.17471	1049	896	153	810
29.27497	980	917	63	810
29.37524	1085	949	136	810
29.47552	1127	1002	125	810
29.57578	1202	1099	103	811
29.67606	1264	1301	-37	811
29.77633	1283	1767	-484	811
29.87659	1231	2516	-1285	812
29.97687	1189	2135	-946	812
30.07714	1146	1332	-186	813
30.1774	1084	1055	29	813
30.27768	978	962	16	814
30.37794	1001	922	79	814
30.47821	887	902	-15	815
30.57849	938	891	47	816
30.67875	911	885	26	817
30.77902	923	881	42	817
30.8793	901	879	22	818
30.97956	892	878	14	819
31.07984	835	878	-43	820
31.18011	865	878	-13	821
31.28037	845	878	-33	822
31.38065	850	880	-30	824
31.48092	861	881	-20	825
31.58118	923	882	41	826
31.68146	808	883	-75	827
31.78172	826	885	-59	829
31.88199	849	886	-37	830
31.98227	913	888	25	832
32.08253	895	889	6	833
32.1828	898	891	7	835
32.28307	879	893	-14	837
32.38335	906	894	12	838
32.48362	888	896	-8	840
32.58389	846	898	-52	842
32.68415	836	900	-64	844
32.78442	910	902	8	846
32.8847	918	905	13	848
32.98497	837	907	-70	850
33.08524	867	909	-42	852
33.1855	882	910	-28	854
33.28577	922	912	10	856
33.38604	863	915	-52	858
33.48632	835	917	-82	860
33.58659	932	919	13	862
33.68686	898	921	-23	865
33.78712	897	923	-26	867
33.88739	891	926	-35	869
33.98766	859	928	-69	872
34.08794	909	931	-22	874
34.18821	879	933	-54	876
34.28848	860	935	-75	879
34.38874	912	937	-25	881
34.48901	886	940	-54	884
34.58929	912	943	-31	886
34.68956	860	945	-85	889
34.78983	877	948	-71	891
34.89009	888	951	-63	894
34.99036	897	953	-56	896
35.09063	850	956	-106	899
35.19091	943	959	-16	902
35.29118	889	962	-73	904
