0466_HM_Hf2MoIr 1
Wavelength = 1.54059Å, !20.282°/129.924°/0.1504°/1(s), I(p)=22097/512, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.2822	673	-1	674	668
20.4326	654	-1	655	667
20.583	708	-1	709	665
20.7334	662	-1	663	663
20.8838	693	-1	694	662
21.0342	689	-1	690	660
21.1846	684	-1	685	659
21.335	665	-1	666	657
21.4854	697	-1	698	655
21.6358	660	-1	661	654
21.7862	676	-1	677	652
21.9366	654	-1	655	650
22.087	632	-1	633	649
22.2374	626	-1	627	647
22.3878	624	-1	625	646
22.5382	635	-1	636	644
22.6886	649	-1	650	642
22.839	605	-1	606	641
22.9894	659	-1	660	639
23.1398	620	-1	621	637
23.2902	671	-1	672	636
23.4406	645	-1	646	634
23.591	622	-1	623	632
23.7414	669	-1	670	630
23.8918	592	-1	593	629
24.0422	665	-1	666	627
24.1926	639	-1	640	625
24.343	648	-1	649	623
24.4934	573	-1	574	622
24.6438	600	-1	601	620
24.7942	659	-1	660	618
24.9446	640	-1	641	616
25.095	661	-1	662	614
25.2454	630	-1	631	612
25.3958	647	-1	648	610
25.5462	683	-1	684	608
25.6966	630	-1	631	606
25.847	607	-1	608	604
25.9974	566	497	69	602
26.1478	605	500	105	600
26.2982	654	502	152	598
26.4486	619	506	113	596
26.599	601	509	92	594
26.7494	570	515	55	592
26.8998	591	526	65	590
27.0502	630	550	80	588
27.2006	627	598	29	586
27.351	612	609	3	584
27.5014	579	551	28	582
27.6518	661	527	134	580
27.8022	603	519	84	578
27.9526	574	517	57	576
28.103	608	515	93	574
28.2534	603	514	89	572
28.4038	602	515	87	570
28.5542	617	516	101	568
28.7046	559	517	42	566
28.855	557	518	39	564
29.0054	539	520	19	562
29.1558	571	521	50	561
29.3062	598	522	76	559
29.4566	597	524	73	557
29.607	570	525	45	556
29.7574	571	527	44	554
29.9078	556	528	28	552
30.0582	576	530	46	551
30.2086	594	532	62	550
30.359	545	534	11	548
30.5094	587	535	52	547
30.6598	512	537	-25	546
30.8102	563	539	24	545
30.9606	604	541	63	544
31.111	620	544	76	543
31.2614	622	546	76	542
31.4118	635	548	87	541
31.5622	676	551	125	540
31.7126	661	553	108	539
31.863	631	556	75	539
32.0134	559	559	0	538
32.1638	611	562	49	538
32.3142	576	565	11	537
32.4646	565	568	-3	537
32.615	552	571	-19	537
32.7654	558	575	-17	536
32.9158	633	579	54	536
33.0662	669	583	86	536
33.2166	737	587	150	536
33.367	813	592	221	536
33.5174	809	597	212	536
33.6678	689	602	87	536
33.8182	635	608	27	536
33.9686	648	614	34	536
34.119	649	620	29	536
34.2694	610	627	-17	536
34.4198	617	634	-17	537
34.5702	613	643	-30	537
34.7206	624	652	-28	537
34.871	726	661	65	538
35.0214	642	672	-30	538
35.1718	720	684	36	538
35.3222	767	697	70	539
35.4726	764	712	52	539
35.623	876	729	147	540
35.7734	834	748	86	540
35.9238	757	769	-12	541
36.0742	787	794	-7	541
36.2246	811	822	-11	542
36.375	991	855	136	542
36.5254	1524	894	630	543
36.6758	993	941	52	544
36.8262	780	996	-216	544
36.9766	841	1064	-223	545
37.127	897	1149	-252	546
37.2774	982	1255	-273	546
37.4278	1130	1391	-261	547
37.5782	1425	1570	-145	548
37.7286	2142	1812	330	548
37.879	3508	2148	1360	549
38.0294	3599	2636	963	550
38.1798	2786	3375	-589	550
38.3302	3598	4557	-959	551
38.4806	5719	6561	-842	552
38.631	9887	10106	-219	553
38.7814	16589	16000	589	553
38.9318	22097	22056	41	554
39.0822	19362	19019	343	555
39.2326	9894	10178	-284	555
39.383	5227	5436	-209	556
39.5334	3599	3373	226	556
39.6838	2432	2370	62	557
39.8342	1979	1820	159	558
39.9846	1726	1490	236	558
40.135	1741	1278	463	559
40.2854	1649	1135	514	559
40.4358	1237	1033	204	560
40.5862	1009	959	50	560
40.7366	905	903	2	561
40.887	886	861	25	561
41.0374	843	828	15	561
41.1878	946	801	145	562
41.3382	1329	780	549	562
41.4886	2169	763	1406	562
41.639	1288	750	538	563
41.7894	800	739	61	563
41.9398	692	729	-37	563
42.0902	703	722	-19	563
42.2406	720	716	4	563
42.391	711	710	1	563
42.5414	656	706	-50	563
42.6918	645	703	-58	563
42.8422	666	700	-34	563
42.9926	634	698	-64	563
43.143	626	696	-70	563
43.2934	682	695	-13	563
43.4438	705	694	11	562
43.5942	677	694	-17	562
43.7446	664	694	-30	561
43.895	674	694	-20	561
44.0454	702	694	8	560
44.1958	700	695	5	560
44.3462	655	695	-40	559
44.4966	633	696	-63	558
44.647	591	697	-106	558
44.7974	621	698	-77	557
44.9478	574	700	-126	556
45.0982	550	701	-151	555
45.2486	552	703	-151	554
45.399	579	704	-125	552
45.5494	575	706	-131	551
45.6998	579	708	-129	550
45.8502	637	709	-72	549
46.0006	694	711	-17	547
46.151	639	713	-74	546
46.3014	631	716	-85	545
46.4518	577	720	-143	543
46.6022	605	723	-118	542
46.7526	587	725	-138	540
46.903	611	722	-111	539
47.0534	551	725	-174	538
47.2038	544	728	-184	536
47.3542	561	730	-169	535
47.5046	544	736	-192	534
47.655	563	741	-178	533
47.8054	530	749	-219	532
47.9558	588	757	-169	531
48.1062	569	766	-197	530
48.2566	555	771	-216	529
48.407	538	768	-230	528
48.5574	604	763	-159	527
48.7078	638	762	-124	527
48.8582	578	760	-182	527
49.0086	588	763	-175	526
49.159	591	766	-175	526
49.3094	558	769	-211	526
49.4598	571	775	-204	526
49.6102	574	778	-204	527
49.7606	522	782	-260	527
49.911	554	780	-226	528
50.0614	520	784	-264	529
50.2118	602	788	-186	530
50.3622	547	792	-245	531
50.5126	578	795	-217	532
50.663	554	799	-245	534
50.8134	620	803	-183	536
50.9638	617	807	-190	538
51.1142	586	812	-226	540
51.2646	678	816	-138	542
51.415	678	820	-142	545
51.5654	620	825	-205	548
51.7158	597	829	-232	550
51.8662	550	834	-284	553
52.0166	557	839	-282	557
52.167	573	844	-271	560
52.3174	599	849	-250	563
52.4678	521	854	-333	567
52.6182	547	860	-313	571
52.7686	589	866	-277	574
52.919	635	872	-237	578
53.0694	697	879	-182	582
53.2198	630	886	-256	587
53.3702	580	893	-313	591
53.5206	612	902	-290	595
53.671	603	911	-308	600
53.8214	590	921	-331	605
53.9718	621	932	-311	609
54.1222	623	945	-322	614
54.2726	633	960	-327	619
54.423	653	977	-324	624
54.5734	690	998	-308	629
54.7238	776	1024	-248	634
54.8742	788	1057	-269	640
55.0246	826	1101	-275	645
55.175	922	1167	-245	651
55.3254	1127	1273	-146	656
55.4758	1359	1450	-91	662
55.6262	1597	1738	-141	668
55.7766	2020	2173	-153	674
55.927	2378	2759	-381	681
56.0774	2968	3409	-441	687
56.2278	3385	3890	-505	694
56.3782	3151	3795	-644	700
56.5286	2435	3038	-603	707
56.679	1549	2183	-634	714
56.8294	1166	1614	-448	721
56.9798	1005	1321	-316	729
57.1302	992	1187	-195	736
57.2806	981	1121	-140	744
57.431	1036	1084	-48	752
57.5814	971	1061	-90	760
57.7318	880	1046	-166	769
57.8822	831	1036	-205	777
58.0326	839	1029	-190	786
58.183	844	1025	-181	795
58.3334	856	1023	-167	804
58.4838	788	1022	-234	813
58.6342	831	1022	-191	823
58.7846	856	1022	-166	833
58.935	798	1024	-226	843
59.0854	877	1026	-149	853
59.2358	896	1028	-132	864
59.3862	944	1030	-86	874
59.5366	889	1033	-144	885
59.687	1011	1036	-25	896
59.8374	1116	1040	76	907
59.9878	1055	1043	12	918
60.1382	980	1047	-67	930
60.2886	959	1050	-91	941
60.439	936	1054	-118	953
60.5894	951	1058	-107	964
60.7398	982	1062	-80	976
60.8902	981	1066	-85	988
61.0406	1002	1070	-68	1000
61.191	1020	1072	-52	1012
61.3414	1113	1076	37	1024
61.4918	1227	1080	147	1036
61.6422	1257	1085	172	1048
61.7926	1391	1089	302	1060
61.943	1403	1094	309	1072
62.0934	1250	1099	151	1084
62.2438	1078	1103	-25	1096
62.3942	1089	1108	-19	1108
62.5446	1174	1112	62	1119
62.695	1141	1117	24	1131
62.8454	1152	1122	30	1143
62.9958	1176	1124	52	1155
63.1462	1185	1129	56	1166
63.2966	1278	1134	144	1178
63.447	1425	1139	286	1189
63.5974	1594	1144	450	1201
63.7478	1707	1149	558	1212
63.8982	2112	1154	958	1223
64.0486	3116	1159	1957	1234
64.199	3493	1164	2329	1245
64.3494	2334	1169	1165	1256
64.4998	1515	1174	341	1267
64.6502	1433	1179	254	1277
64.8006	1401	1184	217	1288
64.951	1379	1189	190	1298
65.1014	1437	1194	243	1308
65.2518	1515	1209	306	1318
65.4022	1587	1215	372	1328
65.5526	1692	1221	471	1338
65.703	1541	1227	314	1348
65.8534	1358	1233	125	1357
66.0038	1320	1239	81	1366
66.1542	1455	1245	210	1375
66.3046	1317	1251	66	1384
66.455	1313	1258	55	1393
66.6054	1323	1264	59	1401
66.7558	1392	1271	121	1409
66.9062	1487	1278	209	1417
67.0566	1588	1296	292	1425
67.207	1989	1304	685	1433
67.3574	2123	1313	810	1440
67.5078	1942	1322	620	1448
67.6582	1572	1332	240	1455
67.8086	1598	1342	256	1462
67.959	1675	1354	321	1468
68.1094	1604	1366	238	1475
68.2598	1559	1380	179	1481
68.4102	1590	1395	195	1488
68.5606	1621	1414	207	1494
68.711	1770	1436	334	1500
68.8614	1814	1467	347	1506
69.0118	1906	1513	393	1511
69.1622	2075	1590	485	1517
69.3126	2320	1724	596	1523
69.463	2593	1955	638	1528
69.6134	2938	2332	606	1533
69.7638	3457	2902	555	1538
69.9142	4327	3684	643	1543
70.0646	5034	4643	391	1548
70.215	5966	5670	296	1553
70.3654	6916	6577	339	1558
70.5158	7576	7137	439	1563
70.6662	7397	7017	380	1568
70.8166	6173	6092	81	1572
70.967	4470	4720	-250	1577
71.1174	3069	3428	-359	1581
71.2678	2406	2508	-102	1586
71.4182	2100	1979	121	1590
71.5686	2084	1723	361	1594
71.719	1924	1613	311	1599
71.8694	1812	1567	245	1603
72.0198	1812	1545	267	1607
72.1702	1779	1534	245	1612
72.3206	1640	1527	113	1616
72.471	1713	1523	190	1620
72.6214	1685	1522	163	1625
72.7718	1684	1521	163	1629
72.9222	1589	1522	67	1633
73.0726	1614	1524	90	1638
73.223	1706	1527	179	1642
73.3734	1714	1530	184	1646
73.5238	1634	1525	109	1651
73.6742	1628	1530	98	1655
73.8246	1629	1535	94	1660
73.975	1667	1540	127	1664
74.1254	1697	1545	152	1669
74.2758	1711	1541	170	1673
74.4262	1673	1547	126	1678
74.5766	1711	1554	157	1682
74.727	1701	1560	141	1687
74.8774	1712	1566	146	1692
75.0278	1681	1573	108	1697
75.1782	1769	1579	190	1701
75.3286	1623	1585	38	1706
75.479	1706	1592	114	1711
75.6294	1777	1598	179	1716
75.7798	1756	1605	151	1721
75.9302	1747	1611	136	1726
76.0806	1813	1617	196	1731
76.231	1818	1624	194	1737
76.3814	1809	1630	179	1742
76.5318	1914	1637	277	1747
76.6822	2059	1644	415	1753
76.8326	2371	1650	721	1758
76.983	2696	1657	1039	1764
77.1334	2489	1663	826	1769
77.2838	2272	1670	602	1775
77.4342	1916	1677	239	1781
77.5846	2042	1683	359	1786
77.735	2027	1690	337	1792
77.8854	1965	1697	268	1798
78.0358	1824	1703	121	1804
78.1862	1788	1710	78	1811
78.3366	1811	1717	94	1817
78.487	1847	1723	124	1823
78.6374	1796	1730	66	1830
78.7878	1838	1737	101	1836
78.9382	1876	1744	132	1843
79.0886	1996	1751	245	1849
79.239	2082	1758	324	1856
79.3894	2046	1764	282	1863
79.5398	2124	1771	353	1870
79.6902	2067	1778	289	1876
79.8406	2130	1785	345	1883
79.991	2183	1792	391	1890
80.1414	2105	1799	306	1897
80.2918	2001	1806	195	1904
80.4422	2198	1813	385	1911
80.5926	2310	1820	490	1917
80.743	2275	1827	448	1924
80.8934	2292	1834	458	1931
81.0438	2284	1841	443	1938
81.1942	2217	1848	369	1945
81.3446	2213	1856	357	1952
81.495	2196	1863	333	1958
81.6454	2139	1874	265	1965
81.7958	2334	1887	447	1972
81.9462	2498	1908	590	1978
82.0966	2409	1940	469	1985
82.247	2486	1991	495	1991
82.3974	2588	2071	517	1998
82.5478	2478	2190	288	2004
82.6982	2706	2356	350	2010
82.8486	2994	2572	422	2017
82.999	3348	2828	520	2023
83.1494	3789	3105	684	2029
83.2998	4218	3371	847	2034
83.4502	4586	3588	998	2040
83.6006	4872	3723	1149	2046
83.751	4890	3724	1166	2051
83.9014	4593	3557	1036	2057
84.0518	3883	3259	624	2062
84.2022	3314	2906	408	2067
84.3526	2874	2583	291	2072
84.503	2515	2339	176	2077
84.6534	2365	2183	182	2081
84.8038	2384	2099	285	2086
84.9542	2274	2061	213	2090
85.1046	2402	2050	352	2094
85.255	2290	2050	240	2098
85.4054	2205	2055	150	2101
85.5558	2204	2062	142	2105
85.7062	2067	2070	-3	2108
85.8566	2150	2078	72	2111
86.007	2089	2085	4	2114
86.1574	2154	2093	61	2117
86.3078	2146	2101	45	2119
86.4582	2139	2109	30	2122
86.6086	2107	2116	-9	2124
86.759	2183	2124	59	2126
86.9094	2234	2132	102	2129
87.0598	2090	2140	-50	2131
87.2102	2196	2148	48	2133
87.3606	2130	2156	-26	2135
87.511	2158	2163	-5	2137
87.6614	2099	2171	-72	2139
87.8118	2226	2179	47	2141
87.9622	2159	2187	-28	2143
88.1126	2285	2195	90	2146
88.263	2226	2203	23	2148
88.4134	2095	2211	-116	2151
88.5638	2098	2219	-121	2153
88.7142	2110	2227	-117	2156
88.8646	2190	2235	-45	2159
89.015	2155	2243	-88	2162
89.1654	2239	2251	-12	2166
89.3158	2123	2259	-136	2170
89.4662	2207	2268	-61	2174
89.6166	2297	2276	21	2178
89.767	2193	2284	-91	2182
89.9174	2145	2292	-147	2187
90.0678	2256	2300	-44	2193
90.2182	2188	2308	-120	2198
90.3686	2148	2317	-169	2204
90.519	2144	2325	-181	2210
90.6694	2280	2333	-53	2217
90.8198	2342	2341	1	2224
90.9702	2285	2350	-65	2232
91.1206	2386	2358	28	2240
91.271	2365	2366	-1	2248
91.4214	2343	2375	-32	2257
91.5718	2456	2383	73	2266
91.7222	2458	2392	66	2275
91.8726	2365	2400	-35	2284
92.023	2412	2408	4	2293
92.1734	2407	2417	-10	2303
92.3238	2412	2425	-13	2313
92.4742	2334	2434	-100	2323
92.6246	2258	2442	-184	2333
92.775	2481	2451	30	2343
92.9254	2405	2459	-54	2353
93.0758	2450	2468	-18	2363
93.2262	2497	2477	20	2374
93.3766	2498	2485	13	2384
93.527	2616	2494	122	2394
93.6774	2589	2502	87	2404
93.8278	2588	2511	77	2414
93.9782	2679	2520	159	2424
94.1286	2592	2536	56	2434
94.279	2658	2552	106	2443
94.4294	2694	2575	119	2453
94.5798	2734	2615	119	2462
94.7302	2807	2670	137	2471
94.8806	3006	2751	255	2480
95.031	3032	2868	164	2488
95.1814	3015	3029	-14	2496
95.3318	3299	3240	59	2504
95.4822	3449	3501	-52	2512
95.6326	3755	3804	-49	2520
95.783	3888	4132	-244	2527
95.9334	4243	4459	-216	2535
96.0838	4608	4752	-144	2542
96.2342	5202	4979	223	2549
96.3846	5593	5112	481	2556
96.535	5594	5098	496	2562
96.6854	5584	4921	663	2569
96.8358	5033	4613	420	2575
96.9862	4524	4223	301	2582
97.1366	3871	3823	48	2588
97.287	3417	3470	-53	2594
97.4374	3037	3195	-158	2600
97.5878	2983	3005	-22	2606
97.7382	2771	2887	-116	2612
97.8886	2809	2822	-13	2618
98.039	2745	2793	-48	2623
98.1894	2784	2781	3	2629
98.3398	2889	2780	109	2635
98.4902	3150	2789	361	2640
98.6406	3389	2798	591	2646
98.791	3249	2807	442	2652
98.9414	3203	2817	386	2657
99.0918	3109	2826	283	2663
99.2422	2974	2835	139	2668
99.3926	2916	2845	71	2674
99.543	2817	2854	-37	2679
99.6934	2929	2863	66	2685
99.8438	2810	2873	-63	2691
99.9942	2722	2882	-160	2696
100.1446	2831	2892	-61	2702
100.295	2961	2901	60	2708
100.4454	2823	2910	-87	2714
100.5958	3019	2920	99	2720
100.7462	3228	2929	299	2726
100.8966	3427	2939	488	2732
101.047	3500	2949	551	2738
101.1974	3336	2958	378	2745
101.3478	3242	2968	274	2751
101.4982	2973	2977	-4	2758
101.6486	2858	2987	-129	2765
101.799	2851	2997	-146	2772
101.9494	2915	3006	-91	2779
102.0998	2934	3016	-82	2786
102.2502	3037	3026	11	2793
102.4006	2913	3035	-122	2801
102.551	3071	3045	26	2809
102.7014	3075	3055	20	2817
102.8518	3150	3065	85	2825
103.0022	3050	3074	-24	2833
103.1526	3107	3084	23	2842
103.303	2977	3094	-117	2851
103.4534	3094	3104	-10	2860
103.6038	2920	3114	-194	2869
103.7542	2954	3124	-170	2879
103.9046	2968	3134	-166	2889
