0467_HM_CuNb3Zr2 1
Wavelength = 1.54059Å, !25.008°/124.984°/0.01671°/1(s), I(p)=7280.0/649.0, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
25.00836	758.0	753.6	4.4	745.8
25.02507	733.0	753.6	-20.6	745.8
25.04178	767.0	753.6	13.4	745.9
25.05849	734.0	753.6	-19.6	745.9
25.0752	737.0	753.6	-16.6	746.0
25.09191	704.0	753.6	-49.6	746.0
25.10862	665.0	753.6	-88.6	746.1
25.12533	757.0	753.6	3.4	746.1
25.14204	740.0	753.7	-13.7	746.2
25.15875	727.0	753.7	-26.7	746.2
25.17546	742.0	753.7	-11.7	746.3
25.19217	701.0	753.7	-52.7	746.3
25.20888	728.0	753.8	-25.8	746.4
25.22559	768.0	753.8	14.2	746.4
25.2423	759.0	753.8	5.2	746.4
25.25901	739.0	753.9	-14.9	746.5
25.27572	724.0	753.9	-29.9	746.5
25.29243	746.0	753.9	-7.9	746.6
25.30914	691.0	754.0	-63.0	746.6
25.32585	712.0	754.0	-42.0	746.7
25.34256	721.0	754.1	-33.1	746.7
25.35927	731.0	754.1	-23.1	746.8
25.37598	710.0	754.1	-44.1	746.8
25.39269	762.0	754.2	7.8	746.8
25.4094	688.0	754.2	-66.2	746.9
25.42611	701.0	754.3	-53.3	746.9
25.44282	736.0	754.3	-18.3	747.0
25.45953	751.0	754.4	-3.4	747.0
25.47624	748.0	754.4	-6.4	747.1
25.49295	720.0	754.4	-34.4	747.1
25.50966	659.0	754.5	-95.5	747.1
25.52637	730.0	754.5	-24.5	747.2
25.54308	688.0	754.6	-66.6	747.2
25.55979	716.0	754.6	-38.6	747.3
25.5765	699.0	754.7	-55.7	747.3
25.59321	679.0	754.7	-75.7	747.3
25.60992	681.0	754.8	-73.8	747.4
25.62663	735.0	754.8	-19.8	747.4
25.64334	702.0	754.9	-52.9	747.5
25.66005	726.0	755.0	-29.0	747.5
25.67676	723.0	755.0	-32.0	747.5
25.69347	725.0	755.1	-30.1	747.6
25.71018	703.0	755.1	-52.1	747.6
25.72689	747.0	755.2	-8.2	747.7
25.7436	726.0	755.2	-29.2	747.7
25.76031	767.0	755.3	11.7	747.7
25.77702	718.0	755.3	-37.3	747.8
25.79373	704.0	755.5	-51.5	747.8
25.81044	731.0	755.6	-24.6	747.8
25.82715	674.0	755.7	-81.7	747.9
25.84386	689.0	755.7	-66.7	747.9
25.86057	668.0	755.8	-87.8	747.9
25.87728	675.0	755.8	-80.8	748.0
25.89399	725.0	755.9	-30.9	748.0
25.9107	676.0	756.0	-80.0	748.0
25.92741	698.0	756.0	-58.0	748.1
25.94412	722.0	756.1	-34.1	748.1
25.96083	727.0	756.1	-29.1	748.1
25.97754	704.0	756.2	-52.2	748.1
25.99425	738.0	756.3	-18.3	748.2
26.01096	734.0	756.3	-22.3	748.2
26.02767	712.0	756.4	-44.4	748.2
26.04438	705.0	756.5	-51.5	748.2
26.06109	727.0	756.5	-29.5	748.3
26.0778	711.0	756.6	-45.6	748.3
26.09451	778.0	756.6	21.4	748.3
26.11122	686.0	756.7	-70.7	748.3
26.12793	763.0	756.8	6.2	748.4
26.14464	734.0	756.8	-22.8	748.4
26.16135	676.0	756.9	-80.9	748.4
26.17806	718.0	757.0	-39.0	748.4
26.19477	703.0	757.1	-54.1	748.4
26.21148	703.0	757.1	-54.1	748.5
26.22819	688.0	757.2	-69.2	748.5
26.2449	698.0	757.3	-59.3	748.5
26.26161	733.0	757.3	-24.3	748.5
26.27832	756.0	757.4	-1.4	748.5
26.29503	755.0	757.5	-2.5	748.5
26.31174	757.0	757.6	-0.6	748.6
26.32845	715.0	757.6	-42.6	748.6
26.34516	677.0	757.7	-80.7	748.6
26.36187	740.0	757.8	-17.8	748.6
26.37858	704.0	757.9	-53.9	748.6
26.39529	671.0	758.0	-87.0	748.6
26.412	727.0	758.1	-31.1	748.6
26.42871	675.0	758.1	-83.1	748.6
26.44542	684.0	758.2	-74.2	748.6
26.46213	722.0	758.3	-36.3	748.7
26.47884	773.0	758.4	14.6	748.7
26.49555	725.0	758.5	-33.5	748.7
26.51226	692.0	758.5	-66.5	748.7
26.52897	738.0	758.6	-20.6	748.7
26.54568	739.0	758.7	-19.7	748.7
26.56239	674.0	758.8	-84.8	748.7
26.5791	709.0	758.9	-49.9	748.7
26.59581	746.0	759.0	-13.0	748.7
26.61252	695.0	759.1	-64.1	748.7
26.62923	698.0	759.2	-61.2	748.7
26.64594	714.0	759.4	-45.4	748.7
26.66265	714.0	759.5	-45.5	748.6
26.67936	780.0	759.6	20.4	748.6
26.69607	721.0	759.8	-38.8	748.6
26.71278	675.0	759.9	-84.9	748.6
26.72949	700.0	760.1	-60.1	748.6
26.7462	741.0	760.3	-19.3	748.6
26.76291	698.0	760.4	-62.4	748.6
26.77962	721.0	760.7	-39.7	748.6
26.79633	743.0	760.9	-17.9	748.6
26.81304	732.0	761.1	-29.1	748.5
26.82975	735.0	761.3	-26.3	748.5
26.84646	702.0	761.6	-59.6	748.5
26.86317	690.0	761.8	-71.8	748.5
26.87988	704.0	762.0	-58.0	748.5
26.89659	710.0	762.3	-52.3	748.4
26.9133	730.0	762.6	-32.6	748.4
26.93001	708.0	762.9	-54.9	748.4
26.94672	670.0	763.2	-93.2	748.4
26.96343	710.0	763.5	-53.5	748.3
26.98014	706.0	763.8	-57.8	748.3
26.99685	714.0	764.2	-50.2	748.3
27.01356	728.0	764.6	-36.6	748.3
27.03027	710.0	765.0	-55.0	748.2
27.04698	746.0	765.4	-19.4	748.2
27.06369	723.0	765.9	-42.9	748.2
27.0804	708.0	766.4	-58.4	748.1
27.09711	712.0	766.9	-54.9	748.1
27.11382	728.0	767.4	-39.4	748.0
27.13053	710.0	768.0	-58.0	748.0
27.14724	734.0	768.6	-34.6	748.0
27.16395	693.0	769.2	-76.2	747.9
27.18066	731.0	769.9	-38.9	747.9
27.19737	758.0	770.5	-12.5	747.8
27.21408	724.0	771.3	-47.3	747.8
27.23079	775.0	772.0	3.0	747.7
27.2475	728.0	772.8	-44.8	747.7
27.26421	739.0	773.6	-34.6	747.6
27.28092	711.0	774.5	-63.5	747.6
27.29763	714.0	775.4	-61.4	747.5
27.31434	778.0	776.3	1.7	747.5
27.33105	764.0	777.2	-13.2	747.4
27.34776	776.0	778.2	-2.2	747.4
27.36447	698.0	779.2	-81.2	747.3
27.38118	784.0	780.3	3.7	747.2
27.39789	829.0	781.3	47.7	747.2
27.4146	841.0	782.3	58.7	747.1
27.43131	758.0	783.3	-25.3	747.0
27.44802	778.0	784.3	-6.3	747.0
27.46473	749.0	785.3	-36.3	746.9
27.48144	769.0	786.2	-17.2	746.8
27.49815	778.0	787.1	-9.1	746.8
27.51486	703.0	788.0	-85.0	746.7
27.53157	746.0	788.6	-42.6	746.6
27.54828	741.0	789.3	-48.3	746.5
27.56499	798.0	789.9	8.1	746.5
27.5817	770.0	790.3	-20.3	746.4
27.59841	787.0	790.7	-3.7	746.3
27.61512	724.0	790.9	-66.9	746.2
