20250701_HM467CuNb3Zr2_chiAC_vs_T_B_0.001.txt Tue, Jul 1, 2025 2:30:20 PM Juan Jackson
Magnet: None
Trigger spacing of 0.010000 on column #1
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0T
Temperature_001	Field_001	Chan1_V_001	Chan2_V_001	Timestamp_001
1.150200000E+1	1.504495181E-2	-2.980250000E-8	7.264360000E-8	4.000000000E-2
1.149090000E+1	1.504495181E-2	1.676390000E-8	-2.048920000E-8	1.163300000E+1
1.148000000E+1	1.504495181E-2	-5.774220000E-8	-1.303860000E-8	1.362000000E+1
1.146960000E+1	1.504495181E-2	-1.490130000E-8	-1.862660000E-8	1.525000000E+1
1.145840000E+1	1.504495181E-2	-1.862660000E-9	-5.774220000E-8	1.683600000E+1
1.144820000E+1	1.504495181E-2	-8.009420000E-8	-5.587960000E-9	1.846000000E+1
1.143550000E+1	1.504495181E-2	-2.048920000E-8	-7.450640000E-9	2.017900000E+1
1.142360000E+1	1.504495181E-2	-5.587960000E-8	-4.284110000E-8	2.191100000E+1
1.141030000E+1	1.504495181E-2	-1.490130000E-8	-5.774220000E-8	2.379000000E+1
1.139930000E+1	1.504495181E-2	-1.862660000E-8	0.000000000E+0	2.536200000E+1
1.138750000E+1	1.504495181E-2	-2.980250000E-8	0.000000000E+0	2.699300000E+1
1.137630000E+1	1.504495181E-2	-7.450640000E-9	-2.235190000E-8	2.903300000E+1
1.136510000E+1	1.504495181E-2	-3.725320000E-9	2.235190000E-8	3.138000000E+1
1.135470000E+1	1.504495181E-2	1.862660000E-9	1.862660000E-8	3.381700000E+1
1.134450000E+1	1.504495181E-2	-1.303860000E-8	2.235190000E-8	3.662000000E+1
1.133330000E+1	1.504495181E-2	-2.048920000E-8	-1.676390000E-8	3.917600000E+1
1.132310000E+1	1.504495181E-2	-3.725320000E-9	2.048920000E-8	4.164600000E+1
1.131080000E+1	1.504495181E-2	7.078100000E-8	-1.303860000E-8	4.410200000E+1
1.129980000E+1	1.504495181E-2	-3.725310000E-8	7.450640000E-9	4.606700000E+1
1.128880000E+1	1.504495181E-2	-2.421450000E-8	-5.029160000E-8	4.850400000E+1
1.127840000E+1	1.504495181E-2	-1.676390000E-8	1.303860000E-8	5.044200000E+1
1.126780000E+1	1.504495181E-2	-7.450640000E-9	-3.352780000E-8	5.244400000E+1
1.125520000E+1	1.504495181E-2	-4.470370000E-8	0.000000000E+0	5.485200000E+1
1.124490000E+1	1.504495181E-2	-1.490130000E-8	-1.117590000E-8	5.725300000E+1
1.123380000E+1	1.504495181E-2	2.421450000E-8	-1.862660000E-8	5.927900000E+1
1.122310000E+1	1.504495181E-2	2.607710000E-8	-1.862660000E-8	6.164100000E+1
1.121060000E+1	1.504495181E-2	-3.352780000E-8	4.842900000E-8	6.403400000E+1
1.119970000E+1	1.504495181E-2	-6.146770000E-8	-9.313280000E-9	6.646500000E+1
1.118960000E+1	1.504495181E-2	-7.450640000E-9	-7.636890000E-8	6.843700000E+1
