20260210_HM0467CuNb3Zr2_chiAC_vs_T_B_.001.txt Tue, Feb 10, 2026 1:40:11 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0



Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-7.450630000E-8	-5.960510000E-8	1.200120000E+1	1.960000000E-1	2.800000000E-2
-1.490130000E-8	7.450640000E-9	1.199070000E+1	1.960000000E-1	3.974700000E+1
-7.450630000E-8	-2.980250000E-8	1.197900000E+1	1.960000000E-1	4.127500000E+1
-2.980250000E-8	-5.215430000E-8	1.196800000E+1	1.960000000E-1	4.249500000E+1
-3.725310000E-8	-3.725310000E-8	1.195550000E+1	1.960000000E-1	4.372900000E+1
-6.705570000E-8	-6.705570000E-8	1.194190000E+1	1.960000000E-1	4.500300000E+1
-6.705570000E-8	-8.195680000E-8	1.192760000E+1	1.960000000E-1	4.609300000E+1
-9.685800000E-8	-6.705570000E-8	1.191120000E+1	1.960000000E-1	4.739600000E+1
-5.960510000E-8	-2.980250000E-8	1.189750000E+1	1.960000000E-1	4.850500000E+1
-5.215430000E-8	-7.450640000E-9	1.188530000E+1	1.960000000E-1	4.976000000E+1
-7.450640000E-9	-6.705570000E-8	1.187290000E+1	1.960000000E-1	5.091800000E+1
0.000000000E+0	1.490130000E-8	1.186200000E+1	1.960000000E-1	5.210900000E+1
0.000000000E+0	0.000000000E+0	1.184980000E+1	1.960000000E-1	5.337400000E+1
-5.960510000E-8	7.450640000E-9	1.183700000E+1	1.960000000E-1	5.495500000E+1
-1.043090000E-7	-6.705570000E-8	1.182670000E+1	1.960000000E-1	5.616300000E+1
-8.195680000E-8	-6.705570000E-8	1.181360000E+1	1.960000000E-1	5.774000000E+1
-5.960510000E-8	-7.450630000E-8	1.180080000E+1	1.960000000E-1	5.934700000E+1
-5.960510000E-8	0.000000000E+0	1.178990000E+1	1.960000000E-1	6.088600000E+1
-1.043090000E-7	-1.490130000E-8	1.177700000E+1	1.960000000E-1	6.264300000E+1
-5.960510000E-8	2.980250000E-8	1.176340000E+1	1.960000000E-1	6.413200000E+1
-3.725310000E-8	5.215430000E-8	1.175170000E+1	1.960000000E-1	6.576000000E+1
-4.470370000E-8	-1.490130000E-8	1.174150000E+1	1.960000000E-1	6.689100000E+1
-3.725310000E-8	-5.960510000E-8	1.173110000E+1	1.960000000E-1	6.814300000E+1
-7.450640000E-9	-3.725310000E-8	1.171690000E+1	1.960000000E-1	6.973100000E+1
0.000000000E+0	-6.705570000E-8	1.170550000E+1	1.960000000E-1	7.135600000E+1
-6.705570000E-8	-5.960510000E-8	1.169530000E+1	1.960000000E-1	7.249300000E+1
-2.980250000E-8	-6.705570000E-8	1.168450000E+1	1.960000000E-1	7.371700000E+1
-7.450640000E-9	-9.685800000E-8	1.167240000E+1	1.960000000E-1	7.531500000E+1
-1.490130000E-8	-9.685800000E-8	1.166110000E+1	1.960000000E-1	7.656700000E+1
-3.725310000E-8	0.000000000E+0	1.165050000E+1	1.960000000E-1	7.775300000E+1
-2.235190000E-8	-8.195680000E-8	1.163660000E+1	1.960000000E-1	7.945900000E+1
-4.470370000E-8	0.000000000E+0	1.162340000E+1	1.960000000E-1	8.097100000E+1
-6.705570000E-8	-8.195680000E-8	1.161300000E+1	1.960000000E-1	8.216900000E+1
-4.470370000E-8	-1.192100000E-7	1.160140000E+1	1.960000000E-1	8.375800000E+1
-8.940740000E-8	-3.725310000E-8	1.158850000E+1	1.960000000E-1	8.490400000E+1
-6.705570000E-8	-9.685800000E-8	1.157630000E+1	1.960000000E-1	8.663300000E+1
-4.470370000E-8	2.235190000E-8	1.156290000E+1	1.960000000E-1	8.817400000E+1
-3.129260000E-7	2.682230000E-7	1.155060000E+1	1.960000000E-1	8.974800000E+1
-2.756730000E-7	1.490130000E-7	1.154030000E+1	1.960000000E-1	9.094000000E+1
-1.713640000E-7	3.725310000E-8	1.152970000E+1	1.960000000E-1	9.218600000E+1
-6.705570000E-8	2.235190000E-8	1.151930000E+1	1.960000000E-1	9.339300000E+1
-7.450630000E-8	7.450640000E-9	1.150680000E+1	1.960000000E-1	9.496400000E+1
-2.235190000E-8	1.490130000E-8	1.149450000E+1	1.960000000E-1	9.660400000E+1
-6.705570000E-8	-7.450630000E-8	1.148180000E+1	1.960000000E-1	9.776500000E+1
-2.235190000E-8	0.000000000E+0	1.146970000E+1	1.960000000E-1	9.930800000E+1
-5.215430000E-8	-7.450630000E-8	1.145620000E+1	1.960000000E-1	1.009840000E+2
-7.450630000E-8	0.000000000E+0	1.144380000E+1	1.960000000E-1	1.026730000E+2
-9.685800000E-8	-6.705570000E-8	1.143290000E+1	1.960000000E-1	1.038770000E+2
-5.960510000E-8	-1.490130000E-8	1.142070000E+1	1.960000000E-1	1.054100000E+2
-1.266610000E-7	-6.705570000E-8	1.140660000E+1	1.960000000E-1	1.069360000E+2
-9.685800000E-8	-7.450640000E-9	1.139390000E+1	1.960000000E-1	1.085940000E+2
-5.215430000E-8	-8.195680000E-8	1.138120000E+1	1.960000000E-1	1.101160000E+2
0.000000000E+0	-2.235190000E-8	1.137060000E+1	1.960000000E-1	1.113290000E+2
7.450640000E-9	-1.490130000E-8	1.136040000E+1	1.960000000E-1	1.125850000E+2
-4.470370000E-8	2.980250000E-8	1.134660000E+1	1.960000000E-1	1.141640000E+2
1.490130000E-8	-5.215430000E-8	1.133580000E+1	1.960000000E-1	1.153240000E+2
-5.215430000E-8	-7.450640000E-9	1.132380000E+1	1.960000000E-1	1.169980000E+2
1.490130000E-8	1.490130000E-8	1.131320000E+1	1.960000000E-1	1.181590000E+2
0.000000000E+0	7.450640000E-9	1.130260000E+1	1.960000000E-1	1.194060000E+2
