20260211_HM0467CuNb3Zr2_chiAC_vs_T_B_.001.txt Wed, Feb 11, 2026 12:42:34 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

3T
Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
-2.235190000E-8	1.490130000E-8	1.199940000E+1	2.999950000E+4	2.700000000E-2
1.415620000E-7	-2.235190000E-8	1.198840000E+1	2.999950000E+4	4.009400000E+1
1.341110000E-7	-3.725310000E-8	1.197660000E+1	2.999950000E+4	4.207500000E+1
1.192100000E-7	2.980250000E-8	1.196420000E+1	2.999950000E+4	4.326800000E+1
9.685800000E-8	-2.235190000E-8	1.195230000E+1	2.999950000E+4	4.447500000E+1
9.685800000E-8	-7.450640000E-9	1.193840000E+1	2.999950000E+4	4.574200000E+1
1.639140000E-7	-7.450640000E-9	1.192410000E+1	2.999950000E+4	4.689700000E+1
1.192100000E-7	2.235190000E-8	1.191020000E+1	2.999950000E+4	4.811600000E+1
7.450630000E-8	-5.215430000E-8	1.189640000E+1	2.999950000E+4	4.932200000E+1
1.788150000E-7	-4.470370000E-8	1.188360000E+1	2.999950000E+4	5.048100000E+1
1.564630000E-7	-7.450640000E-9	1.187020000E+1	2.999950000E+4	5.168500000E+1
2.160680000E-7	-9.685800000E-8	1.185890000E+1	2.999950000E+4	5.286700000E+1
2.831240000E-7	-9.685800000E-8	1.184750000E+1	2.999950000E+4	5.409600000E+1
2.607720000E-7	-5.215430000E-8	1.183650000E+1	2.999950000E+4	5.530200000E+1
2.086170000E-7	-1.117590000E-7	1.182290000E+1	2.999950000E+4	5.683300000E+1
2.533220000E-7	-9.685800000E-8	1.180960000E+1	2.999950000E+4	5.842100000E+1
1.862650000E-7	-5.960510000E-8	1.179670000E+1	2.999950000E+4	6.008800000E+1
2.160680000E-7	-8.195680000E-8	1.178610000E+1	2.999950000E+4	6.129600000E+1
2.086170000E-7	2.980250000E-8	1.177530000E+1	2.999950000E+4	6.247900000E+1
1.266610000E-7	-2.980250000E-8	1.176520000E+1	2.999950000E+4	6.366900000E+1
2.086170000E-7	-8.195680000E-8	1.175380000E+1	2.999950000E+4	6.486700000E+1
2.160680000E-7	-5.960510000E-8	1.174220000E+1	2.999950000E+4	6.644400000E+1
1.713640000E-7	-2.980250000E-8	1.172910000E+1	2.999950000E+4	6.804100000E+1
2.086170000E-7	-7.450630000E-8	1.171570000E+1	2.999950000E+4	6.968000000E+1
1.713640000E-7	-8.940740000E-8	1.170350000E+1	2.999950000E+4	7.124600000E+1
9.685800000E-8	-1.341110000E-7	1.168990000E+1	2.999950000E+4	7.281800000E+1
8.940740000E-8	-1.639140000E-7	1.167700000E+1	2.999950000E+4	7.460300000E+1
2.384200000E-7	-1.564630000E-7	1.166380000E+1	2.999950000E+4	7.616100000E+1
2.682230000E-7	-1.043090000E-7	1.165140000E+1	2.999950000E+4	7.776000000E+1
2.160680000E-7	-1.490130000E-7	1.164110000E+1	2.999950000E+4	7.904000000E+1
2.309690000E-7	-1.713640000E-7	1.162920000E+1	2.999950000E+4	8.030100000E+1
1.713640000E-7	-1.341110000E-7	1.161710000E+1	2.999950000E+4	8.195600000E+1
2.458710000E-7	-8.195680000E-8	1.160350000E+1	2.999950000E+4	8.349200000E+1
2.309690000E-7	-1.341110000E-7	1.159090000E+1	2.999950000E+4	8.513300000E+1
2.533220000E-7	-6.705570000E-8	1.157700000E+1	2.999950000E+4	8.672800000E+1
2.011670000E-7	-2.980250000E-8	1.156630000E+1	2.999950000E+4	8.793000000E+1
1.862650000E-7	-3.725310000E-8	1.155540000E+1	2.999950000E+4	8.953400000E+1
2.682230000E-7	-9.685800000E-8	1.154460000E+1	2.999950000E+4	9.069300000E+1
2.905740000E-7	-4.470370000E-8	1.153240000E+1	2.999950000E+4	9.190800000E+1
3.054760000E-7	-7.450630000E-8	1.152000000E+1	2.999950000E+4	9.354200000E+1
2.086170000E-7	-1.043090000E-7	1.150960000E+1	2.999950000E+4	9.469100000E+1
2.831240000E-7	-6.705570000E-8	1.149810000E+1	2.999950000E+4	9.604300000E+1
2.682230000E-7	-3.725310000E-8	1.148510000E+1	2.999950000E+4	9.764800000E+1
1.713640000E-7	-5.215430000E-8	1.147350000E+1	2.999950000E+4	9.901500000E+1
2.011670000E-7	-1.043090000E-7	1.146030000E+1	2.999950000E+4	1.006160000E+2
1.862650000E-7	0.000000000E+0	1.144590000E+1	2.999950000E+4	1.022830000E+2
2.533220000E-7	-3.725310000E-8	1.143350000E+1	2.999950000E+4	1.039440000E+2
1.788150000E-7	-5.960510000E-8	1.141970000E+1	2.999950000E+4	1.056680000E+2
2.607720000E-7	-8.195680000E-8	1.140860000E+1	2.999950000E+4	1.068250000E+2
1.862650000E-7	-5.960510000E-8	1.139630000E+1	2.999950000E+4	1.085440000E+2
1.788150000E-7	-6.705570000E-8	1.138610000E+1	2.999950000E+4	1.097910000E+2
1.639140000E-7	-7.450630000E-8	1.137530000E+1	2.999950000E+4	1.110330000E+2
2.458710000E-7	-6.705570000E-8	1.136110000E+1	2.999950000E+4	1.127610000E+2
2.384200000E-7	0.000000000E+0	1.134790000E+1	2.999950000E+4	1.143370000E+2
1.341110000E-7	0.000000000E+0	1.133350000E+1	2.999950000E+4	1.160720000E+2
2.160680000E-7	-5.960510000E-8	1.132070000E+1	2.999950000E+4	1.175970000E+2
2.309690000E-7	-6.705570000E-8	1.130640000E+1	2.999950000E+4	1.193700000E+2
2.235180000E-7	-5.215430000E-8	1.129280000E+1	2.999950000E+4	1.209710000E+2
1.713640000E-7	-1.192100000E-7	1.127810000E+1	2.999950000E+4	1.228370000E+2
1.788150000E-7	-1.341110000E-7	1.126450000E+1	2.999950000E+4	1.242680000E+2
1.415620000E-7	-1.043090000E-7	1.125440000E+1	2.999950000E+4	1.257350000E+2
1.862650000E-7	-3.725310000E-8	1.124330000E+1	2.999950000E+4	1.268790000E+2
1.266610000E-7	-9.685800000E-8	1.123050000E+1	2.999950000E+4	1.284200000E+2
1.937160000E-7	-3.725310000E-8	1.121980000E+1	2.999950000E+4	1.297560000E+2
2.235180000E-7	-8.195680000E-8	1.120500000E+1	2.999950000E+4	1.314050000E+2
1.341110000E-7	-1.266610000E-7	1.119170000E+1	2.999950000E+4	1.330880000E+2
1.788150000E-7	-1.415620000E-7	1.118160000E+1	2.999950000E+4	1.343130000E+2
2.160680000E-7	-8.940740000E-8	1.116770000E+1	2.999950000E+4	1.360540000E+2
1.341110000E-7	-6.705570000E-8	1.115380000E+1	2.999950000E+4	1.376420000E+2
2.235180000E-7	-1.043090000E-7	1.114070000E+1	2.999950000E+4	1.394750000E+2
2.086170000E-7	-5.960510000E-8	1.112840000E+1	2.999950000E+4	1.406750000E+2
2.309690000E-7	-6.705570000E-8	1.111530000E+1	2.999950000E+4	1.423120000E+2
2.160680000E-7	-1.341110000E-7	1.110350000E+1	2.999950000E+4	1.436200000E+2
2.160680000E-7	-9.685800000E-8	1.109140000E+1	2.999950000E+4	1.452340000E+2
1.937160000E-7	-2.235190000E-8	1.107690000E+1	2.999950000E+4	1.469520000E+2
1.639140000E-7	-8.940740000E-8	1.106570000E+1	2.999950000E+4	1.481670000E+2
