20250701_HM467CuNb3Zr2_chiAC_vs_T_B_0.002.txt Tue, Jul 1, 2025 3:24:01 PM Juan Jackson
Magnet: None
Trigger spacing of 0.010000 on column #1
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0T
Temperature_002	Field_002	Chan1_V_002	Chan2_V_002	Timestamp_002
9.000800000E+0	1.504495181E-2	-2.156960000E-6	6.333040000E-8	2.800000000E-2
9.011600000E+0	1.504495181E-2	-2.162550000E-6	8.568210000E-8	1.098200000E+1
9.022800000E+0	1.504495181E-2	-2.181170000E-6	5.587960000E-8	1.332200000E+1
9.033900000E+0	1.504495181E-2	-2.158820000E-6	8.940740000E-8	1.493700000E+1
9.044900000E+0	1.504495181E-2	-2.138330000E-6	5.960510000E-8	1.657400000E+1
9.058600000E+0	1.504495181E-2	-2.140190000E-6	4.842900000E-8	1.852500000E+1
9.071100000E+0	1.504495181E-2	-2.188620000E-6	1.303860000E-7	2.064000000E+1
9.082500000E+0	1.504495181E-2	-2.155090000E-6	8.754480000E-8	2.210300000E+1
9.095000000E+0	1.504495181E-2	-2.151370000E-6	8.568210000E-8	2.455200000E+1
9.106500000E+0	1.504495181E-2	-2.151370000E-6	3.725310000E-8	2.651300000E+1
9.116600000E+0	1.504495181E-2	-2.142060000E-6	3.911580000E-8	2.892800000E+1
9.126900000E+0	1.504495181E-2	-2.158820000E-6	6.705570000E-8	3.091200000E+1
9.137900000E+0	1.504495181E-2	-2.179310000E-6	8.009420000E-8	3.333700000E+1
9.148600000E+0	1.504495181E-2	-2.181170000E-6	1.061710000E-7	3.530800000E+1
9.159200000E+0	1.504495181E-2	-2.153230000E-6	5.215430000E-8	3.773200000E+1
9.169700000E+0	1.504495181E-2	-2.197940000E-6	8.568210000E-8	3.971900000E+1
9.182000000E+0	1.504495181E-2	-2.127160000E-6	6.519300000E-8	4.218900000E+1
9.193700000E+0	1.504495181E-2	-2.127160000E-6	1.303860000E-7	4.458300000E+1
9.205100000E+0	1.504495181E-2	-2.175580000E-6	6.705570000E-8	4.695700000E+1
9.216500000E+0	1.504495181E-2	-2.170000000E-6	1.173470000E-7	4.931800000E+1
