20250701_HM0467CuNb3Zr2_chiAC_0.1T.tx.001.txt Tue, Jul 1, 2025 12:50:27 PM Juan Jackson
Magnet: None
Trigger spacing of 0.010000 on column #1
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

0.1t
Temperature_001	Field_001	Chan1_V_001	Chan2_V_001	Timestamp_001
1.150130000E+1	9.995715942E+2	-3.874320000E-7	-2.849870000E-7	2.700000000E-2
1.149040000E+1	9.995715942E+2	5.587960000E-8	-2.225870000E-7	9.387000000E+0
1.147750000E+1	9.995715942E+2	-8.661350000E-8	-2.542530000E-7	1.140400000E+1
1.146610000E+1	9.995715942E+2	-3.362090000E-7	1.732270000E-7	1.259100000E+1
1.145300000E+1	9.995715942E+2	2.980250000E-8	1.862660000E-9	1.382200000E+1
1.144120000E+1	9.995715942E+2	-2.067550000E-7	-2.272440000E-7	1.498300000E+1
1.142620000E+1	9.995715942E+2	-8.083920000E-7	-2.430770000E-7	1.617200000E+1
1.141250000E+1	9.995715942E+2	-4.367920000E-7	-8.754480000E-8	1.745000000E+1
1.139930000E+1	9.995715942E+2	-1.620510000E-7	-1.741580000E-7	1.857500000E+1
1.138550000E+1	9.995715942E+2	-9.965200000E-8	-1.080340000E-7	1.982000000E+1
1.137340000E+1	9.995715942E+2	1.806770000E-7	-3.837070000E-7	2.099800000E+1
1.136040000E+1	9.995715942E+2	-4.824290000E-7	-2.607710000E-8	2.223200000E+1
1.134920000E+1	9.995715942E+2	-1.685700000E-7	2.793980000E-9	2.355800000E+1
1.133710000E+1	9.995715942E+2	-3.948830000E-7	-4.963990000E-7	2.475300000E+1
1.132690000E+1	9.995715942E+2	-1.061710000E-7	-1.974410000E-7	2.597900000E+1
1.131500000E+1	9.995715942E+2	4.842900000E-8	-2.421450000E-8	2.713900000E+1
1.130230000E+1	9.995715942E+2	9.127010000E-8	-2.291060000E-7	2.872400000E+1
1.128980000E+1	9.995715942E+2	-2.458710000E-7	3.818450000E-8	3.034600000E+1
1.127600000E+1	9.995715942E+2	5.122300000E-8	4.004710000E-8	3.192900000E+1
1.126300000E+1	9.995715942E+2	-2.384200000E-7	-1.788150000E-7	3.353100000E+1
1.125150000E+1	9.995715942E+2	-7.376110000E-7	-5.513470000E-7	3.512600000E+1
1.124100000E+1	9.995715942E+2	3.352780000E-8	-3.362090000E-7	3.633100000E+1
1.122820000E+1	9.995715942E+2	-2.803300000E-7	3.725320000E-9	3.801600000E+1
1.121720000E+1	9.995715942E+2	-3.734620000E-7	-4.721820000E-7	3.954900000E+1
1.120710000E+1	9.995715942E+2	-5.830120000E-7	-5.168880000E-7	4.070500000E+1
1.119670000E+1	9.995715942E+2	-5.988440000E-7	-2.682230000E-7	4.192400000E+1
1.118460000E+1	9.995715942E+2	-3.147890000E-7	-1.303860000E-8	4.355700000E+1
1.117390000E+1	9.995715942E+2	-3.417970000E-7	-3.287590000E-7	4.472900000E+1
1.116180000E+1	9.995715942E+2	-1.015150000E-7	-1.583260000E-8	4.630800000E+1
1.114830000E+1	9.995715942E+2	-1.108280000E-7	-5.438960000E-7	4.792300000E+1
1.113560000E+1	9.995715942E+2	-2.915060000E-7	-1.341110000E-7	4.953600000E+1
1.112450000E+1	9.995715942E+2	-1.490130000E-8	-2.821930000E-7	5.073500000E+1
1.111390000E+1	9.995715942E+2	-4.135090000E-7	-2.086170000E-7	5.220100000E+1
1.110190000E+1	9.995715942E+2	-5.373770000E-7	-2.821930000E-7	5.325400000E+1
1.108860000E+1	9.995715942E+2	-1.974410000E-7	-2.728790000E-7	5.491200000E+1
1.107790000E+1	9.995715942E+2	1.098970000E-7	-4.805660000E-7	5.612000000E+1
1.106720000E+1	9.995715942E+2	4.656640000E-8	-5.196820000E-7	5.725900000E+1
1.105360000E+1	9.995715942E+2	-2.020980000E-7	-3.622860000E-7	5.886000000E+1
1.104050000E+1	9.995715942E+2	-6.267840000E-7	-3.259650000E-7	6.046900000E+1
1.102790000E+1	9.995715942E+2	5.681090000E-8	-2.617030000E-7	6.206600000E+1
1.101730000E+1	9.995715942E+2	-3.753250000E-7	-4.321350000E-7	6.324800000E+1
1.100370000E+1	9.995715942E+2	-2.263120000E-7	-4.293420000E-7	6.490600000E+1
1.099110000E+1	9.995715942E+2	1.182780000E-7	-2.356260000E-7	6.646600000E+1
1.097750000E+1	9.995715942E+2	-2.523900000E-7	7.264350000E-7	6.807100000E+1
1.096480000E+1	9.995715942E+2	-8.950050000E-7	-1.639140000E-7	6.972300000E+1
1.095270000E+1	9.995715942E+2	-1.927850000E-7	-2.747420000E-7	7.124500000E+1
1.094190000E+1	9.995715942E+2	8.102550000E-8	4.284110000E-8	7.247500000E+1
1.093140000E+1	9.995715942E+2	-8.940740000E-8	-1.974410000E-7	7.372000000E+1
1.091900000E+1	9.995715942E+2	-3.539040000E-7	-1.052400000E-7	7.528000000E+1
1.090590000E+1	9.995715942E+2	-2.607710000E-8	1.275920000E-7	7.688600000E+1
1.089320000E+1	9.995715942E+2	-4.461050000E-7	-2.868490000E-7	7.847200000E+1
1.088220000E+1	9.995715942E+2	-1.210730000E-8	2.980250000E-8	7.972100000E+1
1.086880000E+1	9.995715942E+2	-6.323720000E-7	-4.870850000E-7	8.138800000E+1
1.085550000E+1	9.995715942E+2	-5.364450000E-7	1.369050000E-7	8.291800000E+1
1.084480000E+1	9.995715942E+2	-2.374880000E-7	-6.519290000E-9	8.418500000E+1
1.083430000E+1	9.995715942E+2	2.328320000E-8	3.818450000E-8	8.544500000E+1
1.082360000E+1	9.995715942E+2	-2.598410000E-7	-1.126900000E-7	8.659900000E+1
1.081330000E+1	9.995715942E+2	5.308560000E-8	-4.321350000E-7	8.782200000E+1
1.080020000E+1	9.995715942E+2	-4.116460000E-7	3.725310000E-8	8.940800000E+1
1.078670000E+1	9.995715942E+2	-4.805660000E-7	-1.396990000E-8	9.107200000E+1
1.077340000E+1	9.995715942E+2	-3.390030000E-7	1.424930000E-7	9.258100000E+1
1.076110000E+1	9.995715942E+2	-6.482040000E-7	-1.033770000E-7	9.419000000E+1
1.074790000E+1	9.995715942E+2	-3.362090000E-7	4.377240000E-8	9.580100000E+1
1.073760000E+1	9.995715942E+2	-6.705570000E-8	-1.247980000E-7	9.700400000E+1
1.072490000E+1	9.995715942E+2	2.980250000E-8	-4.004710000E-8	9.860200000E+1
1.071430000E+1	9.995715942E+2	1.266610000E-7	4.842900000E-8	9.980000000E+1
1.070090000E+1	9.995715942E+2	-5.532090000E-7	-2.570470000E-7	1.014320000E+2
1.068750000E+1	9.995715942E+2	-5.038490000E-7	4.563500000E-8	1.031480000E+2
1.067620000E+1	9.995715942E+2	-1.620510000E-7	-3.017500000E-7	1.043340000E+2
1.066360000E+1	9.995715942E+2	-4.442430000E-7	1.871970000E-7	1.061910000E+2
1.065190000E+1	9.995715942E+2	-2.123420000E-7	-1.657760000E-7	1.072910000E+2
1.064090000E+1	9.995715942E+2	-2.607720000E-7	-2.263120000E-7	1.084680000E+2
1.063040000E+1	9.995715942E+2	8.754480000E-8	3.473850000E-7	1.098020000E+2
1.062000000E+1	9.995715942E+2	-3.967450000E-7	-6.984960000E-8	1.110000000E+2
1.060970000E+1	9.995715942E+2	-4.069900000E-7	3.203770000E-7	1.122150000E+2
1.059830000E+1	9.995715942E+2	-6.333040000E-8	4.190970000E-8	1.135490000E+2
1.058640000E+1	9.995715942E+2	-1.946470000E-7	-1.071030000E-7	1.151880000E+2
1.057610000E+1	9.995715942E+2	-8.009420000E-8	-3.725310000E-8	1.165370000E+2
1.056600000E+1	9.995715942E+2	1.881280000E-7	-1.583260000E-7	1.176870000E+2
1.055180000E+1	9.995715942E+2	-2.346940000E-7	7.171230000E-8	1.195960000E+2
1.053880000E+1	9.995715942E+2	-4.749760000E-7	1.844030000E-7	1.210410000E+2
1.052610000E+1	9.995715942E+2	-2.514580000E-8	-4.451740000E-7	1.228900000E+2
1.051270000E+1	9.995715942E+2	3.259650000E-8	-6.519300000E-8	1.240940000E+2
1.049830000E+1	9.995715942E+2	-1.685700000E-7	-4.274790000E-7	1.259480000E+2
1.048460000E+1	9.995715942E+2	-7.171230000E-8	-5.243380000E-7	1.274240000E+2
1.047270000E+1	9.995715942E+2	-1.117590000E-7	4.712510000E-7	1.290390000E+2
1.046070000E+1	9.995715942E+2	-1.024460000E-8	4.125780000E-7	1.301350000E+2
1.044830000E+1	9.995715942E+2	3.324840000E-7	-1.247980000E-7	1.316730000E+2
1.043540000E+1	9.995715942E+2	-9.220140000E-8	2.235190000E-8	1.331930000E+2
1.042290000E+1	9.995715942E+2	-5.075740000E-7	4.256160000E-7	1.347650000E+2
1.041110000E+1	9.995715942E+2	1.024460000E-8	-1.061710000E-7	1.361570000E+2
1.039670000E+1	9.995715942E+2	5.867350000E-8	8.381960000E-9	1.378350000E+2
1.038580000E+1	9.995715942E+2	1.331800000E-7	-5.867350000E-8	1.391890000E+2
1.037210000E+1	9.995715942E+2	4.908110000E-7	-1.788150000E-7	1.407640000E+2
1.035680000E+1	9.995715942E+2	3.837070000E-7	4.218910000E-7	1.426170000E+2
1.034600000E+1	9.995715942E+2	2.766050000E-7	4.507620000E-7	1.438150000E+2
1.033310000E+1	9.995715942E+2	2.449400000E-7	1.415620000E-7	1.455420000E+2
1.032200000E+1	9.995715942E+2	5.755610000E-7	1.033770000E-7	1.468100000E+2
1.030810000E+1	9.995715942E+2	5.317890000E-7	6.519290000E-9	1.487900000E+2
1.029600000E+1	9.995715942E+2	4.190970000E-7	1.639140000E-7	1.498550000E+2
1.028260000E+1	9.995715942E+2	3.054760000E-7	5.075740000E-7	1.515710000E+2
1.027200000E+1	9.995715942E+2	8.102540000E-7	-1.564630000E-7	1.528770000E+2
1.025880000E+1	9.995715942E+2	4.945360000E-7	-1.834710000E-7	1.544940000E+2
1.024600000E+1	9.995715942E+2	1.229350000E-6	1.648450000E-7	1.558400000E+2
1.023580000E+1	9.995715942E+2	1.168820000E-6	2.086170000E-7	1.571990000E+2
1.022460000E+1	9.995715942E+2	9.564760000E-7	-2.700850000E-7	1.585370000E+2
1.021200000E+1	9.995715942E+2	1.024460000E-6	-3.175830000E-7	1.600940000E+2
1.020030000E+1	9.995715942E+2	8.158420000E-7	-6.239910000E-8	1.617460000E+2
1.018850000E+1	9.995715942E+2	8.614770000E-7	3.362090000E-7	1.627950000E+2
1.017830000E+1	9.995715942E+2	1.046810000E-6	2.030290000E-7	1.639670000E+2
1.016590000E+1	9.995715942E+2	3.473850000E-7	1.033770000E-7	1.654150000E+2
1.015250000E+1	9.995715942E+2	1.088720000E-6	1.965100000E-7	1.670370000E+2
1.013830000E+1	9.995715942E+2	9.723080000E-7	-1.061710000E-7	1.687980000E+2
1.012670000E+1	9.995715942E+2	1.143670000E-6	1.834710000E-7	1.701340000E+2
1.011630000E+1	9.995715942E+2	1.364390000E-6	-7.730020000E-8	1.714370000E+2
1.010390000E+1	9.995715942E+2	8.903480000E-7	-7.543760000E-8	1.730260000E+2
1.009170000E+1	9.995715942E+2	1.323420000E-6	1.527380000E-7	1.746730000E+2
1.008110000E+1	9.995715942E+2	1.505020000E-6	-7.543760000E-8	1.756730000E+2
1.007090000E+1	9.995715942E+2	1.091520000E-6	-1.462190000E-7	1.768920000E+2
1.006050000E+1	9.995715942E+2	1.373710000E-6	-3.175830000E-7	1.782530000E+2
1.004990000E+1	9.995715942E+2	8.605460000E-7	3.268960000E-7	1.796850000E+2
