20250701_HM0467CuNb3Zr2_chiAC_1T.tx.002.txt Tue, Jul 1, 2025 1:15:56 PM Juan Jackson
Magnet: None
Trigger spacing of 0.010000 on column #1
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0

1t
Temperature_002	Field_002	Chan1_V_002	Chan2_V_002	Timestamp_002
1.049880000E+1	9.999686523E+3	1.680110000E-6	6.146770000E-8	2.700000000E-2
1.048810000E+1	9.999686523E+3	1.538550000E-6	-4.749770000E-8	4.479000000E+0
1.047550000E+1	9.999686523E+3	1.042160000E-6	9.592670000E-8	6.035000000E+0
1.046480000E+1	9.999686523E+3	1.407240000E-6	1.946470000E-7	7.244000000E+0
1.045150000E+1	9.999686523E+3	1.742510000E-6	-2.728790000E-7	8.436000000E+0
1.043590000E+1	9.999686523E+3	1.336460000E-6	-1.806770000E-7	9.658000000E+0
1.042190000E+1	9.999686523E+3	1.611200000E-6	1.052400000E-7	1.085400000E+1
1.041060000E+1	9.999686523E+3	1.223770000E-6	1.965100000E-7	1.162900000E+1
1.040040000E+1	9.999686523E+3	1.290820000E-6	-6.519290000E-9	1.242400000E+1
1.038530000E+1	9.999686523E+3	1.266610000E-6	-4.563500000E-8	1.363300000E+1
1.037470000E+1	9.999686523E+3	1.519930000E-6	-3.613550000E-7	1.445000000E+1
1.035890000E+1	9.999686523E+3	1.085930000E-6	-3.445920000E-8	1.579200000E+1
1.034430000E+1	9.999686523E+3	1.476150000E-6	-3.259650000E-8	1.701600000E+1
1.033250000E+1	9.999686523E+3	1.880350000E-6	-1.946470000E-7	1.817300000E+1
1.031970000E+1	9.999686523E+3	1.689430000E-6	-4.097840000E-8	1.937800000E+1
1.030750000E+1	9.999686523E+3	1.790010000E-6	1.816090000E-7	2.102900000E+1
1.029500000E+1	9.999686523E+3	1.003040000E-6	2.682230000E-7	2.258100000E+1
1.028270000E+1	9.999686523E+3	1.066370000E-6	-4.321350000E-7	2.458600000E+1
1.027190000E+1	9.999686523E+3	1.383020000E-6	-1.145530000E-7	2.620200000E+1
1.025860000E+1	9.999686523E+3	8.977990000E-7	5.327200000E-7	2.817200000E+1
1.024820000E+1	9.999686523E+3	1.709920000E-6	2.030290000E-7	2.979000000E+1
1.023670000E+1	9.999686523E+3	1.593500000E-6	-2.887110000E-8	3.142600000E+1
1.022500000E+1	9.999686523E+3	1.812360000E-6	7.636890000E-8	3.306000000E+1
1.021390000E+1	9.999686523E+3	1.570220000E-6	8.381950000E-8	3.436200000E+1
1.020220000E+1	9.999686523E+3	1.600950000E-6	6.333040000E-8	3.563900000E+1
1.018680000E+1	9.999686523E+3	1.416550000E-6	1.611200000E-7	3.737900000E+1
1.017240000E+1	9.999686523E+3	1.373710000E-6	1.098970000E-7	3.915600000E+1
1.015780000E+1	9.999686523E+3	1.600020000E-6	3.650800000E-7	4.088500000E+1
1.014330000E+1	9.999686523E+3	1.409100000E-6	-1.881280000E-7	4.266300000E+1
1.012890000E+1	9.999686523E+3	1.289890000E-6	-3.818450000E-8	4.431700000E+1
1.011440000E+1	9.999686523E+3	1.514340000E-6	5.774220000E-8	4.607200000E+1
1.010130000E+1	9.999686523E+3	1.220040000E-6	1.955790000E-8	4.763800000E+1
1.008880000E+1	9.999686523E+3	1.268470000E-6	1.285230000E-7	4.912200000E+1
1.007850000E+1	9.999686523E+3	1.352290000E-6	9.965200000E-8	5.044400000E+1
1.006700000E+1	9.999686523E+3	1.317830000E-6	5.401690000E-8	5.203700000E+1
1.005620000E+1	9.999686523E+3	1.360670000E-6	-1.955790000E-8	5.314600000E+1
1.004260000E+1	9.999686523E+3	9.685830000E-7	8.381950000E-8	5.486500000E+1
1.002960000E+1	9.999686523E+3	1.873830000E-6	-2.076860000E-7	5.632600000E+1
1.001790000E+1	9.999686523E+3	1.708050000E-6	-2.020980000E-7	5.764700000E+1
1.000750000E+1	9.999686523E+3	1.715500000E-6	-4.274790000E-7	5.898200000E+1
9.997300000E+0	9.999686523E+3	1.983730000E-6	3.259650000E-8	6.031900000E+1
9.984900000E+0	9.999686523E+3	2.319010000E-6	-1.899910000E-7	6.195500000E+1
9.974400000E+0	9.999686523E+3	1.369050000E-6	1.899910000E-7	6.297600000E+1
9.963800000E+0	9.999686523E+3	1.324350000E-6	-2.412140000E-7	6.430800000E+1
9.949900000E+0	9.999686523E+3	1.526440000E-6	-9.872060000E-8	6.617200000E+1
9.935500000E+0	9.999686523E+3	1.804910000E-6	3.362090000E-7	6.792300000E+1
9.924700000E+0	9.999686523E+3	1.306650000E-6	1.965100000E-7	6.926500000E+1
9.913200000E+0	9.999686523E+3	9.657890000E-7	-2.793980000E-9	7.055900000E+1
9.901000000E+0	9.999686523E+3	8.940730000E-7	-3.362090000E-7	7.196300000E+1
9.886800000E+0	9.999686523E+3	1.456600000E-6	-1.322490000E-7	7.366700000E+1
9.874000000E+0	9.999686523E+3	-1.360020000E-5	-8.791740000E-6	7.518200000E+1
9.860500000E+0	9.999686523E+3	4.684570000E-7	-4.358610000E-7	7.691700000E+1
9.849300000E+0	9.999686523E+3	1.470570000E-6	9.685800000E-8	7.818000000E+1
9.838500000E+0	9.999686523E+3	1.534830000E-6	6.705570000E-8	7.950900000E+1
9.822700000E+0	9.999686523E+3	1.376500000E-6	-2.142050000E-8	8.144000000E+1
9.810400000E+0	9.999686523E+3	1.311310000E-6	2.412140000E-7	8.298900000E+1
9.800200000E+0	9.999686523E+3	1.451010000E-6	5.476210000E-7	8.462600000E+1
9.788100000E+0	9.999686523E+3	7.711390000E-7	2.058230000E-7	8.563800000E+1
9.777000000E+0	9.999686523E+3	1.596290000E-6	-2.542530000E-7	8.724400000E+1
