HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=9244.0/1165.0, Cu(45kV,40mA), Tuesday, March 31, 2026, 11:51 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3287.0	3375.6	-88.6	3363.5
5.02	3454.0	3381.2	72.8	3369.1
5.04	3418.0	3386.7	31.3	3374.6
5.06	3294.0	3392.2	-98.2	3380.1
5.08	3412.0	3397.7	14.3	3385.6
5.1	3343.0	3403.2	-60.2	3391.1
5.12	3193.0	3408.7	-215.7	3396.6
5.14	3387.0	3414.2	-27.2	3402.1
5.16	3219.0	3419.7	-200.7	3407.6
5.18	3301.0	3425.2	-124.2	3413.1
5.2	3377.0	3430.7	-53.7	3418.6
5.22	3347.0	3436.2	-89.2	3424.1
5.24	3496.0	3441.7	54.3	3429.6
5.26	3315.0	3447.2	-132.2	3435.1
5.28	3395.0	3452.7	-57.7	3440.6
5.3	3386.0	3458.2	-72.2	3446.1
5.32	3348.0	3463.7	-115.7	3451.5
5.34	3332.0	3469.1	-137.1	3457.0
5.36	3353.0	3474.6	-121.6	3462.5
5.38	3326.0	3480.1	-154.1	3467.9
5.4	3354.0	3485.6	-131.6	3473.4
5.42	3321.0	3491.0	-170.0	3478.9
5.44	3334.0	3496.5	-162.5	3484.3
5.46	3349.0	3501.9	-152.9	3489.7
5.48	3375.0	3507.3	-132.3	3495.2
5.5	3299.0	3512.8	-213.8	3500.6
5.52	3550.0	3518.2	31.8	3506.0
5.54	3412.0	3523.6	-111.6	3511.4
5.56	3416.0	3529.0	-113.0	3516.9
5.58	3374.0	3534.4	-160.4	3522.3
5.6	3472.0	3539.8	-67.8	3527.7
5.62	3388.0	3545.2	-157.2	3533.0
5.64	3508.0	3550.6	-42.6	3538.4
5.66	3421.0	3556.0	-135.0	3543.8
5.68	3329.0	3561.4	-232.3	3549.2
5.7	3426.0	3566.7	-140.7	3554.5
5.72	3380.0	3572.1	-192.1	3559.8
5.74	3398.0	3577.4	-179.4	3565.2
5.76	3390.0	3582.7	-192.7	3570.5
5.78	3387.0	3588.0	-201.0	3575.8
5.8	3522.0	3593.3	-71.3	3581.1
5.82	3423.0	3598.6	-175.6	3586.4
5.84	3514.0	3603.9	-89.9	3591.7
5.86	3503.0	3609.2	-106.2	3597.0
5.88	3341.0	3614.4	-273.4	3602.2
5.9	3371.0	3619.7	-248.7	3607.5
5.92	3456.0	3624.9	-168.9	3612.7
5.94	3460.0	3630.2	-170.2	3617.9
5.96	3576.0	3635.4	-59.4	3623.1
5.98	3581.0	3640.6	-59.6	3628.3
6.0	3587.0	3645.8	-58.8	3633.5
6.02	3573.0	3650.9	-77.9	3638.7
6.04	3494.0	3656.1	-162.1	3643.8
6.06	3486.0	3661.2	-175.2	3649.0
6.08	3532.0	3666.4	-134.4	3654.1
6.1	3576.0	3671.5	-95.5	3659.2
6.12	3612.0	3676.6	-64.6	3664.3
6.14	3491.0	3681.7	-190.7	3669.4
6.16	3588.0	3686.8	-98.8	3674.5
6.18	3514.0	3691.8	-177.8	3679.5
6.2	3526.0	3696.9	-170.9	3684.6
6.22	3559.0	3701.9	-142.9	3689.6
6.24	3642.0	3706.9	-64.9	3694.6
6.26	3605.0	3711.9	-106.9	3699.6
6.28	3535.0	3716.9	-181.9	3704.6
6.3	3581.0	3721.8	-140.8	3709.5
6.32	3517.0	3726.8	-209.8	3714.5
6.34	3575.0	3731.7	-156.7	3719.4
6.36	3652.0	3736.6	-84.6	3724.3
6.38	3651.0	3741.5	-90.5	3729.2
6.4	3545.0	3746.4	-201.4	3734.1
6.42	3601.0	3751.2	-150.2	3738.9
6.44	3683.0	3756.1	-73.1	3743.7
6.46	3630.0	3760.9	-130.9	3748.5
6.48	3631.0	3765.7	-134.7	3753.3
6.5	3655.0	3770.4	-115.4	3758.1
6.52	3817.0	3775.2	41.8	3762.9
6.54	3755.0	3779.9	-24.9	3767.6
6.56	3681.0	3784.6	-103.6	3772.3
6.58	3673.0	3789.3	-116.3	3777.0
6.6	3568.0	3794.0	-226.0	3781.7
6.62	3770.0	3798.7	-28.7	3786.3
6.64	3671.0	3803.3	-132.3	3790.9
6.66	3676.0	3807.9	-131.9	3795.5
6.68	3817.0	3812.5	4.5	3800.1
6.7	3740.0	3817.0	-77.0	3804.7
6.72	3807.0	3821.6	-14.6	3809.2
6.74	3731.0	3826.1	-95.1	3813.7
6.76	3726.0	3830.6	-104.6	3818.2
6.78	3758.0	3835.1	-77.1	3822.7
6.8	3843.0	3839.5	3.5	3827.1
6.82	3830.0	3843.9	-13.9	3831.6
6.84	3752.0	3848.3	-96.3	3836.0
6.86	3709.0	3852.7	-143.7	3840.3
6.88	3694.0	3857.1	-163.1	3844.7
6.9	3690.0	3861.4	-171.4	3849.0
6.92	3728.0	3865.7	-137.7	3853.3
6.94	3706.0	3870.0	-164.0	3857.6
6.96	3692.0	3874.2	-182.2	3861.8
6.98	3682.0	3878.4	-196.4	3866.0
7.0	3657.0	3882.6	-225.6	3870.2
7.02	3842.0	3886.8	-44.8	3874.4
7.04	3859.0	3891.0	-32.0	3878.5
7.06	3872.0	3895.1	-23.1	3882.6
7.08	3771.0	3899.2	-128.2	3886.7
7.1	3832.0	3903.2	-71.2	3890.8
7.12	3861.0	3907.3	-46.3	3894.8
7.14	3753.0	3911.3	-158.3	3898.8
7.16	3743.0	3915.2	-172.2	3902.8
7.18	3819.0	3919.2	-100.2	3906.7
7.2	3719.0	3923.1	-204.1	3910.6
7.22	3860.0	3927.0	-67.0	3914.5
7.24	3806.0	3930.9	-124.9	3918.4
7.26	3806.0	3934.7	-128.7	3922.2
7.28	3958.0	3938.5	19.5	3926.0
7.3	3843.0	3942.3	-99.3	3929.8
7.32	3758.0	3946.0	-188.0	3933.5
7.34	3804.0	3949.7	-145.7	3937.2
7.36	3843.0	3953.4	-110.4	3940.9
7.38	3824.0	3957.0	-133.0	3944.5
7.4	3899.0	3960.6	-61.6	3948.1
7.42	4033.0	3964.2	68.8	3951.7
7.44	4003.0	3967.8	35.2	3955.3
7.46	3808.0	3971.3	-163.3	3958.8
7.48	3948.0	3974.8	-26.8	3962.3
7.5	3882.0	3978.2	-96.2	3965.7
7.52	3854.0	3981.6	-127.6	3969.1
7.54	4002.0	3985.0	17.0	3972.5
7.56	3865.0	3988.4	-123.4	3975.9
7.58	3966.0	3991.7	-25.7	3979.2
7.6	3892.0	3995.0	-103.0	3982.5
7.62	4017.0	3998.2	18.8	3985.7
7.64	3852.0	4001.4	-149.4	3988.9
7.66	3941.0	4004.6	-63.6	3992.1
7.68	3952.0	4007.8	-55.8	3995.2
7.7	3951.0	4010.9	-59.9	3998.3
7.72	4022.0	4013.9	8.1	4001.4
7.74	4032.0	4017.0	15.0	4004.4
7.76	4060.0	4020.0	40.0	4007.4
7.78	4022.0	4022.9	-0.9	4010.4
7.8	4046.0	4025.9	20.1	4013.3
7.82	3990.0	4028.8	-38.8	4016.2
7.84	3917.0	4031.6	-114.6	4019.1
7.86	4072.0	4034.5	37.5	4021.9
7.88	4026.0	4037.3	-11.3	4024.7
7.9	4018.0	4040.1	-22.1	4027.5
7.92	3971.0	4042.9	-71.9	4030.3
7.94	4008.0	4045.7	-37.7	4033.1
7.96	4027.0	4048.5	-21.5	4035.9
7.98	4116.0	4051.3	64.7	4038.7
8.0	4173.0	4054.1	118.9	4041.5
8.02	4058.0	4056.9	1.1	4044.3
8.04	4025.0	4059.8	-34.8	4047.2
8.06	3985.0	4062.6	-77.6	4050.0
8.08	4065.0	4065.5	-0.5	4052.9
8.1	3939.0	4068.4	-129.4	4055.8
8.12	4126.0	4071.4	54.6	4058.8
8.14	4057.0	4074.4	-17.4	4061.8
8.16	4008.0	4077.4	-69.4	4064.8
8.18	4131.0	4080.5	50.5	4067.9
8.2	4135.0	4083.7	51.3	4071.0
8.22	4001.0	4086.9	-85.9	4074.2
8.24	4062.0	4090.2	-28.2	4077.5
8.26	4138.0	4093.5	44.5	4080.8
8.28	3995.0	4096.9	-101.9	4084.2
8.3	4066.0	4100.4	-34.4	4087.7
8.32	4137.0	4104.0	33.0	4091.3
8.34	4066.0	4107.6	-41.6	4095.0
8.36	4169.0	4111.4	57.6	4098.7
8.38	4034.0	4115.2	-81.2	4102.5
8.4	4155.0	4119.2	35.8	4106.5
8.42	4093.0	4123.2	-30.2	4110.5
8.44	4173.0	4127.4	45.6	4114.7
8.46	4150.0	4131.6	18.4	4118.9
8.48	4109.0	4136.0	-27.0	4123.3
8.5	4189.0	4140.5	48.5	4127.8
8.52	4285.0	4145.2	139.8	4132.5
8.54	4189.0	4150.0	39.0	4137.3
8.56	4150.0	4154.9	-4.9	4142.2
8.58	4228.0	4159.9	68.1	4147.2
8.6	4230.0	4165.1	64.9	4152.4
8.62	4192.0	4170.5	21.5	4157.7
8.64	4247.0	4176.0	71.0	4163.2
8.66	4176.0	4181.6	-5.6	4168.9
8.68	4286.0	4187.5	98.5	4174.7
8.7	4248.0	4193.5	54.5	4180.7
8.72	4279.0	4199.6	79.4	4186.9
8.74	4191.0	4206.0	-15.0	4193.2
8.76	4250.0	4212.5	37.5	4199.8
8.78	4231.0	4219.2	11.8	4206.5
8.8	4208.0	4226.1	-18.1	4213.4
8.82	4186.0	4233.2	-47.2	4220.5
8.84	4221.0	4240.5	-19.5	4227.8
8.86	4303.0	4248.1	54.9	4235.3
8.88	4192.0	4255.8	-63.8	4243.0
8.9	4285.0	4263.7	21.3	4250.9
8.92	4286.0	4271.9	14.1	4259.1
8.94	4246.0	4280.2	-34.2	4267.5
8.96	4380.0	4288.8	91.2	4276.1
8.98	4289.0	4297.7	-8.7	4284.9
9.0	4329.0	4306.8	22.2	4294.0
9.02	4280.0	4316.1	-36.1	4303.3
9.04	4326.0	4325.6	0.4	4312.8
9.06	4280.0	4335.5	-55.5	4322.6
9.08	4296.0	4345.5	-49.5	4332.7
9.1	4344.0	4355.9	-11.9	4343.0
9.12	4411.0	4366.5	44.5	4353.6
9.14	4400.0	4377.3	22.7	4364.5
9.16	4373.0	4388.5	-15.5	4375.6
9.18	4613.0	4399.9	213.1	4387.0
9.2	4458.0	4411.6	46.4	4398.7
9.22	4398.0	4423.6	-25.6	4410.7
9.24	4467.0	4435.9	31.1	4423.0
9.26	4525.0	4448.4	76.6	4435.6
9.28	4381.0	4461.3	-80.3	4448.4
9.3	4440.0	4474.5	-34.5	4461.6
9.32	4520.0	4488.0	32.0	4475.1
9.34	4352.0	4502.1	-150.1	4488.9
9.36	4469.0	4516.3	-47.3	4503.0
9.38	4548.0	4530.9	17.1	4517.5
9.4	4587.0	4545.8	41.2	4532.3
9.42	4546.0	4561.0	-15.0	4547.4
9.44	4515.0	4577.0	-62.0	4562.8
9.46	4661.0	4593.1	67.9	4578.6
9.48	4587.0	4609.6	-22.6	4594.8
9.5	4583.0	4626.5	-43.5	4611.3
