HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=13001/813, Cu(45kV,40mA), Thursday, April 09, 2026, 9:38 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3204	3305	-101	3305
5.02	3313	3311	2	3311
5.04	3331	3316	15	3316
5.06	3329	3321	8	3321
5.08	3350	3326	24	3326
5.1	3253	3331	-78	3331
5.12	3316	3337	-21	3337
5.14	3239	3342	-103	3342
5.16	3279	3347	-68	3347
5.18	3414	3352	62	3352
5.2	3312	3358	-46	3358
5.22	3253	3363	-110	3363
5.24	3363	3368	-5	3368
5.26	3426	3373	53	3373
5.28	3390	3379	11	3379
5.3	3283	3384	-101	3384
5.32	3335	3389	-54	3389
5.34	3269	3395	-126	3395
5.36	3280	3400	-120	3400
5.38	3343	3405	-62	3405
5.4	3338	3411	-73	3411
5.42	3321	3416	-95	3416
5.44	3324	3421	-97	3421
5.46	3424	3427	-3	3427
5.48	3414	3432	-18	3432
5.5	3318	3438	-120	3438
5.52	3340	3443	-103	3443
5.54	3434	3449	-15	3449
5.56	3477	3454	23	3454
5.58	3311	3460	-149	3460
5.6	3344	3466	-122	3466
5.62	3375	3471	-96	3471
5.64	3373	3477	-104	3477
5.66	3331	3483	-152	3483
5.68	3526	3488	38	3488
5.7	3545	3494	51	3494
5.72	3483	3500	-17	3500
5.74	3403	3506	-103	3506
5.76	3417	3512	-95	3512
5.78	3524	3517	7	3517
5.8	3482	3523	-41	3523
5.82	3550	3529	21	3529
5.84	3581	3535	46	3535
5.86	3552	3541	11	3541
5.88	3460	3548	-88	3548
5.9	3569	3554	15	3554
5.92	3429	3560	-131	3560
5.94	3573	3566	7	3566
5.96	3575	3572	3	3572
5.98	3572	3579	-7	3579
6.0	3591	3585	6	3585
6.02	3670	3591	79	3591
6.04	3497	3598	-101	3598
6.06	3747	3604	143	3604
6.08	3642	3611	31	3611
6.1	3639	3617	22	3617
6.12	3617	3624	-7	3624
6.14	3697	3631	66	3631
6.16	3718	3637	81	3637
6.18	3678	3644	34	3644
6.2	3629	3651	-22	3651
6.22	3662	3658	4	3658
6.24	3848	3665	183	3665
6.26	3736	3672	64	3672
6.28	3758	3679	79	3679
6.3	3679	3686	-7	3686
6.32	3698	3693	5	3693
6.34	3707	3701	6	3701
6.36	3794	3708	86	3708
6.38	3756	3715	41	3715
6.4	3778	3723	55	3723
6.42	3767	3730	37	3730
6.44	3900	3738	162	3738
6.46	3752	3746	6	3746
6.48	3808	3753	55	3753
6.5	3897	3761	136	3761
6.52	3810	3769	41	3769
6.54	3924	3777	147	3777
6.56	3801	3785	16	3785
6.58	3793	3793	0	3793
6.6	3826	3801	25	3801
6.62	3782	3810	-28	3810
6.64	3768	3818	-50	3818
6.66	3777	3826	-49	3826
6.68	3901	3835	66	3835
6.7	3898	3843	55	3843
6.72	3841	3852	-11	3852
6.74	3890	3860	30	3860
6.76	3892	3869	23	3869
6.78	3989	3877	112	3877
6.8	3830	3886	-56	3886
6.82	3872	3895	-23	3895
6.84	3909	3904	5	3904
6.86	3944	3912	32	3912
6.88	3920	3921	-1	3921
6.9	3946	3930	16	3930
6.92	3949	3939	10	3939
6.94	3910	3948	-38	3948
6.96	3998	3956	42	3956
6.98	3907	3965	-58	3965
7.0	4087	3974	113	3974
7.02	4025	3983	42	3983
7.04	4000	3992	8	3992
7.06	4081	4001	80	4001
7.08	3911	4009	-98	4009
7.1	3995	4018	-23	4018
7.12	3943	4027	-84	4027
7.14	3966	4035	-69	4035
7.16	4057	4044	13	4044
7.18	4038	4053	-15	4053
7.2	4051	4061	-10	4061
7.22	4005	4070	-65	4070
7.24	4031	4078	-47	4078
7.26	3926	4087	-161	4087
7.28	3918	4095	-177	4095
7.3	4142	4103	39	4103
7.32	4080	4111	-31	4111
7.34	4083	4120	-37	4120
7.36	4055	4128	-73	4128
7.38	3990	4136	-146	4136
7.4	4070	4143	-73	4143
7.42	4000	4151	-151	4151
7.44	4107	4159	-52	4159
7.46	4021	4167	-146	4167
7.48	4178	4174	4	4174
7.5	4104	4181	-77	4181
7.52	4095	4189	-94	4189
7.54	4089	4196	-107	4196
7.56	4034	4203	-169	4203
7.58	4079	4210	-131	4210
7.6	4065	4217	-152	4217
7.62	4114	4223	-109	4223
7.64	4176	4230	-54	4230
7.66	4152	4236	-84	4236
7.68	4174	4243	-69	4243
7.7	4214	4249	-35	4249
7.72	4099	4255	-156	4255
7.74	4141	4261	-120	4261
7.76	4225	4266	-41	4266
7.78	4215	4272	-57	4272
7.8	4141	4277	-136	4277
7.82	4232	4282	-50	4282
7.84	4186	4287	-101	4287
7.86	4330	4292	38	4292
7.88	4205	4297	-92	4297
7.9	4311	4301	10	4301
7.92	4157	4305	-148	4305
7.94	4266	4309	-43	4309
7.96	4255	4313	-58	4313
7.98	4132	4317	-185	4317
8.0	4250	4321	-71	4321
8.02	4175	4325	-150	4325
8.04	4189	4328	-139	4328
8.06	4261	4332	-71	4332
8.08	4245	4335	-90	4335
8.1	4319	4338	-19	4338
8.12	4327	4341	-14	4341
8.14	4325	4345	-20	4345
8.16	4232	4348	-116	4348
8.18	4230	4351	-121	4351
8.2	4174	4354	-180	4354
8.22	4413	4357	56	4357
8.24	4294	4360	-66	4360
8.26	4364	4363	1	4363
8.28	4422	4366	56	4366
8.3	4328	4369	-41	4369
8.32	4338	4372	-34	4372
8.34	4408	4376	32	4376
8.36	4518	4379	139	4379
8.38	4504	4382	122	4382
8.4	4453	4385	68	4385
8.42	4384	4389	-5	4389
8.44	4392	4392	0	4392
8.46	4536	4396	140	4396
8.48	4443	4400	43	4400
8.5	4284	4404	-120	4404
8.52	4325	4408	-83	4408
8.54	4553	4412	141	4412
8.56	4419	4416	3	4416
8.58	4611	4421	190	4421
8.6	4503	4425	78	4425
8.62	4439	4430	9	4430
8.64	4447	4435	12	4435
8.66	4545	4441	104	4441
8.68	4446	4446	0	4446
8.7	4459	4452	7	4452
8.72	4546	4458	88	4458
8.74	4502	4464	38	4464
8.76	4580	4470	110	4470
8.78	4470	4477	-7	4477
8.8	4651	4484	167	4484
8.82	4414	4491	-77	4491
8.84	4438	4499	-61	4499
8.86	4508	4507	1	4507
8.88	4612	4515	97	4515
8.9	4740	4523	217	4523
8.92	4592	4532	60	4532
8.94	4540	4541	-1	4541
8.96	4608	4551	57	4551
8.98	4623	4561	62	4561
9.0	4657	4571	86	4571
9.02	4760	4582	178	4582
9.04	4590	4593	-3	4593
9.06	4682	4604	78	4604
9.08	4527	4616	-89	4616
9.1	4654	4628	26	4628
9.12	4649	4641	8	4641
9.14	4657	4654	3	4654
9.16	4742	4667	75	4667
9.18	4626	4681	-55	4681
9.2	4699	4696	3	4696
9.22	4701	4711	-10	4711
9.24	4793	4726	67	4726
9.26	4733	4742	-9	4742
9.28	4773	4759	14	4759
9.3	4844	4776	68	4776
9.32	4752	4794	-42	4794
9.34	4950	4812	138	4812
9.36	4660	4830	-170	4830
9.38	4787	4849	-62	4849
