20250911_HM470MoNbTa2_chiAC_vs_T_B_0T.001.txt Thu, Sep 11, 2025 3:21:50 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
1.385820000E-6	-7.450630000E-8	1.000000000E+1	0.000000000E+0	3.800000000E-2
1.437970000E-6	2.980250000E-8	9.988100000E+0	0.000000000E+0	3.587100000E+1
1.154850000E-6	1.490130000E-7	9.977200000E+0	0.000000000E+0	4.030400000E+1
1.326210000E-6	-2.458710000E-7	9.987800000E+0	0.000000000E+0	4.758700000E+1
1.288960000E-6	-2.831240000E-7	9.998400000E+0	0.000000000E+0	5.010000000E+1
1.549730000E-6	2.160680000E-7	1.000890000E+1	0.000000000E+0	5.201600000E+1
1.363460000E-6	-7.450640000E-9	1.001910000E+1	0.000000000E+0	5.358300000E+1
1.229350000E-6	1.639140000E-7	1.002980000E+1	0.000000000E+0	5.520200000E+1
1.668940000E-6	-2.533220000E-7	1.004010000E+1	0.000000000E+0	5.652900000E+1
1.437970000E-6	-1.713640000E-7	1.005240000E+1	0.000000000E+0	5.815100000E+1
1.482670000E-6	0.000000000E+0	1.006280000E+1	0.000000000E+0	5.972200000E+1
1.192100000E-6	-2.384200000E-7	1.005030000E+1	0.000000000E+0	6.337900000E+1
1.229350000E-6	5.960510000E-8	1.003860000E+1	0.000000000E+0	6.417700000E+1
1.616780000E-6	-2.235180000E-7	1.002610000E+1	0.000000000E+0	6.496100000E+1
1.288960000E-6	-1.043090000E-7	1.001050000E+1	0.000000000E+0	6.574200000E+1
1.549730000E-6	-1.713640000E-7	9.994800000E+0	0.000000000E+0	6.656900000E+1
1.341110000E-6	-2.235180000E-7	9.977000000E+0	0.000000000E+0	6.734000000E+1
1.415620000E-6	1.415620000E-7	9.966900000E+0	0.000000000E+0	6.777600000E+1
1.572080000E-6	-5.215430000E-8	9.949900000E+0	0.000000000E+0	6.854200000E+1
1.154850000E-6	-5.960510000E-8	9.932200000E+0	0.000000000E+0	6.933500000E+1
1.490120000E-6	2.160680000E-7	9.921700000E+0	0.000000000E+0	6.978800000E+1
1.542280000E-6	1.862650000E-7	9.904100000E+0	0.000000000E+0	7.051100000E+1
1.408170000E-6	1.564630000E-7	9.886600000E+0	0.000000000E+0	7.136100000E+1
1.594430000E-6	-1.639140000E-7	9.866800000E+0	0.000000000E+0	7.213800000E+1
1.348560000E-6	2.756730000E-7	9.850700000E+0	0.000000000E+0	7.297400000E+1
1.378360000E-6	-9.685800000E-8	9.831700000E+0	0.000000000E+0	7.375400000E+1
1.214450000E-6	-1.415620000E-7	9.812700000E+0	0.000000000E+0	7.466500000E+1
1.356010000E-6	-6.705570000E-8	9.795300000E+0	0.000000000E+0	7.571500000E+1
1.072890000E-6	2.235190000E-8	9.784200000E+0	0.000000000E+0	7.600400000E+1
