20250916_HM471MoNb2Ta_chiAC_vs_T_B_0T.001.txt Tue, Sep 16, 2025 4:26:14 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
1.072890000E-6	-7.450640000E-9	9.999860000E+1	0.000000000E+0	2.700000000E-2
1.356010000E-6	-6.333030000E-7	9.998800000E+1	0.000000000E+0	1.194700000E+1
7.674130000E-7	-1.639140000E-7	9.997650000E+1	0.000000000E+0	1.391800000E+1
1.326210000E-6	-4.023330000E-7	9.996250000E+1	0.000000000E+0	1.551000000E+1
1.139950000E-6	5.960510000E-8	9.994940000E+1	0.000000000E+0	1.709600000E+1
1.735990000E-6	2.607720000E-7	9.993700000E+1	0.000000000E+0	1.873900000E+1
1.654040000E-6	-1.341110000E-7	9.992490000E+1	0.000000000E+0	2.036200000E+1
7.078090000E-7	1.341110000E-7	9.991360000E+1	0.000000000E+0	2.191600000E+1
1.192100000E-6	3.799810000E-7	9.990120000E+1	0.000000000E+0	2.351100000E+1
1.095240000E-6	-1.564630000E-7	9.988720000E+1	0.000000000E+0	2.556500000E+1
9.536820000E-7	-1.639140000E-7	9.987640000E+1	0.000000000E+0	2.670200000E+1
9.536820000E-7	1.490130000E-7	9.986560000E+1	0.000000000E+0	2.831900000E+1
1.251700000E-6	5.960510000E-8	9.985480000E+1	0.000000000E+0	2.955100000E+1
1.080340000E-6	-4.470370000E-8	9.984210000E+1	0.000000000E+0	3.112900000E+1
1.266610000E-6	-9.685800000E-8	9.982700000E+1	0.000000000E+0	3.271400000E+1
1.341110000E-6	2.607720000E-7	9.981400000E+1	0.000000000E+0	3.428700000E+1
1.445420000E-6	-2.160680000E-7	9.980360000E+1	0.000000000E+0	3.525200000E+1
1.244250000E-6	-1.192100000E-7	9.979140000E+1	0.000000000E+0	3.648600000E+1
1.244250000E-6	-3.278270000E-7	9.977880000E+1	0.000000000E+0	3.769300000E+1
1.095240000E-6	-2.533220000E-7	9.976840000E+1	0.000000000E+0	3.851500000E+1
1.057990000E-6	-2.235180000E-7	9.975480000E+1	0.000000000E+0	3.993500000E+1
1.445420000E-6	2.309690000E-7	9.974260000E+1	0.000000000E+0	4.058900000E+1
1.408170000E-6	1.415620000E-7	9.972890000E+1	0.000000000E+0	4.181600000E+1
1.370910000E-6	-3.203770000E-7	9.971720000E+1	0.000000000E+0	4.260800000E+1
1.400720000E-6	-6.705570000E-8	9.970660000E+1	0.000000000E+0	4.342700000E+1
1.423070000E-6	-3.203770000E-7	9.969530000E+1	0.000000000E+0	4.418100000E+1
9.462270000E-7	-7.450640000E-9	9.968340000E+1	0.000000000E+0	4.499200000E+1
1.169750000E-6	-1.639140000E-7	9.967210000E+1	0.000000000E+0	4.585700000E+1
