0472_HM_ScCu4Pd
Wavelength = 1.54059Å, !20.05°/129.846°/0.10027°/1(s), I(p)=12599/837, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.05013	938	847	91	893
20.1504	837	850	-13	896
20.25068	903	853	50	900
20.35094	907	856	51	904
20.45121	935	859	76	908
20.55149	950	862	88	912
20.65175	900	865	35	916
20.75203	875	868	7	919
20.85229	967	871	96	923
20.95256	924	875	49	927
21.05284	961	878	83	930
21.1531	967	881	86	934
21.25337	1069	884	185	938
21.35365	1189	887	302	941
21.45391	1137	890	247	944
21.55418	1108	893	215	948
21.65446	1055	896	159	951
21.75472	980	899	81	954
21.85499	970	902	68	957
21.95527	1050	905	145	960
22.05553	928	908	20	963
22.15581	1043	911	132	966
22.25607	947	914	33	968
22.35634	975	917	58	971
22.45662	999	920	79	973
22.55688	1081	923	158	976
22.65715	995	926	69	978
22.75743	1021	930	91	980
22.85769	1016	933	83	982
22.95796	1026	936	90	984
23.05824	1007	939	68	986
23.1585	995	942	53	988
23.25877	1080	945	135	990
23.35905	990	948	42	991
23.45931	1040	951	89	993
23.55959	1106	954	152	994
23.65985	1040	958	82	996
23.76012	1028	961	67	997
23.8604	1087	964	123	999
23.96066	1119	967	152	1000
24.06093	1115	970	145	1001
24.16121	1035	973	62	1002
24.26147	1041	976	65	1003
24.36174	1066	979	87	1005
24.46202	1068	983	85	1006
24.56228	1103	986	117	1007
24.66256	1030	989	41	1008
24.76283	982	992	-10	1009
24.86309	991	995	-4	1009
24.96337	1081	998	83	1010
25.06363	1045	1002	43	1011
25.1639	997	1005	-8	1012
25.26418	1006	1008	-2	1013
25.36444	1004	1011	-7	1014
25.46471	1014	1014	0	1014
25.56499	1025	1018	7	1015
25.66525	1011	1021	-10	1016
25.76552	1063	1024	39	1016
25.8658	1004	1027	-23	1017
25.96606	1063	1030	33	1018
26.06634	1021	1034	-13	1019
26.1666	1088	1037	51	1019
26.26687	1027	1040	-13	1020
26.36715	973	1043	-70	1021
26.46741	1025	1047	-22	1022
26.56768	1048	1050	-2	1022
26.66796	1082	1053	29	1023
26.76822	1001	1056	-55	1024
26.86849	1008	1060	-52	1025
26.96877	1053	1063	-10	1025
27.06903	1052	1066	-14	1026
27.16931	1029	1069	-40	1027
27.26958	1016	1073	-57	1028
27.36984	1001	1076	-75	1029
27.47012	1057	1079	-22	1030
27.57038	1006	1083	-77	1030
27.67065	1087	1086	1	1031
27.77093	1075	1089	-14	1032
27.87119	1070	1092	-22	1033
27.97146	1096	1096	0	1034
28.07174	995	1099	-104	1035
28.172	1040	1102	-62	1036
28.27227	1009	1106	-97	1036
28.37255	1086	1109	-23	1037
28.47281	1059	1112	-53	1038
28.57309	1108	1116	-8	1039
28.67336	1034	1119	-85	1040
28.77362	1087	1122	-35	1041
28.8739	1091	1126	-35	1042
28.97416	1107	1129	-22	1043
29.07443	1104	1133	-29	1044
29.17471	1089	1136	-47	1044
29.27497	1115	1139	-24	1045
29.37524	1121	1143	-22	1046
29.47552	1148	1146	2	1047
29.57578	1124	1150	-26	1048
29.67606	1071	1153	-82	1049
29.77633	1068	1156	-88	1050
29.87659	1093	1160	-67	1051
29.97687	1050	1163	-113	1052
30.07714	1096	1167	-71	1053
30.1774	1068	1170	-102	1053
30.27768	1132	1174	-42	1054
30.37794	1120	1177	-57	1055
30.47821	1104	1180	-76	1056
30.57849	1042	1184	-142	1057
30.67875	1103	1187	-84	1058
30.77902	1033	1191	-158	1059
30.8793	1071	1194	-123	1059
30.97956	1101	1198	-97	1060
31.07984	1155	1201	-46	1061
31.18011	1202	1205	-3	1062
31.28037	1139	1209	-70	1063
31.38065	1228	1212	16	1064
31.48092	1140	1216	-76	1065
31.58118	1161	1219	-58	1066
31.68146	1100	1223	-123	1067
31.78172	1121	1226	-105	1068
31.88199	1130	1230	-100	1069
31.98227	1103	1233	-130	1070
32.08253	1158	1237	-79	1071
32.1828	1092	1241	-149	1072
32.28307	1193	1244	-51	1074
32.38335	1058	1248	-190	1075
32.48362	1111	1252	-141	1076
32.58389	1148	1255	-107	1078
32.68415	1167	1259	-92	1079
32.78442	1130	1263	-133	1081
32.8847	1151	1266	-115	1083
32.98497	1045	1270	-225	1085
33.08524	1147	1274	-127	1087
33.1855	1184	1278	-94	1089
33.28577	1140	1281	-141	1091
33.38604	1145	1285	-140	1093
33.48632	1191	1289	-98	1096
33.58659	1193	1293	-100	1098
33.68686	1115	1296	-181	1101
33.78712	1177	1300	-123	1104
33.88739	1173	1304	-131	1107
33.98766	1175	1308	-133	1110
34.08794	1214	1312	-98	1113
34.18821	1201	1316	-115	1116
34.28848	1211	1320	-109	1120
34.38874	1264	1324	-60	1124
34.48901	1233	1328	-95	1128
34.58929	1189	1332	-143	1132
34.68956	1230	1336	-106	1136
34.78983	1214	1340	-126	1140
34.89009	1241	1344	-103	1145
34.99036	1177	1348	-171	1150
35.09063	1189	1352	-163	1155
35.19091	1142	1356	-214	1160
35.29118	1174	1360	-186	1165
35.39145	1175	1364	-189	1171
35.49171	1196	1369	-173	1177
35.59198	1214	1373	-159	1183
35.69226	1270	1377	-107	1189
35.79253	1272	1382	-110	1196
35.8928	1242	1386	-144	1202
35.99306	1245	1391	-146	1209
36.09333	1338	1395	-57	1216
36.1936	1237	1400	-163	1222
36.29388	1321	1404	-83	1230
36.39415	1359	1409	-50	1237
36.49442	1431	1413	18	1244
36.59468	1474	1418	56	1251
36.69495	1511	1423	88	1259
36.79523	1597	1428	169	1266
36.8955	1837	1433	404	1274
36.99577	2448	1437	1011	1282
37.09604	3460	1442	2018	1289
37.1963	5861	1448	4413	1297
37.29657	9990	1453	8537	1305
37.39685	12599	1458	11141	1313
37.49712	7754	1463	6291	1321
37.59739	3698	1469	2229	1329
37.69765	2519	1474	1045	1336
37.79792	2067	1480	587	1344
37.89819	1946	1486	460	1352
37.99847	1600	1492	108	1360
38.09874	1584	1498	86	1368
38.19901	1540	1504	36	1376
38.29927	1556	1510	46	1383
38.39954	1572	1517	55	1391
38.49982	1580	1523	57	1399
38.60009	1777	1530	247	1406
38.70036	1977	1537	440	1413
38.80062	1919	1545	374	1421
38.90089	1628	1552	76	1428
39.00116	1575	1560	15	1435
39.10144	1502	1568	-66	1442
39.20171	1517	1577	-60	1449
39.30198	1485	1585	-100	1456
39.40224	1484	1595	-111	1462
39.50251	1428	1604	-176	1469
39.60279	1512	1614	-102	1475
39.70306	1592	1625	-33	1481
39.80333	1665	1636	29	1487
39.90359	1751	1647	104	1493
40.00386	1970	1660	310	1499
40.10413	2128	1673	455	1504
40.20441	2028	1687	341	1509
40.30468	2000	1702	298	1515
40.40495	1981	1718	263	1520
40.50521	1949	1735	214	1525
40.60548	1984	1753	231	1529
40.70576	2188	1773	415	1534
40.80603	2284	1795	490	1538
40.9063	2252	1818	434	1543
41.00657	2141	1844	297	1547
41.10683	2236	1872	364	1551
41.2071	2299	1903	396	1555
41.30738	2529	1937	592	1559
41.40765	2649	1975	674	1562
41.50792	2971	2018	953	1566
41.60818	3399	2066	1333	1569
41.70845	3540	2119	1421	1573
41.80872	3419	2180	1239	1576
41.909	3347	2249	1098	1579
42.00927	3248	2327	921	1582
42.10954	3045	2415	630	1585
42.2098	3118	2517	601	1587
42.31007	3027	2632	395	1590
42.41035	3118	2763	355	1592
42.51062	3041	2910	131	1595
42.61089	3164	3074	90	1597
42.71115	3229	3253	-24	1599
42.81142	3316	3444	-128	1601
42.91169	3481	3638	-157	1603
43.01197	3716	3824	-108	1605
43.11224	4585	3985	600	1607
43.21251	6265	4105	2160	1609
43.31277	8667	4168	4499	1610
43.41304	8012	4115	3897	1612
43.51332	5745	3903	1842	1613
43.61359	4093	3582	511	1614
43.71386	3994	3244	750	1616
43.81413	3864	2944	920	1617
43.91439	3113	2699	414	1618
44.01466	2474	2507	-33	1619
44.11494	2279	2358	-79	1620
44.21521	2080	2244	-164	1621
44.31548	1941	2156	-215	1621
44.41574	1921	2086	-165	1622
44.51601	1792	2032	-240	1623
44.61629	1803	1989	-186	1623
44.71656	1738	1955	-217	1624
44.81683	1739	1927	-188	1624
44.9171	1785	1905	-120	1625
45.01736	1727	1887	-160	1625
45.11763	1710	1873	-163	1625
45.21791	1672	1862	-190	1625
45.31818	1816	1852	-36	1626
45.41845	1825	1845	-20	1626
45.51871	1965	1840	125	1626
45.61898	2034	1835	199	1626
45.71925	2090	1832	258	1626
45.81953	2142	1830	312	1626
45.9198	2057	1829	228	1625
46.02007	2122	1829	293	1625
46.12033	2043	1830	213	1625
46.2206	1975	1831	144	1625
46.32088	1922	1833	89	1624
46.42115	1969	1835	134	1624
46.52142	1916	1838	78	1624
46.62169	2006	1841	165	1623
46.72195	2053	1845	208	1623
46.82222	2053	1849	204	1622
46.9225	2080	1854	226	1622
47.02277	2161	1859	302	1621
47.12304	2162	1865	297	1621
47.2233	2197	1871	326	1620
47.32357	2093	1878	215	1620
47.42385	1977	1885	92	1619
47.52412	2005	1893	112	1619
47.62439	1920	1901	19	1618
47.72466	1914	1910	4	1617
47.82492	1907	1920	-13	1617
47.92519	1819	1931	-112	1616
48.02547	1840	1943	-103	1616
48.12574	1897	1955	-58	1615
48.22601	1905	1969	-64	1614
48.32627	1812	1984	-172	1614
48.42654	1905	2001	-96	1613
48.52682	1895	2019	-124	1613
48.62709	1963	2040	-77	1612
48.72736	1959	2062	-103	1611
48.82763	1889	2088	-199	1611
48.92789	1943	2116	-173	1610
49.02816	2023	2148	-125	1610
49.12844	2042	2183	-141	1609
49.22871	2036	2224	-188	1609
49.32898	2011	2269	-258	1608
49.42924	2031	2321	-290	1608
49.52951	1820	2378	-558	1607
49.62979	1895	2443	-548	1607
49.73006	1873	2515	-642	1606
49.83033	1749	2592	-843	1606
49.9306	1773	2675	-902	1606
50.03086	1751	2760	-1009	1605
50.13113	1826	2841	-1015	1605
50.23141	1991	2915	-924	1605
50.33168	1864	2972	-1108	1605
50.43195	1957	3008	-1051	1605
50.53222	1921	3005	-1084	1605
50.63248	1907	2933	-1026	1604
50.73275	1736	2805	-1069	1604
50.83303	1702	2656	-954	1605
50.9333	1710	2518	-808	1605
51.03357	1679	2403	-724	1605
51.13383	1646	2313	-667	1605
51.2341	1718	2243	-525	1605
51.33438	1678	2190	-512	1606
51.43465	1661	2150	-489	1606
51.53492	1614	2118	-504	1606
51.63519	1619	2095	-476	1607
51.73545	1623	2076	-453	1608
51.83572	1637	2062	-425	1608
51.936	1569	2051	-482	1609
52.03627	1660	2042	-382	1610
52.13654	1631	2035	-404	1611
52.2368	1614	2030	-416	1612
52.33707	1688	2027	-339	1613
52.43735	1813	2024	-211	1614
52.53762	1826	2022	-196	1615
52.63789	1840	2021	-181	1616
52.73816	1713	2021	-308	1618
52.83842	1724	2021	-297	1619
52.93869	1691	2021	-330	1621
53.03897	1592	2022	-430	1622
53.13924	1655	2024	-369	1624
53.23951	1709	2025	-316	1626
53.33978	1618	2027	-409	1628
53.44004	1646	2029	-383	1630
53.54032	1637	2031	-394	1632
53.64059	1619	2033	-414	1635
53.74086	1648	2036	-388	1637
53.84113	1709	2038	-329	1640
53.94139	1612	2041	-429	1642
54.04166	1714	2044	-330	1645
54.14194	1631	2047	-416	1648
54.24221	1655	2050	-395	1651
54.34248	1641	2053	-412	1655
54.44275	1648	2056	-408	1658
54.54301	1663	2059	-396	1662
54.64328	1615	2062	-447	1665
54.74356	1742	2066	-324	1669
54.84383	1650	2069	-419	1673
54.9441	1705	2072	-367	1677
55.04436	1711	2076	-365	1682
55.14463	1667	2079	-412	1686
55.24491	1719	2083	-364	1691
55.34518	1701	2086	-385	1696
55.44545	1686	2090	-404	1701
55.54572	1715	2094	-379	1706
55.64598	1763	2097	-334	1711
55.74625	1780	2101	-321	1717
55.84653	1783	2105	-322	1723
55.9468	1740	2108	-368	1728
56.04707	1764	2112	-348	1735
56.14734	1768	2116	-348	1741
56.2476	1715	2119	-404	1747
56.34788	1788	2123	-335	1754
56.44815	1776	2127	-351	1761
56.54842	1870	2131	-261	1768
56.64869	1797	2135	-338	1775
56.74895	1779	2138	-359	1783
56.84922	1745	2142	-397	1790
56.9495	1810	2146	-336	1798
57.04977	1735	2150	-415	1806
57.15004	1816	2154	-338	1814
