HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=10255/2731, Cu(45kV,40mA), Tuesday, April 21, 2026, 8:16 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3959	-1	3960	0
5.02	3758	-1	3759	0
5.04	3795	-1	3796	0
5.06	3834	-1	3835	0
5.08	3909	-1	3910	0
5.1	3801	-1	3802	0
5.12	3711	-1	3712	0
5.14	3943	-1	3944	0
5.16	3768	-1	3769	0
5.18	3859	-1	3860	0
5.2	3874	-1	3875	0
5.22	3966	-1	3967	0
5.24	3810	-1	3811	0
5.26	3841	-1	3842	0
5.28	3832	-1	3833	0
5.3	3807	-1	3808	0
5.32	3904	-1	3905	0
5.34	3878	-1	3879	0
5.36	3841	-1	3842	0
5.38	3916	-1	3917	0
5.4	3900	-1	3901	0
5.42	3909	-1	3910	0
5.44	3902	-1	3903	0
5.46	3850	-1	3851	0
5.48	3865	-1	3866	0
5.5	3863	-1	3864	0
5.52	4011	-1	4012	0
5.54	4022	-1	4023	0
5.56	4062	-1	4063	0
5.58	4140	-1	4141	0
5.6	3950	-1	3951	0
5.62	3961	-1	3962	0
5.64	3919	-1	3920	0
5.66	4013	-1	4014	0
5.68	3987	-1	3988	0
5.7	4089	-1	4090	0
5.72	4202	-1	4203	0
5.74	3982	-1	3983	0
5.76	4074	-1	4075	0
5.78	4096	-1	4097	0
5.8	4070	-1	4071	0
5.82	4115	-1	4116	0
5.84	4049	-1	4050	0
5.86	4124	-1	4125	0
5.88	4130	-1	4131	0
5.9	4139	-1	4140	0
5.92	4156	-1	4157	0
5.94	4226	-1	4227	0
5.96	4103	-1	4104	0
5.98	4107	-1	4108	0
6.0	4033	-1	4034	0
6.02	4184	-1	4185	0
6.04	4120	-1	4121	0
6.06	4209	-1	4210	0
6.08	4240	-1	4241	0
6.1	4164	-1	4165	0
6.12	4071	-1	4072	0
6.14	4165	-1	4166	0
6.16	4137	-1	4138	0
6.18	4266	-1	4267	0
6.2	4438	-1	4439	0
6.22	4208	-1	4209	0
6.24	4330	-1	4331	0
6.26	4310	-1	4311	0
6.28	4299	-1	4300	0
6.3	4334	-1	4335	0
6.32	4281	-1	4282	0
6.34	4186	-1	4187	0
6.36	4222	-1	4223	0
6.38	4350	-1	4351	0
6.4	4361	-1	4362	0
6.42	4236	-1	4237	0
6.44	4302	-1	4303	0
6.46	4299	-1	4300	0
6.48	4258	-1	4259	0
6.5	4300	-1	4301	0
6.52	4364	-1	4365	0
6.54	4323	-1	4324	0
6.56	4424	-1	4425	0
6.58	4385	-1	4386	0
6.6	4343	-1	4344	0
6.62	4413	-1	4414	0
6.64	4443	-1	4444	0
6.66	4406	-1	4407	0
6.68	4557	-1	4558	0
6.7	4423	-1	4424	0
6.72	4545	-1	4546	0
6.74	4458	-1	4459	0
6.76	4587	-1	4588	0
6.78	4470	-1	4471	0
6.8	4399	-1	4400	0
6.82	4480	-1	4481	0
6.84	4549	-1	4550	0
6.86	4477	-1	4478	0
6.88	4629	-1	4630	0
6.9	4456	-1	4457	0
6.92	4503	-1	4504	0
6.94	4602	-1	4603	0
6.96	4527	-1	4528	0
6.98	4488	-1	4489	0
7.0	4619	-1	4620	0
7.02	4587	-1	4588	0
7.04	4594	-1	4595	0
7.06	4580	-1	4581	0
7.08	4587	-1	4588	0
7.1	4529	-1	4530	0
7.12	4578	-1	4579	0
7.14	4421	-1	4422	0
7.16	4587	-1	4588	0
7.18	4619	-1	4620	0
7.2	4564	-1	4565	0
7.22	4613	-1	4614	0
7.24	4651	-1	4652	0
7.26	4668	-1	4669	0
7.28	4688	-1	4689	0
7.3	4677	-1	4678	0
7.32	4560	-1	4561	0
7.34	4703	-1	4704	0
7.36	4756	-1	4757	0
7.38	4664	-1	4665	0
7.4	4708	-1	4709	0
7.42	4717	-1	4718	0
7.44	4637	-1	4638	0
7.46	4766	-1	4767	0
7.48	4747	-1	4748	0
7.5	4695	-1	4696	0
7.52	4717	-1	4718	0
7.54	4700	-1	4701	0
7.56	4678	-1	4679	0
7.58	4877	-1	4878	0
7.6	4841	-1	4842	0
7.62	4856	-1	4857	0
7.64	4903	-1	4904	0
7.66	4718	-1	4719	0
7.68	4777	-1	4778	0
7.7	4921	-1	4922	0
7.72	4982	-1	4983	0
7.74	4708	-1	4709	0
7.76	5034	-1	5035	0
7.78	4943	-1	4944	0
7.8	4947	-1	4948	0
7.82	4881	-1	4882	0
7.84	4995	-1	4996	0
7.86	4889	-1	4890	0
7.88	4894	-1	4895	0
7.9	5018	-1	5019	0
7.92	5108	-1	5109	0
7.94	4964	-1	4965	0
7.96	4882	-1	4883	0
7.98	5010	-1	5011	0
8.0	4956	-1	4957	0
8.02	5036	-1	5037	0
8.04	5126	-1	5127	0
8.06	5131	-1	5132	0
8.08	4931	-1	4932	0
8.1	5029	-1	5030	0
8.12	5225	-1	5226	0
8.14	5092	-1	5093	0
8.16	5033	-1	5034	0
8.18	5110	-1	5111	0
8.2	5029	-1	5030	0
8.22	5142	-1	5143	0
8.24	5078	-1	5079	0
8.26	5201	-1	5202	0
8.28	5227	-1	5228	0
8.3	5053	-1	5054	0
8.32	5314	-1	5315	0
8.34	5099	-1	5100	0
8.36	5230	-1	5231	0
8.38	5116	-1	5117	0
8.4	5203	-1	5204	0
8.42	5217	-1	5218	0
8.44	5308	-1	5309	0
8.46	5151	-1	5152	0
8.48	5228	-1	5229	0
8.5	5148	-1	5149	0
8.52	5267	-1	5268	0
8.54	5495	-1	5496	0
8.56	5268	-1	5269	0
8.58	5233	-1	5234	0
8.6	5294	-1	5295	0
8.62	5238	-1	5239	0
8.64	5213	-1	5214	0
8.66	5321	-1	5322	0
8.68	5286	-1	5287	0
8.7	5311	-1	5312	0
8.72	5312	-1	5313	0
8.74	5461	-1	5462	0
8.76	5465	-1	5466	0
8.78	5478	-1	5479	0
8.8	5495	-1	5496	0
8.82	5517	-1	5518	0
8.84	5466	-1	5467	0
8.86	5337	-1	5338	0
8.88	5469	-1	5470	0
8.9	5427	-1	5428	0
8.92	5334	-1	5335	0
8.94	5427	-1	5428	0
8.96	5405	-1	5406	0
8.98	5524	-1	5525	0
9.0	5587	-1	5588	0
9.02	5613	-1	5614	0
9.04	5334	-1	5335	0
9.06	5726	-1	5727	0
9.08	5441	-1	5442	0
9.1	5709	-1	5710	0
9.12	5539	-1	5540	0
9.14	5568	-1	5569	0
9.16	5444	-1	5445	0
9.18	5658	-1	5659	0
9.2	5675	-1	5676	0
9.22	5736	-1	5737	0
9.24	5723	-1	5724	0
9.26	5529	-1	5530	0
9.28	5771	-1	5772	0
9.3	5667	-1	5668	0
9.32	5826	-1	5827	0
9.34	5871	-1	5872	0
9.36	5818	-1	5819	0
9.38	5942	-1	5943	0
