HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=14025/1026, Cu(45kV,40mA), Tuesday, March 31, 2026, 12:00 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3820	3762	58	3751
5.02	3746	3768	-22	3758
5.04	3741	3775	-34	3764
5.06	3807	3781	26	3771
5.08	3695	3788	-93	3777
5.1	3784	3794	-10	3784
5.12	3805	3801	4	3790
5.14	3822	3807	15	3797
5.16	3850	3814	36	3803
5.18	3800	3820	-20	3810
5.2	3866	3827	39	3816
5.22	3820	3833	-13	3823
5.24	3842	3840	2	3829
5.26	3786	3846	-60	3836
5.28	3891	3852	39	3842
5.3	3864	3859	5	3848
5.32	3864	3865	-1	3855
5.34	3860	3872	-12	3861
5.36	3830	3878	-48	3868
5.38	3859	3884	-25	3874
5.4	3882	3891	-9	3880
5.42	3805	3897	-92	3887
5.44	3853	3904	-51	3893
5.46	3935	3910	25	3899
5.48	3941	3916	25	3906
5.5	3850	3923	-73	3912
5.52	3918	3929	-11	3918
5.54	3969	3935	34	3925
5.56	3966	3941	25	3931
5.58	3997	3948	49	3937
5.6	3948	3954	-6	3944
5.62	3938	3960	-22	3950
5.64	4015	3967	48	3956
5.66	3981	3973	8	3962
5.68	4076	3979	97	3969
5.7	4008	3985	23	3975
5.72	4000	3992	8	3981
5.74	4019	3998	21	3987
5.76	4065	4004	61	3994
5.78	3968	4010	-42	4000
5.8	4054	4017	37	4006
5.82	4035	4023	12	4012
5.84	4004	4029	-25	4019
5.86	3940	4035	-95	4025
5.88	4035	4042	-7	4031
5.9	3975	4048	-73	4037
5.92	4197	4054	143	4044
5.94	4169	4061	108	4050
5.96	3988	4067	-79	4056
5.98	4172	4073	99	4063
6.0	4061	4080	-19	4069
6.02	4165	4086	79	4076
6.04	4171	4092	79	4082
6.06	4054	4099	-45	4088
6.08	4033	4105	-72	4095
6.1	4127	4112	15	4101
6.12	4171	4118	53	4108
6.14	4052	4125	-73	4115
6.16	4144	4132	12	4121
6.18	4159	4138	21	4128
6.2	4124	4145	-21	4134
6.22	4253	4151	102	4141
6.24	4170	4158	12	4148
6.26	4111	4165	-54	4154
6.28	4283	4172	111	4161
6.3	4194	4179	15	4168
6.32	4062	4185	-123	4175
6.34	4238	4192	46	4182
6.36	4166	4199	-33	4189
6.38	4263	4206	57	4196
6.4	4296	4213	83	4203
6.42	4370	4220	150	4210
6.44	4314	4228	86	4217
6.46	4285	4235	50	4224
6.48	4283	4242	41	4232
6.5	4304	4249	55	4239
6.52	4331	4257	74	4246
6.54	4415	4264	151	4254
6.56	4434	4271	163	4261
6.58	4327	4279	48	4269
6.6	4443	4287	156	4276
6.62	4388	4294	94	4284
6.64	4360	4302	58	4291
