0474_HM_Sc2CuPd
Wavelength = 1.54059Å, !20.05°/119.719°/0.10027°/1(s), I(p)=9368.0/487.0, Cu(45kV,40mA), Tuesday, March 31, 2026, 12:02 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.05013	509.0	410.0	99.0	524.3
20.1504	519.0	410.7	108.3	524.4
20.25068	554.0	411.4	142.6	524.5
20.35094	539.0	413.0	126.0	524.5
20.45121	540.0	414.2	125.8	524.6
20.55149	545.0	415.0	130.0	524.6
20.65175	523.0	415.7	107.3	524.7
20.75203	545.0	416.5	128.5	524.8
20.85229	511.0	417.3	93.7	524.8
20.95256	538.0	418.1	119.9	524.9
21.05284	494.0	418.9	75.1	524.9
21.1531	523.0	419.7	103.3	525.0
21.25337	516.0	420.5	95.5	525.0
21.35365	534.0	421.4	112.6	525.1
21.45391	554.0	422.2	131.8	525.1
21.55418	531.0	423.0	108.0	525.1
21.65446	552.0	423.9	128.1	525.2
21.75472	533.0	424.8	108.2	525.2
21.85499	515.0	425.6	89.4	525.2
21.95527	517.0	426.5	90.5	525.2
22.05553	496.0	427.4	68.6	525.2
22.15581	503.0	428.3	74.7	525.2
22.25607	554.0	429.2	124.8	525.2
22.35634	506.0	430.2	75.8	525.2
22.45662	534.0	431.1	102.9	525.2
22.55688	535.0	432.1	102.9	525.2
22.65715	504.0	433.1	70.9	525.1
22.75743	532.0	434.1	97.9	525.1
22.85769	538.0	435.1	102.9	525.0
22.95796	588.0	436.1	151.9	525.0
23.05824	494.0	437.1	56.9	524.9
23.1585	510.0	438.2	71.8	524.8
23.25877	523.0	439.3	83.7	524.7
23.35905	528.0	440.4	87.6	524.6
23.45931	525.0	441.6	83.4	524.5
23.55959	528.0	442.7	85.3	524.4
23.65985	501.0	443.9	57.1	524.2
23.76012	499.0	445.2	53.8	524.1
23.8604	545.0	446.5	98.5	523.9
23.96066	544.0	447.8	96.2	523.8
24.06093	554.0	449.1	104.9	523.6
24.16121	506.0	450.6	55.4	523.4
24.26147	566.0	452.0	114.0	523.2
24.36174	537.0	453.6	83.4	523.0
24.46202	487.0	455.2	31.8	522.7
24.56228	513.0	456.9	56.1	522.5
24.66256	550.0	458.7	91.3	522.2
24.76283	502.0	460.6	41.4	521.9
24.86309	521.0	462.7	58.3	521.6
24.96337	565.0	464.8	100.2	521.3
25.06363	543.0	467.2	75.8	521.0
25.1639	490.0	469.8	20.2	520.7
25.26418	544.0	472.6	71.4	520.4
25.36444	528.0	475.6	52.4	520.1
25.46471	545.0	479.1	65.9	519.7
25.56499	558.0	482.9	75.1	519.4
25.66525	583.0	487.3	95.7	519.0
25.76552	523.0	492.3	30.7	518.7
25.8658	535.0	498.1	36.9	518.3
25.96606	538.0	504.9	33.1	517.9
26.06634	545.0	513.0	32.0	517.6
26.1666	508.0	522.9	-14.9	517.2
26.26687	504.0	535.0	-31.0	516.8
26.36715	551.0	550.4	0.6	516.5
26.46741	567.0	570.5	-3.5	516.1
26.56768	604.0	597.7	6.3	515.8
26.66796	661.0	637.0	24.0	515.4
26.76822	644.0	696.8	-52.8	515.0
26.86849	717.0	791.1	-74.1	514.7
26.96877	812.0	938.7	-126.7	514.3
27.06903	990.0	1157.9	-167.9	514.0
27.16931	1163.0	1450.4	-287.4	513.6
27.26958	1282.0	1759.3	-477.3	513.3
27.36984	1257.0	1925.5	-668.5	513.0
27.47012	1121.0	1776.1	-655.1	512.7
27.57038	1001.0	1421.6	-420.6	512.4
27.67065	761.0	1095.5	-334.5	512.1
27.77093	661.0	872.1	-211.1	511.8
27.87119	608.0	737.0	-129.0	511.5
27.97146	559.0	659.0	-100.0	511.3
28.07174	571.0	612.9	-41.9	511.0
28.172	571.0	583.8	-12.8	510.8
28.27227	548.0	564.0	-16.0	510.6
28.37255	505.0	549.9	-44.9	510.4
28.47281	588.0	539.5	48.5	510.2
28.57309	531.0	531.8	-0.8	510.0
28.67336	538.0	525.9	12.1	509.9
28.77362	579.0	521.5	57.5	509.8
