0475_HM_La2PdAu2
Wavelength = 1.54059Å, !10.05°/129.773°/0.10027°/1(s), I(p)=7190.0/856.0, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
10.05013	1150.0	1299.1	-149.1	1170.2
10.1504	1271.0	1296.2	-25.2	1168.8
10.25067	1128.0	1293.4	-165.4	1167.4
10.35094	1148.0	1290.5	-142.5	1166.0
10.45121	1208.0	1287.7	-79.7	1164.6
10.55148	1201.0	1284.9	-83.9	1163.2
10.65175	1209.0	1282.1	-73.1	1161.7
10.75202	1123.0	1279.4	-156.4	1160.2
10.85229	1150.0	1276.6	-126.6	1158.6
10.95256	1151.0	1273.9	-122.9	1157.0
11.05283	1176.0	1271.2	-95.2	1155.3
11.1531	1189.0	1268.5	-79.5	1153.6
11.25337	1215.0	1265.8	-50.8	1151.8
11.35364	1162.0	1263.1	-101.1	1150.0
11.45391	1190.0	1260.5	-70.5	1148.0
11.55418	1044.0	1257.9	-213.9	1146.0
11.65445	1188.0	1255.3	-67.3	1143.9
11.75472	1200.0	1252.7	-52.7	1141.7
11.85499	1126.0	1250.1	-124.1	1139.5
11.95526	1117.0	1247.6	-130.6	1137.2
12.05553	1222.0	1245.0	-23.0	1134.8
12.1558	1078.0	1242.5	-164.5	1132.4
12.25607	1142.0	1240.0	-98.0	1129.9
12.35634	1199.0	1237.5	-38.5	1127.4
12.45661	1153.0	1235.1	-82.1	1124.9
12.55688	1164.0	1232.6	-68.6	1122.4
12.65715	1164.0	1230.2	-66.2	1119.8
12.75742	1148.0	1227.8	-79.8	1117.3
12.85769	1146.0	1225.4	-79.4	1114.8
12.95796	1137.0	1223.1	-86.1	1112.3
13.05823	1165.0	1220.7	-55.7	1109.9
13.1585	1194.0	1218.4	-24.4	1107.4
13.25877	1197.0	1216.1	-19.1	1105.1
13.35904	1178.0	1213.8	-35.8	1102.8
13.45931	1153.0	1211.5	-58.5	1100.5
13.55958	1145.0	1209.2	-64.2	1098.3
13.65985	1055.0	1207.0	-152.0	1096.2
13.76012	1095.0	1204.8	-109.8	1094.2
13.86039	1087.0	1202.6	-115.6	1092.3
13.96066	1206.0	1200.4	5.6	1090.5
14.06093	1194.0	1198.2	-4.2	1088.7
14.1612	1168.0	1196.0	-28.0	1087.1
14.26147	1121.0	1193.9	-72.9	1085.5
14.36174	1090.0	1191.8	-101.8	1084.0
14.46201	1091.0	1189.8	-98.8	1082.5
14.56228	1132.0	1187.7	-55.7	1081.2
14.66255	1098.0	1185.7	-87.7	1079.9
14.76282	1138.0	1183.6	-45.6	1078.7
14.86309	1133.0	1181.6	-48.6	1077.5
14.96336	1090.0	1179.6	-89.6	1076.4
15.06363	1199.0	1177.6	21.4	1075.4
15.1639	1107.0	1175.7	-68.7	1074.4
15.26417	1125.0	1173.7	-48.7	1073.5
15.36444	1116.0	1171.8	-55.8	1072.6
15.46471	1195.0	1169.9	25.1	1071.8
15.56498	1239.0	1168.0	71.0	1071.1
15.66525	1281.0	1166.2	114.8	1070.4
15.76552	1346.0	1164.4	181.6	1069.7
15.86579	1273.0	1162.9	110.1	1069.1
15.96606	1237.0	1162.0	75.0	1068.5
16.06633	1221.0	1162.7	58.3	1068.0
16.1666	1213.0	1163.7	49.3	1067.5
16.26687	1174.0	1157.5	16.5	1067.0
16.36714	1136.0	1154.4	-18.4	1066.6
16.46741	1156.0	1152.5	3.5	1066.2
16.56768	1130.0	1150.8	-20.8	1065.9
16.66795	1096.0	1149.2	-53.2	1065.5
16.76822	1105.0	1147.7	-42.7	1065.2
16.86849	1087.0	1146.2	-59.2	1064.9
16.96876	1122.0	1144.7	-22.7	1064.6
17.06903	1063.0	1143.4	-80.4	1064.4
17.1693	1117.0	1142.1	-25.1	1064.1
17.26957	1098.0	1141.0	-43.0	1063.9
17.36984	1073.0	1140.1	-67.1	1063.7
17.47011	1075.0	1139.7	-64.7	1063.5
17.57038	1072.0	1140.1	-68.1	1063.3
17.67065	1152.0	1142.5	9.5	1063.1
17.77092	1048.0	1153.2	-105.2	1062.9
17.87119	1098.0	1191.1	-93.1	1062.7
17.97146	1055.0	1233.1	-178.1	1062.5
18.07173	1118.0	1164.9	-46.9	1062.3
18.172	1037.0	1136.5	-99.5	1062.1
18.27227	1048.0	1130.8	-82.8	1061.9
18.37254	1072.0	1128.3	-56.3	1061.7
18.47281	1093.0	1126.9	-33.9	1061.5
18.57308	1062.0	1126.2	-64.2	1061.2
18.67335	1096.0	1126.1	-30.1	1060.9
18.77362	1097.0	1126.8	-29.8	1060.7
18.87389	1048.0	1128.6	-80.6	1060.4
