0476_HM_ScPd2Au
Wavelength = 1.54059Å, !20.05°/129.846°/0.10027°/1(s), I(p)=6970.0/429.0, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.05013	667.0	469.8	197.2	668.6
20.1504	660.0	469.7	190.3	666.5
20.25068	668.0	469.4	198.6	664.4
20.35094	619.0	469.2	149.8	662.2
20.45121	772.0	468.9	303.1	660.1
20.55149	777.0	468.8	308.2	658.0
20.65175	791.0	468.7	322.3	655.9
20.75203	697.0	468.7	228.3	653.7
20.85229	625.0	468.6	156.4	651.6
20.95256	605.0	468.6	136.4	649.5
21.05284	658.0	468.6	189.4	647.4
21.1531	624.0	469.1	154.9	645.2
21.25337	628.0	469.2	158.8	643.1
21.35365	643.0	469.3	173.7	641.0
21.45391	649.0	469.9	179.1	638.9
21.55418	574.0	470.1	103.9	636.8
21.65446	668.0	470.3	197.7	634.7
21.75472	659.0	470.5	188.5	632.6
21.85499	597.0	470.8	126.2	630.5
21.95527	644.0	471.1	172.9	628.4
22.05553	648.0	471.6	176.4	626.3
22.15581	678.0	472.0	206.0	624.2
22.25607	666.0	472.6	193.4	622.1
22.35634	656.0	473.3	182.7	620.0
22.45662	634.0	474.6	159.4	618.0
22.55688	627.0	475.6	151.4	615.9
22.65715	592.0	476.7	115.3	613.8
22.75743	593.0	478.1	114.9	611.8
22.85769	559.0	479.8	79.2	609.7
22.95796	558.0	481.9	76.1	607.7
23.05824	631.0	484.5	146.5	605.6
23.1585	580.0	487.7	92.3	603.6
23.25877	596.0	492.0	104.0	601.6
23.35905	602.0	497.6	104.4	599.5
23.45931	609.0	505.2	103.8	597.5
23.55959	625.0	515.8	109.2	595.5
23.65985	609.0	531.4	77.6	593.5
23.76012	642.0	553.0	89.0	591.5
23.8604	638.0	582.7	55.3	589.5
23.96066	610.0	617.8	-7.8	587.6
24.06093	559.0	645.2	-86.2	585.6
24.16121	547.0	642.9	-95.9	583.6
24.26147	631.0	616.2	14.8	581.7
24.36174	614.0	601.4	12.6	579.7
24.46202	608.0	607.8	0.2	577.8
24.56228	604.0	631.7	-27.7	575.9
24.66256	643.0	660.6	-17.6	574.0
24.76283	606.0	670.0	-64.0	572.1
24.86309	641.0	633.6	7.4	570.2
24.96337	606.0	581.6	24.4	568.3
25.06363	614.0	545.4	68.6	566.4
25.1639	569.0	523.9	45.1	564.5
25.26418	584.0	511.7	72.3	562.7
25.36444	611.0	504.8	106.2	560.8
25.46471	577.0	501.4	75.6	559.0
25.56499	582.0	500.5	81.5	557.2
25.66525	642.0	501.9	140.1	555.4
25.76552	607.0	505.6	101.4	553.6
25.8658	596.0	512.4	83.6	551.8
25.96606	634.0	523.2	110.8	550.0
26.06634	675.0	539.8	135.2	548.2
26.1666	670.0	562.9	107.1	546.5
26.26687	753.0	588.4	164.6	544.7
