HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=9176.0/454.0, Cu(45kV,40mA), Tuesday, April 21, 2026, 8:16 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3475.0	3451.0	24.0	3451.0
5.02	3483.0	3457.7	25.3	3457.7
5.04	3389.0	3464.5	-75.5	3464.5
5.06	3507.0	3471.2	35.8	3471.2
5.08	3401.0	3478.0	-77.0	3478.0
5.1	3423.0	3484.7	-61.7	3484.7
5.12	3447.0	3491.4	-44.4	3491.4
5.14	3445.0	3498.2	-53.2	3498.2
5.16	3437.0	3504.9	-67.9	3504.9
5.18	3523.0	3511.6	11.4	3511.6
5.2	3513.0	3518.4	-5.4	3518.4
5.22	3463.0	3525.1	-62.1	3525.1
5.24	3531.0	3531.8	-0.8	3531.8
5.26	3538.0	3538.5	-0.5	3538.5
5.28	3592.0	3545.2	46.8	3545.2
5.3	3539.0	3552.0	-13.0	3552.0
5.32	3444.0	3558.7	-114.7	3558.7
5.34	3545.0	3565.4	-20.4	3565.4
5.36	3549.0	3572.1	-23.1	3572.1
5.38	3475.0	3578.8	-103.8	3578.8
5.4	3560.0	3585.5	-25.5	3585.5
5.42	3602.0	3592.1	9.9	3592.1
5.44	3550.0	3598.8	-48.8	3598.8
5.46	3587.0	3605.5	-18.5	3605.5
5.48	3648.0	3612.2	35.8	3612.2
5.5	3605.0	3618.8	-13.8	3618.8
5.52	3556.0	3625.5	-69.5	3625.5
5.54	3569.0	3632.2	-63.2	3632.2
5.56	3532.0	3638.8	-106.8	3638.8
5.58	3656.0	3645.5	10.5	3645.5
5.6	3557.0	3652.1	-95.1	3652.1
5.62	3574.0	3658.7	-84.7	3658.7
5.64	3694.0	3665.3	28.7	3665.3
5.66	3651.0	3671.9	-20.9	3671.9
5.68	3526.0	3678.5	-152.5	3678.5
5.7	3687.0	3685.1	1.9	3685.1
5.72	3576.0	3691.7	-115.7	3691.7
