0477_HM_ScPd5Au2
Wavelength = 1.54059Å, !30.067°/129.933°/0.13369°/1(s), I(p)=10655/339, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
30.06684	407	302	105	408
30.20053	430	316	114	406
30.33422	431	309	122	404
30.46791	406	292	114	403
30.6016	406	280	126	401
30.73529	396	275	121	399
30.86898	355	273	82	397
31.00267	394	272	122	396
31.13636	432	273	159	394
31.27006	418	273	145	393
31.40375	513	273	240	391
31.53744	656	274	382	390
31.67113	482	277	205	388
31.80482	451	279	172	387
31.93851	364	282	82	386
32.07219	399	287	112	384
32.20589	370	292	78	383
32.33958	449	299	150	382
32.47327	432	314	118	381
32.60696	367	344	23	380
32.74065	458	395	63	379
32.87434	365	443	-78	379
33.00803	407	430	-23	378
33.14172	412	376	36	377
33.27541	401	339	62	377
33.4091	387	327	60	377
33.54279	420	331	89	377
33.67648	395	350	45	377
33.81017	349	369	-20	377
33.94386	372	363	9	377
34.07755	388	337	51	377
34.21124	399	320	79	378
34.34492	376	313	63	378
34.47861	402	311	91	379
34.6123	426	311	115	380
34.74599	423	312	111	381
34.87968	384	312	72	382
35.01337	400	314	86	383
35.14706	419	317	102	384
35.28075	418	320	98	385
35.41444	426	323	103	387
35.54813	434	326	108	388
35.68182	405	329	76	389
35.81551	406	333	73	391
35.9492	410	337	73	393
36.08289	362	341	21	394
36.21658	364	345	19	396
36.35027	396	350	46	397
36.48396	443	355	88	399
36.61766	412	361	51	401
36.75135	375	368	7	402
36.88504	448	376	72	404
37.01873	437	385	52	406
37.15242	432	395	37	407
37.28611	409	406	3	409
37.4198	395	420	-25	411
37.55349	419	437	-18	412
37.68718	439	457	-18	414
37.82087	422	481	-59	415
37.95456	452	512	-60	417
38.08825	482	552	-70	418
38.22194	555	605	-50	419
38.35563	599	677	-78	421
38.48932	631	777	-146	422
38.623	670	926	-256	423
38.75669	814	1162	-348	424
38.89038	1121	1589	-468	425
39.02407	1855	2491	-636	427
39.15776	3575	4420	-845	428
39.29145	6844	7767	-923	429
39.42514	10655	10710	-55	429
39.55883	9414	9220	194	430
39.69252	4873	5336	-463	431
39.82621	2445	2786	-341	432
39.9599	1482	1651	-169	433
40.09359	989	1163	-174	433
40.22728	777	914	-137	434
40.36097	681	766	-85	434
40.49466	648	670	-22	435
40.62835	603	605	-2	435
40.76205	587	559	28	436
40.89574	536	525	11	436
41.02943	474	500	-26	437
41.16312	476	481	-5	437
41.29681	513	466	47	437
41.4305	495	455	40	437
41.56419	422	446	-24	438
41.69788	465	440	25	438
41.83157	474	434	40	438
41.96526	454	430	24	438
42.09895	467	428	39	438
42.23264	472	426	46	438
42.36633	449	425	24	437
42.50002	431	425	6	437
42.63371	501	426	75	437
42.7674	418	429	-11	437
42.90108	462	434	28	436
43.03477	422	442	-20	436
43.16846	468	448	20	436
43.30215	502	446	56	435
43.43584	446	444	2	435
43.56953	440	445	-5	434
43.70322	450	450	0	434
43.83691	401	456	-55	433
43.9706	487	463	24	432
44.10429	504	474	30	432
44.23798	507	488	19	431
44.37167	566	506	60	430
44.50536	511	530	-19	429
44.63905	635	564	71	428
44.77274	684	613	71	427
44.90643	752	687	65	426
45.04012	922	799	123	425
45.17382	1126	967	159	424
45.30751	1643	1271	372	423
45.4412	2323	1918	405	422
45.57489	3334	3112	222	421
45.70858	4352	4399	-47	420
45.84227	4142	4616	-474	418
45.97596	3175	3931	-756	417
46.10965	1994	2811	-817	416
46.24334	1448	1735	-287	414
46.37703	949	1112	-163	413
46.51072	807	830	-23	412
46.64441	623	699	-76	410
46.7781	606	626	-20	409
46.91179	588	581	7	407
47.04548	580	551	29	406
47.17916	524	530	-6	404
47.31285	496	515	-19	403
47.44654	426	504	-78	401
47.58023	457	498	-41	399
47.71392	458	493	-35	398
47.84761	433	491	-58	396
47.9813	430	493	-63	394
48.11499	444	500	-56	393
48.24868	437	514	-77	391
48.38237	427	523	-96	389
48.51606	385	517	-132	387
48.64975	381	505	-124	386
48.78344	385	493	-108	384
48.91713	392	484	-92	382
49.05082	401	479	-78	380
49.18451	390	478	-88	378
49.31821	339	478	-139	376
49.4519	405	479	-74	375
49.58559	388	480	-92	373
49.71928	419	484	-65	371
49.85297	435	487	-52	369
49.98666	396	494	-98	367
50.12035	397	507	-110	365
50.25404	419	524	-105	364
50.38773	407	535	-128	362
50.52142	382	532	-150	360
50.65511	412	526	-114	358
50.7888	395	528	-133	357
50.92249	394	526	-132	355
51.05618	421	514	-93	354
51.18987	385	508	-123	353
51.32355	362	504	-142	352
51.45724	397	504	-107	350
51.59093	353	504	-151	349
51.72462	360	506	-146	349
51.85831	368	508	-140	348
51.992	367	510	-143	347
52.12569	370	512	-142	347
52.25938	405	514	-109	347
52.39307	432	516	-84	346
52.52676	552	519	33	347
52.66045	681	520	161	347
52.79414	589	522	67	347
52.92783	451	524	-73	348
53.06152	371	526	-155	349
53.19521	401	529	-128	350
53.3289	449	531	-82	351
53.46259	353	533	-180	352
53.59628	361	536	-175	354
53.72998	409	538	-129	356
53.86367	377	540	-163	358
53.99736	392	543	-151	361
54.13105	342	545	-203	364
54.26474	389	548	-159	367
54.39843	359	550	-191	370
54.53212	427	552	-125	374
54.66581	443	555	-112	377
54.7995	394	557	-163	381
54.93319	444	560	-116	386
55.06688	464	564	-100	390
55.20057	371	569	-198	395
55.33426	405	577	-172	400
55.46795	408	589	-181	405
55.60163	423	605	-182	410
55.73532	452	615	-163	415
55.86901	422	612	-190	420
56.0027	440	602	-162	426
56.13639	479	593	-114	432
56.27008	469	589	-120	438
56.40377	464	588	-124	443
56.53746	505	589	-84	449
56.67115	431	592	-161	455
56.80484	497	594	-97	461
56.93853	528	597	-69	468
57.07222	536	600	-64	474
57.20591	513	603	-90	480
57.3396	524	607	-83	486
57.47329	558	612	-54	492
57.60698	524	620	-96	499
57.74067	521	633	-112	505
57.87437	554	647	-93	511
58.00806	531	652	-121	517
58.14175	557	645	-88	523
58.27544	488	636	-148	529
58.40913	568	632	-64	535
58.54282	541	631	-90	540
58.67651	532	632	-100	546
58.8102	520	635	-115	552
58.94389	539	638	-99	557
59.07758	530	642	-112	563
59.21127	609	647	-38	568
59.34496	591	656	-65	574
59.47865	572	669	-97	579
59.61234	555	686	-131	585
59.74603	564	699	-135	590
59.87971	614	697	-83	595
60.0134	606	686	-80	600
60.14709	647	676	-29	606
60.28078	612	671	-59	611
60.41447	641	670	-29	616
60.54816	669	672	-3	621
60.68185	621	676	-55	627
60.81554	561	680	-119	632
60.94923	665	684	-19	637
61.08292	700	687	13	642
61.21661	661	690	-29	648
61.3503	690	693	-3	653
61.48399	704	696	8	658
61.61768	648	699	-51	664
61.75137	659	702	-43	669
61.88506	699	705	-6	675
62.01875	689	709	-20	680
62.15244	672	712	-40	686
62.28614	704	715	-11	692
62.41983	738	719	19	698
62.55352	866	723	143	703
62.68721	853	727	126	709
62.8209	803	731	72	715
62.95459	730	735	-5	721
63.08828	767	739	28	728
63.22197	850	743	107	734
63.35566	777	747	30	740
63.48935	763	753	10	746
63.62304	726	759	-33	752
63.75673	752	769	-17	759
63.89042	814	783	31	765
64.0241	834	798	36	771
64.15779	870	807	63	778
64.29149	888	808	80	784
64.42518	804	808	-4	790
64.55887	889	810	79	797
64.69256	924	814	110	803
64.82625	803	819	-16	809
64.95994	915	824	91	816
65.09363	823	831	-8	822
65.22732	882	841	41	828
65.36101	1043	855	188	834
65.4947	921	874	47	841
65.62839	1000	901	99	847
65.76208	1026	938	88	853
65.89577	1116	994	122	859
66.02946	1279	1089	190	865
66.16315	1498	1283	215	871
66.29684	1755	1699	56	877
66.43053	2187	2449	-262	883
66.56422	2773	3341	-568	888
66.69791	3161	3927	-766	894
66.8316	3016	3603	-587	900
66.96529	2325	2626	-301	905
67.09898	1962	1743	219	911
67.23267	1533	1274	259	916
67.36636	1282	1086	196	921
67.50005	1288	1004	284	927
67.63374	1105	960	145	932
67.76743	1032	934	98	937
67.90112	946	917	29	941
68.03481	1025	907	118	946
68.1685	1013	900	113	951
68.30219	975	896	79	955
68.43587	997	893	104	959
68.56956	898	892	6	964
68.70325	1004	892	112	968
68.83694	1013	892	121	971
68.97063	1059	893	166	975
69.10432	1008	895	113	979
69.23801	915	896	19	982
69.3717	1017	898	119	986
69.50539	1002	901	101	989
69.63908	1143	903	240	992
69.77277	1058	906	152	996
69.90646	934	908	26	999
70.04015	957	911	46	1002
70.17384	1035	914	121	1005
70.30753	1081	917	164	1008
70.44122	973	920	53	1011
70.57491	1068	922	146	1014
70.7086	986	924	62	1017
70.84229	1043	928	115	1020
70.97598	1102	931	171	1023
71.10967	1048	935	113	1026
71.24336	1094	938	156	1029
71.37705	981	942	39	1032
71.51074	987	945	42	1035
71.64443	1016	948	68	1038
71.77812	1047	952	95	1041
71.91181	1096	954	142	1045
72.0455	1021	957	64	1048
72.17919	1127	961	166	1052
72.31288	1099	965	134	1055
72.44657	1158	968	190	1059
72.58026	1021	972	49	1063
72.71395	1028	976	52	1067
72.84764	1050	980	70	1071
72.98134	1105	984	121	1075
73.11503	1195	987	208	1080
73.24872	1070	991	79	1084
73.38241	1090	995	95	1089
73.5161	1068	999	69	1094
73.64979	1135	1003	132	1098
73.78348	1195	1007	188	1103
73.91717	1111	1010	101	1108
74.05086	1125	1014	111	1113
74.18455	1139	1018	121	1118
74.31824	1124	1022	102	1124
