0478_HM_Sc2Pd5Au
Wavelength = 1.54059Å, !20.008°/129.877°/0.01671°/1(s), I(p)=9774.0/336.0, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.00836	506.0	625.4	-119.4	522.0
20.02507	551.0	624.8	-73.8	521.8
20.04178	545.0	624.3	-79.3	521.5
20.05849	501.0	623.7	-122.7	521.3
20.0752	547.0	623.1	-76.1	521.1
20.09191	544.0	622.6	-78.6	520.9
20.10862	543.0	622.0	-79.0	520.7
20.12533	523.0	621.5	-98.5	520.5
20.14204	498.0	621.0	-123.0	520.2
20.15875	528.0	620.4	-92.4	520.0
20.17546	545.0	619.9	-74.9	519.8
20.19217	540.0	619.3	-79.3	519.6
20.20888	532.0	618.8	-86.8	519.4
20.22559	554.0	618.3	-64.3	519.2
20.2423	551.0	617.8	-66.8	518.9
20.25901	527.0	617.3	-90.3	518.7
20.27572	514.0	616.9	-102.9	518.5
20.29243	520.0	616.4	-96.4	518.3
20.30914	530.0	615.9	-85.9	518.1
20.32585	546.0	615.4	-69.4	517.9
20.34256	532.0	615.0	-83.0	517.7
20.35927	532.0	614.5	-82.5	517.4
20.37598	501.0	614.0	-113.0	517.2
20.39269	524.0	613.5	-89.5	517.0
20.4094	523.0	613.0	-90.0	516.8
20.42611	484.0	612.6	-128.6	516.6
20.44282	540.0	612.1	-72.1	516.4
20.45953	564.0	611.7	-47.7	516.1
20.47624	536.0	611.2	-75.2	515.9
20.49295	512.0	610.8	-98.8	515.7
20.50966	497.0	610.3	-113.3	515.5
20.52637	563.0	609.9	-46.9	515.3
20.54308	500.0	609.5	-109.5	515.1
20.55979	504.0	609.1	-105.1	514.8
20.5765	524.0	608.7	-84.7	514.6
20.59321	495.0	608.2	-113.2	514.4
20.60992	517.0	607.9	-90.9	514.2
20.62663	516.0	607.5	-91.5	514.0
20.64334	495.0	607.1	-112.1	513.8
20.66005	510.0	606.7	-96.7	513.5
20.67676	512.0	606.4	-94.4	513.3
20.69347	526.0	606.0	-80.0	513.1
20.71018	493.0	605.7	-112.7	512.9
20.72689	535.0	605.3	-70.3	512.7
20.7436	512.0	605.0	-93.0	512.5
20.76031	507.0	604.7	-97.7	512.2
20.77702	540.0	604.4	-64.4	512.0
20.79373	523.0	604.1	-81.1	511.8
20.81044	557.0	603.8	-46.8	511.6
20.82715	495.0	603.6	-108.6	511.4
20.84386	505.0	603.3	-98.3	511.2
20.86057	535.0	603.1	-68.1	511.0
20.87728	542.0	602.8	-60.8	510.7
20.89399	543.0	602.6	-59.6	510.5
20.9107	503.0	602.4	-99.4	510.3
20.92741	524.0	602.2	-78.2	510.1
20.94412	567.0	602.1	-35.1	509.9
20.96083	525.0	601.9	-76.9	509.7
20.97754	542.0	601.8	-59.8	509.4
20.99425	521.0	601.6	-80.6	509.2
21.01096	520.0	601.5	-81.5	509.0
21.02767	558.0	601.5	-43.5	508.8
21.04438	563.0	601.4	-38.4	508.6
21.06109	535.0	601.4	-66.4	508.4
21.0778	523.0	601.3	-78.3	508.1
21.09451	508.0	601.4	-93.4	507.9
21.11122	537.0	601.4	-64.4	507.7
21.12793	540.0	601.4	-61.4	507.5
21.14464	529.0	601.5	-72.5	507.3
21.16135	506.0	601.6	-95.6	507.1
21.17806	529.0	601.8	-72.8	506.9
21.19477	550.0	602.0	-52.0	506.6
21.21148	558.0	602.2	-44.2	506.4
21.22819	532.0	602.4	-70.4	506.2
21.2449	537.0	602.7	-65.7	506.0
21.26161	527.0	603.0	-76.0	505.8
21.27832	557.0	603.4	-46.4	505.6
21.29503	525.0	603.8	-78.8	505.3
21.31174	554.0	604.2	-50.2	505.1
21.32845	556.0	604.7	-48.7	504.9
21.34516	523.0	605.2	-82.2	504.7
21.36187	571.0	605.8	-34.8	504.5
21.37858	532.0	606.5	-74.5	504.3
21.39529	547.0	607.2	-60.2	504.1
21.412	524.0	608.0	-84.0	503.8
21.42871	555.0	608.8	-53.8	503.6
21.44542	513.0	609.8	-96.8	503.4
21.46213	528.0	610.8	-82.8	503.2
21.47884	538.0	611.8	-73.8	503.0
21.49555	562.0	613.0	-51.0	502.8
21.51226	576.0	614.3	-38.3	502.5
21.52897	495.0	615.6	-120.6	502.3
21.54568	528.0	617.1	-89.1	502.1
21.56239	566.0	618.7	-52.7	501.9
21.5791	576.0	620.4	-44.4	501.7
21.59581	542.0	622.2	-80.2	501.5
21.61252	545.0	624.2	-79.2	501.3
21.62923	525.0	626.4	-101.4	501.0
21.64594	560.0	628.7	-68.7	500.8
21.66265	539.0	631.2	-92.2	500.6
21.67936	552.0	633.8	-81.8	500.4
21.69607	493.0	636.7	-143.7	500.2
21.71278	551.0	639.8	-88.8	500.0
21.72949	566.0	643.2	-77.2	499.8
21.7462	555.0	646.8	-91.8	499.5
21.76291	572.0	650.7	-78.7	499.3
21.77962	560.0	654.9	-94.9	499.1
21.79633	553.0	659.4	-106.4	498.9
21.81304	524.0	664.4	-140.4	498.7
21.82975	553.0	669.7	-116.7	498.5
21.84646	606.0	675.4	-69.4	498.3
21.86317	551.0	681.7	-130.7	498.0
21.87988	550.0	688.4	-138.4	497.8
21.89659	569.0	695.8	-126.8	497.6
21.9133	592.0	703.7	-111.7	497.4
21.93001	586.0	712.4	-126.4	497.2
21.94672	605.0	721.8	-116.8	497.0
21.96343	618.0	732.0	-114.0	496.8
21.98014	606.0	743.1	-137.1	496.5
21.99685	654.0	755.2	-101.2	496.3
22.01356	664.0	768.3	-104.3	496.1
22.03027	578.0	782.7	-204.7	495.9
22.04698	646.0	798.3	-152.3	495.7
22.06369	643.0	815.3	-172.3	495.5
22.0804	651.0	833.7	-182.7	495.3
22.09711	649.0	853.7	-204.7	495.0
22.11382	747.0	875.3	-128.3	494.8
22.13053	730.0	898.7	-168.7	494.6
22.14724	760.0	923.8	-163.8	494.4
22.16395	791.0	950.7	-159.7	494.2
22.18066	761.0	979.2	-218.2	494.0
22.19737	793.0	1009.2	-216.2	493.8
22.21408	850.0	1040.5	-190.5	493.5
22.23079	881.0	1072.6	-191.6	493.3
22.2475	855.0	1105.1	-250.1	493.1
22.26421	884.0	1137.2	-253.2	492.9
22.28092	924.0	1168.1	-244.1	492.7
22.29763	948.0	1196.9	-248.9	492.5
22.31434	987.0	1222.5	-235.5	492.3
22.33105	968.0	1243.8	-275.8	492.1
22.34776	1014.0	1260.0	-246.0	491.8
22.36447	1079.0	1270.1	-191.1	491.6
22.38118	978.0	1273.9	-295.9	491.4
22.39789	1007.0	1271.3	-264.3	491.2
22.4146	1011.0	1262.3	-251.3	491.0
22.43131	1000.0	1247.4	-247.4	490.8
22.44802	1018.0	1227.3	-209.3	490.6
22.46473	984.0	1203.0	-219.0	490.4
22.48144	956.0	1175.2	-219.2	490.1
22.49815	971.0	1145.1	-174.1	489.9
22.51486	934.0	1113.4	-179.4	489.7
22.53157	796.0	1080.9	-284.9	489.5
22.54828	864.0	1048.5	-184.5	489.3
22.56499	840.0	1016.6	-176.6	489.1
22.5817	763.0	985.6	-222.6	488.9
22.59841	749.0	955.9	-206.9	488.7
22.61512	767.0	927.7	-160.7	488.4
22.63183	740.0	901.0	-161.0	488.2
22.64854	716.0	876.0	-160.0	488.0
22.66525	693.0	852.6	-159.6	487.8
22.68196	689.0	830.8	-141.8	487.6
22.69867	630.0	810.6	-180.6	487.4
