HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=8968.0/618.0, Cu(45kV,40mA), Thursday, April 09, 2026, 9:34 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3452.0	3343.1	108.9	3338.4
5.02	3281.0	3350.8	-69.8	3346.2
5.04	3367.0	3358.6	8.4	3353.9
5.06	3359.0	3366.4	-7.4	3361.7
5.08	3233.0	3374.1	-141.1	3369.4
5.1	3409.0	3381.9	27.1	3377.2
5.12	3407.0	3389.6	17.4	3384.9
5.14	3383.0	3397.4	-14.4	3392.6
5.16	3346.0	3405.1	-59.1	3400.4
5.18	3526.0	3412.8	113.2	3408.1
5.2	3393.0	3420.5	-27.5	3415.8
5.22	3300.0	3428.2	-128.2	3423.4
5.24	3349.0	3435.9	-86.9	3431.1
5.26	3255.0	3443.5	-188.5	3438.8
5.28	3412.0	3451.2	-39.2	3446.4
5.3	3361.0	3458.8	-97.8	3454.0
5.32	3237.0	3466.4	-229.4	3461.6
5.34	3341.0	3474.0	-133.0	3469.1
5.36	3313.0	3481.5	-168.5	3476.7
5.38	3382.0	3489.0	-107.0	3484.2
5.4	3538.0	3496.5	41.5	3491.7
5.42	3362.0	3504.0	-142.0	3499.1
5.44	3300.0	3511.4	-211.4	3506.6
5.46	3532.0	3518.8	13.2	3514.0
5.48	3507.0	3526.2	-19.2	3521.3
5.5	3555.0	3533.6	21.4	3528.7
5.52	3399.0	3540.9	-141.9	3536.0
5.54	3467.0	3548.1	-81.1	3543.2
5.56	3429.0	3555.3	-126.3	3550.4
5.58	3478.0	3562.5	-84.5	3557.6
5.6	3495.0	3569.7	-74.7	3564.7
5.62	3377.0	3576.8	-199.8	3571.8
5.64	3461.0	3583.8	-122.8	3578.9
5.66	3534.0	3590.9	-56.9	3585.9
5.68	3497.0	3597.8	-100.8	3592.8
5.7	3438.0	3604.7	-166.7	3599.8
5.72	3440.0	3611.6	-171.6	3606.6
5.74	3446.0	3618.4	-172.4	3613.4
5.76	3581.0	3625.2	-44.2	3620.2
5.78	3546.0	3631.9	-85.9	3626.9
5.8	3460.0	3638.5	-178.5	3633.5
5.82	3584.0	3645.1	-61.1	3640.1
5.84	3582.0	3651.7	-69.7	3646.6
5.86	3462.0	3658.1	-196.1	3653.1
5.88	3547.0	3664.6	-117.6	3659.5
5.9	3525.0	3670.9	-145.9	3665.8
5.92	3637.0	3677.2	-40.2	3672.1
5.94	3667.0	3683.4	-16.4	3678.3
5.96	3609.0	3689.6	-80.6	3684.5
5.98	3533.0	3695.7	-162.7	3690.5
6.0	3567.0	3701.7	-134.7	3696.5
6.02	3630.0	3707.6	-77.6	3702.5
6.04	3723.0	3713.5	9.5	3708.3
6.06	3573.0	3719.3	-146.3	3714.1
6.08	3540.0	3725.0	-185.0	3719.8
6.1	3639.0	3730.6	-91.6	3725.5
6.12	3684.0	3736.2	-52.2	3731.0
6.14	3635.0	3741.7	-106.7	3736.5
6.16	3673.0	3747.1	-74.1	3741.9
6.18	3575.0	3752.4	-177.4	3747.2
6.2	3619.0	3757.6	-138.6	3752.4
6.22	3729.0	3762.8	-33.8	3757.5
6.24	3673.0	3767.8	-94.8	3762.6
6.26	3604.0	3772.8	-168.8	3767.5
6.28	3610.0	3777.7	-167.7	3772.4
6.3	3782.0	3782.5	-0.5	3777.2
6.32	3725.0	3787.2	-62.2	3781.9
6.34	3673.0	3791.8	-118.8	3786.5
6.36	3658.0	3796.3	-138.3	3791.0
6.38	3677.0	3800.7	-123.7	3795.4
6.4	3748.0	3805.0	-57.0	3799.7
6.42	3570.0	3809.2	-239.2	3803.9
6.44	3669.0	3813.3	-144.3	3808.0
6.46	3684.0	3817.3	-133.3	3812.0
6.48	3773.0	3821.2	-48.2	3815.8
6.5	3833.0	3825.0	8.0	3819.6
6.52	3830.0	3828.7	1.3	3823.3
6.54	3818.0	3832.3	-14.3	3826.9
6.56	3809.0	3835.8	-26.8	3830.3
6.58	3750.0	3839.1	-89.1	3833.7
6.6	3829.0	3842.4	-13.4	3836.9
6.62	3639.0	3845.5	-206.5	3840.0
6.64	3780.0	3848.5	-68.5	3843.0
6.66	3820.0	3851.4	-31.4	3845.9
6.68	3744.0	3854.2	-110.2	3848.7
6.7	3823.0	3856.8	-33.8	3851.3
6.72	3727.0	3859.4	-132.4	3853.8
6.74	3774.0	3861.8	-87.8	3856.2
6.76	3762.0	3864.1	-102.1	3858.5
6.78	3836.0	3866.2	-30.2	3860.7
6.8	3738.0	3868.3	-130.3	3862.7
6.82	3807.0	3870.2	-63.2	3864.6
6.84	3820.0	3872.0	-52.0	3866.4
6.86	3912.0	3873.7	38.3	3868.1
6.88	3826.0	3875.4	-49.4	3869.7
6.9	3741.0	3876.9	-135.9	3871.3
6.92	3792.0	3878.3	-86.3	3872.7
6.94	3818.0	3879.7	-61.7	3874.0
6.96	3821.0	3880.9	-59.9	3875.3
6.98	3848.0	3882.1	-34.1	3876.4
7.0	3729.0	3883.2	-154.2	3877.5
7.02	3807.0	3884.3	-77.3	3878.6
7.04	3850.0	3885.3	-35.3	3879.6
7.06	3765.0	3886.2	-121.2	3880.5
7.08	3862.0	3887.1	-25.1	3881.3
7.1	3866.0	3887.9	-21.9	3882.1
7.12	3877.0	3888.7	-11.7	3882.9
7.14	3930.0	3889.4	40.6	3883.6
7.16	4000.0	3890.1	109.9	3884.3
7.18	3908.0	3890.8	17.2	3885.0
7.2	3822.0	3891.4	-69.4	3885.6
7.22	3937.0	3892.0	45.0	3886.2
7.24	3876.0	3892.6	-16.6	3886.8
7.26	3781.0	3893.2	-112.2	3887.3
7.28	3784.0	3893.7	-109.7	3887.9
7.3	3936.0	3894.3	41.7	3888.4
7.32	3838.0	3894.9	-56.9	3889.0
7.34	3866.0	3895.4	-29.4	3889.5
7.36	3880.0	3896.0	-16.0	3890.1
7.38	3897.0	3896.6	0.4	3890.7
