HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=9071.0/504.0, Cu(45kV,40mA), Tuesday, April 21, 2026, 8:16 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3506.0	3522.8	-16.8	3522.8
5.02	3545.0	3529.3	15.7	3529.3
5.04	3518.0	3535.8	-17.8	3535.8
5.06	3489.0	3542.2	-53.2	3542.2
5.08	3556.0	3548.7	7.3	3548.7
5.1	3561.0	3555.2	5.8	3555.2
5.12	3428.0	3561.6	-133.6	3561.6
5.14	3628.0	3568.1	59.9	3568.1
5.16	3596.0	3574.6	21.4	3574.6
5.18	3714.0	3581.0	133.0	3581.0
5.2	3578.0	3587.5	-9.5	3587.5
5.22	3626.0	3593.9	32.1	3593.9
5.24	3545.0	3600.4	-55.4	3600.4
5.26	3575.0	3606.8	-31.8	3606.8
5.28	3579.0	3613.2	-34.2	3613.2
5.3	3530.0	3619.6	-89.6	3619.6
5.32	3542.0	3626.0	-84.0	3626.0
5.34	3649.0	3632.4	16.6	3632.4
5.36	3443.0	3638.8	-195.8	3638.8
5.38	3615.0	3645.1	-30.1	3645.1
5.4	3611.0	3651.5	-40.5	3651.5
5.42	3601.0	3657.8	-56.8	3657.8
5.44	3632.0	3664.1	-32.1	3664.1
5.46	3656.0	3670.5	-14.5	3670.5
5.48	3525.0	3676.8	-151.8	3676.8
5.5	3621.0	3683.0	-62.0	3683.0
5.52	3617.0	3689.3	-72.3	3689.3
5.54	3515.0	3695.5	-180.5	3695.5
5.56	3678.0	3701.8	-23.8	3701.8
5.58	3627.0	3708.0	-81.0	3708.0
5.6	3624.0	3714.2	-90.2	3714.2
5.62	3666.0	3720.3	-54.3	3720.3
5.64	3630.0	3726.5	-96.5	3726.5
5.66	3719.0	3733.0	-14.0	3732.6
5.68	3620.0	3739.1	-119.1	3738.7
5.7	3575.0	3745.2	-170.2	3744.8
5.72	3642.0	3751.2	-109.2	3750.8
5.74	3811.0	3757.3	53.7	3756.9
5.76	3682.0	3763.3	-81.3	3762.9
5.78	3754.0	3769.3	-15.3	3768.9
5.8	3723.0	3775.3	-52.3	3774.8
5.82	3823.0	3781.3	41.8	3780.8
5.84	3928.0	3787.2	140.8	3786.7
5.86	3778.0	3793.1	-15.1	3792.5
5.88	3739.0	3799.0	-60.0	3798.4
5.9	3834.0	3804.8	29.2	3804.2
5.92	3754.0	3810.6	-56.6	3810.0
5.94	3773.0	3816.4	-43.4	3815.7
5.96	3781.0	3822.2	-41.2	3821.5
5.98	3738.0	3828.3	-90.3	3827.2
6.0	3780.0	3834.0	-54.0	3832.8
6.02	3647.0	3839.8	-192.8	3838.5
6.04	3781.0	3845.5	-64.5	3844.0
6.06	3843.0	3851.1	-8.1	3849.6
6.08	3802.0	3856.8	-54.8	3855.1
6.1	3792.0	3862.5	-70.5	3860.6
6.12	3861.0	3868.1	-7.1	3866.1
6.14	3758.0	3873.7	-115.7	3871.5
6.16	3839.0	3879.4	-40.3	3876.9
6.18	3841.0	3885.0	-44.0	3882.2
6.2	3883.0	3890.6	-7.6	3887.5
6.22	3750.0	3896.2	-146.2	3892.7
6.24	3930.0	3901.9	28.1	3898.0
6.26	3722.0	3907.5	-185.5	3903.1
6.28	3827.0	3913.2	-86.2	3908.3
6.3	3756.0	3918.8	-162.8	3913.4
6.32	3772.0	3924.5	-152.5	3918.4
6.34	3838.0	3930.2	-92.2	3923.4
6.36	3861.0	3936.0	-75.0	3928.4
6.38	3883.0	3941.7	-58.7	3933.3
6.4	3821.0	3947.5	-126.5	3938.1
6.42	3823.0	3953.3	-130.3	3943.0
6.44	3795.0	3959.1	-164.1	3947.7
6.46	3851.0	3964.9	-113.9	3952.5
6.48	3836.0	3970.7	-134.7	3957.1
6.5	3849.0	3976.4	-127.4	3961.8
6.52	3986.0	3982.2	3.8	3966.3
6.54	3859.0	3987.9	-128.9	3970.9
6.56	3930.0	3993.5	-63.5	3975.3
6.58	3923.0	3999.1	-76.1	3979.8
6.6	3929.0	4004.6	-75.6	3984.1
6.62	3958.0	4010.0	-52.0	3988.4
6.64	3798.0	4015.2	-217.2	3992.7
6.66	3866.0	4020.3	-154.3	3996.9
6.68	3922.0	4025.2	-103.2	4001.1
6.7	3828.0	4029.9	-201.9	4005.2
6.72	3793.0	4034.4	-241.4	4009.2
6.74	3903.0	4038.7	-135.7	4013.2
6.76	3840.0	4042.6	-202.6	4017.1
6.78	3952.0	4046.0	-94.0	4021.0
6.8	3842.0	4048.7	-206.7	4024.8
6.82	3920.0	4050.8	-130.8	4028.5
6.84	4014.0	4052.4	-38.4	4032.2
6.86	3914.0	4053.8	-139.8	4035.8
6.88	4036.0	4055.0	-19.0	4039.4
6.9	3930.0	4056.2	-126.2	4042.9
6.92	3883.0	4057.5	-174.5	4046.3
6.94	3854.0	4058.9	-204.9	4049.7
6.96	3884.0	4060.5	-176.5	4053.0
6.98	3970.0	4062.3	-92.3	4056.2
7.0	3848.0	4064.2	-216.2	4059.4
7.02	3891.0	4066.4	-175.4	4062.5
7.04	3948.0	4068.6	-120.6	4065.5
7.06	4121.0	4071.0	50.0	4068.5
7.08	3868.0	4073.4	-205.4	4071.4
7.1	3921.0	4075.9	-154.9	4074.3
7.12	3925.0	4078.4	-153.4	4077.0
7.14	3937.0	4080.9	-143.9	4079.7
7.16	3922.0	4083.4	-161.4	4082.3
7.18	4017.0	4085.8	-68.8	4084.9
7.2	3975.0	4087.9	-112.9	4087.4
7.22	3854.0	4090.3	-236.3	4089.8
7.24	4010.0	4092.5	-82.5	4092.1
7.26	3985.0	4094.8	-109.8	4094.3
7.28	4011.0	4096.9	-85.9	4096.5
7.3	3957.0	4099.0	-142.0	4098.6
7.32	4167.0	4100.6	66.4	4100.6
7.34	3968.0	4102.6	-134.6	4102.6
7.36	3979.0	4104.5	-125.5	4104.5
7.38	4093.0	4106.3	-13.3	4106.3
7.4	4006.0	4108.0	-102.0	4108.0
7.42	3811.0	4109.6	-298.6	4109.6
7.44	4015.0	4111.2	-96.2	4111.2
7.46	4147.0	4112.6	34.4	4112.6
7.48	3895.0	4114.0	-219.0	4114.0
7.5	3936.0	4115.3	-179.3	4115.3
7.52	4051.0	4116.6	-65.6	4116.6
7.54	4088.0	4117.7	-29.7	4117.7
7.56	3976.0	4118.9	-142.9	4118.9
7.58	4035.0	4120.0	-85.0	4120.0
7.6	3971.0	4121.0	-150.0	4121.0
7.62	4241.0	4122.0	119.0	4122.0
7.64	4204.0	4123.0	81.0	4123.0
7.66	4015.0	4123.9	-108.9	4123.9
7.68	4057.0	4124.9	-67.9	4124.9
7.7	4039.0	4125.8	-86.8	4125.8
7.72	4037.0	4126.8	-89.8	4126.8
7.74	4068.0	4127.7	-59.7	4127.7
7.76	3996.0	4128.7	-132.7	4128.7
7.78	4069.0	4129.7	-60.7	4129.7
7.8	4037.0	4130.7	-93.7	4130.7
7.82	4167.0	4131.8	35.2	4131.8
7.84	4228.0	4132.9	95.1	4132.9
7.86	4010.0	4134.0	-124.0	4134.0
7.88	4121.0	4135.3	-14.3	4135.3
7.9	4141.0	4136.5	4.5	4136.5
7.92	4148.0	4137.9	10.1	4137.9
7.94	4232.0	4139.3	92.7	4139.3
7.96	4185.0	4140.8	44.2	4140.8
7.98	4099.0	4142.5	-43.5	4142.5
8.0	4197.0	4144.2	52.8	4144.2
8.02	4107.0	4146.0	-39.0	4146.0
8.04	4257.0	4147.9	109.1	4147.9
8.06	4120.0	4150.0	-30.0	4150.0
8.08	4203.0	4152.2	50.8	4152.2
8.1	4204.0	4154.5	49.5	4154.5
8.12	4167.0	4157.0	10.0	4157.0
8.14	4172.0	4159.6	12.4	4159.6
8.16	4148.0	4162.4	-14.4	4162.4
8.18	4204.0	4165.3	38.7	4165.3
8.2	4102.0	4168.4	-66.4	4168.4
8.22	4228.0	4171.7	56.3	4171.7
8.24	4191.0	4175.2	15.8	4175.2
8.26	4226.0	4178.8	47.2	4178.8
8.28	4161.0	4182.7	-21.7	4182.7
8.3	4263.0	4186.8	76.2	4186.8
8.32	4209.0	4191.1	17.9	4191.1
8.34	4282.0	4195.6	86.4	4195.6
8.36	4105.0	4200.3	-95.3	4200.3
8.38	4266.0	4205.3	60.7	4205.3
