HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=16638/610, Cu(45kV,40mA), Tuesday, April 21, 2026, 8:16 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3526	3452	74	3452
5.02	3452	3459	-7	3459
5.04	3476	3467	9	3467
5.06	3408	3474	-66	3474
5.08	3399	3481	-82	3481
5.1	3547	3488	59	3488
5.12	3428	3495	-67	3495
5.14	3440	3502	-62	3502
5.16	3573	3510	63	3510
5.18	3527	3517	10	3517
5.2	3550	3524	26	3524
5.22	3586	3531	55	3531
5.24	3528	3538	-10	3538
5.26	3569	3545	24	3545
5.28	3489	3552	-63	3552
5.3	3450	3560	-110	3560
5.32	3499	3567	-68	3567
5.34	3627	3574	53	3574
5.36	3514	3581	-67	3581
5.38	3540	3588	-48	3588
5.4	3462	3595	-133	3595
5.42	3466	3602	-136	3602
5.44	3560	3609	-49	3609
5.46	3544	3616	-72	3616
5.48	3521	3623	-102	3623
5.5	3555	3630	-75	3630
5.52	3591	3637	-46	3637
5.54	3543	3644	-101	3644
5.56	3452	3651	-199	3651
5.58	3563	3658	-95	3658
5.6	3571	3665	-94	3665
5.62	3639	3672	-33	3672
5.64	3595	3678	-83	3678
5.66	3477	3685	-208	3685
5.68	3592	3692	-100	3692
5.7	3676	3699	-23	3699
5.72	3655	3706	-51	3706
5.74	3609	3712	-103	3712
5.76	3818	3719	99	3719
5.78	3558	3726	-168	3726
5.8	3552	3732	-180	3732
5.82	3639	3739	-100	3739
5.84	3660	3746	-86	3746
5.86	3689	3752	-63	3752
5.88	3620	3759	-139	3759
5.9	3663	3765	-102	3765
5.92	3627	3772	-145	3772
5.94	3607	3778	-171	3778
5.96	3625	3785	-160	3785
5.98	3628	3791	-163	3791
6.0	3743	3798	-55	3798
6.02	3725	3804	-79	3804
6.04	3690	3810	-120	3810
6.06	3852	3816	36	3816
6.08	3705	3823	-118	3823
6.1	3672	3829	-157	3829
6.12	3709	3835	-126	3835
6.14	3663	3841	-178	3841
6.16	3732	3847	-115	3847
6.18	3738	3853	-115	3853
6.2	3726	3859	-133	3859
6.22	3737	3865	-128	3865
