0482_HM_ZrSiPt5
Wavelength = 1.54059Å, !20.075°/119.64°/0.1504°/1(s), I(p)=7968.0/474.0, Cu(45kV,40mA), Monday, December 08, 2025, 12:07 PM
Angle	I(o)	I(c)	I(d)	I(b)
20.0752	589.0	609.5	-20.5	596.5
20.2256	603.0	607.2	-4.2	593.7
20.376	609.0	605.0	4.0	590.9
20.5264	582.0	602.9	-20.9	588.1
20.6768	643.0	601.0	42.0	585.3
20.8272	633.0	599.4	33.6	582.5
20.9776	592.0	598.1	-6.1	579.7
21.128	596.0	597.4	-1.4	576.9
21.2784	554.0	597.5	-43.5	574.2
21.4288	587.0	598.9	-11.9	571.4
21.5792	522.0	602.5	-80.5	568.7
21.7296	558.0	610.1	-52.1	566.0
21.88	624.0	625.7	-1.7	563.3
22.0304	614.0	659.2	-45.2	560.6
22.1808	599.0	734.8	-135.8	558.0
22.3312	626.0	873.4	-247.4	555.4
22.4816	646.0	915.7	-269.7	552.8
22.632	622.0	859.1	-237.1	550.3
22.7824	517.0	783.9	-266.9	547.8
22.9328	564.0	720.7	-156.7	545.3
23.0832	599.0	675.0	-76.0	542.9
23.2336	594.0	643.2	-49.2	540.5
23.384	570.0	620.8	-50.8	538.2
23.5344	550.0	605.9	-55.9	535.9
23.6848	615.0	594.9	20.1	533.6
23.8352	542.0	586.4	-44.4	531.4
23.9856	512.0	580.0	-68.0	529.2
24.136	539.0	575.6	-36.6	527.1
24.2864	538.0	573.9	-35.9	525.1
24.4368	506.0	572.9	-66.9	523.1
24.5872	553.0	573.9	-20.9	521.2
24.7376	547.0	577.4	-30.4	519.3
24.888	517.0	584.6	-67.6	517.5
25.0384	495.0	597.6	-102.6	515.8
25.1888	553.0	620.9	-67.9	514.1
25.3392	547.0	664.2	-117.2	512.5
25.4896	554.0	751.2	-197.2	511.0
25.64	619.0	941.1	-322.1	509.5
25.7904	639.0	1312.9	-673.9	508.2
25.9408	804.0	1513.3	-709.3	506.9
26.0912	668.0	1366.4	-698.4	505.7
26.2416	620.0	1146.6	-526.6	504.6
26.392	600.0	963.4	-363.4	503.6
26.5424	665.0	835.8	-170.8	502.7
26.6928	654.0	750.6	-96.6	501.9
26.8432	577.0	693.0	-116.0	501.2
26.9936	535.0	653.1	-118.1	500.7
27.144	543.0	624.7	-81.7	500.2
27.2944	529.0	603.9	-74.9	499.9
27.4448	544.0	588.5	-44.5	499.7
27.5952	497.0	576.7	-79.7	499.6
27.7456	500.0	567.7	-67.7	499.7
27.896	474.0	560.7	-86.7	499.9
28.0464	519.0	555.4	-36.4	500.2
28.1968	525.0	551.3	-26.3	500.7
28.3472	475.0	548.2	-73.2	501.3
28.4976	491.0	547.3	-56.3	502.1
28.648	522.0	546.0	-24.0	503.0
28.7984	485.0	545.3	-60.3	504.1
28.9488	518.0	545.2	-27.2	505.3
29.0992	603.0	545.1	57.9	506.7
29.2496	525.0	545.1	-20.1	508.3
29.4	490.0	546.9	-56.8	510.1
