HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=5054.0/406.0, Cu(45kV,40mA), Thursday, April 09, 2026, 9:35 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	2963.0	2963.0	0.0	2963.0
5.02	2873.0	2873.0	0.0	2873.0
5.04	2848.0	2848.0	0.0	2848.0
5.06	2933.0	2933.0	0.0	2933.0
5.08	2971.0	2907.7	63.3	2907.7
5.1	2930.0	2894.7	35.3	2894.7
5.12	2937.0	2902.6	34.4	2902.6
5.14	2894.0	2915.1	-21.1	2915.1
5.16	2820.0	2922.6	-102.6	2922.6
5.18	2846.0	2919.4	-73.4	2919.4
5.2	2944.0	2915.7	28.3	2915.7
5.22	2961.0	2918.3	42.7	2918.3
5.24	3000.0	2927.4	72.6	2927.4
5.26	2943.0	2941.1	1.9	2941.1
5.28	2896.0	2942.6	-46.6	2942.6
5.3	2961.0	2934.1	26.9	2934.1
5.32	2976.0	2929.6	46.4	2929.6
5.34	2943.0	2915.7	27.3	2915.7
5.36	2859.0	2915.6	-56.6	2915.6
5.38	2868.0	2915.6	-47.6	2915.6
5.4	2920.0	2906.0	14.0	2906.0
5.42	2875.0	2896.9	-21.9	2896.9
5.44	2942.0	2913.0	29.0	2913.0
5.46	2896.0	2927.2	-31.2	2927.2
5.48	2875.0	2937.8	-62.8	2937.8
5.5	2894.0	2936.1	-42.1	2936.1
5.52	3088.0	2950.4	137.6	2950.4
5.54	2987.0	2940.8	46.2	2940.8
5.56	2963.0	2947.7	15.3	2947.7
5.58	2905.0	2960.9	-55.9	2960.9
5.6	3004.0	2959.9	44.1	2959.9
5.62	2855.0	2950.8	-95.8	2950.8
5.64	2958.0	2953.7	4.3	2953.7
5.66	2994.0	2947.8	46.2	2947.8
5.68	2885.0	2949.1	-64.1	2949.1
5.7	3006.0	2936.9	69.1	2936.9
5.72	3013.0	2946.4	66.6	2946.4
5.74	2910.0	2941.9	-31.9	2941.9
5.76	2917.0	2936.3	-19.3	2936.3
5.78	2894.0	2944.0	-50.0	2944.0
5.8	2941.0	2947.4	-6.4	2947.4
5.82	2917.0	2943.8	-26.8	2943.8
5.84	2944.0	2942.3	1.7	2942.3
5.86	2954.0	2948.9	5.1	2948.9
5.88	3037.0	2956.6	80.4	2956.6
5.9	2980.0	2964.1	15.9	2964.1
5.92	2897.0	2969.9	-72.9	2969.9
5.94	2976.0	2968.4	7.6	2968.4
5.96	2963.0	2963.8	-0.8	2963.8
5.98	3009.0	2953.3	55.7	2953.3
6.0	2969.0	2944.7	24.3	2944.7
6.02	2931.0	2955.7	-24.7	2955.7
6.04	2912.0	2958.9	-46.9	2958.9
6.06	2943.0	2962.1	-19.1	2962.1
6.08	2902.0	2966.1	-64.1	2966.1
6.1	2996.0	2970.6	25.4	2970.6
6.12	3005.0	2979.2	25.8	2979.2
6.14	2992.0	2994.4	-2.4	2994.4
6.16	3045.0	3004.1	40.9	3004.1
6.18	3009.0	3010.3	-1.3	3010.3
6.2	3009.0	3004.1	4.9	3004.1
6.22	3049.0	3004.2	44.8	3004.2
6.24	3030.0	3007.1	22.9	3007.1
6.26	2958.0	2989.3	-31.3	2989.3
6.28	2940.0	2980.0	-40.0	2980.0
6.3	3006.0	2978.0	28.0	2978.0
6.32	3018.0	2973.6	44.4	2973.6
6.34	2885.0	2978.8	-93.8	2978.8
6.36	2925.0	2981.9	-56.9	2981.9
6.38	2991.0	2994.1	-3.1	2994.1
6.4	3009.0	2991.3	17.7	2991.3
6.42	3077.0	2986.8	90.2	2986.8
6.44	2986.0	3005.3	-19.3	3005.3
6.46	3050.0	3016.4	33.6	3016.4
6.48	2981.0	3025.9	-44.9	3025.9
6.5	2977.0	3024.9	-47.9	3024.9
6.52	3052.0	3029.9	22.1	3029.9
6.54	3025.0	3041.8	-16.8	3041.8
6.56	3076.0	3034.3	41.7	3034.3
6.58	3000.0	3032.4	-32.4	3032.4
6.6	3122.0	3043.7	78.3	3043.6
6.62	3093.0	3028.5	64.5	3028.4
