20251030_HM483La5Al3Co2_chiAC_vs_T_B_.008.txt Thu, Oct 30, 2025 4:15:29 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0



Lockin_V_008	Chan2_V_008	Temperature_008	Field_008	Timestamp_008
2.831240000E-7	-3.874320000E-7	7.999400000E+0	0.000000000E+0	2.800000000E-2
3.054760000E-7	1.937160000E-7	7.987500000E+0	0.000000000E+0	3.259300000E+1
-5.960510000E-8	-2.980250000E-8	7.976400000E+0	0.000000000E+0	3.381000000E+1
2.235190000E-8	-1.713640000E-7	7.964000000E+0	0.000000000E+0	3.505600000E+1
5.438960000E-7	-1.266610000E-7	7.951800000E+0	0.000000000E+0	3.623300000E+1
-8.195680000E-8	-2.235190000E-8	7.939600000E+0	0.000000000E+0	3.740000000E+1
1.117590000E-7	-3.129260000E-7	7.928700000E+0	0.000000000E+0	3.861200000E+1
3.427290000E-7	5.960510000E-8	7.917100000E+0	0.000000000E+0	3.997800000E+1
3.054760000E-7	1.862650000E-7	7.907000000E+0	0.000000000E+0	4.121200000E+1
-6.705570000E-8	-1.639140000E-7	7.894300000E+0	0.000000000E+0	4.277900000E+1
2.458710000E-7	2.682230000E-7	7.882800000E+0	0.000000000E+0	4.407500000E+1
-6.705570000E-8	-6.705570000E-8	7.872600000E+0	0.000000000E+0	4.528800000E+1
5.066430000E-7	-1.937160000E-7	7.861400000E+0	0.000000000E+0	4.646900000E+1
5.364450000E-7	-2.458710000E-7	7.849300000E+0	0.000000000E+0	4.808400000E+1
4.768410000E-7	-2.309690000E-7	7.835600000E+0	0.000000000E+0	4.969900000E+1
1.639140000E-7	3.725310000E-8	7.823500000E+0	0.000000000E+0	5.141900000E+1
-5.215430000E-8	2.160680000E-7	7.812500000E+0	0.000000000E+0	5.266700000E+1
2.756730000E-7	-3.203770000E-7	7.800500000E+0	0.000000000E+0	5.385000000E+1
5.066430000E-7	-1.341110000E-7	7.787500000E+0	0.000000000E+0	5.543000000E+1
3.725310000E-8	1.192100000E-7	7.777000000E+0	0.000000000E+0	5.661700000E+1
6.705570000E-8	-3.203770000E-7	7.765300000E+0	0.000000000E+0	5.782700000E+1
2.235190000E-8	-1.490130000E-8	7.753800000E+0	0.000000000E+0	5.945900000E+1
5.215440000E-7	-1.713640000E-7	7.741300000E+0	0.000000000E+0	6.101000000E+1
4.619380000E-7	-2.905740000E-7	7.729100000E+0	0.000000000E+0	6.262200000E+1
4.172340000E-7	1.266610000E-7	7.717100000E+0	0.000000000E+0	6.383000000E+1
2.235180000E-7	-1.490130000E-8	7.706100000E+0	0.000000000E+0	6.506800000E+1
0.000000000E+0	-1.639140000E-7	7.692800000E+0	0.000000000E+0	6.662700000E+1
1.639140000E-7	-2.980250000E-7	7.680700000E+0	0.000000000E+0	6.821700000E+1
1.341110000E-7	-3.650800000E-7	7.666500000E+0	0.000000000E+0	6.983000000E+1
4.768410000E-7	6.705570000E-8	7.654500000E+0	0.000000000E+0	7.102400000E+1
2.235180000E-7	9.685800000E-8	7.642800000E+0	0.000000000E+0	7.261000000E+1
-4.470370000E-8	-1.862650000E-7	7.632000000E+0	0.000000000E+0	7.381400000E+1
-5.960510000E-8	-1.564630000E-7	7.619200000E+0	0.000000000E+0	7.542700000E+1
1.564630000E-7	-3.874320000E-7	7.606400000E+0	0.000000000E+0	7.701400000E+1
9.685800000E-8	-1.415620000E-7	7.595400000E+0	0.000000000E+0	7.864200000E+1
0.000000000E+0	-1.713640000E-7	7.583500000E+0	0.000000000E+0	7.989500000E+1
4.619380000E-7	7.450640000E-9	7.572700000E+0	0.000000000E+0	8.106600000E+1
5.215430000E-8	5.960510000E-8	7.562500000E+0	0.000000000E+0	8.225700000E+1
1.266610000E-7	-2.756730000E-7	7.549800000E+0	0.000000000E+0	8.382700000E+1
5.140940000E-7	-2.086170000E-7	7.539700000E+0	0.000000000E+0	8.503200000E+1
1.192100000E-7	-7.450640000E-9	7.528800000E+0	0.000000000E+0	8.623000000E+1
-1.043090000E-7	-2.458710000E-7	7.517900000E+0	0.000000000E+0	8.744100000E+1
1.937160000E-7	-2.905740000E-7	7.505200000E+0	0.000000000E+0	8.902800000E+1
4.097840000E-7	-1.192100000E-7	7.492700000E+0	0.000000000E+0	9.060800000E+1
2.756730000E-7	-4.097840000E-7	7.480600000E+0	0.000000000E+0	9.224000000E+1
5.066430000E-7	-6.705570000E-8	7.467400000E+0	0.000000000E+0	9.381500000E+1
4.544870000E-7	-4.470370000E-8	7.453900000E+0	0.000000000E+0	9.543200000E+1
1.564630000E-7	2.086170000E-7	7.442900000E+0	0.000000000E+0	9.663000000E+1
1.341110000E-7	8.940740000E-8	7.432400000E+0	0.000000000E+0	9.788700000E+1
4.768410000E-7	-6.705570000E-8	7.421500000E+0	0.000000000E+0	9.901700000E+1
7.450630000E-8	-2.384200000E-7	7.410700000E+0	0.000000000E+0	1.003550000E+2
8.940740000E-8	-1.862650000E-7	7.398300000E+0	0.000000000E+0	1.019610000E+2
3.725310000E-7	-1.713640000E-7	7.387300000E+0	0.000000000E+0	1.031670000E+2
-7.450640000E-9	-2.905740000E-7	7.377000000E+0	0.000000000E+0	1.044750000E+2
2.980250000E-8	-1.341110000E-7	7.365000000E+0	0.000000000E+0	1.060950000E+2
2.533220000E-7	-3.650800000E-7	7.353300000E+0	0.000000000E+0	1.075010000E+2
-1.117590000E-7	-1.266610000E-7	7.342400000E+0	0.000000000E+0	1.086130000E+2
1.415620000E-7	5.960510000E-8	7.330200000E+0	0.000000000E+0	1.102610000E+2
3.650800000E-7	1.341110000E-7	7.317300000E+0	0.000000000E+0	1.117430000E+2
-4.470370000E-8	8.195680000E-8	7.306800000E+0	0.000000000E+0	1.129450000E+2
3.501790000E-7	-6.705570000E-8	7.292000000E+0	0.000000000E+0	1.146220000E+2
-8.940740000E-8	-1.341110000E-7	7.281000000E+0	0.000000000E+0	1.159680000E+2
4.917420000E-7	1.266610000E-7	7.270100000E+0	0.000000000E+0	1.173000000E+2
8.195680000E-8	-2.235180000E-7	7.259600000E+0	0.000000000E+0	1.186410000E+2
4.023330000E-7	6.705570000E-8	7.244700000E+0	0.000000000E+0	1.203620000E+2
2.980250000E-7	1.043090000E-7	7.233800000E+0	0.000000000E+0	1.215760000E+2
3.352780000E-7	-2.086170000E-7	7.220500000E+0	0.000000000E+0	1.230890000E+2
3.203770000E-7	1.341110000E-7	7.208100000E+0	0.000000000E+0	1.246470000E+2
4.693880000E-7	6.705570000E-8	7.197700000E+0	0.000000000E+0	1.260950000E+2
3.278270000E-7	1.117590000E-7	7.185700000E+0	0.000000000E+0	1.276960000E+2
1.713640000E-7	-3.278270000E-7	7.174100000E+0	0.000000000E+0	1.290400000E+2
5.587970000E-7	-2.980250000E-8	7.163200000E+0	0.000000000E+0	1.304140000E+2
5.960510000E-8	-9.685800000E-8	7.149400000E+0	0.000000000E+0	1.317460000E+2
-5.960510000E-8	-2.980250000E-8	7.138700000E+0	0.000000000E+0	1.332100000E+2
4.544870000E-7	-8.940740000E-8	7.128200000E+0	0.000000000E+0	1.343640000E+2
5.289950000E-7	-5.960510000E-8	7.117400000E+0	0.000000000E+0	1.356170000E+2
4.991930000E-7	-2.607720000E-7	7.105900000E+0	0.000000000E+0	1.368980000E+2
5.215430000E-8	7.450630000E-8	7.095700000E+0	0.000000000E+0	1.382350000E+2
4.768410000E-7	-1.490130000E-8	7.084500000E+0	0.000000000E+0	1.395540000E+2
2.384200000E-7	1.490130000E-7	7.071300000E+0	0.000000000E+0	1.413120000E+2
4.544870000E-7	-6.705570000E-8	7.060300000E+0	0.000000000E+0	1.426140000E+2
5.960510000E-8	1.713640000E-7	7.049400000E+0	0.000000000E+0	1.438140000E+2
3.874320000E-7	-2.086170000E-7	7.037200000E+0	0.000000000E+0	1.453110000E+2
-6.705570000E-8	8.195680000E-8	7.021900000E+0	0.000000000E+0	1.470280000E+2
4.321350000E-7	-2.533220000E-7	7.011100000E+0	0.000000000E+0	1.483770000E+2
