20251104_HM483La5Al3Co2_chiAC_vs_T_B_0.5T.004.txt Tue, Nov 4, 2025 3:04:35 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_004	Chan2_V_004	Temperature_004	Field_004	Timestamp_004
-7.450640000E-9	5.289950000E-7	8.000400000E+0	4.999678223E+3	2.700000000E-2
1.937160000E-7	4.693880000E-7	7.990300000E+0	4.999678223E+3	4.023500000E+1
2.011670000E-7	7.450630000E-8	7.977400000E+0	4.999678223E+3	4.189400000E+1
-1.937160000E-7	4.991930000E-7	7.966100000E+0	4.999678223E+3	4.305800000E+1
-5.215430000E-8	-2.235190000E-8	7.953400000E+0	4.999678223E+3	4.425300000E+1
9.685800000E-8	4.917420000E-7	7.941500000E+0	4.999678223E+3	4.542700000E+1
2.905740000E-7	1.117590000E-7	7.929700000E+0	4.999678223E+3	4.672800000E+1
7.450630000E-8	0.000000000E+0	7.918700000E+0	4.999678223E+3	4.782800000E+1
-2.756730000E-7	2.607720000E-7	7.908200000E+0	4.999678223E+3	4.914500000E+1
9.685800000E-8	5.066430000E-7	7.895000000E+0	4.999678223E+3	5.061600000E+1
3.725310000E-8	-7.450640000E-9	7.882300000E+0	4.999678223E+3	5.231900000E+1
2.235190000E-8	-4.470370000E-8	7.872000000E+0	4.999678223E+3	5.357600000E+1
1.266610000E-7	-6.705570000E-8	7.859500000E+0	4.999678223E+3	5.516900000E+1
-2.086170000E-7	1.937160000E-7	7.846100000E+0	4.999678223E+3	5.648900000E+1
0.000000000E+0	-7.450640000E-9	7.836000000E+0	4.999678223E+3	5.769800000E+1
2.533220000E-7	-7.450640000E-9	7.823100000E+0	4.999678223E+3	5.929100000E+1
3.576300000E-7	2.980250000E-7	7.811300000E+0	4.999678223E+3	6.088600000E+1
-1.341110000E-7	4.172340000E-7	7.799200000E+0	4.999678223E+3	6.208700000E+1
-7.450630000E-8	4.395860000E-7	7.787000000E+0	4.999678223E+3	6.372500000E+1
-1.639140000E-7	8.940740000E-8	7.776000000E+0	4.999678223E+3	6.489400000E+1
5.960510000E-8	1.490130000E-8	7.764400000E+0	4.999678223E+3	6.647900000E+1
1.639140000E-7	3.352780000E-7	7.753400000E+0	4.999678223E+3	6.768800000E+1
-3.278270000E-7	2.533220000E-7	7.743100000E+0	4.999678223E+3	6.887000000E+1
-2.235190000E-8	0.000000000E+0	7.733000000E+0	4.999678223E+3	7.008800000E+1
2.160680000E-7	1.639140000E-7	7.722400000E+0	4.999678223E+3	7.129000000E+1
5.215430000E-8	4.395860000E-7	7.711000000E+0	4.999678223E+3	7.287500000E+1
-2.235180000E-7	3.799810000E-7	7.697800000E+0	4.999678223E+3	7.410600000E+1
-2.756730000E-7	4.395860000E-7	7.687600000E+0	4.999678223E+3	7.535700000E+1
-1.937160000E-7	1.266610000E-7	7.676000000E+0	4.999678223E+3	7.691300000E+1
1.862650000E-7	3.799810000E-7	7.665000000E+0	4.999678223E+3	7.809300000E+1
1.862650000E-7	8.940740000E-8	7.653100000E+0	4.999678223E+3	7.973100000E+1
6.705570000E-8	4.619380000E-7	7.640800000E+0	4.999678223E+3	8.130300000E+1
-1.937160000E-7	1.341110000E-7	7.629400000E+0	4.999678223E+3	8.248200000E+1
2.458710000E-7	1.490130000E-8	7.618200000E+0	4.999678223E+3	8.369200000E+1
1.117590000E-7	-5.215430000E-8	7.605400000E+0	4.999678223E+3	8.531700000E+1
2.011670000E-7	2.533220000E-7	7.592700000E+0	4.999678223E+3	8.689400000E+1
4.470370000E-8	-1.192100000E-7	7.579300000E+0	4.999678223E+3	8.854600000E+1
5.960510000E-8	0.000000000E+0	7.568600000E+0	4.999678223E+3	8.980000000E+1
-2.533220000E-7	5.960510000E-8	7.558500000E+0	4.999678223E+3	9.091000000E+1
2.309690000E-7	1.341110000E-7	7.545700000E+0	4.999678223E+3	9.247400000E+1
-4.470370000E-8	4.768410000E-7	7.534100000E+0	4.999678223E+3	9.367800000E+1
-3.725310000E-8	4.917420000E-7	7.521900000E+0	4.999678223E+3	9.528700000E+1
0.000000000E+0	4.991930000E-7	7.510900000E+0	4.999678223E+3	9.653800000E+1
5.960510000E-8	-5.215430000E-8	7.500800000E+0	4.999678223E+3	9.769500000E+1
-2.384200000E-7	7.450640000E-9	7.489600000E+0	4.999678223E+3	9.933600000E+1
1.490130000E-8	4.246850000E-7	7.479500000E+0	4.999678223E+3	1.004940000E+2
-3.278270000E-7	4.023330000E-7	7.466000000E+0	4.999678223E+3	1.020680000E+2
-2.980250000E-8	-5.215430000E-8	7.454700000E+0	4.999678223E+3	1.032760000E+2
-5.960510000E-8	-8.195680000E-8	7.442000000E+0	4.999678223E+3	1.048830000E+2
2.011670000E-7	5.960510000E-8	7.428900000E+0	4.999678223E+3	1.064680000E+2
1.266610000E-7	1.788150000E-7	7.414800000E+0	4.999678223E+3	1.080860000E+2
1.862650000E-7	-4.470370000E-8	7.401800000E+0	4.999678223E+3	1.097080000E+2
1.564630000E-7	5.215430000E-8	7.388400000E+0	4.999678223E+3	1.113200000E+2
9.685800000E-8	4.470370000E-7	7.375500000E+0	4.999678223E+3	1.128770000E+2
-3.799810000E-7	3.203770000E-7	7.365100000E+0	4.999678223E+3	1.142600000E+2
-1.937160000E-7	3.129260000E-7	7.353400000E+0	4.999678223E+3	1.155310000E+2
2.384200000E-7	9.685800000E-8	7.341200000E+0	4.999678223E+3	1.168720000E+2
2.309690000E-7	2.533220000E-7	7.328600000E+0	4.999678223E+3	1.184700000E+2
-1.341110000E-7	-2.235190000E-8	7.317000000E+0	4.999678223E+3	1.199560000E+2
1.639140000E-7	1.043090000E-7	7.303600000E+0	4.999678223E+3	1.215480000E+2
-2.831240000E-7	4.246850000E-7	7.290400000E+0	4.999678223E+3	1.230600000E+2
-7.450630000E-8	1.490130000E-8	7.277600000E+0	4.999678223E+3	1.246290000E+2
8.940740000E-8	5.960500000E-7	7.266000000E+0	4.999678223E+3	1.259790000E+2
-2.682230000E-7	5.960510000E-8	7.252600000E+0	4.999678223E+3	1.276940000E+2
-2.980250000E-7	4.470370000E-7	7.240300000E+0	4.999678223E+3	1.289890000E+2
-2.682230000E-7	2.533220000E-7	7.228800000E+0	4.999678223E+3	1.305770000E+2
-1.639140000E-7	4.395860000E-7	7.218700000E+0	4.999678223E+3	1.316840000E+2
5.960510000E-8	5.066430000E-7	7.206300000E+0	4.999678223E+3	1.334990000E+2
2.086170000E-7	3.054760000E-7	7.194800000E+0	4.999678223E+3	1.347850000E+2
-2.235190000E-8	3.501790000E-7	7.183000000E+0	4.999678223E+3	1.361790000E+2
2.980250000E-8	3.799810000E-7	7.172000000E+0	4.999678223E+3	1.372770000E+2
1.490130000E-7	4.991930000E-7	7.161400000E+0	4.999678223E+3	1.388960000E+2
7.450630000E-8	4.321350000E-7	7.146700000E+0	4.999678223E+3	1.403300000E+2
2.384200000E-7	1.415620000E-7	7.132500000E+0	4.999678223E+3	1.418030000E+2
-3.501790000E-7	3.725310000E-7	7.121700000E+0	4.999678223E+3	1.429820000E+2
-1.862650000E-7	2.384200000E-7	7.110500000E+0	4.999678223E+3	1.447420000E+2
-8.940740000E-8	5.662480000E-7	7.099700000E+0	4.999678223E+3	1.460430000E+2
-1.564630000E-7	2.235190000E-8	7.087300000E+0	4.999678223E+3	1.474180000E+2
-1.415620000E-7	3.799810000E-7	7.075900000E+0	4.999678223E+3	1.487160000E+2
3.352780000E-7	2.607720000E-7	7.065400000E+0	4.999678223E+3	1.500480000E+2
1.862650000E-7	3.874320000E-7	7.053900000E+0	4.999678223E+3	1.512980000E+2
2.235180000E-7	3.799810000E-7	7.042700000E+0	4.999678223E+3	1.527310000E+2
1.862650000E-7	3.799810000E-7	7.031600000E+0	4.999678223E+3	1.543380000E+2
-8.940740000E-8	6.184020000E-7	7.018500000E+0	4.999678223E+3	1.557260000E+2
9.685800000E-8	5.513470000E-7	7.007000000E+0	4.999678223E+3	1.570090000E+2
9.685800000E-8	-5.215430000E-8	6.996300000E+0	4.999678223E+3	1.583370000E+2
-2.756730000E-7	3.427290000E-7	6.985500000E+0	4.999678223E+3	1.596600000E+2
1.415620000E-7	-6.705570000E-8	6.974500000E+0	4.999678223E+3	1.610180000E+2
-2.160680000E-7	1.564630000E-7	6.962400000E+0	4.999678223E+3	1.621720000E+2
1.862650000E-7	1.862650000E-7	6.950600000E+0	4.999678223E+3	1.636880000E+2
2.384200000E-7	4.395860000E-7	6.939300000E+0	4.999678223E+3	1.652900000E+2
-1.713640000E-7	7.450640000E-9	6.929100000E+0	4.999678223E+3	1.666130000E+2
-5.960510000E-8	4.172340000E-7	6.916900000E+0	4.999678223E+3	1.679410000E+2
3.129260000E-7	5.215430000E-8	6.905000000E+0	4.999678223E+3	1.692630000E+2
-6.705570000E-8	4.023330000E-7	6.895000000E+0	4.999678223E+3	1.704470000E+2
1.713640000E-7	3.799810000E-7	6.884000000E+0	4.999678223E+3	1.719190000E+2
5.960510000E-8	4.991930000E-7	6.870500000E+0	4.999678223E+3	1.735210000E+2
7.450630000E-8	5.960510000E-8	6.857700000E+0	4.999678223E+3	1.750110000E+2
4.321350000E-7	5.960510000E-8	6.846700000E+0	4.999678223E+3	1.764330000E+2
2.533220000E-7	1.937160000E-7	6.834900000E+0	4.999678223E+3	1.775050000E+2
2.533220000E-7	2.235190000E-8	6.824400000E+0	4.999678223E+3	1.791300000E+2
-2.682230000E-7	5.215430000E-8	6.811500000E+0	4.999678223E+3	1.806170000E+2
-1.713640000E-7	9.685800000E-8	6.799900000E+0	4.999678223E+3	1.822360000E+2
-2.384200000E-7	1.564630000E-7	6.788100000E+0	4.999678223E+3	1.833230000E+2
-1.937160000E-7	3.874320000E-7	6.776800000E+0	4.999678223E+3	1.846060000E+2
1.788150000E-7	8.940740000E-8	6.766700000E+0	4.999678223E+3	1.859440000E+2
-2.756730000E-7	2.905740000E-7	6.752800000E+0	4.999678223E+3	1.876450000E+2
1.490130000E-7	1.788150000E-7	6.740400000E+0	4.999678223E+3	1.889910000E+2
-2.607720000E-7	1.043090000E-7	6.730100000E+0	4.999678223E+3	1.903020000E+2
-2.086170000E-7	5.215430000E-8	6.717100000E+0	4.999678223E+3	1.919170000E+2
-2.309690000E-7	2.756730000E-7	6.704100000E+0	4.999678223E+3	1.933820000E+2
-2.384200000E-7	4.246850000E-7	6.693000000E+0	4.999678223E+3	1.948370000E+2
-1.639140000E-7	3.948830000E-7	6.681600000E+0	4.999678223E+3	1.959120000E+2
-3.129260000E-7	1.639140000E-7	6.671100000E+0	4.999678223E+3	1.974930000E+2
1.713640000E-7	4.842910000E-7	6.658600000E+0	4.999678223E+3	1.990040000E+2
1.266610000E-7	5.215430000E-8	6.648200000E+0	4.999678223E+3	2.006660000E+2
-3.203770000E-7	1.266610000E-7	6.634300000E+0	4.999678223E+3	2.016180000E+2
-1.937160000E-7	-2.980250000E-8	6.619900000E+0	4.999678223E+3	2.035710000E+2
2.533220000E-7	1.788150000E-7	6.607100000E+0	4.999678223E+3	2.051270000E+2
-4.470370000E-8	-6.705570000E-8	6.594700000E+0	4.999678223E+3	2.064270000E+2
-2.607720000E-7	5.960510000E-8	6.583800000E+0	4.999678223E+3	2.080580000E+2
-1.788150000E-7	9.685800000E-8	6.572200000E+0	4.999678223E+3	2.091380000E+2
5.960510000E-8	-5.960510000E-8	6.559100000E+0	4.999678223E+3	2.110800000E+2
1.862650000E-7	4.693880000E-7	6.545100000E+0	4.999678223E+3	2.126320000E+2
3.203770000E-7	2.160680000E-7	6.532300000E+0	4.999678223E+3	2.139170000E+2
-2.533220000E-7	8.940740000E-8	6.522000000E+0	4.999678223E+3	2.152420000E+2
2.309690000E-7	2.607720000E-7	6.509100000E+0	4.999678223E+3	2.169720000E+2
2.831240000E-7	2.756730000E-7	6.495400000E+0	4.999678223E+3	2.185790000E+2
1.192100000E-7	2.980250000E-8	6.484500000E+0	4.999678223E+3	2.196740000E+2
-2.086170000E-7	1.043090000E-7	6.473000000E+0	4.999678223E+3	2.211690000E+2
1.862650000E-7	2.831240000E-7	6.461800000E+0	4.999678223E+3	2.223390000E+2
-6.705570000E-8	5.587970000E-7	6.449500000E+0	4.999678223E+3	2.240900000E+2
-2.235190000E-8	-6.705570000E-8	6.437000000E+0	4.999678223E+3	2.258090000E+2
-3.129260000E-7	4.097840000E-7	6.423200000E+0	4.999678223E+3	2.271200000E+2
3.054760000E-7	4.693880000E-7	6.409000000E+0	4.999678223E+3	2.291450000E+2
1.788150000E-7	3.948830000E-7	6.395800000E+0	4.999678223E+3	2.302260000E+2
1.937160000E-7	4.470370000E-8	6.382400000E+0	4.999678223E+3	2.320490000E+2
1.862650000E-7	2.756730000E-7	6.372200000E+0	4.999678223E+3	2.332810000E+2
-2.831240000E-7	5.960510000E-8	6.361400000E+0	4.999678223E+3	2.346210000E+2
-2.235180000E-7	2.309690000E-7	6.350900000E+0	4.999678223E+3	2.358950000E+2
3.054760000E-7	2.235180000E-7	6.338300000E+0	4.999678223E+3	2.372410000E+2
1.490130000E-8	5.289950000E-7	6.326900000E+0	4.999678223E+3	2.384500000E+2
1.862650000E-7	3.427290000E-7	6.315700000E+0	4.999678223E+3	2.399140000E+2
-1.490130000E-7	-2.980250000E-8	6.303100000E+0	4.999678223E+3	2.417840000E+2
2.309690000E-7	1.937160000E-7	6.291700000E+0	4.999678223E+3	2.429750000E+2
1.490130000E-7	1.415620000E-7	6.281500000E+0	4.999678223E+3	2.444310000E+2
2.011670000E-7	5.960510000E-8	6.270500000E+0	4.999678223E+3	2.455080000E+2
-2.756730000E-7	3.576300000E-7	6.258700000E+0	4.999678223E+3	2.470200000E+2
0.000000000E+0	0.000000000E+0	6.248100000E+0	4.999678223E+3	2.482190000E+2
5.960510000E-8	-5.215430000E-8	6.233000000E+0	4.999678223E+3	2.496530000E+2
7.450630000E-8	4.693880000E-7	6.222800000E+0	4.999678223E+3	2.513770000E+2
2.235190000E-8	5.215440000E-7	6.211300000E+0	4.999678223E+3	2.526220000E+2
2.011670000E-7	3.129260000E-7	6.199800000E+0	4.999678223E+3	2.539070000E+2
-2.831240000E-7	4.246850000E-7	6.185900000E+0	4.999678223E+3	2.556470000E+2
2.086170000E-7	3.948830000E-7	6.174400000E+0	4.999678223E+3	2.573030000E+2
-1.639140000E-7	1.415620000E-7	6.163100000E+0	4.999678223E+3	2.583090000E+2
3.725310000E-8	-5.215430000E-8	6.152800000E+0	4.999678223E+3	2.597010000E+2
-2.086170000E-7	3.799810000E-7	6.141200000E+0	4.999678223E+3	2.610140000E+2
2.980250000E-8	5.215440000E-7	6.129600000E+0	4.999678223E+3	2.623090000E+2
-2.607720000E-7	3.203770000E-7	6.118600000E+0	4.999678223E+3	2.637090000E+2
1.713640000E-7	5.066430000E-7	6.107200000E+0	4.999678223E+3	2.650120000E+2
-1.937160000E-7	3.874320000E-7	6.094900000E+0	4.999678223E+3	2.665870000E+2
-8.940740000E-8	5.140940000E-7	6.084800000E+0	4.999678223E+3	2.676850000E+2
1.266610000E-7	3.948830000E-7	6.072100000E+0	4.999678223E+3	2.695020000E+2
-2.011670000E-7	4.172340000E-7	6.059500000E+0	4.999678223E+3	2.707210000E+2
-6.705570000E-8	2.235190000E-8	6.046300000E+0	4.999678223E+3	2.724430000E+2
-7.450630000E-8	5.289950000E-7	6.032700000E+0	4.999678223E+3	2.737810000E+2
2.384200000E-7	2.086170000E-7	6.022200000E+0	4.999678223E+3	2.751010000E+2
-2.235180000E-7	4.917420000E-7	6.010400000E+0	4.999678223E+3	2.769970000E+2
1.490130000E-7	5.215430000E-8	5.998500000E+0	4.999678223E+3	2.781510000E+2
-3.129260000E-7	1.713640000E-7	5.984700000E+0	4.999678223E+3	2.800200000E+2
-2.011670000E-7	5.215430000E-8	5.972500000E+0	4.999678223E+3	2.812520000E+2
-5.215430000E-8	5.587970000E-7	5.960800000E+0	4.999678223E+3	2.825760000E+2
-2.533220000E-7	1.192100000E-7	5.950400000E+0	4.999678223E+3	2.837800000E+2
-2.831240000E-7	1.415620000E-7	5.938800000E+0	4.999678223E+3	2.852240000E+2
-9.685800000E-8	4.619380000E-7	5.928600000E+0	4.999678223E+3	2.865060000E+2
-1.713640000E-7	8.195680000E-8	5.915400000E+0	4.999678223E+3	2.879060000E+2
6.705570000E-8	5.960510000E-8	5.902000000E+0	4.999678223E+3	2.896640000E+2
1.341110000E-7	4.470370000E-7	5.889300000E+0	4.999678223E+3	2.913980000E+2
1.266610000E-7	1.490130000E-7	5.876900000E+0	4.999678223E+3	2.927060000E+2
1.266610000E-7	0.000000000E+0	5.860400000E+0	4.999678223E+3	2.946780000E+2
-1.490130000E-8	-7.450630000E-8	5.848900000E+0	4.999678223E+3	2.957710000E+2
1.117590000E-7	-5.215430000E-8	5.837300000E+0	4.999678223E+3	2.975570000E+2
-3.427290000E-7	7.450630000E-8	5.826000000E+0	4.999678223E+3	2.988500000E+2
4.470370000E-8	5.066430000E-7	5.815600000E+0	4.999678223E+3	3.001750000E+2
2.831240000E-7	1.862650000E-7	5.802600000E+0	4.999678223E+3	3.018260000E+2
-1.341110000E-7	5.662480000E-7	5.791000000E+0	4.999678223E+3	3.028440000E+2
7.450630000E-8	-7.450630000E-8	5.779800000E+0	4.999678223E+3	3.042030000E+2
-2.607720000E-7	3.576300000E-7	5.768100000E+0	4.999678223E+3	3.055110000E+2
-4.097840000E-7	3.054760000E-7	5.757100000E+0	4.999678223E+3	3.072920000E+2
-5.215430000E-8	-3.725310000E-8	5.742900000E+0	4.999678223E+3	3.092310000E+2
2.980250000E-7	7.450640000E-9	5.731100000E+0	4.999678223E+3	3.102820000E+2
2.533220000E-7	2.607720000E-7	5.720300000E+0	4.999678223E+3	3.115150000E+2
-1.639140000E-7	3.799810000E-7	5.707800000E+0	4.999678223E+3	3.126950000E+2
1.490130000E-7	3.203770000E-7	5.695500000E+0	4.999678223E+3	3.146950000E+2
-1.043090000E-7	-4.470370000E-8	5.682500000E+0	4.999678223E+3	3.164180000E+2
3.501790000E-7	4.470370000E-8	5.668900000E+0	4.999678223E+3	3.176240000E+2
3.278270000E-7	1.788150000E-7	5.654000000E+0	4.999678223E+3	3.192280000E+2
8.195680000E-8	4.619380000E-7	5.642700000E+0	4.999678223E+3	3.208170000E+2
7.450630000E-8	5.289950000E-7	5.629400000E+0	4.999678223E+3	3.226020000E+2
-2.458710000E-7	3.427290000E-7	5.615100000E+0	4.999678223E+3	3.241710000E+2
-1.490130000E-7	5.960510000E-8	5.602400000E+0	4.999678223E+3	3.257400000E+2
2.384200000E-7	2.756730000E-7	5.589000000E+0	4.999678223E+3	3.271190000E+2
-1.490130000E-8	1.490130000E-8	5.577400000E+0	4.999678223E+3	3.285940000E+2
-2.756730000E-7	1.862650000E-7	5.563700000E+0	4.999678223E+3	3.307850000E+2
1.192100000E-7	5.066430000E-7	5.553500000E+0	4.999678223E+3	3.315590000E+2
3.725310000E-8	-6.705570000E-8	5.539800000E+0	4.999678223E+3	3.330760000E+2
1.117590000E-7	5.215440000E-7	5.528800000E+0	4.999678223E+3	3.344470000E+2
5.960510000E-8	4.470370000E-7	5.513900000E+0	4.999678223E+3	3.360500000E+2
-1.564630000E-7	6.705560000E-7	5.503100000E+0	4.999678223E+3	3.376470000E+2
2.458710000E-7	2.756730000E-7	5.492900000E+0	4.999678223E+3	3.389580000E+2
1.266610000E-7	5.662480000E-7	5.481200000E+0	4.999678223E+3	3.405450000E+2
-1.564630000E-7	5.662480000E-7	5.470000000E+0	4.999678223E+3	3.414140000E+2
3.725310000E-8	5.960510000E-8	5.457300000E+0	4.999678223E+3	3.429450000E+2
