20251104_HM483La5Al3Co2_chiAC_vs_T_B_1T.003.txt Tue, Nov 4, 2025 2:26:05 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_003	Chan2_V_003	Temperature_003	Field_003	Timestamp_003
0.000000000E+0	-5.066430000E-7	8.001000000E+0	9.999537109E+3	2.300000000E-2
2.235190000E-8	-5.364450000E-7	7.990200000E+0	9.999537109E+3	3.823200000E+1
-3.725310000E-8	-3.501790000E-7	7.977900000E+0	9.999537109E+3	3.987800000E+1
2.905740000E-7	-6.705560000E-7	7.966100000E+0	9.999537109E+3	4.107600000E+1
-1.862650000E-7	-5.215440000E-7	7.952400000E+0	9.999537109E+3	4.237300000E+1
2.756730000E-7	-4.768410000E-7	7.938500000E+0	9.999537109E+3	4.358600000E+1
2.086170000E-7	-2.235190000E-8	7.926500000E+0	9.999537109E+3	4.478200000E+1
2.384200000E-7	7.450640000E-9	7.914700000E+0	9.999537109E+3	4.638900000E+1
5.215430000E-8	-1.043090000E-7	7.901300000E+0	9.999537109E+3	4.798000000E+1
-1.341110000E-7	-3.650800000E-7	7.889500000E+0	9.999537109E+3	4.938500000E+1
3.650800000E-7	-4.321350000E-7	7.876700000E+0	9.999537109E+3	5.092700000E+1
4.395860000E-7	-3.427290000E-7	7.864800000E+0	9.999537109E+3	5.253100000E+1
1.639140000E-7	-5.215430000E-8	7.853900000E+0	9.999537109E+3	5.391900000E+1
-1.490130000E-8	-5.736980000E-7	7.843200000E+0	9.999537109E+3	5.509900000E+1
3.725310000E-7	-2.533220000E-7	7.829900000E+0	9.999537109E+3	5.664700000E+1
2.533220000E-7	-5.215430000E-8	7.816400000E+0	9.999537109E+3	5.824100000E+1
-6.705570000E-8	-4.842910000E-7	7.805400000E+0	9.999537109E+3	5.942200000E+1
0.000000000E+0	-2.235180000E-7	7.795200000E+0	9.999537109E+3	6.070100000E+1
3.799810000E-7	-3.576300000E-7	7.782200000E+0	9.999537109E+3	6.223000000E+1
4.246850000E-7	-4.991930000E-7	7.769100000E+0	9.999537109E+3	6.383900000E+1
4.097840000E-7	-3.799810000E-7	7.755400000E+0	9.999537109E+3	6.544600000E+1
3.427290000E-7	-1.341110000E-7	7.744400000E+0	9.999537109E+3	6.667200000E+1
3.650800000E-7	-2.831240000E-7	7.731600000E+0	9.999537109E+3	6.831000000E+1
-1.713640000E-7	-1.490130000E-7	7.721500000E+0	9.999537109E+3	6.949500000E+1
1.564630000E-7	-6.258520000E-7	7.710000000E+0	9.999537109E+3	7.105100000E+1
3.799810000E-7	-4.544870000E-7	7.698800000E+0	9.999537109E+3	7.227400000E+1
4.395860000E-7	-3.576300000E-7	7.685400000E+0	9.999537109E+3	7.388400000E+1
3.650800000E-7	-1.341110000E-7	7.672200000E+0	9.999537109E+3	7.548000000E+1
-1.117590000E-7	-3.799810000E-7	7.661100000E+0	9.999537109E+3	7.664900000E+1
4.246850000E-7	-1.639140000E-7	7.650900000E+0	9.999537109E+3	7.781000000E+1
3.948830000E-7	-4.544870000E-7	7.637400000E+0	9.999537109E+3	7.946000000E+1
3.054760000E-7	-1.490130000E-7	7.625000000E+0	9.999537109E+3	8.102800000E+1
4.246850000E-7	-3.501790000E-7	7.613100000E+0	9.999537109E+3	8.267200000E+1
-8.940740000E-8	-4.023330000E-7	7.601900000E+0	9.999537109E+3	8.382400000E+1
-5.215430000E-8	-2.309690000E-7	7.589400000E+0	9.999537109E+3	8.545500000E+1
4.321350000E-7	-3.874320000E-7	7.579100000E+0	9.999537109E+3	8.662400000E+1
2.831240000E-7	-7.450630000E-8	7.567100000E+0	9.999537109E+3	8.784000000E+1
-1.117590000E-7	-3.725310000E-7	7.556900000E+0	9.999537109E+3	8.902900000E+1
1.639140000E-7	-5.513470000E-7	7.546300000E+0	9.999537109E+3	9.024900000E+1
4.693880000E-7	-4.097840000E-7	7.535600000E+0	9.999537109E+3	9.182500000E+1
2.905740000E-7	-5.960510000E-8	7.525500000E+0	9.999537109E+3	9.303700000E+1
1.564630000E-7	-1.043090000E-7	7.513800000E+0	9.999537109E+3	9.463900000E+1
2.533220000E-7	-1.117590000E-7	7.502700000E+0	9.999537109E+3	9.591400000E+1
2.682230000E-7	-5.587970000E-7	7.491900000E+0	9.999537109E+3	9.704600000E+1
3.650800000E-7	-1.415620000E-7	7.478400000E+0	9.999537109E+3	9.862000000E+1
4.172340000E-7	-2.011670000E-7	7.466400000E+0	9.999537109E+3	9.988200000E+1
-1.192100000E-7	-2.831240000E-7	7.454100000E+0	9.999537109E+3	1.014170000E+2
