HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=22107/1246, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	4160	4176	-16	4165
5.02	4177	4178	-1	4166
5.04	4117	4179	-62	4168
5.06	4201	4181	20	4169
5.08	4227	4182	45	4171
5.1	4295	4184	111	4172
5.12	4137	4185	-48	4174
5.14	4213	4187	26	4175
5.16	4164	4188	-24	4177
5.18	4116	4190	-74	4178
5.2	4174	4191	-17	4180
5.22	4171	4193	-22	4181
5.24	4033	4194	-161	4183
5.26	4233	4196	37	4184
5.28	4087	4197	-110	4186
5.3	4258	4199	59	4187
5.32	4258	4200	58	4189
5.34	4204	4202	2	4190
5.36	4099	4203	-104	4192
5.38	4142	4205	-63	4193
5.4	4105	4206	-101	4195
5.42	4126	4208	-82	4196
5.44	4236	4209	27	4198
5.46	4343	4211	132	4199
5.48	4163	4212	-49	4201
5.5	4217	4214	3	4202
5.52	4231	4215	16	4204
5.54	4175	4217	-42	4205
5.56	4135	4218	-83	4207
5.58	4143	4220	-77	4208
5.6	4174	4221	-47	4210
5.62	4143	4223	-80	4211
5.64	4345	4224	121	4213
5.66	4292	4226	66	4214
5.68	4269	4227	42	4216
5.7	4222	4229	-7	4217
5.72	4132	4230	-98	4219
5.74	4204	4232	-28	4220
5.76	4324	4233	91	4222
5.78	4280	4235	45	4223
5.8	4209	4236	-27	4225
5.82	4160	4238	-78	4226
5.84	4234	4239	-5	4228
5.86	4247	4241	6	4229
5.88	4292	4242	50	4231
5.9	4354	4244	110	4232
5.92	4144	4245	-101	4234
5.94	4172	4247	-75	4235
5.96	4283	4248	35	4237
5.98	4202	4250	-48	4238
6.0	4194	4251	-57	4240
6.02	4251	4253	-2	4241
6.04	4373	4254	119	4243
6.06	4244	4256	-12	4244
6.08	4233	4257	-24	4246
6.1	4312	4259	53	4247
6.12	4238	4260	-22	4249
6.14	4160	4262	-102	4250
6.16	4209	4263	-54	4252
6.18	4367	4264	103	4253
6.2	4319	4266	53	4254
6.22	4251	4267	-16	4256
6.24	4142	4268	-126	4257
6.26	4241	4270	-29	4258
6.28	4272	4271	1	4260
6.3	4392	4272	120	4261
6.32	4193	4274	-81	4262
6.34	4322	4275	47	4264
6.36	4404	4276	128	4265
6.38	4217	4278	-61	4266
6.4	4350	4279	71	4267
6.42	4277	4280	-3	4269
6.44	4402	4281	121	4270
6.46	4161	4282	-121	4271
6.48	4288	4284	4	4272
6.5	4318	4285	33	4273
6.52	4355	4286	69	4274
6.54	4298	4287	11	4276
6.56	4209	4288	-79	4277
6.58	4457	4289	168	4278
6.6	4438	4290	148	4279
6.62	4421	4291	130	4280
6.64	4404	4292	112	4281
6.66	4273	4293	-20	4282
6.68	4302	4294	8	4283
6.7	4362	4295	67	4283
6.72	4192	4296	-104	4284
6.74	4242	4297	-55	4285
6.76	4372	4297	75	4286
6.78	4348	4298	50	4287
6.8	4312	4299	13	4287
6.82	4296	4300	-4	4288
6.84	4330	4300	30	4289
6.86	4186	4301	-115	4290
6.88	4342	4302	40	4290
6.9	4493	4302	191	4291
6.92	4326	4303	23	4291
6.94	4219	4303	-84	4292
6.96	4245	4304	-59	4292
6.98	4219	4304	-85	4293
7.0	4404	4305	99	4293
7.02	4264	4305	-41	4293
7.04	4380	4305	75	4294
7.06	4323	4306	17	4294
7.08	4294	4306	-12	4294
7.1	4267	4306	-39	4295
7.12	4506	4306	200	4295
7.14	4432	4306	126	4295
7.16	4442	4306	136	4295
7.18	4362	4306	56	4295
7.2	4415	4306	109	4295
7.22	4433	4306	127	4295
7.24	4396	4306	90	4295
7.26	4390	4306	84	4295
7.28	4532	4306	226	4295
7.3	4327	4306	21	4294
7.32	4377	4306	71	4294
7.34	4326	4305	21	4294
7.36	4230	4305	-75	4294
7.38	4365	4305	60	4293
7.4	4272	4304	-32	4293
7.42	4369	4304	65	4292
7.44	4183	4303	-120	4292
7.46	4259	4302	-43	4291
7.48	4399	4302	97	4290
7.5	4351	4301	50	4290
7.52	4355	4300	55	4289
7.54	4314	4300	14	4288
7.56	4311	4299	12	4287
7.58	4204	4298	-94	4286
7.6	4345	4297	48	4285
7.62	4315	4296	19	4284
7.64	4372	4295	77	4283
7.66	4334	4294	40	4282
7.68	4304	4292	12	4281
7.7	4229	4291	-62	4280
7.72	4343	4290	53	4279
7.74	4485	4289	196	4277
7.76	4335	4287	48	4276
7.78	4334	4286	48	4274
7.8	4271	4284	-13	4273
7.82	4391	4283	108	4271
7.84	4381	4281	100	4270
7.86	4219	4280	-61	4268
7.88	4438	4278	160	4267
7.9	4461	4276	185	4265
7.92	4275	4275	0	4263
7.94	4401	4273	128	4262
7.96	4250	4271	-21	4260
7.98	4405	4269	136	4258
8.0	4324	4268	56	4256
