HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=6819.0/231.0, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	5399.0	-1.0	5400.0	5399.0
5.02	5224.0	-1.0	5225.0	5224.0
5.04	5408.0	-1.0	5409.0	5408.0
5.06	5428.0	-1.0	5429.0	5428.0
5.08	5546.0	-1.0	5547.0	5406.6
5.1	5341.0	-1.0	5342.0	5426.3
5.12	5582.0	-1.0	5583.0	5460.6
5.14	5439.0	-1.0	5440.0	5461.0
5.16	5350.0	-1.0	5351.0	5469.5
5.18	5576.0	-1.0	5577.0	5445.3
5.2	5533.0	-1.0	5534.0	5471.2
5.22	5412.0	-1.0	5413.0	5479.7
5.24	5504.0	-1.0	5505.0	5515.6
5.26	5328.0	-1.0	5329.0	5539.4
5.28	5574.0	-1.0	5575.0	5550.6
5.3	5659.0	-1.0	5660.0	5574.6
5.32	5762.0	-1.0	5763.0	5599.0
5.34	5564.0	-1.0	5565.0	5608.5
5.36	5677.0	-1.0	5678.0	5631.7
5.38	5749.0	-1.0	5750.0	5651.3
5.4	5632.0	-1.0	5633.0	5647.8
5.42	5589.0	-1.0	5590.0	5628.7
5.44	5537.0	-1.0	5538.0	5641.7
5.46	5750.0	-1.0	5751.0	5642.7
5.48	5628.0	-1.0	5629.0	5638.0
5.5	5590.0	-1.0	5591.0	5661.0
5.52	5681.0	-1.0	5682.0	5665.0
5.54	5686.0	-1.0	5687.0	5685.9
5.56	5707.0	-1.0	5708.0	5698.7
5.58	5839.0	-1.0	5840.0	5718.3
5.6	5625.0	-1.0	5626.0	5760.0
5.62	5725.0	-1.0	5726.0	5777.3
5.64	5865.0	-1.0	5866.0	5798.5
5.66	5804.0	-1.0	5805.0	5810.9
5.68	5966.0	-1.0	5967.0	5810.7
5.7	5836.0	-1.0	5837.0	5841.9
5.72	5877.0	-1.0	5878.0	5865.5
5.74	5819.0	-1.0	5820.0	5869.4
5.76	5837.0	-1.0	5838.0	5891.2
5.78	5906.0	-1.0	5907.0	5892.7
5.8	5937.0	-1.0	5938.0	5909.9
5.82	5900.0	-1.0	5901.0	5913.2
