HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=8851.0/608.0, Cu(45kV,40mA), Thursday, April 16, 2026, 10:48 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3245.0	-1.0	3246.0	0.0
5.02	3168.0	-1.0	3169.0	0.0
5.04	3219.0	-1.0	3220.0	0.0
5.06	3208.0	-1.0	3209.0	0.0
5.08	3269.0	-1.0	3270.0	0.0
5.1	3224.0	-1.0	3225.0	0.0
5.12	3273.0	-1.0	3274.0	0.0
5.14	3140.0	-1.0	3141.0	0.0
5.16	3270.0	-1.0	3271.0	0.0
5.18	3215.0	-1.0	3216.0	0.0
5.2	3136.0	-1.0	3137.0	0.0
5.22	3297.0	-1.0	3298.0	0.0
5.24	3255.0	-1.0	3256.0	0.0
5.26	3278.0	-1.0	3279.0	0.0
5.28	3321.0	-1.0	3322.0	0.0
5.3	3288.0	-1.0	3289.0	0.0
5.32	3248.0	-1.0	3249.0	0.0
5.34	3335.0	-1.0	3336.0	0.0
5.36	3277.0	-1.0	3278.0	0.0
5.38	3331.0	-1.0	3332.0	0.0
5.4	3164.0	-1.0	3165.0	0.0
5.42	3244.0	-1.0	3245.0	0.0
5.44	3382.0	-1.0	3383.0	0.0
5.46	3273.0	-1.0	3274.0	0.0
5.48	3244.0	-1.0	3245.0	0.0
5.5	3333.0	-1.0	3334.0	0.0
5.52	3299.0	-1.0	3300.0	0.0
5.54	3298.0	-1.0	3299.0	0.0
5.56	3314.0	-1.0	3315.0	0.0
5.58	3239.0	-1.0	3240.0	0.0
5.6	3291.0	-1.0	3292.0	0.0
5.62	3343.0	-1.0	3344.0	0.0
5.64	3400.0	-1.0	3401.0	0.0
5.66	3282.0	-1.0	3283.0	0.0
5.68	3327.0	-1.0	3328.0	0.0
5.7	3324.0	-1.0	3325.0	0.0
5.72	3374.0	-1.0	3375.0	0.0
5.74	3408.0	-1.0	3409.0	0.0
5.76	3355.0	-1.0	3356.0	0.0
5.78	3446.0	-1.0	3447.0	0.0
5.8	3359.0	-1.0	3360.0	0.0
5.82	3345.0	-1.0	3346.0	0.0
5.84	3415.0	-1.0	3416.0	0.0
5.86	3438.0	-1.0	3439.0	0.0
5.88	3297.0	-1.0	3298.0	0.0
5.9	3331.0	-1.0	3332.0	0.0
5.92	3473.0	-1.0	3474.0	0.0
5.94	3425.0	-1.0	3426.0	0.0
5.96	3419.0	-1.0	3420.0	0.0
5.98	3511.0	-1.0	3512.0	0.0
6.0	3330.0	-1.0	3331.0	0.0
6.02	3407.0	-1.0	3408.0	0.0
6.04	3404.0	-1.0	3405.0	0.0
6.06	3473.0	-1.0	3474.0	0.0
6.08	3504.0	-1.0	3505.0	0.0
6.1	3540.0	-1.0	3541.0	0.0
6.12	3407.0	-1.0	3408.0	0.0
6.14	3413.0	-1.0	3414.0	0.0
6.16	3456.0	-1.0	3457.0	0.0
6.18	3409.0	-1.0	3410.0	0.0
6.2	3513.0	-1.0	3514.0	0.0
6.22	3533.0	-1.0	3534.0	0.0
6.24	3499.0	-1.0	3500.0	0.0
6.26	3631.0	-1.0	3632.0	0.0
6.28	3551.0	-1.0	3552.0	0.0
6.3	3567.0	-1.0	3568.0	0.0
6.32	3554.0	-1.0	3555.0	0.0
6.34	3590.0	-1.0	3591.0	0.0
6.36	3542.0	-1.0	3543.0	0.0
6.38	3505.0	-1.0	3506.0	0.0
6.4	3578.0	-1.0	3579.0	0.0
6.42	3520.0	-1.0	3521.0	0.0
6.44	3564.0	-1.0	3565.0	0.0
6.46	3448.0	-1.0	3449.0	0.0
6.48	3597.0	-1.0	3598.0	0.0
6.5	3562.0	-1.0	3563.0	0.0
6.52	3542.0	-1.0	3543.0	0.0
6.54	3631.0	-1.0	3632.0	0.0
6.56	3727.0	-1.0	3728.0	0.0
6.58	3664.0	-1.0	3665.0	0.0
6.6	3659.0	-1.0	3660.0	0.0
6.62	3575.0	-1.0	3576.0	0.0
6.64	3524.0	-1.0	3525.0	0.0
6.66	3599.0	-1.0	3600.0	0.0
6.68	3663.0	-1.0	3664.0	0.0
6.7	3596.0	-1.0	3597.0	0.0
6.72	3631.0	-1.0	3632.0	0.0
6.74	3636.0	-1.0	3637.0	0.0
6.76	3693.0	-1.0	3694.0	0.0
6.78	3651.0	-1.0	3652.0	0.0
6.8	3613.0	-1.0	3614.0	0.0
6.82	3527.0	-1.0	3528.0	0.0
6.84	3698.0	-1.0	3699.0	0.0
6.86	3654.0	-1.0	3655.0	0.0
6.88	3614.0	-1.0	3615.0	0.0
6.9	3796.0	-1.0	3797.0	0.0
6.92	3587.0	-1.0	3588.0	0.0
6.94	3664.0	-1.0	3665.0	0.0
6.96	3676.0	-1.0	3677.0	0.0
6.98	3710.0	-1.0	3711.0	0.0
7.0	3610.0	-1.0	3611.0	0.0
7.02	3715.0	-1.0	3716.0	0.0
7.04	3735.0	-1.0	3736.0	0.0
7.06	3664.0	-1.0	3665.0	0.0
7.08	3721.0	-1.0	3722.0	0.0
7.1	3566.0	-1.0	3567.0	0.0
7.12	3714.0	-1.0	3715.0	0.0
7.14	3743.0	-1.0	3744.0	0.0
7.16	3709.0	-1.0	3710.0	0.0
7.18	3727.0	-1.0	3728.0	0.0
7.2	3723.0	-1.0	3724.0	0.0
7.22	3803.0	-1.0	3804.0	0.0
7.24	3748.0	-1.0	3749.0	0.0
7.26	3811.0	-1.0	3812.0	0.0
7.28	3823.0	-1.0	3824.0	0.0
7.3	3687.0	-1.0	3688.0	0.0
7.32	3770.0	-1.0	3771.0	0.0
7.34	3861.0	-1.0	3862.0	0.0
7.36	3819.0	-1.0	3820.0	0.0
7.38	3853.0	-1.0	3854.0	0.0
7.4	3807.0	-1.0	3808.0	0.0
7.42	3710.0	-1.0	3711.0	0.0
7.44	3837.0	-1.0	3838.0	0.0
