HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=10063/627, Cu(45kV,40mA), Thursday, April 16, 2026, 10:48 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3529	3555	-26	3555
5.02	3483	3561	-78	3561
5.04	3619	3567	52	3567
5.06	3547	3573	-26	3573
5.08	3599	3578	21	3578
5.1	3446	3584	-138	3584
5.12	3514	3590	-76	3590
5.14	3549	3596	-47	3596
5.16	3529	3602	-73	3602
5.18	3495	3607	-112	3607
5.2	3468	3613	-145	3613
5.22	3548	3619	-71	3619
5.24	3527	3625	-98	3625
5.26	3519	3630	-111	3630
5.28	3551	3636	-85	3636
5.3	3569	3642	-73	3642
5.32	3427	3648	-221	3648
5.34	3668	3654	14	3654
5.36	3528	3659	-131	3659
5.38	3466	3665	-199	3665
5.4	3548	3671	-123	3671
5.42	3643	3677	-34	3677
5.44	3579	3683	-104	3683
5.46	3615	3688	-73	3688
5.48	3550	3694	-144	3694
5.5	3641	3700	-59	3700
5.52	3454	3706	-252	3706
5.54	3549	3712	-163	3712
5.56	3702	3718	-16	3718
5.58	3603	3724	-121	3724
5.6	3685	3729	-44	3729
5.62	3579	3735	-156	3735
5.64	3567	3741	-174	3741
5.66	3619	3747	-128	3747
5.68	3615	3753	-138	3753
5.7	3691	3759	-68	3759
5.72	3596	3765	-169	3765
5.74	3664	3771	-107	3771
5.76	3641	3777	-136	3777
5.78	3734	3783	-49	3783
5.8	3681	3788	-107	3788
5.82	3744	3794	-50	3794
5.84	3751	3800	-49	3800
5.86	3603	3806	-203	3806
5.88	3731	3812	-81	3812
5.9	3680	3818	-138	3818
5.92	3818	3824	-6	3824
5.94	3641	3830	-189	3830
5.96	3704	3836	-132	3836
5.98	3703	3842	-139	3842
6.0	3815	3848	-33	3848
6.02	3804	3855	-51	3855
6.04	3764	3861	-97	3861
6.06	3822	3867	-45	3867
6.08	3776	3873	-97	3873
6.1	3812	3879	-67	3879
6.12	3873	3885	-12	3885
6.14	3823	3891	-68	3891
6.16	3910	3897	13	3897
6.18	3793	3903	-110	3903
6.2	3890	3910	-20	3910
6.22	3811	3916	-105	3916
6.24	3843	3922	-79	3922
6.26	3926	3928	-2	3928
6.28	3803	3934	-131	3934
6.3	3874	3941	-67	3941
6.32	3868	3947	-79	3947
6.34	3934	3953	-19	3953
6.36	3865	3959	-94	3959
6.38	3782	3966	-184	3966
6.4	3882	3972	-90	3972
6.42	4022	3978	44	3978
6.44	3906	3985	-79	3985
6.46	4004	3991	13	3991
6.48	3936	3997	-61	3997
6.5	3970	4004	-34	4004
6.52	3912	4010	-98	4010
6.54	3971	4017	-46	4017
6.56	3867	4023	-156	4023
6.58	3932	4030	-98	4030
6.6	3941	4036	-95	4036
6.62	4012	4043	-31	4043
6.64	3994	4049	-55	4049
6.66	4012	4056	-44	4056
6.68	3950	4062	-112	4062
6.7	3964	4069	-105	4069
6.72	4058	4075	-17	4075
6.74	4045	4082	-37	4082
6.76	4142	4089	53	4089
6.78	4044	4095	-51	4095
6.8	4102	4102	0	4102
6.82	4098	4109	-11	4109
6.84	4054	4115	-61	4115
6.86	4035	4122	-87	4122
6.88	4113	4129	-16	4129
6.9	4044	4136	-92	4136
6.92	4096	4142	-46	4142
6.94	4102	4149	-47	4149
