HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=6857.0/426.0, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	5231.0	5301.0	-70.0	5293.7
5.02	5410.0	5317.9	92.1	5310.6
5.04	5263.0	5334.8	-71.8	5327.5
5.06	5357.0	5351.7	5.3	5344.4
5.08	5244.0	5368.5	-124.5	5361.3
5.1	5375.0	5385.4	-10.4	5378.1
5.12	5208.0	5402.2	-194.2	5395.0
5.14	5418.0	5419.1	-1.1	5411.8
5.16	5338.0	5435.9	-97.9	5428.6
5.18	5460.0	5452.6	7.4	5445.4
5.2	5337.0	5469.4	-132.4	5462.1
5.22	5361.0	5486.1	-125.1	5478.9
5.24	5495.0	5502.8	-7.8	5495.6
5.26	5528.0	5519.5	8.5	5512.2
5.28	5463.0	5536.1	-73.1	5528.8
5.3	5370.0	5552.7	-182.7	5545.4
5.32	5522.0	5569.2	-47.2	5561.9
5.34	5566.0	5585.7	-19.7	5578.4
5.36	5434.0	5602.1	-168.1	5594.9
5.38	5576.0	5618.5	-42.5	5611.3
5.4	5516.0	5634.9	-118.9	5627.6
5.42	5566.0	5651.1	-85.1	5643.8
5.44	5421.0	5667.3	-246.3	5660.1
5.46	5573.0	5683.5	-110.5	5676.2
5.48	5656.0	5699.5	-43.5	5692.3
5.5	5667.0	5715.6	-48.5	5708.3
5.52	5677.0	5731.5	-54.5	5724.2
5.54	5669.0	5747.3	-78.3	5740.1
5.56	5636.0	5763.1	-127.1	5755.8
5.58	5636.0	5778.8	-142.8	5771.5
5.6	5678.0	5794.4	-116.4	5787.1
5.62	5645.0	5809.9	-164.9	5802.6
5.64	5731.0	5825.3	-94.3	5818.1
5.66	5853.0	5840.7	12.3	5833.4
5.68	5574.0	5855.9	-281.9	5848.6
5.7	5783.0	5871.0	-88.0	5863.8
5.72	5804.0	5886.1	-82.1	5878.8
5.74	5765.0	5901.0	-136.0	5893.7
5.76	5880.0	5915.8	-35.8	5908.5
5.78	5902.0	5930.5	-28.5	5923.2
5.8	5825.0	5945.1	-120.1	5937.8
5.82	5972.0	5959.5	12.5	5952.3
5.84	5773.0	5973.9	-200.9	5966.6
5.86	5775.0	5988.1	-213.1	5980.8
5.88	5898.0	6002.2	-104.2	5994.9
5.9	6058.0	6016.2	41.8	6008.9
5.92	5980.0	6030.0	-50.0	6022.7
5.94	5958.0	6043.7	-85.7	6036.4
5.96	5860.0	6057.3	-197.3	6050.0
5.98	6107.0	6070.7	36.3	6063.4
6.0	6048.0	6083.9	-35.9	6076.7
6.02	6007.0	6097.1	-90.1	6089.8
6.04	6042.0	6110.0	-68.0	6102.8
6.06	5984.0	6122.9	-138.9	6115.6
6.08	6039.0	6135.5	-96.5	6128.3
6.1	6103.0	6148.0	-45.0	6140.8
6.12	5972.0	6160.4	-188.4	6153.1
6.14	6117.0	6172.5	-55.5	6165.3
6.16	6073.0	6184.6	-111.6	6177.3
