20251106_HM499GaHf2Nb_chiAC_vs_T_B_0T.003.txt Thu, Nov 6, 2025 3:39:42 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_003	Chan2_V_003	Temperature_003	Field_003	Timestamp_003
-6.705570000E-8	0.000000000E+0	7.997400000E+0	2.858541012E-1	2.500000000E-2
5.960510000E-8	-2.533220000E-7	7.985200000E+0	2.858541012E-1	6.440900000E+1
3.576300000E-7	-1.490130000E-7	7.974400000E+0	2.858541012E-1	6.561900000E+1
3.576300000E-7	-1.564630000E-7	7.963800000E+0	2.858541012E-1	6.652000000E+1
2.533220000E-7	-2.682230000E-7	7.950400000E+0	2.858541012E-1	6.797700000E+1
4.395860000E-7	-1.788150000E-7	7.937400000E+0	2.858541012E-1	6.902800000E+1
2.235190000E-8	-2.086170000E-7	7.927100000E+0	2.858541012E-1	7.051500000E+1
-1.341110000E-7	4.470370000E-8	7.915900000E+0	2.858541012E-1	7.161300000E+1
3.725310000E-8	2.011670000E-7	7.901300000E+0	2.858541012E-1	7.361100000E+1
-7.450630000E-8	4.470370000E-8	7.888600000E+0	2.858541012E-1	7.467100000E+1
4.544870000E-7	3.725310000E-8	7.877300000E+0	2.858541012E-1	7.636500000E+1
1.490130000E-7	2.607720000E-7	7.866500000E+0	2.858541012E-1	7.774900000E+1
6.705570000E-8	1.937160000E-7	7.856200000E+0	2.858541012E-1	7.899100000E+1
4.172340000E-7	1.862650000E-7	7.843100000E+0	2.858541012E-1	8.029200000E+1
8.940740000E-8	-3.054760000E-7	7.831900000E+0	2.858541012E-1	8.162600000E+1
2.980250000E-7	2.458710000E-7	7.821100000E+0	2.858541012E-1	8.296700000E+1
2.980250000E-8	-1.341110000E-7	7.808700000E+0	2.858541012E-1	8.451800000E+1
1.564630000E-7	2.384200000E-7	7.795100000E+0	2.858541012E-1	8.600200000E+1
3.054760000E-7	-2.607720000E-7	7.784600000E+0	2.858541012E-1	8.716500000E+1
1.043090000E-7	2.384200000E-7	7.774100000E+0	2.858541012E-1	8.851000000E+1
4.246850000E-7	-1.490130000E-7	7.763700000E+0	2.858541012E-1	8.983800000E+1
0.000000000E+0	5.960510000E-8	7.753600000E+0	2.858541012E-1	9.117700000E+1
2.235190000E-8	1.415620000E-7	7.741600000E+0	2.858541012E-1	9.244300000E+1
-2.235190000E-8	-4.470370000E-8	7.728600000E+0	2.858541012E-1	9.385400000E+1
1.043090000E-7	1.862650000E-7	7.717600000E+0	2.858541012E-1	9.550800000E+1
1.862650000E-7	1.788150000E-7	7.703700000E+0	2.858541012E-1	9.677300000E+1
0.000000000E+0	-1.862650000E-7	7.692700000E+0	2.858541012E-1	9.813900000E+1
4.619380000E-7	-6.705570000E-8	7.681600000E+0	2.858541012E-1	9.950900000E+1
3.799810000E-7	1.564630000E-7	7.668400000E+0	2.858541012E-1	1.010970000E+2
4.172340000E-7	1.862650000E-7	7.658000000E+0	2.858541012E-1	1.025430000E+2
3.799810000E-7	1.490130000E-7	7.644600000E+0	2.858541012E-1	1.041560000E+2
3.278270000E-7	2.160680000E-7	7.632200000E+0	2.858541012E-1	1.055760000E+2
3.427290000E-7	-2.682230000E-7	7.618100000E+0	2.858541012E-1	1.074360000E+2
8.195680000E-8	-2.458710000E-7	7.604800000E+0	2.858541012E-1	1.085450000E+2
3.874320000E-7	-8.940740000E-8	7.594400000E+0	2.858541012E-1	1.101070000E+2
-1.490130000E-8	-4.470370000E-8	7.581000000E+0	2.858541012E-1	1.116150000E+2
2.011670000E-7	3.203770000E-7	7.569300000E+0	2.858541012E-1	1.131000000E+2
4.470370000E-8	-2.086170000E-7	7.558800000E+0	2.858541012E-1	1.142830000E+2
3.054760000E-7	2.086170000E-7	7.545800000E+0	2.858541012E-1	1.159790000E+2
4.246850000E-7	-2.011670000E-7	7.535200000E+0	2.858541012E-1	1.169310000E+2
2.011670000E-7	2.086170000E-7	7.521300000E+0	2.858541012E-1	1.186580000E+2
4.619380000E-7	1.043090000E-7	7.508400000E+0	2.858541012E-1	1.203080000E+2
3.352780000E-7	-1.341110000E-7	7.497000000E+0	2.858541012E-1	1.217770000E+2
3.054760000E-7	1.490130000E-7	7.483700000E+0	2.858541012E-1	1.233440000E+2
4.544870000E-7	1.117590000E-7	7.471300000E+0	2.858541012E-1	1.247970000E+2
1.564630000E-7	2.235180000E-7	7.461100000E+0	2.858541012E-1	1.260070000E+2
2.309690000E-7	-2.756730000E-7	7.449500000E+0	2.858541012E-1	1.273570000E+2
-3.725310000E-8	1.266610000E-7	7.437500000E+0	2.858541012E-1	1.286820000E+2
3.874320000E-7	7.450630000E-8	7.425900000E+0	2.858541012E-1	1.300010000E+2
1.490130000E-7	-3.129260000E-7	7.412800000E+0	2.858541012E-1	1.316690000E+2
1.490130000E-8	-2.086170000E-7	7.402100000E+0	2.858541012E-1	1.331260000E+2
4.544870000E-7	-1.341110000E-7	7.390800000E+0	2.858541012E-1	1.346870000E+2
2.533220000E-7	-2.682230000E-7	7.377400000E+0	2.858541012E-1	1.361450000E+2
-7.450640000E-9	1.341110000E-7	7.364800000E+0	2.858541012E-1	1.380060000E+2
1.490130000E-8	-1.639140000E-7	7.354400000E+0	2.858541012E-1	1.386890000E+2
-2.980250000E-8	9.685800000E-8	7.342600000E+0	2.858541012E-1	1.403380000E+2
2.235190000E-8	-1.564630000E-7	7.332000000E+0	2.858541012E-1	1.413790000E+2
2.980250000E-8	2.309690000E-7	7.318900000E+0	2.858541012E-1	1.432220000E+2
2.086170000E-7	-2.533220000E-7	7.307600000E+0	2.858541012E-1	1.444080000E+2
-1.490130000E-8	1.266610000E-7	7.296000000E+0	2.858541012E-1	1.462660000E+2
-5.215430000E-8	1.117590000E-7	7.282900000E+0	2.858541012E-1	1.475110000E+2
3.203770000E-7	-2.160680000E-7	7.268900000E+0	2.858541012E-1	1.492280000E+2
2.980250000E-8	1.564630000E-7	7.256700000E+0	2.858541012E-1	1.503950000E+2
4.470370000E-7	-7.450630000E-8	7.242900000E+0	2.858541012E-1	1.519050000E+2
2.682230000E-7	2.533220000E-7	7.230100000E+0	2.858541012E-1	1.534670000E+2
1.341110000E-7	-2.682230000E-7	7.217000000E+0	2.858541012E-1	1.553540000E+2
0.000000000E+0	1.266610000E-7	7.204300000E+0	2.858541012E-1	1.572040000E+2
-5.215430000E-8	-5.215430000E-8	7.190800000E+0	2.858541012E-1	1.584370000E+2
4.693880000E-7	-2.235190000E-8	7.177500000E+0	2.858541012E-1	1.601530000E+2
2.384200000E-7	2.309690000E-7	7.161800000E+0	2.858541012E-1	1.618970000E+2
3.054760000E-7	-2.831240000E-7	7.148700000E+0	2.858541012E-1	1.632280000E+2
-5.960510000E-8	-2.235190000E-8	7.135300000E+0	2.858541012E-1	1.650760000E+2
-3.725310000E-8	-1.341110000E-7	7.124600000E+0	2.858541012E-1	1.663220000E+2
4.395860000E-7	1.490130000E-7	7.111100000E+0	2.858541012E-1	1.680280000E+2
0.000000000E+0	9.685800000E-8	7.098100000E+0	2.858541012E-1	1.697560000E+2
3.501790000E-7	-2.086170000E-7	7.085900000E+0	2.858541012E-1	1.711130000E+2
4.470370000E-7	1.490130000E-8	7.072200000E+0	2.858541012E-1	1.727050000E+2
4.619380000E-7	-1.192100000E-7	7.058200000E+0	2.858541012E-1	1.741530000E+2
1.639140000E-7	-2.458710000E-7	7.047500000E+0	2.858541012E-1	1.756280000E+2
3.650800000E-7	-1.341110000E-7	7.037300000E+0	2.858541012E-1	1.768430000E+2
-5.960510000E-8	0.000000000E+0	7.024000000E+0	2.858541012E-1	1.787160000E+2
0.000000000E+0	1.564630000E-7	7.010700000E+0	2.858541012E-1	1.803430000E+2
2.309690000E-7	2.384200000E-7	6.997200000E+0	2.858541012E-1	1.816310000E+2
2.980250000E-8	1.564630000E-7	6.983800000E+0	2.858541012E-1	1.832280000E+2
3.799810000E-7	2.086170000E-7	6.971900000E+0	2.858541012E-1	1.847050000E+2
-1.490130000E-8	1.117590000E-7	6.961300000E+0	2.858541012E-1	1.859010000E+2
4.172340000E-7	-1.341110000E-7	6.949500000E+0	2.858541012E-1	1.872510000E+2
-7.450640000E-9	1.266610000E-7	6.938600000E+0	2.858541012E-1	1.886040000E+2
3.799810000E-7	-1.564630000E-7	6.925600000E+0	2.858541012E-1	1.903060000E+2
2.384200000E-7	-2.905740000E-7	6.911900000E+0	2.858541012E-1	1.923010000E+2
1.415620000E-7	-3.129260000E-7	6.899200000E+0	2.858541012E-1	1.933810000E+2
-5.215430000E-8	-2.011670000E-7	6.889200000E+0	2.858541012E-1	1.948460000E+2
3.129260000E-7	-1.490130000E-7	6.877800000E+0	2.858541012E-1	1.960480000E+2
2.384200000E-7	2.011670000E-7	6.865300000E+0	2.858541012E-1	1.974250000E+2
4.470370000E-7	-5.215430000E-8	6.852600000E+0	2.858541012E-1	1.987230000E+2
1.639140000E-7	2.011670000E-7	6.841200000E+0	2.858541012E-1	2.004650000E+2
-6.705570000E-8	-1.192100000E-7	6.830700000E+0	2.858541012E-1	2.016640000E+2
2.458710000E-7	2.458710000E-7	6.819300000E+0	2.858541012E-1	2.031660000E+2
-8.940740000E-8	-1.415620000E-7	6.807600000E+0	2.858541012E-1	2.043570000E+2
-6.705570000E-8	1.862650000E-7	6.796700000E+0	2.858541012E-1	2.056470000E+2
4.097840000E-7	-1.415620000E-7	6.785700000E+0	2.858541012E-1	2.069910000E+2
4.246850000E-7	-4.470370000E-8	6.774200000E+0	2.858541012E-1	2.087670000E+2
-8.195680000E-8	1.266610000E-7	6.760200000E+0	2.858541012E-1	2.101200000E+2
1.266610000E-7	2.533220000E-7	6.749600000E+0	2.858541012E-1	2.114060000E+2
3.278270000E-7	-2.607720000E-7	6.736800000E+0	2.858541012E-1	2.132760000E+2
-8.940740000E-8	-6.705570000E-8	6.726100000E+0	2.858541012E-1	2.140580000E+2
3.874320000E-7	4.470370000E-8	6.715600000E+0	2.858541012E-1	2.155800000E+2
-3.725310000E-8	5.215430000E-8	6.703700000E+0	2.858541012E-1	2.165760000E+2
4.172340000E-7	0.000000000E+0	6.690400000E+0	2.858541012E-1	2.184470000E+2
3.427290000E-7	-1.490130000E-7	6.677900000E+0	2.858541012E-1	2.200870000E+2
3.650800000E-7	-2.160680000E-7	6.665800000E+0	2.858541012E-1	2.215220000E+2
2.980250000E-7	1.788150000E-7	6.655100000E+0	2.858541012E-1	2.227300000E+2
1.713640000E-7	-2.831240000E-7	6.642300000E+0	2.858541012E-1	2.242430000E+2
3.129260000E-7	1.713640000E-7	6.632100000E+0	2.858541012E-1	2.254220000E+2
-5.960510000E-8	-5.215430000E-8	6.619400000E+0	2.858541012E-1	2.267870000E+2
1.117590000E-7	2.533220000E-7	6.608200000E+0	2.858541012E-1	2.280860000E+2
2.235190000E-8	-2.384200000E-7	6.596600000E+0	2.858541012E-1	2.298060000E+2
4.395860000E-7	-1.639140000E-7	6.586100000E+0	2.858541012E-1	2.312060000E+2
3.576300000E-7	-1.788150000E-7	6.574400000E+0	2.858541012E-1	2.324680000E+2
1.192100000E-7	2.607720000E-7	6.563800000E+0	2.858541012E-1	2.336540000E+2
7.450640000E-9	-2.160680000E-7	6.552300000E+0	2.858541012E-1	2.351940000E+2
1.937160000E-7	2.235180000E-7	6.541000000E+0	2.858541012E-1	2.363580000E+2
3.725310000E-7	-1.937160000E-7	6.527600000E+0	2.858541012E-1	2.376710000E+2
-7.450630000E-8	6.705570000E-8	6.516000000E+0	2.858541012E-1	2.395450000E+2
3.352780000E-7	-2.831240000E-7	6.504900000E+0	2.858541012E-1	2.407280000E+2
1.490130000E-7	2.607720000E-7	6.493900000E+0	2.858541012E-1	2.422630000E+2
-7.450630000E-8	-1.415620000E-7	6.482000000E+0	2.858541012E-1	2.434670000E+2
3.799810000E-7	5.960510000E-8	6.469800000E+0	2.858541012E-1	2.448150000E+2
7.450640000E-9	-2.160680000E-7	6.459300000E+0	2.858541012E-1	2.461470000E+2
-2.235190000E-8	-1.192100000E-7	6.448700000E+0	2.858541012E-1	2.474110000E+2
2.533220000E-7	-2.533220000E-7	6.436300000E+0	2.858541012E-1	2.491670000E+2
-2.980250000E-8	1.639140000E-7	6.423800000E+0	2.858541012E-1	2.504990000E+2
3.799810000E-7	1.415620000E-7	6.411200000E+0	2.858541012E-1	2.523340000E+2
8.940740000E-8	2.533220000E-7	6.397800000E+0	2.858541012E-1	2.535570000E+2
3.799810000E-7	-5.960510000E-8	6.385400000E+0	2.858541012E-1	2.548820000E+2
2.309690000E-7	2.458710000E-7	6.374300000E+0	2.858541012E-1	2.562700000E+2
3.725310000E-7	-2.980250000E-8	6.364000000E+0	2.858541012E-1	2.575620000E+2
4.246850000E-7	1.043090000E-7	6.352500000E+0	2.858541012E-1	2.591620000E+2
3.501790000E-7	-1.937160000E-7	6.339900000E+0	2.858541012E-1	2.606350000E+2
3.278270000E-7	5.960510000E-8	6.329600000E+0	2.858541012E-1	2.618500000E+2
4.395860000E-7	-5.960510000E-8	6.316400000E+0	2.858541012E-1	2.633080000E+2
-8.940740000E-8	2.235190000E-8	6.303900000E+0	2.858541012E-1	2.648350000E+2
-5.215430000E-8	-2.309690000E-7	6.293100000E+0	2.858541012E-1	2.662380000E+2
9.685800000E-8	-2.980250000E-7	6.281000000E+0	2.858541012E-1	2.678380000E+2
7.450630000E-8	-2.831240000E-7	6.269900000E+0	2.858541012E-1	2.689190000E+2
1.788150000E-7	-2.905740000E-7	6.259600000E+0	2.858541012E-1	2.705180000E+2
1.266610000E-7	-3.054760000E-7	6.246300000E+0	2.858541012E-1	2.716020000E+2
7.450640000E-9	1.341110000E-7	6.235900000E+0	2.858541012E-1	2.729280000E+2
2.831240000E-7	-2.905740000E-7	6.225000000E+0	2.858541012E-1	2.742610000E+2
