HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=7027.0/282.0, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	5472.0	5452.2	19.8	5445.4
5.02	5509.0	5465.4	43.6	5458.6
5.04	5408.0	5478.7	-70.7	5471.9
5.06	5397.0	5491.9	-94.9	5485.1
5.08	5475.0	5505.1	-30.1	5498.3
5.1	5510.0	5518.4	-8.4	5511.6
5.12	5508.0	5531.6	-23.6	5524.8
5.14	5577.0	5544.9	32.1	5538.1
5.16	5474.0	5558.1	-84.1	5551.3
5.18	5529.0	5571.4	-42.4	5564.6
5.2	5627.0	5584.6	42.4	5577.8
5.22	5620.0	5597.9	22.1	5591.1
5.24	5523.0	5611.2	-88.2	5604.4
5.26	5616.0	5624.5	-8.5	5617.7
5.28	5615.0	5637.8	-22.8	5631.0
5.3	5819.0	5651.1	167.9	5644.3
5.32	5621.0	5664.4	-43.4	5657.6
5.34	5602.0	5677.7	-75.7	5670.9
5.36	5527.0	5691.0	-164.0	5684.3
5.38	5717.0	5704.4	12.6	5697.6
5.4	5664.0	5717.8	-53.8	5711.0
5.42	5631.0	5731.2	-100.2	5724.4
5.44	5858.0	5744.6	113.4	5737.8
5.46	5749.0	5758.0	-9.0	5751.2
5.48	5837.0	5771.4	65.6	5764.6
5.5	5925.0	5784.8	140.2	5778.1
5.52	5730.0	5798.3	-68.3	5791.5
5.54	5699.0	5811.8	-112.8	5805.0
5.56	5800.0	5825.3	-25.3	5818.5
5.58	5905.0	5838.8	66.2	5832.0
5.6	5722.0	5852.4	-130.4	5845.6
5.62	6008.0	5865.9	142.1	5859.1
5.64	5915.0	5879.5	35.5	5872.7
5.66	5942.0	5893.0	49.0	5886.2
5.68	6044.0	5906.6	137.4	5899.8
5.7	5916.0	5920.1	-4.1	5913.3
5.72	5870.0	5933.7	-63.7	5926.9
5.74	5926.0	5947.2	-21.2	5940.4
5.76	5960.0	5960.7	-0.7	5954.0
5.78	6008.0	5974.3	33.7	5967.5
5.8	5994.0	5987.8	6.2	5981.0
5.82	6056.0	6001.2	54.8	5994.4
5.84	5949.0	6014.7	-65.7	6007.9
5.86	5978.0	6028.1	-50.1	6021.3
5.88	6125.0	6041.5	83.5	6034.7
5.9	6004.0	6054.8	-50.8	6048.0
5.92	6087.0	6068.2	18.8	6061.4
5.94	5997.0	6081.4	-84.4	6074.6
5.96	5995.0	6094.7	-99.7	6087.9
5.98	6164.0	6107.8	56.2	6101.1
6.0	6041.0	6121.0	-80.0	6114.2
6.02	6138.0	6134.1	3.9	6127.3
6.04	6047.0	6147.1	-100.1	6140.3
6.06	6301.0	6160.1	140.9	6153.3
6.08	6413.0	6173.0	240.0	6166.2
6.1	6170.0	6185.8	-15.8	6179.0
6.12	6216.0	6198.6	17.4	6191.8
6.14	6309.0	6211.3	97.7	6204.5
6.16	6273.0	6223.9	49.1	6217.1
6.18	6246.0	6236.4	9.6	6229.6
6.2	6219.0	6248.9	-29.9	6242.1
6.22	6251.0	6261.2	-10.2	6254.5
6.24	6235.0	6273.5	-38.5	6266.7
6.26	6282.0	6285.7	-3.7	6278.9
6.28	6353.0	6297.8	55.2	6291.0
6.3	6433.0	6309.8	123.2	6303.0
6.32	6361.0	6321.7	39.3	6314.9
6.34	6143.0	6333.5	-190.5	6326.7
6.36	6302.0	6345.2	-43.2	6338.4
6.38	6457.0	6356.8	100.2	6350.0
6.4	6411.0	6368.3	42.7	6361.5
6.42	6427.0	6379.6	47.4	6372.8
6.44	6442.0	6390.8	51.2	6384.0
6.46	6533.0	6401.9	131.1	6395.1
6.48	6452.0	6412.9	39.1	6406.1
6.5	6383.0	6423.8	-40.8	6417.0
6.52	6383.0	6434.5	-51.5	6427.7
