20251108_HM500GaNbZr2_chiAC_vs_T_B_2T.001.txt Sat, Nov 8, 2025 3:17:46 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_001	Chan2_V_001	Temperature_001	Field_001	Timestamp_001
0.000000000E+0	-1.862650000E-7	1.199850000E+1	1.999961523E+4	2.500000000E-2
-3.576300000E-7	3.799810000E-7	1.198580000E+1	1.999961523E+4	3.941400000E+1
-3.650800000E-7	3.054760000E-7	1.197340000E+1	1.999961523E+4	4.102900000E+1
-5.736980000E-7	6.705570000E-8	1.195840000E+1	1.999961523E+4	4.224700000E+1
-1.490130000E-7	3.129260000E-7	1.194670000E+1	1.999961523E+4	4.301100000E+1
-5.066430000E-7	1.862650000E-7	1.193460000E+1	1.999961523E+4	4.387500000E+1
-1.639140000E-7	2.235180000E-7	1.192300000E+1	1.999961523E+4	4.463800000E+1
-3.650800000E-7	2.309690000E-7	1.191090000E+1	1.999961523E+4	4.552400000E+1
-6.258520000E-7	-1.564630000E-7	1.189870000E+1	1.999961523E+4	4.635200000E+1
-2.831240000E-7	2.458710000E-7	1.188860000E+1	1.999961523E+4	4.714300000E+1
-2.756730000E-7	3.054760000E-7	1.187180000E+1	1.999961523E+4	4.837900000E+1
-7.450640000E-9	3.725310000E-8	1.186080000E+1	1.999961523E+4	4.916000000E+1
-5.513470000E-7	-7.450640000E-9	1.184890000E+1	1.999961523E+4	4.995400000E+1
-8.195680000E-8	3.352780000E-7	1.183730000E+1	1.999961523E+4	5.074500000E+1
-4.395860000E-7	1.713640000E-7	1.182490000E+1	1.999961523E+4	5.158200000E+1
-8.940740000E-8	2.980250000E-7	1.181240000E+1	1.999961523E+4	5.235200000E+1
-2.607720000E-7	-6.705570000E-8	1.179850000E+1	1.999961523E+4	5.313800000E+1
-2.384200000E-7	-7.450630000E-8	1.178400000E+1	1.999961523E+4	5.421100000E+1
-5.289950000E-7	2.011670000E-7	1.176780000E+1	1.999961523E+4	5.499800000E+1
-4.023330000E-7	-6.705570000E-8	1.175340000E+1	1.999961523E+4	5.568300000E+1
-1.490130000E-7	3.576300000E-7	1.173820000E+1	1.999961523E+4	5.646900000E+1
-2.607720000E-7	-1.341110000E-7	1.172390000E+1	1.999961523E+4	5.726500000E+1
-1.266610000E-7	2.905740000E-7	1.170740000E+1	1.999961523E+4	5.809500000E+1
-1.415620000E-7	-7.450630000E-8	1.169030000E+1	1.999961523E+4	5.887800000E+1
-4.321350000E-7	3.203770000E-7	1.167330000E+1	1.999961523E+4	5.967600000E+1
-1.043090000E-7	-2.980250000E-8	1.165550000E+1	1.999961523E+4	6.047400000E+1
-1.713640000E-7	3.129260000E-7	1.163800000E+1	1.999961523E+4	6.131500000E+1
-3.352780000E-7	-1.862650000E-7	1.161970000E+1	1.999961523E+4	6.212700000E+1
-4.619380000E-7	-5.215430000E-8	1.160930000E+1	1.999961523E+4	6.250500000E+1
-4.470370000E-7	2.160680000E-7	1.159020000E+1	1.999961523E+4	6.326700000E+1
-8.940740000E-8	1.043090000E-7	1.157910000E+1	1.999961523E+4	6.367600000E+1
-5.215440000E-7	-5.215430000E-8	1.156050000E+1	1.999961523E+4	6.448700000E+1
-1.639140000E-7	-2.309690000E-7	1.154900000E+1	1.999961523E+4	6.497200000E+1
-2.980250000E-8	-6.705570000E-8	1.152870000E+1	1.999961523E+4	6.567300000E+1
-3.203770000E-7	2.905740000E-7	1.151760000E+1	1.999961523E+4	6.614900000E+1
-4.544870000E-7	2.086170000E-7	1.150750000E+1	1.999961523E+4	6.648200000E+1
-9.685800000E-8	2.682230000E-7	1.149590000E+1	1.999961523E+4	6.688500000E+1
-5.215430000E-8	-7.450630000E-8	1.148540000E+1	1.999961523E+4	6.728800000E+1
-4.991930000E-7	-6.705570000E-8	1.147490000E+1	1.999961523E+4	6.771100000E+1
-4.544870000E-7	1.117590000E-7	1.146430000E+1	1.999961523E+4	6.809400000E+1
-9.685800000E-8	2.160680000E-7	1.145300000E+1	1.999961523E+4	6.850000000E+1
-4.395860000E-7	1.564630000E-7	1.143390000E+1	1.999961523E+4	6.953500000E+1
