HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=6804.0/211.0, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	5314.0	5324.0	-10.0	5317.6
5.02	5341.0	5330.2	10.8	5323.8
5.04	5249.0	5336.5	-87.5	5330.1
5.06	5323.0	5342.7	-19.7	5336.3
5.08	5393.0	5349.1	43.9	5342.7
5.1	5339.0	5355.5	-16.4	5349.1
5.12	5391.0	5361.9	29.1	5355.5
5.14	5360.0	5368.5	-8.5	5362.1
5.16	5463.0	5375.2	87.8	5368.8
5.18	5264.0	5382.0	-118.0	5375.6
5.2	5310.0	5389.0	-79.0	5382.6
5.22	5420.0	5396.2	23.8	5389.8
5.24	5339.0	5403.5	-64.5	5397.1
5.26	5534.0	5411.0	123.0	5404.6
5.28	5428.0	5418.8	9.2	5412.4
5.3	5457.0	5426.8	30.2	5420.4
5.32	5454.0	5435.0	19.0	5428.6
5.34	5502.0	5443.5	58.5	5437.1
5.36	5524.0	5452.3	71.7	5445.9
5.38	5562.0	5461.4	100.6	5455.0
5.4	5406.0	5470.8	-64.8	5464.4
5.42	5364.0	5480.6	-116.6	5474.2
5.44	5650.0	5490.7	159.3	5484.3
5.46	5729.0	5501.2	227.8	5494.8
5.48	5558.0	5512.0	46.0	5505.6
5.5	5515.0	5523.3	-8.3	5516.9
5.52	5617.0	5535.0	82.0	5528.6
5.54	5487.0	5547.1	-60.1	5540.7
5.56	5695.0	5559.7	135.3	5553.3
5.58	5489.0	5572.7	-83.7	5566.3
5.6	5736.0	5586.1	149.9	5579.7
5.62	5691.0	5600.0	91.0	5593.6
5.64	5786.0	5614.2	171.8	5607.8
5.66	5792.0	5628.7	163.3	5622.3
5.68	5592.0	5643.6	-51.6	5637.2
5.7	5755.0	5658.8	96.2	5652.4
5.72	5754.0	5674.3	79.7	5667.9
5.74	5685.0	5690.0	-5.0	5683.6
5.76	5799.0	5706.0	93.0	5699.7
5.78	5746.0	5722.3	23.7	5715.9
5.8	5796.0	5738.8	57.2	5732.4
5.82	5903.0	5755.4	147.6	5749.0
5.84	5870.0	5772.3	97.7	5765.9
5.86	5852.0	5789.2	62.8	5782.8
5.88	5922.0	5806.4	115.6	5800.0
5.9	5869.0	5823.6	45.4	5817.2
5.92	5913.0	5840.9	72.1	5834.5
5.94	6080.0	5858.3	221.7	5851.9
5.96	5978.0	5875.8	102.2	5869.4
5.98	5991.0	5893.3	97.7	5886.9
6.0	6048.0	5910.8	137.2	5904.4
6.02	5925.0	5928.3	-3.3	5921.9
6.04	5910.0	5945.7	-35.7	5939.3
6.06	5942.0	5963.1	-21.1	5956.8
6.08	5922.0	5980.5	-58.5	5974.1
6.1	6054.0	5997.8	56.2	5991.4
6.12	6041.0	6014.9	26.1	6008.5
6.14	5924.0	6032.0	-108.0	6025.6
6.16	5887.0	6048.9	-161.9	6042.5
6.18	6016.0	6065.6	-49.6	6059.2
6.2	6080.0	6082.1	-2.1	6075.7
6.22	6203.0	6098.4	104.6	6092.0
6.24	6073.0	6114.5	-41.5	6108.1
6.26	6019.0	6130.4	-111.4	6124.0
6.28	6210.0	6146.0	64.0	6139.6
6.3	6145.0	6161.3	-16.3	6154.9
6.32	6084.0	6176.3	-92.3	6169.9
6.34	6206.0	6190.9	15.1	6184.5
6.36	6317.0	6205.3	111.7	6198.9
6.38	6252.0	6219.2	32.8	6212.8
6.4	6223.0	6232.8	-9.8	6226.4
6.42	6180.0	6246.1	-66.1	6239.7
6.44	6202.0	6259.0	-57.0	6252.6
6.46	6112.0	6271.6	-159.6	6265.2
6.48	6183.0	6283.9	-100.9	6277.5
6.5	6405.0	6295.8	109.2	6289.4
6.52	6385.0	6307.4	77.6	6301.0
6.54	6276.0	6318.7	-42.7	6312.3
6.56	6471.0	6329.6	141.4	6323.2
