20251112_HM502Nb5Si2V_chiAC_vs_T_B_0T.003.txt Wed, Nov 12, 2025 3:43:26 PM Gabriele
Magnet: None
Trigger spacing of 0.010000 on column #3
Offsets:	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0	0.000000000E+0

Scale Factors:	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0	1.000000000E+0


Lockin_V_003	Chan2_V_003	Temperature_003	Field_003	Timestamp_003
-1.192100000E-7	6.109510000E-7	7.003300000E+0	1.955843717E-1	2.800000000E-2
-7.450640000E-9	3.874320000E-7	6.987700000E+0	1.955843717E-1	3.969100000E+1
8.270180000E-7	2.011670000E-7	6.947700000E+0	1.955843717E-1	4.009300000E+1
2.607720000E-7	-5.960500000E-7	6.841200000E+0	1.955843717E-1	4.106200000E+1
2.980250000E-8	-5.364450000E-7	6.808800000E+0	1.955843717E-1	4.197000000E+1
7.450630000E-8	3.576300000E-7	6.825400000E+0	1.955843717E-1	4.238300000E+1
5.736980000E-7	3.203770000E-7	6.852600000E+0	1.955843717E-1	4.277500000E+1
-2.831240000E-7	-5.960510000E-8	6.887700000E+0	1.955843717E-1	4.325400000E+1
2.086170000E-7	-6.854570000E-7	6.921000000E+0	1.955843717E-1	4.357000000E+1
-1.490130000E-8	1.937160000E-7	6.939500000E+0	1.955843717E-1	4.398400000E+1
7.599630000E-7	3.948830000E-7	6.954200000E+0	1.955843717E-1	4.438000000E+1
7.152590000E-7	3.650800000E-7	6.971000000E+0	1.955843717E-1	4.491200000E+1
4.842910000E-7	-8.121170000E-7	6.989100000E+0	1.955843717E-1	4.536900000E+1
1.132500000E-6	-7.599630000E-7	7.011500000E+0	1.955843717E-1	4.569600000E+1
3.129260000E-7	-5.662480000E-7	7.025700000E+0	1.955843717E-1	4.610500000E+1
6.780060000E-7	4.619380000E-7	7.015000000E+0	1.955843717E-1	4.813400000E+1
6.184020000E-7	-6.407540000E-7	7.032400000E+0	1.955843717E-1	4.930500000E+1
5.811490000E-7	5.289950000E-7	7.043100000E+0	1.955843717E-1	4.975100000E+1
1.035640000E-6	-2.607720000E-7	7.060200000E+0	1.955843717E-1	5.089300000E+1
2.235180000E-7	5.289950000E-7	7.049700000E+0	1.955843717E-1	5.170100000E+1
-4.470370000E-8	1.341110000E-7	7.022600000E+0	1.955843717E-1	5.329800000E+1
6.556550000E-7	-4.768410000E-7	6.994900000E+0	1.955843717E-1	5.378100000E+1
4.768410000E-7	-5.215440000E-7	6.973700000E+0	1.955843717E-1	5.414800000E+1
7.897650000E-7	-4.246850000E-7	6.961900000E+0	1.955843717E-1	5.449000000E+1
-2.533220000E-7	-1.713640000E-7	6.950100000E+0	1.955843717E-1	5.650800000E+1
-3.650800000E-7	2.309690000E-7	6.938900000E+0	1.955843717E-1	5.688500000E+1
-1.341110000E-7	3.203770000E-7	6.927300000E+0	1.955843717E-1	5.815400000E+1
2.682230000E-7	4.917420000E-7	6.943900000E+0	1.955843717E-1	5.942900000E+1
6.929080000E-7	-5.886000000E-7	6.957400000E+0	1.955843717E-1	5.970300000E+1
7.450630000E-8	-5.215430000E-8	6.970900000E+0	1.955843717E-1	6.011400000E+1
7.823150000E-7	3.278270000E-7	6.985700000E+0	1.955843717E-1	6.250400000E+1
1.281510000E-6	-3.203770000E-7	6.969200000E+0	1.955843717E-1	6.416900000E+1
1.423070000E-6	2.905740000E-7	6.950900000E+0	1.955843717E-1	6.449800000E+1
4.768410000E-7	-2.235180000E-7	6.926900000E+0	1.955843717E-1	6.493400000E+1
4.172340000E-7	-1.415620000E-7	6.902900000E+0	1.955843717E-1	6.529500000E+1
4.321350000E-7	6.929080000E-7	6.881800000E+0	1.955843717E-1	6.570000000E+1
8.195680000E-7	-3.203770000E-7	6.856600000E+0	1.955843717E-1	6.616000000E+1
1.117590000E-6	3.501790000E-7	6.833800000E+0	1.955843717E-1	6.647400000E+1
1.490130000E-8	4.395860000E-7	6.812100000E+0	1.955843717E-1	6.694700000E+1
9.909340000E-7	-6.705570000E-8	6.794300000E+0	1.955843717E-1	6.738400000E+1
7.748640000E-7	-4.842910000E-7	6.774500000E+0	1.955843717E-1	6.829600000E+1
4.842910000E-7	-6.631050000E-7	6.787000000E+0	1.955843717E-1	6.903300000E+1
2.980250000E-8	3.203770000E-7	6.801500000E+0	1.955843717E-1	6.946500000E+1
9.685800000E-8	3.501790000E-7	6.819500000E+0	1.955843717E-1	6.982700000E+1
6.407540000E-7	-6.333030000E-7	6.844600000E+0	1.955843717E-1	7.028800000E+1
1.057990000E-6	-2.831240000E-7	6.862700000E+0	1.955843717E-1	7.062000000E+1
1.043090000E-6	-3.799810000E-7	6.874600000E+0	1.955843717E-1	7.116400000E+1
3.501790000E-7	-7.823150000E-7	6.887000000E+0	1.955843717E-1	7.282600000E+1
1.147400000E-6	1.266610000E-7	6.874500000E+0	1.955843717E-1	7.560400000E+1
1.050540000E-6	2.607720000E-7	6.862600000E+0	1.955843717E-1	7.613500000E+1
