HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=57517/1503, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3685	3681	4	3671
5.02	3637	3684	-47	3673
5.04	3736	3686	50	3676
5.06	3680	3688	-8	3678
5.08	3669	3691	-22	3680
5.1	3716	3693	23	3683
5.12	3701	3696	5	3685
5.14	3725	3698	27	3687
5.16	3730	3700	30	3690
5.18	3659	3703	-44	3692
5.2	3719	3705	14	3695
5.22	3619	3708	-89	3697
5.24	3749	3710	39	3700
5.26	3742	3712	30	3702
5.28	3795	3715	80	3705
5.3	3714	3718	-4	3707
5.32	3656	3720	-64	3710
5.34	3722	3723	-1	3712
5.36	3736	3725	11	3715
5.38	3700	3728	-28	3717
5.4	3674	3730	-56	3720
5.42	3739	3733	6	3723
5.44	3742	3736	6	3725
5.46	3690	3739	-49	3728
5.48	3740	3741	-1	3731
5.5	3753	3744	9	3734
5.52	3835	3747	88	3737
5.54	3851	3750	101	3740
5.56	3708	3753	-45	3742
5.58	3688	3756	-68	3745
5.6	3730	3759	-29	3749
5.62	3818	3762	56	3752
5.64	3812	3765	47	3755
5.66	3787	3768	19	3758
5.68	3760	3772	-12	3761
5.7	3779	3775	4	3764
5.72	3692	3778	-86	3768
5.74	3672	3782	-110	3771
5.76	3808	3785	23	3775
5.78	3762	3789	-27	3778
5.8	3863	3792	71	3782
5.82	3654	3796	-142	3786
5.84	3812	3800	12	3789
5.86	3889	3804	85	3793
5.88	3776	3807	-31	3797
5.9	3744	3811	-67	3801
5.92	3761	3815	-54	3805
5.94	3827	3819	8	3809
5.96	3814	3823	-9	3813
5.98	3861	3827	34	3817
6.0	3739	3832	-93	3821
6.02	3914	3836	78	3825
6.04	3670	3840	-170	3830
6.06	3825	3844	-19	3834
6.08	3816	3849	-33	3838
6.1	3878	3853	25	3842
6.12	3920	3857	63	3847
6.14	3750	3862	-112	3851
6.16	3817	3866	-49	3856
6.18	3855	3871	-16	3860
6.2	3787	3875	-88	3865
6.22	3923	3880	43	3869
6.24	3884	3884	0	3874
6.26	3801	3889	-88	3878
6.28	3893	3893	0	3883
6.3	3810	3898	-88	3887
6.32	3921	3902	19	3892
6.34	3889	3907	-18	3896
6.36	3854	3911	-57	3901
6.38	3889	3916	-27	3905
6.4	3819	3920	-101	3910
6.42	4004	3925	79	3914
6.44	3824	3929	-105	3919
6.46	3827	3934	-107	3923
6.48	3880	3938	-58	3928
6.5	3866	3943	-77	3932
6.52	3987	3947	40	3937
6.54	3908	3952	-44	3941
6.56	3914	3956	-42	3946
6.58	3922	3960	-38	3950
6.6	3891	3965	-74	3954
6.62	3950	3969	-19	3959
6.64	4052	3973	79	3963
6.66	4009	3978	31	3967
6.68	3955	3982	-27	3971
6.7	3976	3986	-10	3975
6.72	4041	3990	51	3980
6.74	3966	3994	-28	3984
6.76	3957	3998	-41	3988
6.78	4011	4002	9	3992
6.8	3860	4006	-146	3995
6.82	3959	4010	-51	3999
6.84	3916	4013	-97	4003
6.86	3874	4017	-143	4007
6.88	4016	4021	-5	4010
6.9	4080	4024	56	4014
6.92	3996	4028	-32	4017
6.94	4034	4031	3	4021
6.96	3988	4035	-47	4024
6.98	4066	4038	28	4027
7.0	3944	4041	-97	4031
7.02	4016	4044	-28	4034
7.04	3936	4047	-111	4037
7.06	4019	4050	-31	4040
7.08	3935	4053	-118	4043
7.1	4048	4056	-8	4045
7.12	4035	4058	-23	4048
7.14	4000	4061	-61	4050
7.16	3896	4063	-167	4053
7.18	4095	4066	29	4055
7.2	4030	4068	-38	4058
7.22	4115	4070	45	4060
7.24	4022	4072	-50	4062
7.26	4086	4074	12	4064
7.28	4057	4076	-19	4065
7.3	3978	4077	-99	4067
7.32	3989	4079	-90	4069
7.34	4055	4080	-25	4070
7.36	4121	4082	39	4071
7.38	4114	4083	31	4072
7.4	4039	4084	-45	4073
7.42	4099	4085	14	4074
7.44	4024	4086	-62	4075
7.46	4197	4086	111	4076
7.48	4131	4087	44	4076
7.5	4172	4087	85	4077
7.52	4107	4087	20	4077
7.54	3958	4087	-129	4077
7.56	4092	4087	5	4077
7.58	4107	4087	20	4076
7.6	4160	4086	74	4076
7.62	4047	4086	-39	4075
7.64	4153	4085	68	4075
7.66	4196	4084	112	4074
7.68	4102	4084	18	4073
7.7	4012	4083	-71	4072
7.72	4023	4082	-59	4071
7.74	4165	4080	85	4070
7.76	4032	4079	-47	4069
7.78	4054	4078	-24	4067
7.8	4076	4077	-1	4066
7.82	4078	4075	3	4065
7.84	4039	4074	-35	4063
7.86	4213	4072	141	4062
7.88	4065	4071	-6	4060
7.9	4052	4069	-17	4059
7.92	4077	4068	9	4057
7.94	4228	4066	162	4056
7.96	4146	4065	81	4054
7.98	4128	4063	65	4053
8.0	4085	4062	23	4051
8.02	4048	4060	-12	4050
8.04	4060	4059	1	4048
8.06	4238	4057	181	4047
8.08	4126	4056	70	4046
8.1	4145	4055	90	4044
8.12	4077	4054	23	4043
8.14	4207	4052	155	4042
8.16	4213	4051	162	4041
