HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=26857/758, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3429	3429	0	3419
5.02	3475	3432	43	3422
5.04	3467	3435	32	3426
5.06	3371	3438	-67	3429
5.08	3402	3441	-39	3432
5.1	3472	3444	28	3435
5.12	3363	3447	-84	3438
5.14	3432	3450	-18	3441
5.16	3500	3453	47	3444
5.18	3618	3456	162	3447
5.2	3451	3459	-8	3450
5.22	3336	3462	-126	3453
5.24	3480	3465	15	3456
5.26	3391	3469	-78	3459
5.28	3398	3472	-74	3462
5.3	3414	3475	-61	3466
5.32	3399	3478	-79	3469
5.34	3431	3481	-50	3472
5.36	3526	3485	41	3475
5.38	3447	3488	-41	3478
5.4	3511	3491	20	3482
5.42	3471	3494	-23	3485
5.44	3498	3498	0	3488
5.46	3471	3501	-30	3492
5.48	3481	3505	-24	3495
5.5	3494	3508	-14	3499
5.52	3612	3511	101	3502
5.54	3492	3515	-23	3506
5.56	3545	3519	26	3509
5.58	3546	3522	24	3513
5.6	3467	3526	-59	3516
5.62	3519	3529	-10	3520
5.64	3552	3533	19	3524
5.66	3477	3537	-60	3528
5.68	3608	3541	67	3531
5.7	3563	3545	18	3535
5.72	3526	3549	-23	3539
5.74	3541	3552	-11	3543
5.76	3547	3556	-9	3547
5.78	3568	3560	8	3551
5.8	3499	3565	-66	3555
5.82	3572	3569	3	3559
5.84	3530	3573	-43	3563
5.86	3658	3577	81	3568
5.88	3518	3581	-63	3572
5.9	3560	3585	-25	3576
5.92	3577	3590	-13	3580
5.94	3717	3594	123	3585
5.96	3525	3598	-73	3589
5.98	3599	3603	-4	3593
6.0	3571	3607	-36	3598
6.02	3592	3611	-19	3602
6.04	3499	3616	-117	3607
6.06	3655	3620	35	3611
6.08	3741	3625	116	3615
6.1	3615	3629	-14	3620
6.12	3617	3634	-17	3625
6.14	3593	3639	-46	3629
6.16	3537	3643	-106	3634
6.18	3603	3648	-45	3638
6.2	3618	3652	-34	3643
6.22	3709	3657	52	3648
6.24	3735	3662	73	3653
6.26	3732	3667	65	3657
6.28	3616	3671	-55	3662
6.3	3738	3676	62	3667
6.32	3688	3681	7	3672
6.34	3775	3686	89	3676
6.36	3738	3691	47	3681
6.38	3530	3695	-165	3686
6.4	3795	3700	95	3691
6.42	3643	3705	-62	3696
6.44	3575	3710	-135	3701
6.46	3784	3715	69	3706
6.48	3779	3720	59	3711
6.5	3794	3725	69	3716
6.52	3795	3730	65	3721
6.54	3819	3735	84	3726
6.56	3639	3740	-101	3731
6.58	3883	3745	138	3736
6.6	3852	3750	102	3741
6.62	3762	3755	7	3746
6.64	3742	3760	-18	3751
6.66	3663	3765	-102	3756
6.68	3878	3770	108	3761
6.7	3811	3775	36	3766
6.72	3828	3780	48	3771
6.74	3798	3785	13	3776
6.76	3959	3790	169	3781
6.78	3816	3796	20	3786
6.8	3781	3801	-20	3791
6.82	3907	3806	101	3796
6.84	3705	3811	-106	3802
6.86	3834	3816	18	3807
6.88	4034	3821	213	3812
6.9	3913	3826	87	3817
6.92	3923	3831	92	3822
6.94	3885	3836	49	3827
6.96	3813	3842	-29	3832
6.98	3814	3847	-33	3837
7.0	3866	3852	14	3843
7.02	3804	3857	-53	3848
7.04	3779	3862	-83	3853
7.06	3849	3867	-18	3858
7.08	3916	3872	44	3863
7.1	3918	3877	41	3868
7.12	3948	3883	66	3873
7.14	3892	3888	4	3878
7.16	3754	3893	-139	3883
7.18	3856	3898	-42	3888
7.2	3798	3903	-105	3894
7.22	3869	3908	-39	3899
7.24	3844	3913	-69	3904
7.26	3884	3918	-34	3909
7.28	3960	3923	37	3914
7.3	4000	3928	72	3919
7.32	3836	3933	-97	3924
7.34	3895	3938	-43	3929
7.36	3982	3943	39	3934
7.38	4012	3948	64	3939
7.4	3885	3953	-68	3944
7.42	3986	3958	28	3949
7.44	3904	3963	-59	3954
7.46	3874	3968	-94	3958
7.48	3980	3973	7	3963
7.5	4037	3978	59	3968
7.52	3987	3983	4	3973
7.54	4018	3988	30	3978
7.56	3924	3993	-69	3983
7.58	4038	3997	41	3988
7.6	3953	4002	-49	3992
7.62	3935	4007	-72	3997
7.64	4093	4012	81	4002
7.66	3908	4016	-108	4007
7.68	3875	4021	-146	4011
7.7	4176	4026	150	4016
7.72	4009	4030	-21	4021
7.74	3938	4035	-97	4025
7.76	4109	4040	69	4030
7.78	3921	4045	-124	4035
7.8	3963	4050	-87	4039
7.82	4003	4054	-51	4044
7.84	3966	4059	-93	4049
7.86	4083	4064	19	4054
7.88	4024	4069	-45	4058
7.9	3894	4074	-180	4063
7.92	3996	4078	-82	4068
7.94	3971	4083	-112	4073
7.96	4049	4088	-39	4078
7.98	4076	4093	-17	4083
8.0	4021	4098	-77	4088
8.02	4022	4103	-81	4093
8.04	4068	4108	-40	4098
8.06	4021	4114	-93	4103
8.08	3995	4119	-124	4108
8.1	4085	4124	-39	4114
8.12	4102	4130	-28	4119
8.14	4090	4135	-45	4125
8.16	4109	4141	-32	4130
8.18	3952	4146	-194	4136
8.2	4191	4152	39	4142
8.22	4169	4158	11	4147
