HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=10871/577, Cu(45kV,40mA), Thursday, April 16, 2026, 10:48 AM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3413	3439	-26	3439
5.02	3454	3446	8	3446
5.04	3491	3453	38	3453
5.06	3432	3460	-28	3460
5.08	3407	3467	-60	3467
5.1	3453	3474	-21	3474
5.12	3441	3481	-40	3481
5.14	3442	3488	-46	3488
5.16	3430	3495	-65	3495
5.18	3451	3502	-51	3502
5.2	3471	3509	-38	3509
5.22	3457	3516	-59	3516
5.24	3354	3523	-169	3523
5.26	3436	3530	-94	3530
5.28	3430	3537	-107	3537
5.3	3560	3543	17	3543
5.32	3617	3550	67	3550
5.34	3494	3557	-63	3557
5.36	3427	3564	-137	3564
5.38	3511	3571	-60	3571
5.4	3557	3578	-21	3578
5.42	3506	3584	-78	3584
5.44	3501	3591	-90	3591
5.46	3413	3598	-185	3598
5.48	3503	3605	-102	3605
5.5	3438	3611	-173	3611
5.52	3461	3618	-157	3618
5.54	3734	3625	109	3625
5.56	3554	3631	-77	3631
5.58	3500	3638	-138	3638
5.6	3542	3644	-102	3644
5.62	3513	3651	-138	3651
5.64	3611	3657	-46	3657
5.66	3561	3664	-103	3664
5.68	3538	3670	-132	3670
5.7	3567	3677	-110	3677
5.72	3610	3683	-73	3683
5.74	3556	3689	-133	3689
5.76	3530	3696	-166	3696
5.78	3623	3702	-79	3702
5.8	3583	3708	-125	3708
5.82	3685	3714	-29	3714
5.84	3627	3721	-94	3721
5.86	3593	3727	-134	3727
5.88	3732	3733	-1	3733
5.9	3656	3739	-83	3739
5.92	3578	3745	-167	3745
5.94	3749	3751	-2	3751
5.96	3713	3757	-44	3757
5.98	3603	3762	-159	3762
6.0	3781	3768	13	3768
6.02	3687	3774	-87	3774
6.04	3679	3780	-101	3780
6.06	3647	3785	-138	3785
6.08	3780	3791	-11	3791
6.1	3787	3797	-10	3797
6.12	3730	3802	-72	3802
6.14	3771	3807	-36	3807
6.16	3694	3813	-119	3813
6.18	3823	3818	5	3818
6.2	3746	3823	-77	3823
6.22	3752	3829	-77	3829
6.24	3748	3834	-86	3834
6.26	3738	3839	-101	3839
6.28	3777	3844	-67	3844
6.3	3802	3849	-47	3849
6.32	3830	3854	-24	3854
6.34	3858	3859	-1	3859
6.36	3864	3864	0	3864
6.38	3889	3868	21	3868
6.4	3829	3873	-44	3873
6.42	3809	3878	-69	3878
6.44	3891	3882	9	3882
6.46	3788	3887	-99	3887
6.48	3887	3891	-4	3891
6.5	3828	3895	-67	3895
6.52	3821	3900	-79	3900
6.54	3864	3904	-40	3904
6.56	3805	3908	-103	3908
6.58	3873	3912	-39	3912
6.6	3924	3916	8	3916
6.62	3857	3920	-63	3920
6.64	3924	3924	0	3924
6.66	3951	3927	24	3927
6.68	3882	3931	-49	3931
6.7	3973	3935	38	3935
6.72	3896	3938	-42	3938
6.74	3959	3942	17	3942
6.76	3894	3945	-51	3945
6.78	4017	3948	69	3948
6.8	3914	3951	-37	3951
6.82	3836	3955	-119	3955
6.84	3882	3958	-76	3958
6.86	3911	3961	-50	3961
6.88	3940	3964	-24	3964
6.9	3895	3967	-72	3967
6.92	3900	3970	-70	3970
6.94	3956	3973	-17	3973
6.96	3933	3976	-43	3976
6.98	3909	3978	-69	3978
7.0	4013	3981	32	3981
7.02	4005	3984	21	3984
7.04	4019	3987	32	3987
7.06	3994	3990	4	3990
7.08	3890	3992	-102	3992
7.1	4126	3995	131	3995
7.12	3897	3998	-101	3998
7.14	4075	4001	74	4001
7.16	3980	4003	-23	4003
7.18	3964	4006	-42	4006
7.2	3956	4009	-53	4009
7.22	3997	4012	-15	4012
7.24	4016	4014	2	4014
7.26	3961	4017	-56	4017
7.28	4061	4020	41	4020
7.3	3947	4023	-76	4023
7.32	4036	4026	10	4026
7.34	4166	4029	137	4029
7.36	3987	4032	-45	4032
7.38	4031	4035	-4	4035
7.4	4031	4038	-7	4038
7.42	4116	4041	75	4041
7.44	4052	4044	8	4044
7.46	4069	4047	22	4047
7.48	4058	4050	8	4050
7.5	4025	4054	-29	4054
7.52	4021	4057	-36	4057
7.54	4128	4060	68	4060
7.56	3953	4064	-111	4064
7.58	4073	4067	6	4067
7.6	4166	4071	95	4071
7.62	4030	4075	-45	4075
7.64	4130	4079	51	4079
7.66	4025	4083	-58	4083
7.68	4039	4087	-48	4087
7.7	4132	4091	41	4091
7.72	4252	4095	157	4095
7.74	4103	4099	4	4099
7.76	4069	4104	-35	4104
7.78	4135	4108	27	4108
7.8	4078	4113	-35	4113
7.82	4208	4117	91	4117
7.84	4142	4122	20	4122
7.86	4144	4127	17	4127
7.88	4175	4132	43	4132
7.9	4211	4138	73	4138
7.92	4205	4143	62	4143
7.94	4199	4148	51	4148
7.96	4112	4154	-42	4154
7.98	4179	4160	19	4160
8.0	4232	4166	66	4166
8.02	4427	4172	255	4172
8.04	4361	4178	183	4178
8.06	4266	4184	82	4184
8.08	4342	4191	151	4191
8.1	4329	4198	131	4198
8.12	4329	4204	125	4204
8.14	4412	4211	201	4211
8.16	4367	4219	148	4219
8.18	4304	4226	78	4226
8.2	4290	4234	56	4234
8.22	4403	4242	161	4242
8.24	4401	4250	151	4250
8.26	4275	4258	17	4258
8.28	4405	4266	139	4266
8.3	4391	4275	116	4275
8.32	4415	4284	131	4284
8.34	4417	4293	124	4293
8.36	4475	4303	172	4303
8.38	4395	4313	82	4313
8.4	4484	4323	161	4323
8.42	4462	4333	129	4333
8.44	4433	4344	89	4344
8.46	4339	4355	-16	4355
8.48	4520	4366	154	4366
8.5	4535	4378	157	4378
8.52	4609	4390	219	4390
8.54	4523	4402	121	4402
8.56	4333	4415	-82	4415
8.58	4565	4428	137	4428
8.6	4646	4441	205	4441
8.62	4565	4455	110	4455
8.64	4536	4469	67	4469
8.66	4678	4483	195	4483
8.68	4405	4498	-93	4498
8.7	4647	4514	133	4514
8.72	4577	4529	48	4529
8.74	4725	4545	180	4545
8.76	4765	4562	203	4562
8.78	4645	4579	66	4579
8.8	4626	4597	29	4597
8.82	4784	4615	169	4615
8.84	4769	4633	136	4633
8.86	4763	4652	111	4652
8.88	4805	4671	134	4671
8.9	4802	4691	111	4691
8.92	4958	4711	247	4711
8.94	4881	4732	149	4732
8.96	4830	4753	77	4753
8.98	4812	4775	37	4775
9.0	4852	4797	55	4797
9.02	4976	4820	156	4820
9.04	4845	4843	2	4843
9.06	4955	4867	88	4867
9.08	4970	4891	79	4891
9.1	4995	4915	80	4915
9.12	5011	4940	71	4940
9.14	5008	4966	42	4966
