HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=8743.0/294.0, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3152.0	3153.2	-1.2	3152.0
5.02	3057.0	3058.2	-1.2	3057.0
5.04	3093.0	3094.2	-1.2	3093.0
5.06	3057.0	3058.2	-1.2	3057.0
5.08	3032.0	3069.5	-37.5	3061.9
5.1	3061.0	3045.1	15.9	3037.5
5.12	3068.0	3042.0	26.0	3034.4
5.14	3026.0	3042.9	-16.9	3035.2
5.16	3069.0	3034.7	34.3	3027.0
5.18	2932.0	3033.4	-101.4	3025.8
5.2	3029.0	3028.6	0.4	3020.9
5.22	3101.0	3026.4	74.6	3018.8
5.24	2983.0	3038.2	-55.2	3030.6
5.26	3021.0	3042.6	-21.6	3034.9
5.28	3017.0	3061.3	-44.3	3053.7
5.3	3049.0	3064.6	-15.6	3056.9
5.32	3132.0	3063.0	69.0	3055.4
5.34	3108.0	3070.7	37.3	3063.0
5.36	3101.0	3081.0	20.0	3073.4
5.38	3058.0	3087.6	-29.6	3079.9
5.4	3087.0	3100.8	-13.8	3093.1
5.42	3052.0	3098.6	-46.6	3090.9
5.44	3114.0	3091.1	22.9	3083.5
5.46	3076.0	3092.9	-16.9	3085.2
5.48	3168.0	3097.8	70.2	3090.1
5.5	3112.0	3113.4	-1.4	3105.7
5.52	3041.0	3117.8	-76.8	3110.1
5.54	3117.0	3112.5	4.5	3104.9
5.56	3102.0	3115.8	-13.8	3108.1
5.58	3227.0	3119.1	107.9	3111.4
5.6	3092.0	3122.4	-30.4	3114.7
5.62	3110.0	3125.7	-15.7	3118.0
5.64	3152.0	3129.0	23.1	3121.3
5.66	3104.0	3132.2	-28.2	3124.5
5.68	3186.0	3135.5	50.5	3127.8
5.7	3182.0	3138.7	43.3	3131.0
5.72	3272.0	3142.0	130.0	3134.3
5.74	3204.0	3145.2	58.8	3137.5
5.76	3083.0	3148.5	-65.5	3140.7
