HardwareIndicator=65519
Wavelength = 1.54059Å, !5.0°/120.0°/0.02°/1(s), I(p)=10514/360, Cu(45kV,40mA), Tuesday, January 13, 2026, 12:53 PM
Angle	I(o)	I(c)	I(d)	I(b)
5.0	3143	3121	22	3114
5.02	3117	3122	-5	3114
5.04	3111	3122	-11	3114
5.06	3140	3122	18	3115
5.08	3096	3122	-26	3115
5.1	3028	3122	-94	3115
5.12	3112	3122	-10	3115
5.14	3125	3122	3	3115
5.16	3141	3123	18	3115
5.18	3009	3123	-114	3116
5.2	3109	3123	-14	3116
5.22	3120	3123	-3	3116
5.24	3085	3124	-39	3116
5.26	3113	3124	-11	3117
5.28	3034	3124	-90	3117
5.3	3011	3125	-114	3117
5.32	3188	3125	63	3118
5.34	3166	3126	40	3118
5.36	3166	3126	40	3119
5.38	3221	3127	94	3120
5.4	3154	3128	26	3120
5.42	3069	3128	-59	3121
5.44	3159	3129	30	3122
5.46	3115	3130	-15	3122
5.48	3270	3131	139	3123
5.5	3127	3132	-5	3124
5.52	3141	3133	8	3125
5.54	3077	3134	-57	3126
5.56	3151	3135	16	3127
5.58	3161	3136	25	3129
5.6	3100	3137	-37	3130
5.62	3141	3139	2	3131
5.64	3167	3140	27	3133
5.66	3229	3142	87	3134
5.68	3243	3144	99	3136
5.7	3245	3145	100	3138
5.72	3164	3147	17	3140
5.74	3143	3149	-6	3142
5.76	3172	3151	21	3144
5.78	3159	3154	5	3146
5.8	3259	3156	103	3148
5.82	3160	3158	2	3150
5.84	3076	3161	-85	3153
5.86	3144	3163	-19	3155
5.88	3161	3166	-5	3158
5.9	3297	3169	128	3161
5.92	3196	3172	24	3164
5.94	3192	3175	17	3167
5.96	3159	3178	-19	3170
5.98	3338	3181	157	3173
6.0	3328	3185	143	3176
6.02	3227	3188	39	3180
6.04	3236	3192	44	3183
6.06	3259	3195	64	3187
6.08	3320	3199	121	3190
6.1	3183	3203	-20	3194
6.12	3357	3207	150	3198
6.14	3318	3211	107	3202
6.16	3367	3215	152	3206
6.18	3262	3219	43	3210
6.2	3225	3223	2	3214
6.22	3278	3227	51	3218
6.24	3353	3232	121	3222
6.26	3212	3236	-24	3226
6.28	3369	3241	128	3231
6.3	3225	3245	-20	3235
6.32	3296	3250	46	3240
6.34	3290	3255	35	3244
6.36	3229	3259	-30	3248
6.38	3367	3264	103	3253
6.4	3260	3269	-9	3257
6.42	3235	3275	-40	3262
6.44	3300	3280	20	3267
6.46	3437	3286	151	3271
6.48	3370	3291	79	3276
6.5	3301	3297	4	3281
6.52	3347	3304	43	3285
6.54	3350	3310	40	3290
6.56	3317	3317	0	3295
6.58	3423	3324	99	3299
6.6	3196	3331	-135	3304
6.62	3374	3339	35	3309
6.64	3286	3347	-61	3314
6.66	3413	3354	59	3318
6.68	3416	3362	54	3323
6.7	3432	3368	64	3328
6.72	3424	3375	49	3332
6.74	3398	3380	18	3337
6.76	3317	3384	-67	3342
6.78	3492	3387	105	3346
6.8	3447	3390	57	3351
6.82	3347	3393	-46	3355
6.84	3395	3395	0	3360
6.86	3436	3397	39	3364
6.88	3367	3399	-32	3369
6.9	3360	3401	-41	3373
6.92	3358	3403	-45	3377
6.94	3446	3405	41	3382
6.96	3491	3407	84	3386
6.98	3384	3410	-26	3390
7.0	3356	3413	-57	3394
7.02	3387	3415	-28	3398
7.04	3394	3418	-24	3402
7.06	3487	3421	66	3406
7.08	3418	3424	-6	3410
7.1	3313	3427	-114	3414
7.12	3409	3430	-21	3418
7.14	3241	3434	-193	3422
7.16	3286	3437	-151	3425
7.18	3480	3440	40	3429
7.2	3468	3443	25	3432
7.22	3436	3446	-10	3435
7.24	3507	3449	58	3439
7.26	3363	3452	-89	3442
7.28	3449	3455	-6	3445
7.3	3457	3457	0	3448
7.32	3396	3460	-64	3451
7.34	3313	3463	-150	3453
7.36	3474	3465	9	3456
7.38	3597	3467	130	3458
7.4	3503	3470	33	3461
7.42	3488	3472	16	3463
7.44	3451	3474	-23	3465
7.46	3540	3476	64	3467
7.48	3441	3478	-37	3469
7.5	3393	3480	-87	3471
7.52	3386	3481	-95	3472
7.54	3469	3483	-14	3474
7.56	3533	3484	49	3475
